country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
CN,002008,2016-06-23,,,,,,20.9703,20.9703,0.0,0.0,0.0,,,,0.4638,
CN,002008,2016-06-24,-2.078654,,,,,20.903238,20.938011,-0.034773,-0.006955,-0.055636,0.0,,,0.499571,
CN,002008,2016-06-27,2.755376,,,,,20.93354,20.950025,-0.016485,-0.008861,-0.015249,9.078219,,,0.512909,
CN,002008,2016-06-28,0.395257,,,,,20.972011,20.967327,0.004684,-0.006152,0.021671,10.369862,,,0.512051,
CN,002008,2016-06-29,0.306841,21.00742,,,,21.014563,20.988162,0.026401,0.000359,0.052085,11.425981,,,0.509262,14766397.8
CN,002008,2016-06-30,-0.305903,21.05008,,,,21.040569,21.002639,0.03793,0.007873,0.060114,11.282808,,,0.495408,13645752.4
CN,002008,2016-07-01,2.758266,21.29678,,,,21.152466,21.059325,0.093141,0.024927,0.136429,20.880326,,,0.518986,17042572.0
CN,002008,2016-07-04,1.576633,21.49896,,,,21.299948,21.137234,0.162714,0.052484,0.22046,25.947731,,,0.530279,19559103.8
CN,002008,2016-07-05,-1.132463,21.63438,,,,21.386218,21.190824,0.195393,0.081066,0.228655,24.704508,,,0.53811,21355486.2
CN,002008,2016-07-06,-0.763928,21.7234,21.36541,,,21.433523,21.228074,0.205448,0.105942,0.199012,23.882646,,,0.526837,21443404.8
CN,002008,2016-07-07,-0.171017,21.818,21.43404,,,21.467842,21.259817,0.208025,0.126359,0.163333,23.694062,,,0.518356,23481224.6
CN,002008,2016-07-08,-0.428045,21.7772,21.53699,,,21.48262,21.282342,0.200279,0.141143,0.118272,23.201092,,,0.511138,18710488.6
CN,002008,2016-07-11,-2.365528,21.56574,21.53235,,,21.416648,21.265413,0.151235,0.143161,0.016148,20.654516,,,0.525635,19219860.6
CN,002008,2016-07-12,0.35243,21.4192,21.52679,,,21.372241,21.255234,0.117007,0.13793,-0.041848,21.995735,,,0.526511,20816720.6
CN,002008,2016-07-13,0.351193,21.3209,21.52215,,,21.34608,21.251305,0.094775,0.129299,-0.069049,23.390323,,,0.526668,22623308.6
CN,002008,2016-07-14,0.043863,21.23188,21.52494,,,21.325376,21.248357,0.077019,0.118843,-0.083649,23.574752,,,0.50627,21156907.4
CN,002008,2016-07-15,-0.043844,21.15954,21.46837,,,21.306426,21.244938,0.061488,0.107372,-0.091769,23.513791,,,0.501908,21195576.2
CN,002008,2016-07-18,-0.612672,21.16324,21.36449,,,21.270406,21.23215,0.038256,0.093549,-0.110585,22.63342,,,0.487921,17352759.0
CN,002008,2016-07-19,3.081296,21.28196,21.35058,,,21.339821,21.268405,0.071415,0.089122,-0.035414,35.610553,,,0.506063,16606025.6
CN,002008,2016-07-20,-1.494365,21.32092,21.32091,21.34316,,21.348618,21.277931,0.070687,0.085435,-0.029497,32.661085,22.067924,20.618396,0.506351,15130427.2
CN,002008,2016-07-21,0.389774,21.3747,21.30329,21.368665,,21.368892,21.292929,0.075963,0.083541,-0.015155,34.16975,22.074812,20.662518,0.51059,17507757.8
CN,002008,2016-07-22,1.036294,21.47486,21.3172,21.427095,,21.420293,21.323304,0.096989,0.08623,0.021517,38.152582,22.033843,20.820347,0.521812,19714670.2
CN,002008,2016-07-25,4.102659,21.77908,21.47116,21.501755,,21.600771,21.417385,0.183386,0.105661,0.155448,50.938969,22.274108,20.729402,0.571326,28649287.0
CN,002008,2016-07-26,-0.287252,21.94046,21.61121,21.569,,21.743499,21.49969,0.243808,0.133291,0.221035,50.125522,22.445948,20.692052,0.56496,28945160.8
CN,002008,2016-07-27,-4.075726,21.98312,21.65202,21.587085,,21.723006,21.507884,0.215123,0.149657,0.130931,40.316252,22.451688,20.722482,0.619998,32750553.0
CN,002008,2016-07-28,1.759346,22.08514,21.72992,21.62743,,21.764159,21.543633,0.220526,0.163831,0.113391,45.106502,22.488253,20.766607,0.633348,32953892.0
CN,002008,2016-07-29,-3.922148,21.97014,21.7225,21.595435,,21.666289,21.512845,0.153443,0.161754,-0.01662,37.711937,22.48023,20.71064,0.651045,32750215.0
CN,002008,2016-08-01,-1.448788,21.61584,21.69746,21.530975,,21.536383,21.461664,0.074719,0.144347,-0.139256,35.488379,22.443516,20.618434,0.649592,25294709.2
CN,002008,2016-08-02,0.356356,21.28936,21.61491,21.482745,,21.437878,21.419771,0.018107,0.119099,-0.201983,36.466289,22.422051,20.543439,0.624392,21720357.0
CN,002008,2016-08-03,1.109776,21.1929,21.58801,21.45446,,21.390204,21.398158,-0.007954,0.093688,-0.203284,39.550442,22.400697,20.508223,0.608943,17742415.0
CN,002008,2016-08-04,-0.263631,21.00926,21.5472,21.425245,,21.341296,21.37402,-0.032724,0.068406,-0.20226,39.059983,22.380749,20.469741,0.597911,15207776.4
CN,002008,2016-08-05,2.024933,21.08346,21.5268,21.422,,21.365558,21.383278,-0.01772,0.051181,-0.137801,44.71591,22.376038,20.467962,0.604225,14401092.4
CN,002008,2016-08-08,1.207963,21.27082,21.44333,21.457245,,21.426041,21.411087,0.014954,0.043935,-0.057962,47.886124,22.406338,20.508152,0.612737,13928980.8
CN,002008,2016-08-09,0.0,21.44334,21.36635,21.48878,,21.47722,21.436836,0.040383,0.043225,-0.005683,47.886124,22.433923,20.543637,0.59812,15039699.4
CN,002008,2016-08-10,-0.25599,21.55834,21.37562,21.51382,,21.511955,21.456552,0.055403,0.045661,0.019485,47.212683,22.453788,20.573852,0.587862,14918044.2
CN,002008,2016-08-11,-2.350366,21.58246,21.29586,21.51289,,21.46287,21.437022,0.025847,0.041698,-0.031701,41.461934,22.454088,20.571692,0.589593,14799203.8
