country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
CN,2138,Q2,2016-06-30,2016-08-06,0.362463,0.207121,0.240315,0.04022,0.027731,1.126545,0.310894,0.450914,0.115393,1.450377,0.316618,1.317513,-0.154092,,
CN,2138,Q3,2016-09-30,2016-10-24,0.372229,0.21911,0.198397,0.036923,0.023826,1.119078,0.355108,0.550307,0.120094,1.549691,0.161748,0.815275,-0.347954,,
CN,2138,Q4,2016-12-31,2017-03-28,0.35089,0.180119,0.175256,0.033407,0.022046,1.168518,0.340463,0.515902,0.125796,1.515296,0.35556,2.028811,0.116888,,
CN,2138,Q1,2017-03-31,2017-04-29,0.397776,0.202896,0.180329,0.023695,0.015775,1.206399,0.33471,0.50274,0.08748,1.502018,0.230027,1.275593,0.009411,,
CN,2138,Q2,2017-06-30,2017-08-12,0.371819,0.268664,0.239892,0.03815,0.025013,1.090776,0.338695,0.516567,0.104269,1.525168,0.346537,1.444551,0.046241,0.097081,0.095151
CN,2138,Q3,2017-09-30,2017-10-30,0.330848,0.164086,0.143759,0.021271,0.017833,2.46797,0.156074,0.186163,0.124045,1.19279,0.138194,0.961283,-0.064703,0.205269,-0.126657
CN,2138,Q4,2017-12-31,2018-02-28,0.272476,0.15902,0.141642,0.021144,0.017752,2.6875,0.150496,0.179248,0.125334,1.191041,0.254251,1.795029,0.210421,0.175552,-0.049919
CN,2138,Q1,2018-03-31,2018-04-25,0.333091,0.235043,0.207207,0.025855,0.021085,2.267732,0.174505,0.213982,0.101759,1.22622,0.401202,1.936239,0.04421,0.366963,0.570703
CN,2138,Q2,2018-06-30,2018-08-11,0.357739,0.236425,0.195044,0.030562,0.025033,2.339016,0.170781,0.208499,0.128346,1.220858,0.197978,1.015044,-0.017865,0.404499,0.141928
CN,2138,Q3,2018-09-30,2018-10-20,0.381344,0.258557,0.217828,0.032118,0.02714,2.796129,0.1439,0.17029,0.124596,1.183391,0.23436,1.075894,0.068971,0.0763,0.630839
CN,2138,Q4,2018-12-31,2019-02-28,0.309974,0.116356,0.191408,0.027273,0.022382,2.670922,0.167967,0.204664,0.116936,1.218481,0.2093,1.093475,0.188151,0.024771,0.384832
CN,2138,Q1,2019-03-31,2019-04-22,0.347783,0.187694,0.154033,0.019941,0.015505,2.007751,0.211224,0.27166,0.100658,1.286121,0.136071,0.883393,-0.351284,0.107007,-0.177077
CN,2138,Q2,2019-06-30,2019-08-30,0.356543,0.196009,0.165284,0.026399,0.019703,1.743783,0.24259,0.325027,0.119208,1.339824,0.262674,1.589234,-0.058146,0.05504,-0.105942
CN,2138,Q3,2019-09-30,2019-10-25,0.335128,0.17029,0.142463,0.023576,0.01801,1.852254,0.22413,0.293399,0.126417,1.309057,0.304452,2.137063,0.069041,0.151379,-0.246981
CN,2138,Q4,2019-12-31,2020-03-17,0.329563,0.138326,0.137673,0.023748,0.016641,1.565485,0.284763,0.406377,0.120873,1.427071,0.255339,1.854674,-0.299336,0.244264,-0.105045
CN,2138,Q1,2020-03-31,2020-04-18,0.353176,0.190808,0.156716,0.020936,0.015226,1.674515,0.258346,0.355248,0.097154,1.375085,0.23561,1.503421,-0.130054,0.106768,0.126049
CN,2138,Q2,2020-06-30,2020-07-23,0.383376,0.209565,0.175916,0.032829,0.022044,1.305353,0.314378,0.468193,0.125308,1.48927,0.096671,0.549532,-0.288369,0.247385,0.327625
CN,2138,Q3,2020-09-30,2020-10-21,0.350944,0.197434,0.162513,0.035303,0.023044,1.250123,0.333412,0.510777,0.141799,1.531971,0.388297,2.389336,0.091556,0.418728,0.618395
CN,2138,Q4,2020-12-31,2021-02-27,0.362603,0.197319,0.177913,0.037527,0.024173,1.328911,0.342088,0.531079,0.135867,1.552463,0.192126,1.079888,-0.116793,0.341093,0.733076
CN,2138,Q1,2021-03-31,2021-04-17,0.36365,0.21789,0.180868,0.039165,0.023934,1.343357,0.375626,0.614662,0.13233,1.636366,0.090911,0.502638,-0.148773,0.751703,1.021669
CN,2138,Q2,2021-06-30,2021-07-28,0.381887,0.225668,0.175168,0.043238,0.024876,1.413149,0.396821,0.689719,0.142015,1.738113,0.311027,1.775595,0.007482,0.495458,0.489097
CN,2138,Q3,2021-09-30,2021-10-15,0.360997,0.200473,0.164513,0.034585,0.02066,1.724738,0.370066,0.619499,0.125582,1.674024,0.233618,1.420055,-0.037411,0.150897,0.165063
CN,2138,Q4,2021-12-31,2022-02-26,0.291167,0.179845,0.165381,0.032912,0.018691,1.665377,0.399482,0.703433,0.113018,1.760863,0.272276,1.646359,-0.11154,0.077279,0.001393
CN,2138,Q1,2022-03-31,2022-04-20,0.363947,0.227303,0.161509,0.029843,0.015426,1.7828,0.439758,0.850754,0.095513,1.934596,0.016963,0.105028,-0.300531,-0.045471,-0.147642
CN,2138,Q2,2022-06-30,2022-07-30,0.336565,0.173458,0.115925,0.023947,0.011978,1.510636,0.455511,0.91068,0.103324,1.999249,0.446728,3.853598,0.138222,-0.1014,-0.405312
CN,2138,Q3,2022-09-30,2022-10-31,0.316889,0.147462,0.108919,0.020578,0.010374,1.605813,0.448618,0.889906,0.095241,1.98366,0.223141,2.048683,-0.107973,-0.102891,-0.406049
CN,2138,Q4,2022-12-31,2023-02-28,0.303536,0.002449,0.024268,0.004614,0.002345,1.526364,0.442361,0.870447,0.096632,1.967731,0.29318,12.081155,-0.041374,-0.039895,-0.859117
CN,2138,Q1,2023-03-31,2023-04-22,0.321816,0.12754,0.078606,0.014775,0.007275,1.503773,0.45855,0.931296,0.092546,2.03096,0.107176,1.36346,-0.137879,0.016614,-0.505215
CN,2138,Q2,2023-06-30,2023-07-28,0.352025,0.185945,0.13416,0.031453,0.015348,1.454772,0.467751,0.958563,0.114404,2.049303,0.195258,1.455414,0.018114,0.158811,0.34109
CN,2138,Q3,2023-09-30,2023-10-21,0.362682,0.209859,0.164809,0.038239,0.018776,1.533584,0.462759,0.942426,0.113928,2.036536,0.218855,1.327928,0.021724,0.285865,0.945681
CN,2138,Q4,2023-12-31,2024-02-29,0.369603,0.138185,0.119522,0.027347,0.012976,1.366756,0.479678,1.010913,0.108566,2.107484,0.355636,2.975473,0.096784,0.290908,5.357977
CN,2138,Q1,2024-03-31,2024-04-16,0.369481,0.191462,0.13517,0.029095,0.013624,1.526326,0.481799,1.028945,0.100788,2.135633,0.189344,1.400786,0.003412,0.228577,1.112639
CN,2138,Q2,2024-06-30,2024-07-31,0.369782,0.19479,0.138122,0.033446,0.015705,1.540536,0.482447,1.027437,0.113703,2.129637,0.292313,2.11633,0.156602,0.096046,0.128421
CN,2138,Q3,2024-09-30,2024-10-26,0.37928,0.207158,0.170271,0.041496,0.02031,1.597034,0.459767,0.939359,0.119282,2.043119,0.304504,1.788348,0.191318,0.118644,0.155715
CN,2138,Q4,2024-12-31,2025-02-28,0.344904,0.152473,0.122231,0.033213,0.016371,1.462157,0.452786,0.918625,0.133932,2.028829,0.185797,1.520043,0.056378,0.247158,0.275425
CN,2138,Q1,2025-03-31,2025-04-19,0.365627,0.207258,0.159612,0.039296,0.01838,1.512458,0.477054,1.019928,0.115153,2.137973,0.2253,1.411549,0.113368,0.160334,0.370152
CN,2138,Q2,2025-06-30,2025-07-31,0.367813,0.196429,0.143312,0.040742,0.01892,1.536262,0.481562,1.036982,0.132019,2.153373,0.265464,1.852349,0.156714,0.231166,0.277424
CN,2138,Q3,2025-09-30,2025-10-28,0.368429,0.189226,0.156655,0.043499,0.021435,1.509213,0.459217,0.93191,0.13683,2.029347,0.293856,1.875817,0.171277,0.202077,0.10595
CN,2138,Q4,2025-12-31,2026-02-28,0.363312,0.169623,0.14705,0.03716,0.018952,1.55316,0.441599,0.865875,0.12888,1.960771,0.216265,1.470695,0.127494,0.006769,0.211188
CN,2138,Q1,2026-03-31,2026-04-30,0.325338,0.130031,0.105579,0.027997,0.013178,1.510012,0.480306,1.020437,0.124815,2.124554,0.054838,0.519399,-0.088609,0.153407,-0.237052
