code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
002240,盛新锂能,CN,CNY,Q2,2016-06-30,2016-08-23,330293237.78000003,29743659.430000007,-31009469.25,-27650317.22,1752409.51,-28922512.92,-28922512.92,-0.058940854201310774,2394306323.89,950127453.62,1444178870.27,185825935.15,136458387.18,1277284841.04,1058740783.03,878910352.64,179830430.39,156707955.36,1335565540.86,1321841844.0,-19050296.05,-5627497.95,5123195.94,82907583.61
002240,盛新锂能,CN,CNY,Q3,2016-09-30,2016-10-27,395271965.59000003,39763721.99000001,-9386890.810000002,3573137.4399999985,,5610310.880000003,5610310.880000003,0.01143318758355343,2266430277.74,849998327.37,1416431950.37,80455149.47,191309529.49,1247332012.16,925539189.94,745416626.21,180122563.73,138018756.6,1340891087.8,1333961172.46,58056458.4,3911048.34,6739550.13,-118958292.42
002240,盛新锂能,CN,CNY,Q4,2016-12-31,2017-02-28,427921160.87,27998962.579999924,24376447.67,80430516.30000001,-309844.41,81527913.73,81527913.73,0.16614479142212008,2522436129.45,984025350.79,1538410778.66,123053812.25,134739618.54,1238889653.31,978248157.0300001,847532196.94,130715960.09,158018510.85,1544187972.42,1416005904.8,15551016.54,-87478888.37,51855995.68,97256451.67
002240,盛新锂能,CN,CNY,Q1,2017-03-31,2017-04-24,303639795.05,28519469.03000003,-10034985.98,858115.0200000003,,1761237.42,1761237.42,0.0035892053457889073,2546661659.54,1018302391.17,1528359268.37,72885833.84,153215199.58,1226489676.92,1001615572.0999999,871222478.67,130393093.43,183895734.72,1545046087.44,1417767142.22,-25257180.98,-19857125.07,16264912.45,-5053672.36
002240,盛新锂能,CN,CNY,Q2,2017-06-30,2017-07-27,569029191.8900001,40682080.53000009,14726641.96,10955965.33,2521060.93,6017469.36,6017469.36,0.01226293113567446,2496597738.36,965843053.89,1530754684.47,87441222.54,170790221.25,1204526688.9,945616746.5200001,824117429.07,121499317.45,179367553.63,1550980991.84,1423253594.66,82892029.6,-28314017.17,31250412.360000003,-60622623.730000004
002240,盛新锂能,CN,CNY,Q3,2017-09-30,2017-10-25,602276482.6299999,55836940.899999976,11825409.43,12500504.32,1663189.1099999999,10734293.79,10734293.79,0.02187529302797613,2560486363.61,992051934.48,1568434429.13,165097062.34,152011179.5,1180300448.24,998668056.55,878092593.75,120575462.8,129023379.67,1561818307.06,1433987888.45,11456800.92000001,-45420215.410000004,59028792.989999995,114483254.29
002240,盛新锂能,CN,CNY,Q4,2017-12-31,2018-02-23,543332809.1700001,33875188.05999994,7708675.3999999985,-7103662.060000001,-5585761.27,7748638.259999998,7748638.259999998,0.014474143951291438,2956790887.15,1269340663.74,1687450223.41,370463869.83,70337543.03,1228318883.13,828993182.84,804733075.84,24260107.0,118426178.15,2127797704.31,2038783975.05,-13585156.480000004,-136849456.57999998,107337714.73,373947976.19
002240,盛新锂能,CN,CNY,Q1,2018-03-31,2018-04-17,473458292.08,24093030.02999997,-221914.16,1039954.2000000002,-169055.3,4110071.96,4110071.96,0.007677448759778155,2929336629.66,1200393162.56,1728943467.1,137332331.73,75275539.85,1211045946.57,800329915.85,776109083.37,24220832.48,140936386.3,2129006713.81,2042894047.01,-174145800.14,-25380598.03,75173617.65,-26774305.97
002240,盛新锂能,CN,CNY,Q2,2018-06-30,2019-02-01,648530089.8000002,98171274.03000021,49968757.16,53868862.63999999,3943700.09,53401370.76,53401370.76,0.09975160817179839,3182714968.1000004,1304561643.9,1878153324.2,99957655.94,114120092.35,1444758580.92,1003783190.44,980802545.7,22980644.74,189076345.91,2178931777.66,2096295319.07,-39078728.610000014,-142634316.33,193538610.83,149187303.4
002240,盛新锂能,CN,CNY,Q3,2018-09-30,2019-02-01,730224190.4399998,102342506.16999996,58921859.66,67646261.69999999,1105760.2299999995,67555075.28,67555075.28,0.12619015773270206,3531803234.96,1687186805.06,1844616429.9,211846300.82,198833163.56,1476670797.33,1286331059.01,1082595410.54,203735648.47,,2245472175.95,2163850291.17,16010441.900000006,-11253844.899999976,11477825.49000001,83082829.79999998
