country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
CN,002273,2016-06-20,26.05,27.08,25.21,26.88,13.6716,14.2121,13.2307,14.1072,38674177.0,1018528599.5,0.5248216833,5.35769325,144.014795,6.54918124,176.041992,0.05905192661915094
CN,002273,2016-06-21,27.08,27.5,25.78,26.11,14.2121,14.4326,13.5299,13.7031,40893988.0,1092179128.8,0.5248216833,5.35769325,139.889371,6.54918124,170.999122,0.0624413747328208
CN,002273,2016-06-22,25.7,28.5,25.31,28.1,13.4879,14.9574,13.2832,14.7475,57962524.0,1590282524.2,0.5248216833,5.35769325,150.55118,6.54918124,184.031993,0.08850346612182014
CN,002273,2016-06-23,27.92,28.6,27.34,28.03,14.653,15.0099,14.3486,14.7107,44875907.0,1255470635.4,0.5248216833,5.35769325,150.176142,6.54918124,183.57355,0.06852140039416592
CN,002273,2016-06-24,27.79,28.98,26.31,27.66,14.5848,15.2093,13.808,14.5165,42478056.0,1175346918.3,0.5248216833,5.35769325,148.193795,6.54918124,181.150353,0.06486010150484094
CN,002273,2016-06-27,27.65,28.3,27.45,27.91,14.5113,14.8524,14.4063,14.6477,31423496.0,876541260.2,0.5248216833,5.35769325,149.533219,6.54918124,182.787648,0.04798080072677909
CN,002273,2016-06-28,28.61,30.32,28.61,29.49,15.0151,15.9126,15.0151,15.477,49655107.0,1454415087.2,0.5248216833,5.35769325,157.998374,6.54918124,193.135355,0.07581880113001728
CN,002273,2016-06-29,29.11,29.86,28.82,29.16,15.2775,15.6711,15.1253,15.3038,31051602.0,906213558.6,0.5248216833,5.35769325,156.230335,6.54918124,190.974125,0.04741295264566537
CN,002273,2016-06-30,29.07,29.68,27.9,27.99,15.2565,15.5767,14.6425,14.6897,38960451.0,1109171388.4,0.5248216833,5.35769325,149.961834,6.54918124,183.311583,0.05948904080107577
CN,002273,2016-07-01,27.99,28.68,27.7,28.06,14.6897,15.0519,14.5375,14.7265,24278845.0,683786552.8,0.5248216833,5.35769325,150.336873,6.54918124,183.770026,0.03707157293451235
CN,002273,2016-07-04,27.7,28.49,27.5,28.02,14.5375,14.9521,14.4326,14.7055,25234603.0,707280321.6,0.5248216833,5.35769325,150.122565,6.54918124,183.508058,0.038530927875191925
CN,002273,2016-07-05,28.03,28.58,27.65,28.37,14.7107,14.9994,14.5113,14.8892,28432590.0,800165181.7,0.5248216833,5.35769325,151.997758,6.54918124,185.800272,0.043413961162571214
CN,002273,2016-07-06,28.02,28.2,27.34,27.7,14.7055,14.799900000000001,14.3486,14.5375,27009713.0,747711477.3,0.5248216833,5.35769325,148.408103,6.54918124,181.41232,0.04124135828618479
CN,002273,2016-07-07,27.57,27.7,26.6,27.18,14.4693,14.5375,13.9602,14.2646,30700672.0,832417832.5,0.5248216833,5.35769325,145.622103,6.54918124,178.006746,0.04687711467273427
CN,002273,2016-07-08,27.19,27.98,27.18,27.49,14.2699,14.6845,14.2646,14.4273,25974867.0,717827560.4,0.5248216833,5.35769325,147.282987,6.54918124,180.036992,0.03966124321213624
CN,002273,2016-07-11,29.0,29.88,27.9,27.92,15.2198,15.6816,14.6425,14.653,46251655.0,1316028664.3,0.5248216833,5.35769325,149.586796,6.54918124,182.85314,0.07062204160347836
CN,002273,2016-07-12,28.49,28.8,27.36,28.07,14.9521,15.1148,14.3591,14.7317,30982949.0,869518101.5,0.5248216833,5.35769325,150.39045,6.54918124,183.835517,0.04730812580169182
CN,002273,2016-07-13,28.35,29.27,27.5,28.69,14.8787,15.3615,14.4326,15.0571,44197012.0,1255694083.4,0.5248216833,5.35769325,153.712219,6.54918124,187.89601,0.06748478990024102
CN,002273,2016-07-14,28.51,28.8,27.85,28.0,14.9626,15.1148,14.6163,14.695,33212869.0,936077999.2,0.5248216833,5.35769325,150.015411,6.54918124,183.377075,0.05071300943261115
CN,002273,2016-07-15,28.17,28.7,27.61,28.2,14.7842,15.0623,14.4903,14.799900000000001,34237021.0,968129384.6,0.5248216833,5.35769325,151.08695,6.54918124,184.686911,0.05227679574798269
CN,002273,2016-07-18,27.87,28.06,27.31,27.39,14.6267,14.7265,14.3328,14.3748,28571273.0,788075414.3,0.5248216833,5.35769325,146.747218,6.54918124,179.382074,0.04362571740341698
CN,002273,2016-07-19,27.36,27.82,26.6,27.19,14.3591,14.6005,13.9602,14.2699,31398658.0,849019839.9,0.5248216833,5.35769325,145.675679,6.54918124,178.072238,0.04794287537536524
CN,002273,2016-07-20,27.18,27.3,26.7,26.7,14.2646,14.3276,14.0127,14.0127,21861603.0,589918041.9,0.5248216833,5.35769325,143.05041,6.54918124,174.863139,0.033380665763954334
CN,002273,2016-07-21,26.62,27.25,26.55,26.81,13.9707,14.3014,13.934,14.0704,21282811.0,572066880.0,0.5248216833,5.35769325,143.639756,6.54918124,175.583549,0.032496903383910626
CN,002273,2016-07-22,26.81,26.94,26.3,26.46,14.0704,14.1387,13.8028,13.8867,17948066.0,476393811.6,0.5248216833,5.35769325,141.764563,6.54918124,173.291336,0.027405053154400106
CN,002273,2016-07-25,26.23,26.62,25.9,25.97,13.766,13.9707,13.5929,13.6296,17494935.0,459296124.2,0.5248216833,5.35769325,139.139294,6.54918124,170.082237,0.026713163613716086
CN,002273,2016-07-26,25.97,26.26,25.93,26.2,13.6296,13.7818,13.6086,13.7503,14028388.0,365986851.5,0.5248216833,5.35769325,140.371563,6.54918124,171.588548,0.0214200638002194
CN,002273,2016-07-27,26.25,26.49,23.8,24.15,13.7765,13.9025,12.4907,12.6744,27951433.0,700831737.8,0.5248216833,5.35769325,129.388292,6.54918124,158.162727,0.04267927848642039
CN,002273,2016-07-28,24.15,24.35,23.02,23.55,12.6744,12.7794,12.0814,12.3595,21526868.0,508824919.9,0.5248216833,5.35769325,126.173676,6.54918124,154.233218,0.03286955607293592
CN,002273,2016-07-29,23.58,23.75,22.88,23.07,12.3753,12.4645,12.0079,12.1076,15447945.0,357455420.7,0.5248216833,5.35769325,123.601983,6.54918124,151.089611,0.02358759734064101
