country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
HK,00293,2016-06-20,11.8,11.84,11.62,11.78,8.0366,8.0638,7.914,8.023,2719316.0,31895814.919,0.6810696095076401,39.3384448,115.85172,39.33844,463.4067,0.0006912617785555299
HK,00293,2016-06-21,11.78,11.92,11.78,11.9,8.023,8.1183,8.023,8.1047,3244025.0,38507647.44,0.6810672268907563,39.3384448,117.031873,39.33844,468.1273,0.0008246450545573235
HK,00293,2016-06-22,11.88,12.0,11.82,11.94,8.0911,8.1728,8.0502,8.1319,3245621.0,38711180.0,0.6810636515912898,39.3384448,117.425258,39.33844,469.7006,0.0008250507645956475
HK,00293,2016-06-23,12.0,12.06,11.9,12.02,8.1728,8.2137,8.1047,8.1864,3078364.0,36933193.32,0.6810648918469219,39.3384448,118.212036,39.33844,472.848,0.000782533318555591
HK,00293,2016-06-24,11.98,12.18,11.4,11.58,8.1592,8.2954,7.7642,7.8868,6704500.0,77837761.456,0.6810708117443869,39.3384448,113.884798,39.33844,455.5391,0.0017043126265301827
HK,00293,2016-06-27,11.54,11.54,10.96,11.1,7.8595,7.8595,7.4645,7.5598,13361791.0,147935953.716,0.6810630630630631,39.3384448,109.164194,39.33844,436.6565,0.00339662452298566
HK,00293,2016-06-28,10.98,11.0,10.7,10.82,7.4781,7.4917,7.2874,7.3692,9615648.0,103790701.64,0.6810720887245841,39.3384448,106.410493,39.33844,425.642,0.0024443389214213883
HK,00293,2016-06-29,10.94,11.16,10.86,11.1,7.4509,7.6007,7.3964,7.5598,6424741.0,70991850.9,0.6810630630630631,39.3384448,109.164194,39.33844,436.6565,0.0016331966900568502
HK,00293,2016-06-30,11.2,11.36,11.12,11.32,7.628,7.7369,7.5735,7.7097,7642911.0,86267043.56,0.6810689045936396,39.3384448,111.327799,39.33844,445.3109,0.001942860723506067
HK,00293,2016-07-04,11.26,11.5,11.22,11.46,7.6688,7.8323,7.6416,7.805,4484568.0,51275909.292,0.6810645724258289,39.3384448,112.704654,39.33844,450.8184,0.0011399964004673291
HK,00293,2016-07-05,11.34,11.52,11.32,11.34,7.7233,7.8459,7.7097,7.7233,3842382.0,43979599.88,0.6810670194003527,39.3384448,111.524501,39.33844,446.0978,0.0009767499677160558
HK,00293,2016-07-06,11.32,11.46,11.22,11.38,7.7097,7.805,7.6416,7.7505,5033000.0,57149460.0,0.6810632688927943,39.3384448,111.917885,39.33844,447.6715,0.0012794101647142083
HK,00293,2016-07-07,11.42,11.42,11.24,11.28,7.7778,7.7778,7.6552,7.6824,4611676.0,52201370.7,0.6810638297872341,39.3384448,110.934414,39.33844,443.7373,0.0011723077986824084
HK,00293,2016-07-08,11.34,11.36,11.2,11.26,7.7233,7.7369,7.628,7.6688,2825085.0,31838386.705,0.6810657193605684,39.3384448,110.737732,39.33844,442.9509,0.0007181487115401628
HK,00293,2016-07-11,11.5,11.5,11.38,11.5,7.8323,7.8323,7.7505,7.8323,104486210.0,1196397776.6,0.6810695652173913,39.3384448,113.098029,39.33844,452.3917,0.026560842270308634
HK,00293,2016-07-12,11.56,11.88,11.42,11.76,7.8731,8.0911,7.7778,8.0094,5263037.0,61598120.627,0.6810714285714285,39.3384448,115.655038,39.33844,462.6198,0.0013378865557454743
HK,00293,2016-07-13,11.78,12.08,11.78,12.0,8.023,8.2273,8.023,8.1728,4884911.0,58580668.429,0.6810666666666667,39.3384448,118.015334,39.33844,472.0611,0.0012417653064025925
HK,00293,2016-07-14,12.08,12.24,11.8,12.2,8.2273,8.3363,8.0366,8.309,4484861.0,54519321.32,0.6810655737704918,39.3384448,119.982257,39.33844,479.9287,0.0011400708823227357
HK,00293,2016-07-15,12.3,12.34,12.18,12.32,8.3771,8.4044,8.2954,8.3908,5320930.0,65468131.037,0.6810714285714285,39.3384448,121.16241,39.33844,484.6493,0.0013526032043975308
HK,00293,2016-07-18,12.34,12.6,12.34,12.56,8.4044,8.5815,8.4044,8.5542,5829869.0,73175088.12,0.6810668789808917,39.3384448,123.522727,39.33844,494.0906,0.0014819776788301722
HK,00293,2016-07-19,12.5,12.52,12.04,12.2,8.5133,8.527,8.2001,8.309,10887760.0,132514462.4,0.6810655737704918,39.3384448,119.982257,39.33844,479.9287,0.0027677152423939535
