country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
HK,585,Q2,2016-06-30,2016-09-29,1.0,-344.692153,-339.198189,-0.372779,-0.312792,3.970807,0.164611,0.19618,0.000922,1.19178,-441.211268,1.300748,-489.174044,,
HK,585,Q4,2016-12-31,2017-04-02,1.0,22.710466,23.647803,-0.382398,-0.376305,52.87283,0.015933,0.016191,-0.015913,1.016191,33.8256,1.430391,36.493177,,
HK,585,Q2,2017-06-30,2017-09-15,1.0,-652.251323,-643.354497,-0.248766,-0.245111,54.686369,0.014692,0.014911,0.000381,1.014911,-478.529101,0.743803,-479.494709,-0.613823,0.267541
HK,585,Q4,2017-12-31,2018-03-25,1.0,4.960727,4.877768,-0.565546,-0.558507,63.584011,0.012446,0.012603,-0.114501,1.012603,2.073083,0.425006,2.08203,-3.706436,0.029216
HK,585,Q2,2018-06-30,2018-08-24,1.0,3.964864,3.681718,-0.068592,-0.066123,27.519936,0.035987,0.037331,-0.01796,1.037331,12.403212,3.368865,12.403801,-35.888269,0.800345
HK,585,Q4,2018-12-31,2019-03-22,1.0,-2.180531,-2.201695,-0.104457,-0.097018,13.786839,0.071213,0.076673,0.044065,1.076673,-3.232176,1.46804,-3.244007,1.365778,0.834897
HK,585,Q2,2019-06-30,2019-08-23,1.0,-0.74473,-0.780291,-0.053954,-0.052502,42.078671,0.026914,0.027659,0.067285,1.027659,1.283544,-1.644957,1.273508,4.354196,0.289123
HK,585,Q4,2019-12-31,2020-03-16,1.0,2.808061,3.125105,-0.315484,-0.105114,112.052627,0.665948,1.998752,-0.033635,3.001363,4.013343,1.284227,4.022552,-2.653691,-1.347264
HK,585,Q2,2020-06-30,2020-09-22,1.0,3.659727,2.489262,0.121209,0.1189,53.247321,0.01538,0.015679,0.047765,1.019417,6.238149,2.506024,6.229547,-0.20345,3.541133
HK,585,Q4,2020-12-31,2021-03-16,1.0,1.440846,1.40859,0.214076,0.161784,5.700243,0.159952,0.211651,0.114856,1.323219,-1.210546,-0.859403,-1.224778,3.292651,2.033375
HK,585,Q2,2021-06-30,2021-08-17,0.931219,0.193064,0.102817,0.007794,0.006173,7.901085,0.118258,0.149309,0.060039,1.262568,-0.593373,-5.77116,-0.593583,0.688373,-0.930263
HK,585,Q4,2021-12-31,2022-03-16,0.884505,-0.80105,-0.911918,-0.042951,-0.036771,58.044517,0.019102,0.022312,0.040323,1.168048,3.663528,-4.017389,3.661958,-0.711744,-1.186616
HK,585,Q2,2022-06-30,2022-08-22,0.959479,0.464976,0.419209,0.020717,0.016232,23.905246,0.039442,0.050339,0.038722,1.276259,-1.504967,-3.590015,-1.508245,-0.34314,1.678172
HK,585,Q4,2022-12-31,2023-03-24,0.996723,-1.346459,-1.286113,-0.035154,-0.027745,26.206115,0.032666,0.041389,0.021573,1.267032,-0.667794,0.519235,-0.668394,-0.381892,0.128258
HK,585,Q2,2023-06-30,2023-08-29,0.992735,0.18806,0.12353,0.005532,0.004276,17.715862,0.04828,0.062461,0.034616,1.29373,2.016657,16.325295,1.98234,-0.105643,-0.736457
HK,585,Q4,2023-12-31,2024-03-26,0.970836,-1.197967,-1.091109,-0.024253,-0.019534,12.821564,0.041721,0.051802,0.017903,1.241626,10.908929,-9.998022,10.764642,-0.244858,0.359355
HK,585,Q2,2024-06-30,2024-08-20,0.978451,-0.416563,-0.430191,-0.019654,-0.015403,13.109094,0.045695,0.058308,0.035804,1.276033,0.87416,-2.032027,0.86331,-0.198507,-3.791194
HK,585,Q4,2024-12-31,2025-03-21,0.907984,-0.584564,-0.576141,-0.013165,-0.010462,26.121321,0.024253,0.030519,0.018159,1.258355,0.46911,-0.814228,0.46261,-0.159861,0.556379
HK,585,Q2,2025-06-30,2025-09-16,0.97613,0.451965,0.527996,0.008178,0.006036,4.756382,0.110067,0.149111,0.011433,1.354731,4.928684,9.334698,4.924951,-0.618131,1.468688
HK,585,Q4,2025-12-31,2026-03-24,0.975231,-0.93898,-0.820615,-0.013465,-0.011047,19.024193,0.022249,0.02712,0.013461,1.218895,-1.800777,2.194423,-1.801568,-0.071579,-0.322379
