country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
HK,00780,2018-11-26,,,,,,12.1725,12.1725,0.0,0.0,0.0,,,,2.464,
HK,00780,2018-11-27,1.774492,,,,,12.205731,12.1885,0.017231,0.003446,0.027569,,,,2.440857,
HK,00780,2018-11-28,-4.596198,,,,,12.146249,12.161137,-0.014888,-0.000221,-0.029335,83.140878,,,2.346446,
HK,00780,2018-11-29,-7.973534,,,,,11.950934,12.065994,-0.11506,-0.023188,-0.183742,63.930171,,,2.282614,
HK,00780,2018-11-30,-0.721726,11.611,,,,11.77359,11.972083,-0.198493,-0.058249,-0.280487,62.631965,,,2.163042,33080360.0
HK,00780,2018-12-03,6.000074,11.46572,,,,11.723207,11.933121,-0.209914,-0.088582,-0.242664,68.345405,,,2.074446,9887720.0
HK,00780,2018-12-04,6.175029,11.4186,,,,11.789314,11.949401,-0.160087,-0.102883,-0.114408,73.165581,,,1.996393,5891640.0
HK,00780,2018-12-05,-3.070049,11.41074,,,,11.78785,11.936838,-0.148988,-0.112104,-0.073768,67.336624,,,1.914093,5161680.0
HK,00780,2018-12-06,-5.499244,11.4618,,,,11.68695,11.87722,-0.19027,-0.127737,-0.125066,58.606329,,,1.833465,4240880.0
HK,00780,2018-12-07,-0.882142,11.50892,11.55996,,,11.586465,11.814745,-0.228279,-0.147846,-0.160867,57.391595,,,1.738967,3245040.0
HK,00780,2018-12-10,-4.270514,11.33222,11.39897,,,11.428948,11.721993,-0.293046,-0.176886,-0.23232,51.839281,,,1.668048,2647820.0
HK,00780,2018-12-11,-1.672884,10.97882,11.19871,,,11.268479,11.623024,-0.354545,-0.212418,-0.284254,49.890083,,,1.603595,2204100.0
HK,00780,2018-12-12,1.322947,10.72752,11.06913,,,11.153836,11.541563,-0.387727,-0.247479,-0.280494,51.419732,,,1.526917,1841060.0
HK,00780,2018-12-13,0.0,10.60578,11.03379,,,11.05683,11.466136,-0.409305,-0.279845,-0.258921,51.419732,,,1.461323,1975060.0
HK,00780,2018-12-14,-2.051638,10.4605,10.98471,,,10.941533,11.380303,-0.43877,-0.31163,-0.254281,48.710029,,,1.3892,2131780.0
HK,00780,2018-12-17,-1.142868,10.3859,10.85906,,,10.825851,11.292103,-0.466252,-0.342554,-0.247395,47.247031,,,1.309607,1755720.0
HK,00780,2018-12-18,0.384706,10.35448,10.66665,,,10.733997,11.21334,-0.479343,-0.369912,-0.218862,47.808787,,,1.230092,1425360.0
HK,00780,2018-12-19,-5.182426,10.18956,10.45854,,,10.574721,11.101144,-0.526424,-0.401214,-0.250419,41.389998,,,1.192714,1607600.0
HK,00780,2018-12-20,-5.262561,9.92256,10.26417,,,10.361425,10.959452,-0.598027,-0.440577,-0.3149,36.332065,,,1.165013,1545440.0
HK,00780,2018-12-21,-0.106657,9.69678,10.07864,10.8193,,10.179437,10.82753,-0.648093,-0.48208,-0.332026,36.240491,12.640231,8.998369,1.118955,1505088.0
HK,00780,2018-12-24,-2.888272,9.44154,9.91372,10.656345,,9.984662,10.685742,-0.701081,-0.52588,-0.350401,33.761517,12.545745,8.766945,1.063572,1453888.0
HK,00780,2018-12-27,3.85487,9.24718,9.80083,10.49977,,9.872714,10.57991,-0.707196,-0.562143,-0.290105,39.534663,12.306239,8.693301,1.030374,1489008.0
