code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
01109,华润置地,HK,HKD,Q2,2016-06-30,2016-08-26,38138396658.45,12909937353.24,13166143488.48,13084078075.08,5321340371.31,6535377739.56,6535377739.56,0.94,355029292381.56,250049536133.73,104979756247.82999,39725155613.7,32901408797.46,6545006451.78,240092546021.4,164143456258.59,75949089762.81,45931079435.01,114936746360.16,99208761169.47,301584838.89,-9278487256.74,698758534.59,12539143047.09
01109,华润置地,HK,HKD,Q4,2016-12-31,2017-03-22,59656169518.32001,20087616990.480003,20807348100.54,21253738491.839996,8890766896.169998,10908354429.239998,10908354429.239998,1.5699999999999998,381995802900.54,266514252400.08,115481550500.45999,41750316803.52,39862027661.76,8078691926.16,257517006045.12,182577046925.97,74939959119.15,52593493673.7,124478796855.41998,104154511703.03998,13555597856.28,1266193018.8599997,790902959.7900001,-16247384344.65
01109,华润置地,HK,HKD,Q2,2017-06-30,2017-08-23,31170633000.0,10911397000.0,10394670000.0,9879961000.0,4394447000.0,4514107000.0,4514107000.0,0.65,429060853711.84,307061738798.32,121999114913.52002,39209285843.84,53144944380.96,8107452492.48,302226597270.56,216599292967.44,85627304303.12,53800775978.08,126834256441.28003,105568984862.80003,-13318528000.0,-7396112000.0,261133000.0,18153511000.0
01109,华润置地,HK,HKD,Q4,2017-12-31,2018-03-20,70771886000.0,30050106000.0,30431410000.0,29545293000.0,13280535000.0,15176293000.0,15176293000.0,2.19,480450504000.0,334099030000.0,146351474000.0,53774004000.0,42471362000.0,8345355000.0,336210232000.0,239822820000.0,96387412000.0,64269594000.0,144240272000.0,119718480000.0,22629050000.0,-17979899000.0,355222000.0,10030798000.0
01109,华润置地,HK,HKD,Q2,2018-06-30,2018-08-21,43778110000.0,21066323000.0,21004485000.0,20416567000.0,9709630000.0,8850911000.0,8850911000.0,1.28,557608658000.0,403994813000.0,153613845000.0,60871946000.0,45535656000.0,8913597000.0,398710945000.0,280967250000.0,117743695000.0,67790287000.0,158897713000.0,123347871000.0,-12574563000.0,-16313718000.0,904708000.0,35194316000.0
01109,华润置地,HK,HKD,Q4,2018-12-31,2019-03-26,77410816000.0,31515366000.0,31167724000.0,31309718000.0,14739406000.0,15386964000.0,15386964000.0,2.2199999999999998,663350036000.0,463820213000.0,199529823000.0,71821947000.0,,10806401000.0,480457076000.0,350229740000.0,130227336000.0,88694028000.0,182892960000.0,145564026000.0,39809496000.0,-28804317000.0,1280261000.0,-1231257000.0
01109,华润置地,HK,HKD,Q2,2019-06-30,2019-08-20,45848952000.0,17519064000.0,21419085000.0,22516346000.0,7893032000.0,12726320000.0,12726320000.0,1.84,727079389000.0,505724861000.0,221354528000.0,63159252000.0,46860292000.0,11615795000.0,537093926000.0,385248472000.0,151845454000.0,100048037000.0,189985463000.0,149219030000.0,7492114000.0,-17610202000.0,1011577000.0,2187965000.0
01109,华润置地,HK,HKD,Q4,2019-12-31,2020-03-26,102318283000.0,38619455000.0,37397731000.0,38628629000.0,18788938000.0,16057362000.0,16057362000.0,2.29,769888555000.0,523092954000.0,246795601000.0,64661399000.0,50579080000.0,11130699000.0,534097725000.0,394952330000.0,139145395000.0,99082091000.0,235790830000.0,185892392000.0,26304636000.0,-26745062000.0,2190360000.0,124556000.0
01109,华润置地,HK,HKD,Q2,2020-06-30,2020-08-26,45018244000.0,15097711000.0,17421264000.0,19105911000.0,6040208000.0,11373226000.0,11373226000.0,1.59,815326900000.0,553668700000.0,261658200000.0,60927990000.0,46065020000.0,11839920000.0,589853169000.0,440982400000.0,148870769000.0,99595794000.0,225473731000.0,178376842000.0,-3696951000.0,-20328786000.0,1243537000.0,20774046000.0
01109,华润置地,HK,HKD,Q4,2020-12-31,2021-03-29,134569025000.0,40317504000.0,41035253000.0,41066138000.0,20041567000.0,18436733000.0,18436733000.0,2.59,869041400000.0,574053189000.0,294988211000.0,87534176000.0,49163844000.0,14095322000.0,612799222000.0,443850606000.0,168948616000.0,117898821000.0,256242178000.0,203458128000.0,26024681000.0,-12516041000.0,1649046000.0,15552543000.0
01109,华润置地,HK,HKD,Q2,2021-06-30,2021-08-25,73741795000.0,23109025000.0,24718255000.0,24830453000.0,9240469000.0,13125377000.0,13125377000.0,1.84,921565371000.0,602684227000.0,318881144000.0,94850651000.0,72216018000.0,14991535000.0,655515795000.0,456600302000.0,198915493000.0,124240064000.0,266049576000.0,208712231000.0,-14154683000.0,-7757416000.0,1087104000.0,27800380000.0
