code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
AAPL,苹果,US,USD,Q3,2016-06-25,2016-07-27,42358000000.0,16106000000.0,10878000000.0,10469000000.0,2673000000.0,7796000000.0,7796000000.0,0.3580707756558905,305602000000.0,93761000000.0,211841000000.0,18237000000.0,11714000000.0,25448000000.0,179061000000.0,71486000000.0,107575000000.0,26318000000.0,126541000000.0,126541000000.0,10634000000.0,-4470000000.0,-2905000000.0,-9441000000.0
AAPL,苹果,US,USD,Q4,2016-09-24,2016-10-26,46852000000.0,17813000000.0,12638000000.0,12188000000.0,3174000000.0,9014000000.0,9014000000.0,0.4198876374347111,321686000000.0,106869000000.0,214817000000.0,20484000000.0,15754000000.0,27010000000.0,193437000000.0,79006000000.0,114431000000.0,37294000000.0,128249000000.0,128249000000.0,16126000000.0,-7397000000.0,-4038000000.0,-6482000000.0
AAPL,苹果,US,USD,Q1,2016-12-31,2017-02-01,78351000000.0,30176000000.0,24705000000.0,24180000000.0,6289000000.0,17891000000.0,17891000000.0,0.8441283562016895,331141000000.0,103332000000.0,227809000000.0,16371000000.0,14057000000.0,26510000000.0,198751000000.0,84130000000.0,114621000000.0,38510000000.0,132390000000.0,132390000000.0,27234000000.0,-19122000000.0,-3420000000.0,-12225000000.0
AAPL,苹果,US,USD,Q2,2017-04-01,2017-05-03,52896000000.0,20591000000.0,15214000000.0,14684000000.0,3655000000.0,11029000000.0,11029000000.0,0.5276234736521227,334532000000.0,101990000000.0,232542000000.0,15157000000.0,11579000000.0,27163000000.0,200450000000.0,73342000000.0,127108000000.0,28573000000.0,134082000000.0,134082000000.0,12570000000.0,-14202000000.0,-3015000000.0,418000000.0
AAPL,苹果,US,USD,Q3,2017-07-01,2017-08-02,45408000000.0,17488000000.0,11910000000.0,11308000000.0,2591000000.0,8717000000.0,8717000000.0,0.41948278835700187,345173000000.0,112875000000.0,232298000000.0,18571000000.0,12399000000.0,29286000000.0,212748000000.0,81302000000.0,131446000000.0,31915000000.0,132425000000.0,132425000000.0,8672000000.0,-3180000000.0,-2360000000.0,-2078000000.0
AAPL,苹果,US,USD,Q4,2017-09-30,2017-11-03,52579000000.0,19931000000.0,14583000000.0,13917000000.0,3203000000.0,10714000000.0,10714000000.0,0.520154859918422,375319000000.0,128645000000.0,246674000000.0,20289000000.0,17874000000.0,33783000000.0,241272000000.0,100814000000.0,140458000000.0,44242000000.0,134047000000.0,134047000000.0,15656000000.0,-9942000000.0,-4000000000.0,-3996000000.0
AAPL,苹果,US,USD,Q1,2017-12-30,2018-02-02,88293000000.0,33912000000.0,27764000000.0,27030000000.0,6965000000.0,20065000000.0,20065000000.0,0.9811012469104967,406794000000.0,143810000000.0,262984000000.0,27491000000.0,23440000000.0,33679000000.0,266595000000.0,115788000000.0,150807000000.0,62985000000.0,140199000000.0,140199000000.0,28293000000.0,-13590000000.0,-2810000000.0,-7501000000.0
AAPL,苹果,US,USD,Q2,2018-03-31,2018-05-02,61137000000.0,23422000000.0,16960000000.0,16168000000.0,2346000000.0,13822000000.0,13822000000.0,0.6876785242703454,367502000000.0,130053000000.0,237449000000.0,45059000000.0,14324000000.0,35077000000.0,240624000000.0,89320000000.0,151304000000.0,34311000000.0,126878000000.0,126878000000.0,15130000000.0,28710000000.0,-4195000000.0,-26272000000.0
AAPL,苹果,US,USD,Q3,2018-06-30,2018-08-01,53265000000.0,20421000000.0,14130000000.0,13284000000.0,1765000000.0,11519000000.0,11519000000.0,0.5898507773290016,349197000000.0,115761000000.0,233436000000.0,31971000000.0,14104000000.0,38117000000.0,234248000000.0,88548000000.0,145700000000.0,38489000000.0,114949000000.0,114949000000.0,14488000000.0,3947000000.0,-3267000000.0,-31523000000.0
AAPL,苹果,US,USD,Q4,2018-09-29,2018-11-05,62900000000.0,24084000000.0,17289000000.0,16421000000.0,2296000000.0,14125000000.0,14125000000.0,0.7354336241606685,365725000000.0,131339000000.0,234386000000.0,25913000000.0,23186000000.0,41304000000.0,258578000000.0,115929000000.0,142649000000.0,55888000000.0,107147000000.0,107147000000.0,19523000000.0,-3001000000.0,-3041000000.0,-22580000000.0
AAPL,苹果,US,USD,Q1,2018-12-29,2019-01-30,84310000000.0,32031000000.0,24796000000.0,23906000000.0,3941000000.0,19965000000.0,19965000000.0,1.0539357492472265,373719000000.0,140828000000.0,232891000000.0,44771000000.0,18077000000.0,39597000000.0,255827000000.0,108283000000.0,147544000000.0,44293000000.0,117892000000.0,117892000000.0,26690000000.0,5844000000.0,-3355000000.0,-13676000000.0
AAPL,苹果,US,USD,Q2,2019-03-30,2019-05-01,58015000000.0,21821000000.0,14803000000.0,13793000000.0,2232000000.0,11561000000.0,11561000000.0,0.6183581721373081,341998000000.0,123346000000.0,218652000000.0,37988000000.0,15085000000.0,38746000000.0,236138000000.0,93772000000.0,142366000000.0,30443000000.0,105860000000.0,105860000000.0,11155000000.0,13348000000.0,-2363000000.0,-29457000000.0
AAPL,苹果,US,USD,Q3,2019-06-29,2019-07-31,53809000000.0,20227000000.0,12777000000.0,11911000000.0,1867000000.0,10044000000.0,10044000000.0,0.5493768587414478,322239000000.0,134973000000.0,187266000000.0,50530000000.0,14148000000.0,37636000000.0,225783000000.0,89704000000.0,136079000000.0,29115000000.0,96456000000.0,96456000000.0,11636000000.0,27502000000.0,-2000000000.0,-26804000000.0
AAPL,苹果,US,USD,Q4,2019-09-28,2019-10-30,64040000000.0,24313000000.0,16937000000.0,16127000000.0,2441000000.0,13686000000.0,13686000000.0,0.7409317875003736,338516000000.0,162819000000.0,175697000000.0,48844000000.0,22926000000.0,37378000000.0,248028000000.0,105718000000.0,142310000000.0,46236000000.0,90488000000.0,90488000000.0,19910000000.0,-798000000.0,-2777000000.0,-21039000000.0
AAPL,苹果,US,USD,Q1,2019-12-28,2020-01-28,91819000000.0,35217000000.0,26703000000.0,25918000000.0,3682000000.0,22236000000.0,22236000000.0,1.259105240269624,340618000000.0,163231000000.0,177387000000.0,39771000000.0,20970000000.0,37031000000.0,251087000000.0,102161000000.0,148926000000.0,45111000000.0,89531000000.0,89531000000.0,30516000000.0,-13668000000.0,-2107000000.0,-25407000000.0
AAPL,苹果,US,USD,Q2,2020-03-28,2020-04-30,58313000000.0,22370000000.0,13892000000.0,13135000000.0,1886000000.0,11249000000.0,11249000000.0,0.6449965264566119,320400000000.0,143753000000.0,176647000000.0,40174000000.0,15722000000.0,35889000000.0,241975000000.0,96094000000.0,145881000000.0,32421000000.0,78425000000.0,78425000000.0,13311000000.0,9013000000.0,-1853000000.0,-20940000000.0
