country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,AAPL,2016-06-23,,,,,,21.89,21.89,0.0,0.0,0.0,,,,0.24,
US,AAPL,2016-06-24,-2.832344,,,,,21.794615,21.844074,-0.049459,-0.009892,-0.079134,0.0,,,0.279286,
US,AAPL,2016-06-27,-1.457452,,,,,21.666213,21.778587,-0.112374,-0.030388,-0.163972,0.0,,,0.290051,
US,AAPL,2016-06-28,1.669847,,,,,21.611411,21.743877,-0.132466,-0.050804,-0.163324,4.309208,,,0.295762,
US,AAPL,2016-06-29,0.844674,21.384,,,,21.592732,21.725071,-0.132339,-0.067111,-0.130456,6.539765,,,0.29035,46229941.6
US,AAPL,2016-06-30,1.302932,21.36,,,,21.620004,21.728399,-0.108395,-0.075368,-0.066055,10.052167,,,0.293182,46949181.6
US,AAPL,2016-07-01,0.275609,21.472,,,,21.652311,21.735925,-0.083614,-0.077017,-0.013194,10.825552,,,0.291526,37092209.6
US,AAPL,2016-07-05,-0.91617,21.606,,,,21.648879,21.728079,-0.0792,-0.077454,-0.003493,10.501424,,,0.29356,33308814.0
US,AAPL,2016-07-06,0.554785,21.694,,,,21.664436,21.729703,-0.065267,-0.075016,0.019499,12.200046,,,0.29402,31409651.2
US,AAPL,2016-07-07,0.45977,21.766,21.575,,,21.692984,21.738614,-0.045629,-0.069139,0.047019,13.670473,,,0.289447,29131370.0
US,AAPL,2016-07-08,0.732265,21.814,21.587,,,21.741756,21.758716,-0.01696,-0.058703,0.083485,16.091826,,,0.283773,27746510.6
US,AAPL,2016-07-11,0.363471,21.866,21.669,,,21.795332,21.783256,0.012076,-0.044547,0.113247,17.340208,,,0.279932,27300191.6
US,AAPL,2016-07-12,0.452694,21.978,21.792,,,21.85605,21.813385,0.042665,-0.027105,0.13954,18.963215,,,0.271365,26592649.6
US,AAPL,2016-07-13,-0.585849,22.04,21.867,,,21.887427,21.831653,0.055774,-0.010529,0.132606,18.455887,,,0.265553,25581269.6
US,AAPL,2016-07-14,1.99456,22.17,21.968,,,21.981669,21.88116,0.100509,0.011679,0.177661,25.701134,,,0.281585,28337149.6
US,AAPL,2016-07-15,0.0,22.268,22.041,,,22.061412,21.927,0.134412,0.036225,0.196374,25.701134,,,0.274329,28582129.0
US,AAPL,2016-07-18,1.022222,22.396,22.131,,,22.164272,21.986482,0.17779,0.064538,0.226504,29.498674,,,0.27902,31121920.0
US,AAPL,2016-07-19,0.043995,22.506,22.242,,,22.252845,22.042298,0.210548,0.09374,0.233615,29.666994,,,0.269804,31044404.8
US,AAPL,2016-07-20,0.087951,22.646,22.343,,,22.330869,22.095461,0.235408,0.122074,0.226669,30.026814,,,0.262675,31121164.8
US,AAPL,2016-07-21,-0.527241,22.674,22.422,21.9985,,22.378428,22.135797,0.242631,0.146185,0.192891,29.065983,23.026319,20.970681,0.274627,29877770.4
US,AAPL,2016-07-22,-0.750883,22.668,22.468,22.0275,,22.392516,22.160553,0.231963,0.163341,0.137244,27.713056,23.073997,20.981003,0.272868,29513110.4
US,AAPL,2016-07-25,-1.335113,22.556,22.476,22.0725,,22.358283,22.161253,0.19703,0.170079,0.053903,25.460796,23.060607,21.084393,0.284806,30290914.6
US,AAPL,2016-07-26,-0.721696,22.41,22.458,22.125,,22.304701,22.150049,0.154652,0.166993,-0.024683,24.325324,22.972691,21.277309,0.288748,36782894.2
US,AAPL,2016-07-27,6.497047,22.546,22.596,22.2315,,22.479362,22.245601,0.233761,0.180347,0.106829,47.05268,23.172888,21.290112,0.393124,49996658.2
US,AAPL,2016-07-28,1.365188,22.77,22.722,22.345,,22.676383,22.357778,0.318605,0.207999,0.221213,50.62618,23.436778,21.253222,0.391472,51430220.4
US,AAPL,2016-07-29,-0.126263,23.022,22.845,22.443,,22.838478,22.459424,0.379054,0.24221,0.273688,50.283545,23.655883,21.230117,0.377795,51314220.4
US,AAPL,2016-08-01,1.727771,23.416,22.986,22.5585,,23.038712,22.583912,0.454801,0.284728,0.340146,54.7872,23.94361,21.17339,0.382238,50871216.2
US,AAPL,2016-08-02,-1.449876,23.772,23.091,22.6665,,23.154295,22.673251,0.481044,0.323991,0.314105,50.575351,24.081693,21.251307,0.388507,46386571.8
US,AAPL,2016-08-03,1.261034,23.902,23.224,22.7835,,23.29825,22.778196,0.520054,0.363204,0.313701,53.850271,24.261773,21.305227,0.3829,33958136.0
US,AAPL,2016-08-04,0.622665,23.998,23.384,22.903,,23.443134,22.886478,0.556657,0.401894,0.309525,55.44012,24.44513,21.36087,0.368407,31465908.2
US,AAPL,2016-08-05,1.526403,24.174,23.598,23.033,,23.622652,23.014146,0.608506,0.443217,0.330579,59.176035,24.686434,21.379566,0.371378,34029848.6
US,AAPL,2016-08-08,0.812678,24.308,23.862,23.169,,23.805321,23.147172,0.658149,0.486203,0.343892,61.07574,24.933527,21.404473,0.364136,32003712.6
US,AAPL,2016-08-09,0.403063,24.532,24.152,23.305,,23.975272,23.277752,0.69752,0.528466,0.338107,62.027217,25.163521,21.446479,0.353841,30503433.4
US,AAPL,2016-08-10,-0.722601,24.66,24.281,23.4385,,24.091384,23.385326,0.706058,0.563985,0.284146,59.221065,25.303689,21.573311,0.347138,29264606.2
