country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,ACN,Q4,2016-08-31,2016-10-28,0.296193,0.163165,0.119259,0.141521,0.051881,1.348837,0.602631,1.643838,0.435032,2.727768,0.229259,1.922362,0.247112,,
US,ACN,Q1,2016-11-30,2016-12-21,0.303148,0.148149,0.111539,0.135427,0.049134,1.239728,0.607012,1.673107,0.440507,2.756301,0.120356,1.079052,0.129745,,
US,ACN,Q2,2017-02-28,2017-03-23,0.285791,0.128106,0.095724,0.105315,0.041773,1.288674,0.570932,1.439386,0.43639,2.521114,0.017656,0.184444,0.029572,,
US,ACN,Q3,2017-05-31,2017-06-22,0.310965,0.093837,0.071549,0.081969,0.031675,1.224092,0.580014,1.500967,0.442703,2.587813,0.19158,2.677607,0.206095,,
US,ACN,Q4,2017-08-31,2017-10-26,0.299419,0.134521,0.096718,0.104191,0.041096,1.231367,0.572047,1.450329,0.424899,2.535331,0.201421,2.082552,0.221248,0.075324,-0.127918
US,ACN,Q1,2017-11-30,2017-12-21,0.310002,0.151637,0.113681,0.12345,0.04891,1.247471,0.569367,1.437105,0.430236,2.524041,0.101761,0.895144,0.115252,0.097574,0.118653
US,ACN,Q2,2018-02-28,2018-03-22,0.288573,0.126007,0.087161,0.089201,0.037336,1.311386,0.548764,1.311057,0.42836,2.389107,0.093252,1.069878,0.106663,0.13091,0.029748
US,ACN,Q3,2018-05-31,2018-06-28,0.311549,0.151323,0.097524,0.10646,0.04486,1.291333,0.563338,1.336901,0.459984,2.373178,0.185838,1.905561,0.202066,0.14302,0.557983
US,ACN,Q4,2018-08-31,2018-10-24,0.302862,0.137355,0.096739,0.099329,0.042109,1.338248,0.56135,1.324151,0.435282,2.358868,0.198196,2.048767,0.215052,0.103864,0.104103
US,ACN,Q1,2018-11-30,2018-12-20,0.310915,0.152278,0.120194,0.100539,0.047731,1.330578,0.511145,1.076662,0.397116,2.106374,0.096884,0.806066,0.10421,0.072967,0.134436
US,ACN,Q2,2019-02-28,2019-03-28,0.292167,0.132184,0.10756,0.08431,0.041053,1.353678,0.498779,1.02434,0.381674,2.053696,0.130059,1.20917,0.143431,0.054988,0.301893
US,ACN,Q3,2019-05-31,2019-06-27,0.317874,0.154027,0.112572,0.090958,0.044378,1.340189,0.497699,1.020097,0.394216,2.049625,0.191315,1.699492,0.203952,0.037839,0.197979
US,ACN,Q4,2019-08-31,2019-10-29,0.310666,0.14185,0.102249,0.078453,0.037947,1.396741,0.502257,1.038391,0.371121,2.067448,0.191418,1.872083,0.213241,0.038845,0.098009
US,ACN,Q1,2019-11-30,2019-12-19,0.321135,0.159004,0.119462,0.089468,0.040909,1.393476,0.529669,1.158393,0.342439,2.187012,0.069277,0.579904,0.077646,0.071039,0.064522
US,ACN,Q2,2020-02-29,2020-03-19,0.301501,0.136258,0.110823,0.079791,0.036854,1.378232,0.524801,1.136226,0.332548,2.165061,0.137382,1.239646,0.152225,0.065752,0.098084
US,ACN,Q3,2020-05-31,2020-06-25,0.321044,0.15337,0.111743,0.076693,0.035034,1.365053,0.529809,1.159796,0.313524,2.189084,0.249421,2.232097,0.263067,-0.009765,-0.017058
US,ACN,Q4,2020-08-31,2020-10-22,0.317532,0.165886,0.118864,0.075758,0.034735,1.401748,0.528052,1.151694,0.292224,2.181025,0.291283,2.45055,0.3087,-0.019934,0.13933
US,ACN,Q1,2020-11-30,2020-12-17,0.331426,0.169673,0.127551,0.083784,0.039204,1.452996,0.518499,1.108094,0.307361,2.137118,0.136271,1.068367,0.144187,0.035499,0.105609
US,ACN,Q2,2021-02-28,2021-03-18,0.297418,0.146538,0.119196,0.078701,0.036035,1.388204,0.528767,1.154847,0.302313,2.184037,0.209687,1.759174,0.21734,0.084963,0.166933
US,ACN,Q3,2021-05-31,2021-06-24,0.332061,0.16004,0.116816,0.080103,0.036782,1.416308,0.527738,1.14931,0.314868,2.177802,0.18103,1.549703,0.192959,0.206753,0.26154
US,ACN,Q4,2021-08-31,2021-10-15,0.332821,0.143881,0.105538,0.072519,0.032802,1.251937,0.534529,1.18174,0.310805,2.210806,0.181562,1.720343,0.199171,0.238482,0.099632
US,ACN,Q1,2021-11-30,2021-12-16,0.328549,0.16153,0.11968,0.087997,0.041008,1.222534,0.520577,1.117077,0.34265,2.145842,0.035474,0.296406,0.047613,0.272311,0.193796
US,ACN,Q2,2022-02-28,2022-03-17,0.300661,0.137018,0.108658,0.07952,0.036891,1.234555,0.522608,1.1265,0.339518,2.155534,0.143254,1.318391,0.154197,0.24475,0.1347
US,ACN,Q3,2022-05-31,2022-06-23,0.328906,0.155127,0.110533,0.083504,0.038748,1.268385,0.522473,1.12597,0.350553,2.155079,0.189659,1.71586,0.201703,0.218264,0.152733
US,ACN,Q4,2022-08-31,2022-10-12,0.32068,0.146388,0.107959,0.075324,0.035231,1.233251,0.518717,1.109029,0.326334,2.138025,0.245734,2.276167,0.257213,0.149365,0.175732
US,ACN,Q1,2022-11-30,2022-12-16,0.329325,0.165667,0.124776,0.085527,0.041705,1.255902,0.497706,1.020684,0.334236,2.050776,0.031458,0.252117,0.037734,0.052298,0.09711
US,ACN,Q2,2023-02-28,2023-03-23,0.305724,0.123847,0.096347,0.06412,0.031924,1.28817,0.487562,0.97927,0.331344,2.008503,0.147343,1.529297,0.154144,0.051006,-0.068072
US,ACN,Q3,2023-05-31,2023-06-22,0.333789,0.159551,0.121343,0.079345,0.040097,1.367853,0.480095,0.950021,0.330444,1.978818,0.198579,1.636506,0.207121,0.025112,0.12537
US,ACN,Q4,2023-08-31,2023-10-12,0.324152,0.123647,0.08589,0.053438,0.026792,1.298344,0.483687,0.964732,0.311935,1.994536,0.213284,2.483234,0.224563,0.036408,-0.175461
US,ACN,Q1,2023-11-30,2023-12-19,0.335789,0.162173,0.121635,0.073976,0.038296,1.334216,0.466627,0.901381,0.314843,1.931695,0.030729,0.25263,0.034977,0.030258,0.004323
US,ACN,Q2,2024-02-29,2024-03-21,0.308773,0.133298,0.106007,0.061751,0.032644,1.259842,0.45512,0.860936,0.307938,1.891669,0.132981,1.25446,0.139933,-0.000926,0.099243
