code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
ACN,埃森哲,US,USD,Q4,2016-08-31,2016-10-28,8965580000.0,2655540000.0,1462865000.0,1458913000.0,389687000.0,1069226000.0,1069226000.0,1.717478612136648,20609004000.0,11976222000.0,8632782000.0,4905609000.0,4072180000.0,956542000.0,12419628000.0,8878924000.0,3540704000.0,1280821000.0,8189376000.0,7555262000.0,2055439000.0,-62472000.0,-160066000.0,-588138000.0
ACN,埃森哲,US,USD,Q1,2016-11-30,2016-12-21,9005603000.0,2730032000.0,1334169000.0,1331121000.0,326645000.0,1004476000.0,1004476000.0,1.6160309882769652,20443741000.0,11368406000.0,9075335000.0,4077058000.0,4298605000.0,928900000.0,12409590000.0,9170082000.0,3239508000.0,1163348000.0,8034151000.0,7417093000.0,1083882000.0,-689622000.0,-84553000.0,-1162775000.0
ACN,埃森哲,US,USD,Q2,2017-02-28,2017-03-23,8762182000.0,2504156000.0,1122486000.0,1118510000.0,279758000.0,838752000.0,838752000.0,1.3484759969787008,20078773000.0,10764002000.0,9314771000.0,3238862000.0,4452252000.0,968433000.0,11463624000.0,8352773000.0,3110851000.0,1212800000.0,8615149000.0,7964245000.0,154703000.0,-344166000.0,-104409000.0,-681320000.0
ACN,埃森哲,US,USD,Q3,2017-05-31,2017-06-22,9356787000.0,2909631000.0,878013000.0,874400000.0,204932000.0,669468000.0,669468000.0,1.080768846276044,21135592000.0,11205735000.0,9929857000.0,3382208000.0,4474415000.0,1041006000.0,12258932000.0,9154325000.0,3104607000.0,1291138000.0,8876660000.0,8167356000.0,1792572000.0,-547697000.0,-135811000.0,-1123576000.0
ACN,埃森哲,US,USD,Q4,2017-08-31,2017-10-26,9640906000.0,2886673000.0,1296909000.0,1292001000.0,359548000.0,932453000.0,932453000.0,1.5100083580948727,22689890000.0,12097289000.0,10592601000.0,4126860000.0,4569214000.0,1140598000.0,12979690000.0,9824279000.0,3155411000.0,1525065000.0,9710200000.0,8949477000.0,1941882000.0,-652394000.0,-191146000.0,-592564000.0
ACN,埃森哲,US,USD,Q1,2017-11-30,2017-12-21,9884313000.0,3064153000.0,1498831000.0,1494124000.0,370464000.0,1123660000.0,1123660000.0,1.82461055652806,22974153000.0,12303841000.0,10670312000.0,3681711000.0,4981084000.0,1158960000.0,13080716000.0,9863026000.0,3217690000.0,1316930000.0,9893437000.0,9102130000.0,1005838000.0,-258959000.0,-133352000.0,-1179020000.0
ACN,埃森哲,US,USD,Q2,2018-02-28,2018-03-22,9909238000.0,2859540000.0,1248637000.0,1244797000.0,381094000.0,863703000.0,863703000.0,1.3979064108938746,23132979000.0,12284948000.0,10848031000.0,3595079000.0,5030698000.0,1196195000.0,12694553000.0,9367912000.0,3326641000.0,1367464000.0,10438426000.0,9682687000.0,924057000.0,-345676000.0,-132896000.0,-703204000.0
ACN,埃森哲,US,USD,Q3,2018-05-31,2018-06-28,10694996000.0,3332015000.0,1618397000.0,1612558000.0,569538000.0,1043020000.0,1043020000.0,1.6317141732624827,23250793000.0,12336872000.0,10913921000.0,3928845000.0,4986652000.0,1228946000.0,13098057000.0,9553596000.0,3544461000.0,1388989000.0,10152736000.0,9797325000.0,1987538000.0,-270001000.0,-173556000.0,-1295188000.0
ACN,埃森哲,US,USD,Q4,2018-08-31,2018-10-24,10642249000.0,3223131000.0,1461767000.0,1456614000.0,427090000.0,1029524000.0,1029524000.0,1.6071866880037595,24449083000.0,13585559000.0,10863524000.0,5061360000.0,7496368000.0,1264020000.0,13724495000.0,10151751000.0,3572744000.0,1348802000.0,10724588000.0,10364753000.0,2109255000.0,-374968000.0,-179383000.0,-531613000.0
ACN,埃森哲,US,USD,Q1,2018-11-30,2018-12-20,10605546000.0,3297425000.0,1614989000.0,1610484000.0,335764000.0,1274720000.0,1274720000.0,1.9952496523022503,26706412000.0,13540408000.0,13166004000.0,4363790000.0,8023057000.0,1243268000.0,13650844000.0,10176335000.0,3474509000.0,1355538000.0,13055568000.0,12678856000.0,1027508000.0,-272868000.0,-77691000.0,-1462168000.0
ACN,埃森哲,US,USD,Q2,2019-02-28,2019-03-28,10454129000.0,3054349000.0,1381873000.0,1376254000.0,251805000.0,1124449000.0,1124449000.0,1.7606937823312274,27390208000.0,13833300000.0,13556908000.0,4464889000.0,8151411000.0,1282765000.0,13661663000.0,10219049000.0,3442614000.0,1472130000.0,13728545000.0,13337033000.0,1359650000.0,-451675000.0,-139797000.0,-831923000.0
ACN,埃森哲,US,USD,Q3,2019-05-31,2019-06-27,11099688000.0,3528298000.0,1709655000.0,1704307000.0,454791000.0,1249516000.0,1249516000.0,1.959006903048999,28156360000.0,14141660000.0,14014700000.0,4769158000.0,8134147000.0,1341548000.0,14013402000.0,10551987000.0,3461415000.0,1562995000.0,14142958000.0,13737324000.0,2123542000.0,-655165000.0,-140261000.0,-1122062000.0
ACN,埃森哲,US,USD,Q4,2019-08-31,2019-10-29,11055650000.0,3434616000.0,1568243000.0,1560752000.0,430325000.0,1130427000.0,1130427000.0,1.7744730962680086,29789880000.0,15450601000.0,14339279000.0,6126853000.0,8095071000.0,1391166000.0,14962189000.0,11061896000.0,3900293000.0,1646641000.0,14827691000.0,14409008000.0,2116253000.0,-375868000.0,-241260000.0,-351018000.0
ACN,埃森哲,US,USD,Q1,2019-11-30,2019-12-19,11358958000.0,3647759000.0,1806121000.0,1800647000.0,443679000.0,1356968000.0,1356968000.0,2.1345294648138577,33170712000.0,15606104000.0,17564608000.0,5810537000.0,8577386000.0,4540941000.0,17569504000.0,11199408000.0,6370096000.0,1581112000.0,15601208000.0,15167138000.0,786911000.0,-165893000.0,-95063000.0,-948224000.0
ACN,埃森哲,US,USD,Q2,2020-02-29,2020-03-19,11141505000.0,3359171000.0,1518123000.0,1509556000.0,274816000.0,1234740000.0,1234740000.0,1.936890730772336,33503430000.0,15405293000.0,18098137000.0,5436456000.0,8517949000.0,4607091000.0,17582624000.0,11177575000.0,6405049000.0,1526135000.0,15920806000.0,15474589000.0,1530641000.0,-597289000.0,-165370000.0,-1289276000.0
ACN,埃森哲,US,USD,Q3,2020-05-31,2020-06-25,10991305000.0,3528688000.0,1685734000.0,1680773000.0,452571000.0,1228202000.0,1228202000.0,1.9306912825579226,35057319000.0,16146236000.0,18911083000.0,6442261000.0,7677366000.0,4667970000.0,18573674000.0,11828281000.0,6745393000.0,1405977000.0,16483645000.0,16014606000.0,2741466000.0,-884995000.0,-149981000.0,-798050000.0
