code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
ADI,亚德诺,US,USD,Q3,2016-07-30,2016-08-17,869591000.0,572290000.0,274876000.0,256399999.0,25969999.0,230430000.0,230430000.0,0.7502564019079558,7685053000.0,4727888000.0,2957165000.0,1103670000.0,452944000.0,629094000.0,2701720000.0,678693000.0,2023027000.0,160416000.0,4983333000.0,4983333000.0,254003000.0,-111764000.0,-37528000.0,-156662000.0
ADI,亚德诺,US,USD,Q1,2017-01-28,2017-02-15,984449000.0,648504000.0,275923000.0,233309000.0,16180000.0,217129000.0,217129000.0,0.7031698328292085,10203371000.0,7233733000.0,2969638000.0,4987263000.0,472511000.0,628924000.0,4896940000.0,811626000.0,4085314000.0,156653000.0,5306431000.0,5306431000.0,314492000.0,1769754000.0,-28337000.0,1982551000.0
ADI,亚德诺,US,USD,Q2,2017-04-29,2017-05-31,1147982000.0,761556000.0,158350000.0,86714000.0,-6850000.0,93564000.0,93564000.0,0.274127201771965,26622683000.0,7535467000.0,19087216000.0,5697743000.0,630353000.0,1089319000.0,16656088000.0,5449282000.0,11206806000.0,190245000.0,9966595000.0,9966595000.0,521464000.0,-8800803000.0,-46929000.0,8989125000.0
ADI,亚德诺,US,USD,Q3,2017-07-29,2017-08-30,1433902000.0,962224000.0,199871000.0,126798000.0,57882000.0,68916000.0,68916000.0,0.1876209792684753,21114995000.0,2188643000.0,18926352000.0,908569000.0,692552000.0,1098848000.0,11192095000.0,1101077000.0,10091018000.0,228127000.0,9922900000.0,9922900000.0,-364283000.0,426071000.0,-63617000.0,-4852958000.0
ADI,亚德诺,US,USD,Q4,2017-10-28,2017-11-22,1003623000.0,666687000.0,362198000.0,323434000.0,27277000.0,296157000.0,296157000.0,0.9591011250510062,7970278000.0,4974863000.0,2995415000.0,921132000.0,477609000.0,636116000.0,2804660000.0,782934000.0,2021726000.0,171439000.0,5165618000.0,5165618000.0,486984000.0,-556929000.0,-41224000.0,-111367000.0
ADI,亚德诺,US,USD,Q4,2017-10-31,2017-11-22,1541170000.0,1048065000.0,445181000.0,381664000.0,34014000.0,347650000.0,347650000.0,0.9419035310883707,21141294000.0,2351338000.0,18789956000.0,1047838000.0,688953000.0,1107304000.0,10979754000.0,1596332000.0,9383422000.0,236629000.0,10161540000.0,10161540000.0,640919000.0,-13036000.0,-65215000.0,-490140000.0
ADI,亚德诺,US,USD,Q1,2018-02-03,2018-02-28,1566870000.0,1071683000.0,443377000.0,375347000.0,82107000.0,293240000.0,293240000.0,0.7944881100427263,20853315000.0,2177746000.0,18675569000.0,827550000.0,709761000.0,1115417000.0,10505536000.0,1236548000.0,9268988000.0,223107000.0,10347779000.0,10347779000.0,388688000.0,-64500000.0,-63222000.0,-548026000.0
ADI,亚德诺,US,USD,Q2,2018-05-05,2018-05-30,1563502000.0,1072390000.0,504917000.0,440125000.0,39797000.0,400328000.0,400328000.0,1.0808458248736446,20776454000.0,2188274000.0,18588180000.0,806517000.0,759557000.0,1114579000.0,10191099000.0,1432863000.0,8758236000.0,213267000.0,10585355000.0,10585355000.0,718494000.0,-105990000.0,-53900000.0,-630145000.0
ADI,亚德诺,US,USD,Q3,2018-08-04,2018-08-22,1558189000.0,1060558000.0,492171000.0,430506000.0,21949000.0,408557000.0,408557000.0,1.1002975909941695,20548616000.0,2116557000.0,18432059000.0,772575000.0,710753000.0,1107991000.0,9692399000.0,1338883000.0,8353516000.0,215688000.0,10856217000.0,10856217000.0,620738000.0,-54489000.0,-51750000.0,-599125000.0
ADI,亚德诺,US,USD,Q4,2018-10-31,2018-11-27,1536128000.0,1045765000.0,516624000.0,409336000.0,4481000.0,404855000.0,404855000.0,1.0980518194861446,20449779000.0,2112126000.0,18337653000.0,816591000.0,639717000.0,1154328000.0,9170193000.0,1051748000.0,8118445000.0,260919000.0,11268173000.0,11268173000.0,714441000.0,-89019000.0,-86004000.0,-580746000.0
