country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,ALAB,Q1,2022-03-31,2022-05-15,0.719803,-0.278666,-0.371021,,,,,,,,,,,,
US,ALAB,Q2,2022-06-30,2022-08-14,0.749533,-1.301972,-1.277529,,,,,,,,,,,,
US,ALAB,Q3,2022-09-30,2022-11-14,0.744362,-0.224992,-0.231225,,,,,,,,,,,,
US,ALAB,Q4,2022-12-31,2023-03-31,0.719086,-0.999312,-0.987325,,,,,,,,,,,,
US,ALAB,Q1,2023-03-31,2023-05-15,0.241055,-1.071501,-0.988111,,,,,,,,-0.216202,0.218804,-0.19135,0.176189,-2.132448
US,ALAB,Q2,2023-06-30,2023-08-14,0.789577,-1.647923,-1.871632,,,,,,,,-2.148391,1.14787,-2.094592,-0.500467,0.268164
US,ALAB,Q3,2023-09-30,2023-11-14,0.761076,-0.053537,-0.084597,,,,,,,,-0.009045,0.106914,0.010886,0.598407,0.4152
US,ALAB,Q4,2023-12-31,2024-03-30,0.772558,0.178564,0.283585,-0.146621,0.072978,5.296816,1.497733,-3.009109,0.257341,-2.009109,0.28505,1.005166,0.305064,1.481651,1.712793
US,ALAB,Q1,2024-03-31,2024-05-15,0.774158,-1.271369,-1.425036,-0.114981,-0.107521,18.743063,0.064883,0.069384,0.075451,1.069384,0.055962,-0.039271,0.108431,2.694407,-4.328005
US,ALAB,Q2,2024-06-30,2024-08-14,0.778842,-0.316812,-0.098191,-0.008928,-0.008242,13.909837,0.076747,0.083127,0.083942,1.083127,0.387938,-3.950835,0.370709,6.190307,0.622775
US,ALAB,Q3,2024-09-30,2024-11-14,0.777081,-0.078666,-0.067144,-0.008535,-0.007724,10.740448,0.095063,0.105049,0.115034,1.105049,0.56159,-8.364019,0.709239,2.062338,-1.430538
US,ALAB,Q4,2024-12-31,2025-02-13,0.740262,0.001021,0.17515,0.025615,0.023436,11.705057,0.085072,0.092982,0.133803,1.092982,0.28139,1.606563,0.390876,1.793206,0.725166
US,ALAB,Q1,2025-03-31,2025-05-06,0.748931,0.070778,0.199565,0.030549,0.028367,13.921053,0.071438,0.076934,0.142144,1.076934,0.06588,0.330117,0.094348,1.443256,1.342158
US,ALAB,Q2,2025-06-30,2025-08-05,0.758437,0.207237,0.26687,0.045099,0.040285,11.099029,0.106725,0.119476,0.150955,1.119476,0.705307,2.642886,0.715847,1.497398,7.78757
US,ALAB,Q3,2025-09-30,2025-11-04,0.762494,0.289979,0.39516,0.071646,0.065027,12.779166,0.092387,0.101791,0.164557,1.101791,0.339026,0.857947,0.392341,1.038935,12.999737
US,ALAB,Q4,2025-12-31,2026-02-20,0.755683,0.291648,0.166241,0.032987,0.029365,10.237594,0.109797,0.123339,0.176641,1.123339,0.352073,2.117847,0.421142,0.917723,0.820176
US,ALAB,Q1,2026-03-31,2026-05-05,0.762551,0.200521,0.260441,0.053757,0.048402,11.299511,0.099606,0.110624,0.185848,1.110624,0.241918,0.928876,0.266519,0.934001,1.523964
