country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,AMAT,Q3,2016-07-31,2016-08-25,0.422545,0.2134,0.179015,0.074058,0.036864,2.496289,0.502226,1.008946,0.205927,2.008946,0.347749,1.942574,0.365473,,
US,AMAT,Q4,2016-10-30,2016-12-15,0.424325,0.235972,0.185017,0.084523,0.041812,2.299835,0.505244,1.021339,0.225992,2.021477,0.241735,1.306557,0.268426,,
US,AMAT,Q1,2017-01-29,2017-02-23,0.440818,0.246797,0.21446,0.091453,0.046117,2.38813,0.495736,0.983088,0.215035,1.983088,0.241611,1.1266,0.261135,,
US,AMAT,Q2,2017-04-30,2017-05-25,0.451213,0.268472,0.232375,0.100341,0.045175,2.933366,0.549781,1.22114,0.194408,2.22114,0.253243,1.089806,0.274958,,
US,AMAT,Q3,2017-07-30,2017-08-24,0.45406,0.276976,0.247062,0.106127,0.048485,2.912606,0.543139,1.188848,0.196247,2.188848,0.36485,1.476757,0.386218,0.327189,0.831683
US,AMAT,Q4,2017-10-29,2017-12-15,0.450239,0.284958,0.247417,0.105038,0.050556,3.139247,0.518431,1.077121,0.204335,2.077655,0.176115,0.711813,0.207357,0.203822,0.609836
US,AMAT,Q1,2018-01-28,2018-02-22,0.456708,0.295433,0.032112,0.015871,0.006866,2.96181,0.567411,1.311662,0.213803,2.311662,0.348716,10.859259,0.397003,0.282489,-0.807966
US,AMAT,Q2,2018-04-29,2018-05-24,0.457631,0.288373,0.247208,0.160324,0.061034,2.596288,0.61931,1.626811,0.246892,2.626811,0.133786,0.541187,0.16028,0.28793,0.370146
US,AMAT,Q3,2018-07-29,2018-08-23,0.453671,0.254252,0.262534,0.171868,0.065593,2.519435,0.618353,1.62022,0.249846,2.62022,0.141674,0.539642,0.171441,0.193376,0.268108
US,AMAT,Q4,2018-10-28,2018-12-13,0.443448,0.263577,0.218236,0.128089,0.049646,2.703723,0.619666,1.598772,0.227487,2.580056,0.268311,1.229452,0.309417,0.011338,-0.107943
US,AMAT,Q1,2019-01-27,2019-02-21,0.443645,0.252598,0.205436,0.093921,0.040746,2.723782,0.566166,1.305031,0.198341,2.305031,0.222222,1.081712,0.257661,-0.107279,4.711111
US,AMAT,Q2,2019-04-28,2019-05-23,0.432326,0.231421,0.188189,0.08121,0.035473,2.791123,0.563196,1.289355,0.188495,2.289355,0.226053,1.201201,0.259395,-0.225093,-0.410097
US,AMAT,Q3,2019-07-28,2019-08-22,0.437114,0.235823,0.160303,0.070355,0.030364,2.653104,0.568413,1.317028,0.189418,2.317028,0.220943,1.378284,0.247052,-0.202775,-0.513214
US,AMAT,Q4,2019-10-27,2019-12-13,0.435269,0.239478,0.185935,0.084977,0.036669,2.29503,0.567901,1.316046,0.197216,2.317385,0.220032,1.183381,0.245871,-0.064773,-0.203196
US,AMAT,Q1,2020-01-26,2020-02-20,0.44642,0.255646,0.21432,0.103002,0.045126,2.356971,0.561896,1.282564,0.210553,2.282564,0.237146,1.106502,0.261653,0.108979,0.156939
US,AMAT,Q2,2020-04-26,2020-05-21,0.442002,0.237301,0.190801,0.083666,0.034609,2.672613,0.58634,1.417442,0.181389,2.417442,0.160475,0.84106,0.178418,0.118112,0.133634
US,AMAT,Q3,2020-07-26,2020-08-20,0.444824,0.252105,0.191354,0.087888,0.039724,2.858343,0.548014,1.212457,0.207595,2.212457,0.19727,1.030916,0.217065,0.233857,0.472855
US,AMAT,Q4,2020-10-25,2020-12-11,0.454352,0.27773,0.241254,0.10692,0.050597,2.998206,0.526775,1.113159,0.209726,2.113159,0.280503,1.162688,0.31506,0.248801,0.620344
US,AMAT,Q1,2021-01-31,2021-02-25,0.455056,0.252034,0.218907,0.098492,0.048487,3.168073,0.507702,1.031291,0.221498,2.031291,0.275281,1.257522,0.298721,0.240269,0.266816
US,AMAT,Q2,2021-05-02,2021-05-27,0.475278,0.28771,0.238266,0.110898,0.055221,3.104728,0.502055,1.008255,0.231763,2.008255,0.212648,0.892481,0.249194,0.410665,0.761589
US,AMAT,Q3,2021-08-01,2021-08-26,0.478857,0.32876,0.276953,0.142289,0.070101,2.97522,0.507333,1.029768,0.253115,2.029768,0.272111,0.982517,0.294222,0.409784,1.040428
US,AMAT,Q4,2021-10-31,2021-12-17,0.480973,0.336926,0.279602,0.139789,0.066292,2.538934,0.52577,1.10868,0.237096,2.10868,0.18749,0.670561,0.221133,0.306101,0.513705
US,AMAT,Q1,2022-01-30,2022-02-24,0.471855,0.316058,0.28576,0.150715,0.070473,2.507503,0.532405,1.138604,0.246618,2.138604,0.423856,1.483259,0.446819,0.214839,0.585841
US,AMAT,Q2,2022-05-01,2022-05-26,0.468695,0.307766,0.245957,0.132654,0.060332,2.292331,0.54519,1.198722,0.245296,2.198722,0.066453,0.270182,0.10008,0.118775,0.154887
US,AMAT,Q3,2022-07-31,2022-08-25,0.461043,0.295092,0.246319,0.133057,0.061389,2.258744,0.538626,1.16744,0.249226,2.16744,0.225307,0.914695,0.257515,0.052292,-0.064103
US,AMAT,Q4,2022-10-30,2022-12-16,0.459475,0.295451,0.235739,0.130474,0.05953,2.158152,0.54374,1.191734,0.252526,2.191734,0.126982,0.538655,0.160024,0.102237,-0.070678
US,AMAT,Q1,2023-01-29,2023-02-23,0.466686,0.299748,0.254786,0.127943,0.061411,2.305517,0.520011,1.083383,0.241032,2.083383,0.336845,1.322073,0.379433,0.074629,-0.041853
US,AMAT,Q2,2023-04-30,2023-05-26,0.466667,0.288235,0.237557,0.111473,0.054139,2.258036,0.514334,1.059028,0.227898,2.059028,0.345701,1.455238,0.384163,0.061649,0.025391
US,AMAT,Q3,2023-07-30,2023-08-24,0.463191,0.290428,0.242802,0.103359,0.051299,2.295598,0.503683,1.014841,0.211279,2.014841,0.402023,1.655769,0.441712,-0.014571,-0.028643
