code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
AMAT,应用材料,US,USD,Q3,2016-07-31,2016-08-25,2821000000.0,1192000000.0,602000000.0,564000000.0,59000000.0,505000000.0,505000000.0,0.4662973222530009,13699000000.0,7399000000.0,6300000000.0,2828000000.0,1852000000.0,905000000.0,6880000000.0,2964000000.0,3916000000.0,717000000.0,6819000000.0,6819000000.0,981000000.0,-322000000.0,-50000000.0,-301000000.0
AMAT,应用材料,US,USD,Q4,2016-10-30,2016-12-15,3297000000.0,1399000000.0,778000000.0,740000000.0,130000000.0,610000000.0,610000000.0,0.5642923219241444,14589000000.0,8353000000.0,6236000000.0,3406000000.0,2279000000.0,937000000.0,7371000000.0,3632000000.0,3739000000.0,813000000.0,7217000000.0,7217000000.0,797000000.0,11000000.0,-88000000.0,-230000000.0
AMAT,应用材料,US,USD,Q1,2017-01-29,2017-02-23,3278000000.0,1445000000.0,809000000.0,771000000.0,68000000.0,703000000.0,703000000.0,0.6521335807050093,15244000000.0,9094000000.0,6150000000.0,3491000000.0,2369000000.0,949000000.0,7557000000.0,3808000000.0,3749000000.0,867000000.0,7687000000.0,7687000000.0,792000000.0,-367000000.0,-64000000.0,-194000000.0
AMAT,应用材料,US,USD,Q2,2017-04-30,2017-05-25,3546000000.0,1600000000.0,952000000.0,908000000.0,84000000.0,824000000.0,824000000.0,0.764378478664193,18240000000.0,12018000000.0,6222000000.0,4944000000.0,2381000000.0,969000000.0,10028000000.0,4097000000.0,5931000000.0,929000000.0,8212000000.0,8212000000.0,898000000.0,-1281000000.0,-77000000.0,1836000000.0
AMAT,应用材料,US,USD,Q3,2017-07-30,2017-08-24,3744000000.0,1700000000.0,1037000000.0,978000000.0,53000000.0,925000000.0,925000000.0,0.8636788048552755,19078000000.0,12731000000.0,6347000000.0,5278000000.0,2258000000.0,996000000.0,10362000000.0,4371000000.0,5991000000.0,935000000.0,8716000000.0,8716000000.0,1366000000.0,-349000000.0,-80000000.0,-683000000.0
AMAT,应用材料,US,USD,Q4,2017-10-29,2017-12-15,3969000000.0,1787000000.0,1131000000.0,1074000000.0,92000000.0,982000000.0,982000000.0,0.9229323308270677,19424000000.0,12918000000.0,6506000000.0,5010000000.0,2338000000.0,1066000000.0,10070000000.0,4115000000.0,5955000000.0,945000000.0,9349000000.0,9349000000.0,699000000.0,-529000000.0,-124000000.0,-438000000.0
AMAT,应用材料,US,USD,Q1,2018-01-28,2018-02-22,4204000000.0,1920000000.0,1242000000.0,1183000000.0,1048000000.0,135000000.0,135000000.0,0.1278409090909091,19663000000.0,13029000000.0,6634000000.0,6799000000.0,2182000000.0,1195000000.0,11157000000.0,4399000000.0,6758000000.0,1041000000.0,8506000000.0,8506000000.0,1466000000.0,1352000000.0,-203000000.0,-1029000000.0
AMAT,应用材料,US,USD,Q2,2018-04-29,2018-05-24,4567000000.0,2090000000.0,1317000000.0,1295000000.0,166000000.0,1129000000.0,1129000000.0,1.097181729834791,18498000000.0,11891000000.0,6607000000.0,4870000000.0,2665000000.0,1257000000.0,11456000000.0,4580000000.0,6876000000.0,1164000000.0,7042000000.0,7042000000.0,611000000.0,22000000.0,-121000000.0,-2562000000.0
AMAT,应用材料,US,USD,Q3,2018-07-29,2018-08-23,4468000000.0,2027000000.0,1136000000.0,1077000000.0,-96000000.0,1173000000.0,1173000000.0,1.1800804828973843,17883000000.0,10889000000.0,6994000000.0,3374000000.0,2882000000.0,1321000000.0,11058000000.0,4322000000.0,6736000000.0,1094000000.0,6825000000.0,6825000000.0,633000000.0,-674000000.0,-133000000.0,-1455000000.0
AMAT,应用材料,US,USD,Q4,2018-10-28,2018-12-13,4014000000.0,1780000000.0,1058000000.0,998000000.0,122000000.0,876000000.0,876000000.0,0.8993839835728953,17645000000.0,10604000000.0,7041000000.0,3440000000.0,2422000000.0,1407000000.0,10934000000.0,3922000000.0,6866000000.0,996000000.0,6839000000.0,6839000000.0,1077000000.0,-129000000.0,-165000000.0,-882000000.0
AMAT,应用材料,US,USD,Q1,2019-01-27,2019-02-21,3753000000.0,1665000000.0,948000000.0,888000000.0,117000000.0,771000000.0,771000000.0,0.8056426332288401,18922000000.0,10285000000.0,8637000000.0,3192000000.0,2544000000.0,1456000000.0,10713000000.0,3776000000.0,6937000000.0,978000000.0,8209000000.0,8209000000.0,834000000.0,-66000000.0,-133000000.0,-1016000000.0
AMAT,应用材料,US,USD,Q2,2019-04-28,2019-05-23,3539000000.0,1530000000.0,819000000.0,759000000.0,93000000.0,666000000.0,666000000.0,0.7070063694267515,18775000000.0,10062000000.0,8713000000.0,3116000000.0,2375000000.0,1494000000.0,10574000000.0,3605000000.0,6969000000.0,903000000.0,8201000000.0,8201000000.0,800000000.0,-129000000.0,-118000000.0,-747000000.0
AMAT,应用材料,US,USD,Q3,2019-07-28,2019-08-22,3562000000.0,1557000000.0,840000000.0,782000000.0,211000000.0,571000000.0,571000000.0,0.6146393972012917,18805000000.0,10042000000.0,8763000000.0,3014000000.0,2489000000.0,1513000000.0,10689000000.0,3785000000.0,6904000000.0,890000000.0,8116000000.0,8116000000.0,787000000.0,-162000000.0,-93000000.0,-727000000.0
AMAT,应用材料,US,USD,Q4,2019-10-27,2019-12-13,3754000000.0,1634000000.0,899000000.0,840000000.0,142000000.0,698000000.0,698000000.0,0.758695652173913,19035000000.0,10206000000.0,8829000000.0,3129000000.0,2641000000.0,1529000000.0,10810000000.0,4447000000.0,6363000000.0,958000000.0,8214000000.0,8214000000.0,826000000.0,-86000000.0,-97000000.0,-625000000.0
AMAT,应用材料,US,USD,Q1,2020-01-26,2020-02-20,4162000000.0,1858000000.0,1064000000.0,1005000000.0,113000000.0,892000000.0,892000000.0,0.9737991266375546,19767000000.0,10769000000.0,8998000000.0,3424000000.0,2815000000.0,1711000000.0,11107000000.0,4569000000.0,6538000000.0,1043000000.0,8660000000.0,8660000000.0,987000000.0,-162000000.0,-102000000.0,-530000000.0
AMAT,应用材料,US,USD,Q2,2020-04-26,2020-05-21,3957000000.0,1749000000.0,939000000.0,878000000.0,123000000.0,755000000.0,755000000.0,0.8233369683751364,21815000000.0,12735000000.0,9080000000.0,5281000000.0,2777000000.0,1776000000.0,12791000000.0,4765000000.0,8026000000.0,1062000000.0,9024000000.0,9024000000.0,635000000.0,165000000.0,-71000000.0,1172000000.0
AMAT,应用材料,US,USD,Q3,2020-07-26,2020-08-20,4395000000.0,1955000000.0,1108000000.0,1040000000.0,199000000.0,841000000.0,841000000.0,0.9191256830601093,21171000000.0,12248000000.0,8923000000.0,4350000000.0,2943000000.0,1784000000.0,11602000000.0,4285000000.0,7317000000.0,1118000000.0,9569000000.0,9569000000.0,867000000.0,8000000.0,-87000000.0,-1806000000.0
AMAT,应用材料,US,USD,Q4,2020-10-25,2020-12-11,4688000000.0,2130000000.0,1302000000.0,1243000000.0,112000000.0,1131000000.0,1131000000.0,1.237417943107221,22353000000.0,13369000000.0,8984000000.0,5351000000.0,3111000000.0,1856000000.0,11775000000.0,4459000000.0,7316000000.0,1124000000.0,10578000000.0,10578000000.0,1315000000.0,-141000000.0,-162000000.0,-173000000.0
AMAT,应用材料,US,USD,Q1,2021-01-31,2021-02-25,5162000000.0,2349000000.0,1301000000.0,1240000000.0,110000000.0,1130000000.0,1130000000.0,1.2349726775956285,23305000000.0,14269000000.0,9036000000.0,6213000000.0,3212000000.0,1879000000.0,11832000000.0,4504000000.0,7328000000.0,1076000000.0,11473000000.0,11473000000.0,1421000000.0,-216000000.0,-121000000.0,-343000000.0
AMAT,应用材料,US,USD,Q2,2021-05-02,2021-05-27,5582000000.0,2653000000.0,1606000000.0,1545000000.0,215000000.0,1330000000.0,1330000000.0,1.44880174291939,24085000000.0,14971000000.0,9114000000.0,6305000000.0,3566000000.0,2014000000.0,12092000000.0,4822000000.0,7270000000.0,1307000000.0,11993000000.0,11993000000.0,1187000000.0,-219000000.0,-204000000.0,-883000000.0
AMAT,应用材料,US,USD,Q3,2021-08-01,2021-08-26,6196000000.0,2967000000.0,2037000000.0,1980000000.0,264000000.0,1716000000.0,1716000000.0,1.8898678414096917,24479000000.0,15248000000.0,9231000000.0,6066000000.0,3992000000.0,2076000000.0,12419000000.0,5125000000.0,7294000000.0,1352000000.0,12060000000.0,12060000000.0,1686000000.0,-194000000.0,-137000000.0,-1731000000.0
