country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,AMAT,2016-06-20,,,,,,21.18,21.18,0.0,0.0,0.0,,,,0.3,
US,AMAT,2016-06-21,0.849858,,,,,21.207692,21.193333,0.014359,0.002872,0.022974,,,,0.297143,
US,AMAT,2016-06-22,0.608614,,,,,21.251124,21.215309,0.035816,0.009461,0.05271,,,,0.307347,
US,AMAT,2016-06-23,2.28013,,,,,21.363259,21.271952,0.091307,0.02583,0.130954,,,,0.321108,
US,AMAT,2016-06-24,-5.277525,21.366,,,,21.279681,21.238474,0.041206,0.028905,0.024602,69.023257,,,0.386029,15810455.6
US,AMAT,2016-06-27,-4.034582,21.126,,,,21.07973,21.145254,-0.065524,0.010019,-0.151087,55.59356,,,0.426312,17300124.4
US,AMAT,2016-06-28,2.902903,20.966,,,,20.999771,21.101902,-0.102131,-0.012411,-0.17944,61.206192,,,0.439433,18470862.4
US,AMAT,2016-06-29,2.723735,20.892,,,,21.018268,21.103243,-0.084975,-0.026924,-0.116102,65.712319,,,0.457331,18804789.8
US,AMAT,2016-06-30,1.751894,20.794,,,,21.090842,21.131891,-0.041049,-0.029749,-0.022601,68.329837,,,0.457521,18667552.4
US,AMAT,2016-07-01,-0.372266,20.912,21.139,,,21.139943,21.152492,-0.012549,-0.026309,0.02752,67.136446,,,0.442698,13241583.0
US,AMAT,2016-07-05,-0.186829,21.19,21.158,,,21.175337,21.168604,0.006733,-0.0197,0.052867,66.510956,,,0.436077,10897192.6
US,AMAT,2016-07-06,0.655124,21.38,21.173,,,21.226823,21.193892,0.032931,-0.009174,0.08421,67.647086,,,0.437072,10107599.4
US,AMAT,2016-07-07,1.20874,21.51,21.201,,,21.310389,21.236567,0.073822,0.007425,0.132794,69.702779,,,0.435138,9455914.8
US,AMAT,2016-07-08,2.664217,21.682,21.238,,,21.470329,21.319043,0.151286,0.036197,0.230177,73.715058,,,0.448342,10234194.6
US,AMAT,2016-07-11,0.850112,21.908,21.41,,,21.634894,21.409485,0.225409,0.07404,0.302739,74.888267,,,0.439175,10720840.0
US,AMAT,2016-07-12,1.064774,22.19,21.69,,,21.811064,21.511004,0.30006,0.119244,0.361632,76.325701,,,0.42852,11096017.4
US,AMAT,2016-07-13,1.975417,22.534,21.957,,,22.029362,21.638337,0.391025,0.1736,0.434849,78.778556,,,0.433625,12368797.0
US,AMAT,2016-07-14,0.731812,22.86,22.185,,,22.240229,21.768831,0.471398,0.23316,0.476478,79.636897,,,0.434795,13335141.2
US,AMAT,2016-07-15,0.897436,23.112,22.397,,,22.450963,21.905214,0.54575,0.295678,0.500144,80.676632,,,0.428738,12832607.6
US,AMAT,2016-07-18,0.974163,23.372,22.64,21.8895,,22.664661,22.048531,0.61613,0.359768,0.512724,81.774265,23.948155,19.830845,0.4174,13321962.2
US,AMAT,2016-07-19,-0.755034,23.548,22.869,22.0135,,22.81779,22.167899,0.649891,0.417793,0.464197,78.038229,24.182097,19.844903,0.419728,14396702.2
US,AMAT,2016-07-20,0.972105,23.68,23.107,22.14,,22.982746,22.295462,0.687283,0.471691,0.431185,79.337268,24.432954,19.847046,0.414033,13160659.8
US,AMAT,2016-07-21,-1.590624,23.702,23.281,22.241,,23.063862,22.385428,0.678434,0.513039,0.330789,71.782615,24.587852,19.894148,0.423031,13110635.2
US,AMAT,2016-07-22,0.552956,23.708,23.41,22.324,,23.152498,22.478359,0.674139,0.545259,0.257759,72.73898,24.744326,19.903674,0.414243,11841966.4
US,AMAT,2016-07-25,0.465313,23.69,23.531,22.4705,,23.244422,22.572555,0.671867,0.570581,0.202572,73.5557,24.863494,20.077506,0.406083,10519286.4
US,AMAT,2016-07-26,1.178947,23.764,23.656,22.673,,23.36528,22.680514,0.684766,0.593418,0.182696,75.562644,24.86578,20.48022,0.400648,9695346.4
US,AMAT,2016-07-27,0.332917,23.808,23.744,22.8505,,23.479852,22.786402,0.693451,0.613424,0.160052,76.120278,24.900451,20.800549,0.403459,9777622.4
US,AMAT,2016-07-28,-1.036914,23.878,23.79,22.9875,,23.538336,22.865927,0.672409,0.625221,0.094375,70.691561,24.919368,21.055632,0.398926,8497742.6
US,AMAT,2016-07-29,-1.215423,23.864,23.786,23.0915,,23.543208,22.918081,0.625127,0.625202,-0.000151,64.908704,24.910349,21.272651,0.404003,9200442.6
US,AMAT,2016-08-01,-0.084854,23.824,23.757,23.1985,,23.544253,22.96489,0.579363,0.616034,-0.073343,64.516724,24.853484,21.543516,0.392289,9119862.6
US,AMAT,2016-08-02,-1.146497,23.674,23.719,23.294,,23.503598,22.988231,0.515367,0.595901,-0.161068,59.309529,24.720582,21.867418,0.402125,8836911.8
US,AMAT,2016-08-03,0.902062,23.55,23.679,23.393,,23.501506,23.025399,0.476107,0.571942,-0.19167,61.886173,24.562224,22.223776,0.396259,7915859.8
US,AMAT,2016-08-04,0.63857,23.506,23.692,23.4865,,23.522813,23.070925,0.451888,0.547931,-0.192087,63.656467,24.390652,22.582348,0.382955,7253277.2
US,AMAT,2016-08-05,1.649746,23.598,23.731,23.5705,,23.600842,23.141968,0.458874,0.53012,-0.142492,67.839094,24.338627,22.802373,0.387029,6875077.2
US,AMAT,2016-08-08,0.083229,23.698,23.761,23.646,,23.669943,23.20923,0.460714,0.516239,-0.11105,68.042212,24.2791,23.0129,0.372242,6732964.8
US,AMAT,2016-08-09,-0.16632,23.844,23.759,23.7075,,23.72226,23.268546,0.453714,0.503734,-0.10004,67.129054,24.21955,23.19545,0.360653,6025257.6
US,AMAT,2016-08-10,-1.416077,23.88,23.715,23.7295,,23.71422,23.298283,0.415936,0.486174,-0.140476,59.78459,24.193115,23.265885,0.366321,6148998.8
US,AMAT,2016-08-11,1.56316,23.96,23.733,23.7615,,23.76434,23.353225,0.411114,0.471162,-0.120096,64.355005,24.218021,23.304979,0.377298,6683578.8
US,AMAT,2016-08-12,1.331115,24.026,23.812,23.799,,23.85598,23.427801,0.428179,0.462566,-0.068774,67.766918,24.318457,23.279543,0.376062,7271238.8
US,AMAT,2016-08-15,1.067323,24.14,23.919,23.838,,23.973521,23.516112,0.457409,0.461534,-0.00825,70.257945,24.46905,23.20695,0.385629,8275711.2
US,AMAT,2016-08-16,-0.893582,24.218,24.031,23.875,,24.039133,23.581585,0.457548,0.460737,-0.006378,65.635722,24.545507,23.204493,0.378084,8231909.2
US,AMAT,2016-08-17,0.245902,24.376,24.128,23.9035,,24.103882,23.646653,0.457229,0.460035,-0.005613,66.287147,24.620948,23.186052,0.378935,9036106.0
US,AMAT,2016-08-18,1.430908,24.53,24.245,23.9685,,24.212516,23.732827,0.479689,0.463966,0.031445,69.874637,24.762988,23.174012,0.381154,11669286.8
US,AMAT,2016-08-19,7.093914,24.972,24.499,24.115,,24.575206,23.942988,0.632218,0.497616,0.269203,80.888172,25.485161,22.744839,0.486072,20475906.8
US,AMAT,2016-08-22,-1.656003,25.274,24.707,24.234,,24.814405,24.104989,0.709416,0.539976,0.338879,73.639933,25.848341,22.619659,0.500638,24152370.8
US,AMAT,2016-08-23,3.099885,25.782,25.0,24.3795,,25.141419,24.31499,0.82643,0.597267,0.458326,77.616377,26.373887,22.385113,0.535593,27521331.8
US,AMAT,2016-08-24,-0.81663,26.234,25.305,24.51,,25.384278,24.493139,0.891139,0.656041,0.470196,74.33639,26.743947,22.276053,0.522336,27950685.8
US,AMAT,2016-08-25,-0.187126,26.606,25.568,24.6505,,25.582081,24.654388,0.927694,0.710372,0.434644,73.575392,27.050537,22.250463,0.508598,25886032.6
US,AMAT,2016-08-26,1.087364,26.684,25.828,24.82,,25.794069,24.825174,0.968895,0.762077,0.413637,75.163517,27.365294,22.274706,0.505126,17543872.6
US,AMAT,2016-08-29,0.259644,26.864,26.069,24.994,,25.984212,24.988494,0.995718,0.808805,0.373826,75.545565,27.641953,22.346047,0.511903,13673536.6
US,AMAT,2016-08-30,-0.18498,26.872,26.327,25.179,,26.13741,25.136013,1.001397,0.847323,0.308148,74.662109,27.839082,22.518918,0.507481,11377499.4
US,AMAT,2016-08-31,-0.518903,26.896,26.565,25.3465,,26.245501,25.262234,0.983267,0.874512,0.217509,72.118978,27.981846,22.711154,0.499804,11016219.4
US,AMAT,2016-09-01,1.527571,27.012,26.809,25.527,,26.400039,25.409476,0.990563,0.897722,0.185682,74.823577,28.164606,22.889394,0.49339,11068911.8
US,AMAT,2016-09-02,-0.917431,27.02,26.852,25.6755,,26.492341,25.527293,0.965048,0.911187,0.107721,70.342787,28.29361,23.05739,0.496005,10939498.8
US,AMAT,2016-09-06,-0.111111,27.008,26.936,25.8215,,26.565827,25.63416,0.931667,0.915283,0.032767,69.802588,28.385858,23.257142,0.488433,11917560.4
US,AMAT,2016-09-07,-0.259548,26.992,26.932,25.966,,26.617238,25.727926,0.889312,0.910089,-0.041554,68.481091,28.42948,23.50252,0.478545,11753463.2
US,AMAT,2016-09-08,-0.371747,26.984,26.94,26.1225,,26.645355,25.807339,0.838017,0.895675,-0.115316,66.542959,28.370956,23.874044,0.465077,11268403.2
