country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,AMD,Q2,2016-06-25,2016-07-25,0.310613,0.138267,0.067186,-0.16707,0.020808,1.585073,1.124548,-9.029056,0.30971,-8.029056,-0.082765,-1.231884,-0.062317,,
US,AMD,Q3,2016-09-24,2016-10-26,0.045142,-0.272379,-0.310635,-1.054545,-0.112279,1.917176,0.893529,8.392208,0.361449,9.392208,0.022188,-0.071429,0.029074,,
US,AMD,Q4,2016-12-31,2017-02-21,0.31736,-0.009042,-0.046112,-0.122596,-0.015357,1.879643,0.874737,6.983173,0.333032,7.983173,0.169982,-3.686275,0.188969,,
US,AMD,Q1,2017-04-01,2017-05-08,0.320883,0.005093,-0.028014,-0.080685,-0.010003,1.8207,0.876023,7.066015,0.357078,8.066015,-0.25382,9.060606,-0.234295,,
US,AMD,Q2,2017-07-01,2017-08-03,0.335361,-0.003475,-0.03649,-0.100719,-0.012463,1.732919,0.876261,7.081535,0.341543,8.081535,-0.071242,1.952381,-0.060817,0.12074,-1.608696
US,AMD,Q3,2017-09-30,2017-11-02,0.36048,0.073232,0.03851,0.117308,0.017011,1.696417,0.854992,5.896154,0.441718,6.896154,0.041667,1.081967,0.063131,0.211936,1.150246
US,AMD,Q4,2017-12-30,2018-02-27,0.347973,0.056757,0.041216,0.102349,0.017173,1.740912,0.832207,4.959732,0.416667,5.959732,0.258784,6.278689,0.288514,0.338156,2.196078
US,AMD,Q1,2018-03-31,2018-05-03,0.362477,0.073467,0.04918,0.113287,0.021525,1.621096,0.809992,4.262937,0.437683,5.262937,-0.052216,-1.061728,-0.024287,0.398132,3.454545
US,AMD,Q2,2018-06-30,2018-08-02,0.371298,0.087699,0.066059,0.131968,0.028272,1.658994,0.785767,3.667804,0.42798,4.667804,-0.025626,-0.387931,-0.001139,0.52563,3.761905
US,AMD,Q3,2018-09-29,2018-10-31,0.399879,0.087114,0.061706,0.090667,0.023464,1.764643,0.741201,2.864,0.380262,3.864,0.057471,0.931373,0.077435,0.043561,0.672131
