code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
AMD,超威半导体,US,USD,Q2,2016-06-25,2016-07-25,1027000000.0,319000000.0,142000000.0,98000000.0,29000000.0,69000000.0,69000000.0,0.08690176322418136,3316000000.0,2506000000.0,810000000.0,957000000.0,671000000.0,169000000.0,3729000000.0,1581000000.0,2148000000.0,616000000.0,-413000000.0,-413000000.0,-85000000.0,329000000.0,-21000000.0,-3000000.0
AMD,超威半导体,US,USD,Q3,2016-09-24,2016-10-26,1307000000.0,59000000.0,-356000000.0,-402000000.0,4000000.0,-406000000.0,-406000000.0,-0.498159509202454,3616000000.0,2824000000.0,792000000.0,1258000000.0,640000000.0,161000000.0,3231000000.0,1473000000.0,1758000000.0,582000000.0,385000000.0,385000000.0,29000000.0,-10000000.0,-9000000.0,282000000.0
AMD,超威半导体,US,USD,Q4,2016-12-31,2017-02-21,1106000000.0,351000000.0,-10000000.0,-46000000.0,5000000.0,-51000000.0,-51000000.0,-0.05477980665950591,3321000000.0,2530000000.0,791000000.0,1264000000.0,311000000.0,164000000.0,2905000000.0,1346000000.0,1559000000.0,440000000.0,416000000.0,416000000.0,188000000.0,-26000000.0,-21000000.0,-156000000.0
AMD,超威半导体,US,USD,Q1,2017-04-01,2017-05-08,1178000000.0,378000000.0,6000000.0,-28000000.0,5000000.0,-33000000.0,-33000000.0,-0.03514376996805112,3299000000.0,2498000000.0,801000000.0,722000000.0,494000000.0,180000000.0,2890000000.0,1372000000.0,1518000000.0,529000000.0,409000000.0,409000000.0,-299000000.0,-246000000.0,-23000000.0,3000000.0
AMD,超威半导体,US,USD,Q2,2017-07-01,2017-08-03,1151000000.0,386000000.0,-4000000.0,-39000000.0,3000000.0,-42000000.0,-42000000.0,-0.044444444444444446,3370000000.0,2511000000.0,859000000.0,760000000.0,614000000.0,200000000.0,2953000000.0,1449000000.0,1504000000.0,483000000.0,417000000.0,417000000.0,-82000000.0,124000000.0,-12000000.0,-4000000.0
AMD,超威半导体,US,USD,Q3,2017-09-30,2017-11-02,1584000000.0,571000000.0,116000000.0,83000000.0,22000000.0,61000000.0,61000000.0,0.06374085684430512,3586000000.0,2699000000.0,887000000.0,879000000.0,771000000.0,236000000.0,3066000000.0,1591000000.0,1475000000.0,472000000.0,520000000.0,520000000.0,66000000.0,51000000.0,-34000000.0,2000000.0
AMD,超威半导体,US,USD,Q4,2017-12-30,2018-02-27,1480000000.0,515000000.0,84000000.0,53000000.0,-8000000.0,61000000.0,61000000.0,0.06321243523316063,3552000000.0,2634000000.0,918000000.0,1185000000.0,454000000.0,261000000.0,2956000000.0,1513000000.0,1443000000.0,384000000.0,596000000.0,596000000.0,383000000.0,17000000.0,-44000000.0,-34000000.0
AMD,超威半导体,US,USD,Q1,2018-03-31,2018-05-03,1647000000.0,597000000.0,121000000.0,89000000.0,8000000.0,81000000.0,81000000.0,0.08367768595041322,3763000000.0,2751000000.0,1012000000.0,1045000000.0,738000000.0,290000000.0,3048000000.0,1697000000.0,1351000000.0,456000000.0,715000000.0,715000000.0,-86000000.0,-46000000.0,-46000000.0,-8000000.0
AMD,超威半导体,US,USD,Q2,2018-06-30,2018-08-02,1756000000.0,652000000.0,154000000.0,122000000.0,6000000.0,116000000.0,116000000.0,0.11934156378600823,4103000000.0,3099000000.0,1004000000.0,948000000.0,1118000000.0,295000000.0,3224000000.0,1868000000.0,1356000000.0,520000000.0,879000000.0,879000000.0,-45000000.0,-78000000.0,-43000000.0,28000000.0
AMD,超威半导体,US,USD,Q3,2018-09-29,2018-10-31,1653000000.0,661000000.0,144000000.0,114000000.0,12000000.0,102000000.0,102000000.0,0.1033434650455927,4347000000.0,3314000000.0,1033000000.0,1046000000.0,1207000000.0,318000000.0,3222000000.0,1878000000.0,1344000000.0,508000000.0,1125000000.0,1125000000.0,95000000.0,-8000000.0,-33000000.0,8000000.0
