country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,AMD,2016-06-20,5.39,5.45,5.09,5.1,5.39,5.45,5.09,5.1,43541305.0,227721025.15,1.0,7.94,40.494,7.94,40.494,0.05483791561712846
US,AMD,2016-06-21,5.1,5.5,5.09,5.45,5.1,5.5,5.09,5.45,35864591.0,192234207.76,1.0,7.94,43.273,7.94,43.273,0.04516951007556675
US,AMD,2016-06-22,5.46,5.52,4.96,5.02,5.46,5.52,4.96,5.02,47943335.0,248346475.3,1.0,7.94,39.8588,7.94,39.8588,0.060382034005037784
US,AMD,2016-06-23,5.17,5.26,5.05,5.21,5.17,5.26,5.05,5.21,29159174.0,151044521.32,1.0,7.94,41.3674,7.94,41.3674,0.036724400503778336
US,AMD,2016-06-24,4.82,5.0675,4.76,4.88,4.82,5.07,4.76,4.88,36735157.0,180736972.44,1.0,7.94,38.7472,7.94,38.7472,0.04626594080604534
US,AMD,2016-06-27,4.88,5.05,4.65,4.72,4.88,5.05,4.65,4.72,31187599.0,149700475.2,1.0,8.15,38.468,8.15,38.468,0.03826699263803681
US,AMD,2016-06-28,4.95,5.185,4.91,5.12,4.95,5.19,4.91,5.12,29221367.0,148736758.03,1.0,8.15,41.728,8.15,41.728,0.035854438036809815
US,AMD,2016-06-29,5.31,5.4,5.1,5.13,5.31,5.4,5.1,5.13,33118283.0,172215071.6,1.0,8.15,41.8095,8.15,41.8095,0.04063593006134969
US,AMD,2016-06-30,5.13,5.19,4.95,5.14,5.13,5.19,4.95,5.14,26124847.0,132975471.23,1.0,8.15,41.891,8.15,41.891,0.03205502699386503
US,AMD,2016-07-01,5.09,5.14,5.0,5.07,5.09,5.14,5.0,5.07,18255878.0,92557301.46,1.0,8.15,41.3205,8.15,41.3205,0.022399850306748466
US,AMD,2016-07-05,5.03,5.05,4.875,4.96,5.03,5.05,4.88,4.96,16332466.0,80519057.38,1.0,8.15,40.424,8.15,40.424,0.020039835582822085
US,AMD,2016-07-06,4.91,5.11,4.9,5.04,4.91,5.11,4.9,5.04,19392887.0,97740150.48,1.0,8.15,41.076,8.15,41.076,0.023794953374233128
US,AMD,2016-07-07,5.07,5.1,4.9399999999999995,5.02,5.07,5.1,4.9399999999999995,5.02,15813768.0,79385115.36,1.0,8.15,40.913,8.15,40.913,0.019403396319018405
US,AMD,2016-07-08,4.84,5.15,4.82,5.1,4.84,5.15,4.82,5.1,28140749.0,142110782.45,1.0,8.15,41.565,8.15,41.565,0.034528526380368095
US,AMD,2016-07-11,5.13,5.19,5.0,5.01,5.13,5.19,5.0,5.01,21027948.0,106821975.84,1.0,8.15,40.8315,8.15,40.8315,0.025801163190184048
US,AMD,2016-07-12,5.01,5.17,5.01,5.14,5.01,5.17,5.01,5.14,20832476.0,106453952.36,1.0,8.15,41.891,8.15,41.891,0.025561320245398773
US,AMD,2016-07-13,5.14,5.19,5.04,5.09,5.14,5.19,5.04,5.09,14032518.0,71706166.98,1.0,8.15,41.4835,8.15,41.4835,0.017217813496932514
