country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,AMZN,Q2,2016-06-30,2016-07-28,0.369162,0.042593,0.028187,0.05182,0.013169,1.088992,0.745866,2.934938,0.467208,3.934938,0.117682,4.175029,0.173957,,
US,AMZN,Q3,2016-09-30,2016-10-27,0.350125,0.018616,0.007703,0.014172,0.003554,1.063019,0.749185,2.987009,0.46143,3.987009,0.142416,18.488095,0.198692,,
US,AMZN,Q4,2016-12-31,2017-02-09,0.337944,0.029698,0.017124,0.038838,0.008981,1.044847,0.768771,3.324708,0.52446,4.324708,0.243524,14.221629,0.289385,,
US,AMZN,Q1,2017-03-31,2017-04-27,0.371675,0.030576,0.020272,0.033404,0.008942,1.055108,0.732317,2.735766,0.441082,3.735766,-0.045332,-2.236188,0.014812,,
US,AMZN,Q2,2017-06-30,2017-07-27,0.382137,0.021315,0.00519,0.008486,0.002244,1.012019,0.735546,2.781382,0.432383,3.781382,0.101436,19.543147,0.183454,0.248355,-0.770128
US,AMZN,Q3,2017-09-30,2017-10-26,0.370222,0.012436,0.005852,0.010382,0.002221,1.031994,0.786079,3.674629,0.379502,4.674629,0.086343,14.753906,0.156616,0.337165,0.015873
US,AMZN,Q4,2017-12-31,2018-02-01,0.363224,0.036541,0.030718,0.067018,0.014142,1.039977,0.78898,3.738894,0.460384,4.738894,0.204192,6.647281,0.285792,0.382067,1.479306
US,AMZN,Q1,2018-03-31,2018-04-26,0.397849,0.044003,0.031915,0.051775,0.012892,1.057946,0.751009,3.01621,0.403935,4.01621,-0.035089,-1.099448,0.025606,0.429187,1.25
US,AMZN,Q2,2018-06-30,2018-07-26,0.420792,0.055743,0.047914,0.07241,0.018896,1.07244,0.739038,2.831976,0.394377,3.831976,0.14085,2.939621,0.202171,0.393387,11.862944
US,AMZN,Q3,2018-09-30,2018-10-25,0.416661,0.066247,0.050958,0.073687,0.020063,1.082442,0.727722,2.672716,0.393723,3.672716,0.151796,2.978841,0.211044,0.293343,10.261719
US,AMZN,Q4,2018-12-31,2019-01-31,0.381264,0.051628,0.041819,0.069508,0.018611,1.098112,0.73225,2.734827,0.445029,3.734827,0.227636,5.443343,0.279223,0.197343,0.630048
US,AMZN,Q1,2019-03-31,2019-04-25,0.431826,0.079849,0.059648,0.073559,0.019994,1.090054,0.728189,2.679033,0.335201,3.679033,0.030921,0.518394,0.08603,0.169625,1.186004
