country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,AMZN,2016-06-23,715.6,722.2,712.6,722.0,35.78,36.11,35.63,36.1,2825000.0,2030610000.0,0.05,4.73,3415.06,4.73,3415.06,0.005972515856236786
US,AMZN,2016-06-24,693.0,712.6,692.2,699.0,34.65,35.63,34.61,34.95,7632500.0,5351909000.0,0.05,4.73,3306.27,4.73,3306.27,0.016136363636363633
US,AMZN,2016-06-27,692.0,696.8,682.2,691.4,34.6,34.84,34.11,34.57,5568000.0,3843033600.0,0.05,4.73,3270.322,4.73,3270.322,0.01177167019027484
US,AMZN,2016-06-28,700.0,708.0,698.2,708.0,35.0,35.4,34.91,35.4,4037000.0,2845277600.0,0.049999999999999996,4.73,3348.84,4.73,3348.84,0.008534883720930232
US,AMZN,2016-06-29,715.8,719.4,713.6,715.6,35.79,35.97,35.68,35.78,3070100.0,2198805620.0,0.05,4.73,3384.788,4.73,3384.788,0.0064906976744186036
US,AMZN,2016-06-30,717.2,719.4,712.6,715.6,35.86,35.97,35.63,35.78,2855100.0,2043680580.0,0.05,4.74,3391.944,4.74,3391.944,0.0060234177215189874
US,AMZN,2016-07-01,717.4,728.0,716.6,725.6,35.87,36.4,35.83,36.28,2920400.0,2112617360.0,0.05,4.74,3439.344,4.74,3439.344,0.006161181434599156
US,AMZN,2016-07-05,722.8,729.6,719.6,728.0,36.14,36.48,35.98,36.4,2431400.0,1764710120.0,0.049999999999999996,4.74,3450.72,4.74,3450.72,0.005129535864978903
US,AMZN,2016-07-06,725.8,737.8,722.6,737.6,36.29,36.89,36.13,36.88,3938200.0,2885125320.0,0.05,4.74,3496.224,4.74,3496.224,0.0083084388185654
US,AMZN,2016-07-07,739.4,739.6,731.6,736.6,36.97,36.98,36.58,36.83,2945800.0,2168108800.0,0.049999999999999996,4.74,3491.484,4.74,3491.484,0.0062147679324894515
US,AMZN,2016-07-08,740.2,746.2,738.0,745.8,37.01,37.31,36.9,37.29,3429200.0,2549267280.0,0.05,4.74,3535.092,4.74,3535.092,0.007234599156118143
US,AMZN,2016-07-11,750.0,755.8,747.0,753.8,37.5,37.79,37.35,37.69,3195300.0,2403504660.0,0.05,4.74,3573.012,4.74,3573.012,0.006741139240506329
US,AMZN,2016-07-12,756.8,757.4,740.4,748.2,37.84,37.87,37.02,37.41,5623700.0,4209901820.0,0.049999999999999996,4.74,3546.468,4.74,3546.468,0.011864345991561182
US,AMZN,2016-07-13,746.8,756.8,741.2,742.6,37.34,37.84,37.06,37.13,4142300.0,3094298100.0,0.05,4.74,3519.924,4.74,3519.924,0.00873902953586498
US,AMZN,2016-07-14,748.8,749.0,739.0,741.2,37.44,37.45,36.95,37.06,2390500.0,1776141500.0,0.05,4.74,3513.288,4.74,3513.288,0.005043248945147679
US,AMZN,2016-07-15,746.6,746.6,734.0,735.4,37.33,37.33,36.7,36.77,3121400.0,2305466040.0,0.05,4.74,3485.796,4.74,3485.796,0.006585232067510548
US,AMZN,2016-07-18,735.4,741.6,728.8,736.0,36.77,37.08,36.44,36.8,2954900.0,2173033460.0,0.049999999999999996,4.74,3488.64,4.74,3488.64,0.0062339662447257384
