code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
APP,Applovin Corp-A,US,USD,Q1,2019-03-31,2019-05-15,206241000.0,160178000.0,41033000.0,26612000.0,5092000.0,21520000.0,21520000.0,0.10709153634637726,0.0,,,,,,0.0,,,,0.0,,,,,
APP,Applovin Corp-A,US,USD,Q2,2019-06-30,2019-08-14,248452000.0,190401000.0,63327000.0,44082000.0,8602000.0,35480000.0,35480000.0,0.17656169654133202,0.0,,,,,,0.0,,,,0.0,,,,,
APP,Applovin Corp-A,US,USD,Q3,2019-09-30,2019-11-14,260596999.0,191497999.0,49490000.0,28561000.0,5553000.0,23008000.0,23008000.0,0.11449637863649852,0.0,,,,,,0.0,,,,0.0,,,,,
APP,Applovin Corp-A,US,USD,Q4,2019-12-31,2020-03-30,278814000.0,203112000.0,46339000.0,26979000.0,-12053000.0,39032000.0,39032000.0,0.19423777168549244,0.0,,,,,,0.0,,,,0.0,,,,,
APP,Applovin Corp-A,US,USD,Q1,2020-03-31,2020-05-15,260178000.0,183725000.0,26157000.0,7528000.0,2864000.0,4664000.0,4664000.0,0.02211492227994114,0.0,,,,,,0.0,,,,0.0,,45687000.0,-54699000.0,-200000.0,33479000.0
APP,Applovin Corp-A,US,USD,Q2,2020-06-30,2020-08-14,299331000.0,181280000.0,-3605000.0,-22414000.0,-1023000.0,-21391000.0,-21391000.0,-0.10022000002426906,0.0,,,,,,0.0,,,,0.0,,39571000.0,-469686000.0,-983000.0,224297000.0
APP,Applovin Corp-A,US,USD,Q3,2020-09-30,2020-11-14,381740000.0,218680000.0,-74289000.0,-94399000.0,-4711000.0,-89688000.0,-89688000.0,-0.41999900113965144,0.0,,,,,,0.0,,,,0.0,,37468000.0,-39037000.0,-1659000.0,-9589000.0
APP,Applovin Corp-A,US,USD,Q4,2020-12-31,2021-03-31,509837000.0,311823000.0,-6096000.0,-26421000.0,-7649000.0,-18772000.0,-18772000.0,-0.08503600007579493,0.0,,,,,,0.0,,,,0.0,,100157000.0,-116469000.0,-399000.0,129668000.0
APP,Applovin Corp-A,US,USD,Q1,2021-03-31,2021-05-14,603877000.0,380816000.0,21255000.0,-13755000.0,-3234000.0,-10521000.0,-10521000.0,-0.04730400020718262,2621399000.0,1184821000.0,1436578000.0,761075000.0,340881000.0,100707000.0,2751121000.0,486596000.0,2264525000.0,158023000.0,-129722000.0,-129977000.0,61819000.0,-18273000.0,-121000.0,400374000.0
APP,Applovin Corp-A,US,USD,Q2,2021-06-30,2021-08-13,668806000.0,422953000.0,33408000.0,14378000.0,-45000.0,14423000.0,14423000.0,0.042974298547818215,4599571000.0,1716845000.0,2882726000.0,1183743000.0,383133000.0,143078000.0,2601934000.0,603179000.0,1998755000.0,192658000.0,1997637000.0,1997441000.0,90457000.0,-1004909000.0,-2049000.0,1337392000.0
