country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,APP,2021-04-15,,,,,,65.2,65.2,0.0,0.0,0.0,,,,8.51,
US,APP,2021-04-16,-6.441718,,,,,64.553846,64.888889,-0.335043,-0.067009,-0.536068,0.0,,,8.37,
US,APP,2021-04-19,-3.508197,,,,,63.67787,64.442305,-0.764435,-0.206494,-1.115882,0.0,,,8.15,
US,APP,2021-04-20,2.191641,,,,,63.135121,64.124356,-0.989235,-0.363042,-1.252387,2.3899,,,7.785,
US,APP,2021-04-21,2.759767,61.404,,,,62.931256,63.952922,-1.021666,-0.494767,-1.053799,5.519056,,,7.634643,5389764.2
US,APP,2021-04-22,0.46918,60.784,,,,62.80337,63.815669,-1.012298,-0.598273,-0.82805,6.085477,,,7.263597,3269900.6
US,APP,2021-04-23,-5.797101,60.284,,,,62.141313,63.421916,-1.280602,-0.734739,-1.091726,5.633937,,,7.065483,2676109.4
US,APP,2021-04-26,2.222222,60.472,,,,61.781111,63.153625,-1.372514,-0.862294,-1.02044,8.280541,,,6.715091,1906859.2
US,APP,2021-04-27,-1.588629,60.212,,,,61.330171,62.834838,-1.504667,-0.990769,-1.027797,8.101721,,,6.40687,1421814.4
US,APP,2021-04-28,-0.169924,59.6,60.502,,,60.933222,62.532258,-1.599036,-1.112422,-0.973228,8.081936,,,6.089951,762306.8
US,APP,2021-04-29,0.714894,59.014,59.899,,,60.661957,62.283202,-1.621245,-1.214187,-0.814116,9.086136,,,5.732097,651868.6
US,APP,2021-04-30,-1.960453,58.916,59.6,,,60.253963,61.966668,-1.712705,-1.31389,-0.797629,8.800177,,,5.447662,462606.8
US,APP,2021-05-03,3.533873,58.968,59.72,,,60.224123,61.825434,-1.601311,-1.371374,-0.459872,13.954072,,,5.229972,406582.2
US,APP,2021-05-04,-2.514153,58.908,59.56,,,59.966566,61.582809,-1.616243,-1.420348,-0.39179,13.355377,,,5.016402,456349.4
US,APP,2021-05-05,-0.631939,58.794,59.197,,,59.691709,61.330749,-1.63904,-1.464086,-0.349906,13.205863,,,4.785231,523446.8
US,APP,2021-05-06,-2.148505,58.346,58.68,,,59.266831,61.004767,-1.737937,-1.518856,-0.43816,12.689035,,,4.690571,730742.0
US,APP,2021-05-07,0.579659,58.196,58.556,,,58.958088,60.727377,-1.76929,-1.568943,-0.400693,13.649831,,,4.511959,784454.0
US,APP,2021-05-10,-3.073699,57.284,58.126,,,58.426074,60.340164,-1.91409,-1.637972,-0.552235,12.838391,,,4.528248,950895.4
US,APP,2021-05-11,-3.675676,56.266,57.587,,,57.662063,59.830522,-2.16846,-1.74407,-0.848779,11.951531,,,4.544087,1071755.4
US,APP,2021-05-12,-2.263374,55.08,56.937,58.7195,,56.829438,59.269002,-2.439564,-1.883169,-1.112791,11.446457,64.367751,53.071249,4.490938,1212989.2
US,APP,2021-05-13,-4.555024,53.668,56.007,57.953,,55.758755,58.57278,-2.814025,-2.06934,-1.48937,10.505987,64.020619,51.885381,4.561585,1276222.2
US,APP,2021-05-14,14.818528,53.668,55.932,57.766,,55.989716,58.475537,-2.485821,-2.152636,-0.66637,29.794442,63.67492,51.85708,4.803615,1405482.8
US,APP,2021-05-17,9.046455,55.056,56.17,57.945,,56.982067,58.769201,-1.787134,-2.079536,0.584804,39.618236,64.183354,51.706646,4.963357,1342515.2
US,APP,2021-05-18,2.962844,57.222,56.744,58.152,,58.106365,59.178149,-1.071784,-1.877985,1.612402,42.701951,64.921421,51.382579,4.893117,1270251.2
US,APP,2021-05-19,0.497745,59.694,57.387,58.292,,59.106924,59.580508,-0.473584,-1.597105,2.247042,43.241908,65.46219,51.12181,4.810037,1120747.2
US,APP,2021-05-20,5.092091,63.3,58.484,58.582,,60.459705,60.196767,0.262938,-1.225097,2.976069,48.604503,66.745197,50.418803,4.747892,984476.2
