code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
AVGO,博通,US,USD,Q3,2016-07-31,2016-09-14,3792000000.0,1782000000.0,-281000000.0,-420000000.0,-122000000.0,-298000000.0,-298000000.0,-0.07525252525252525,49752000000.0,6048000000.0,43704000000.0,1961000000.0,2181000000.0,2573000000.0,27248000000.0,2728000000.0,24520000000.0,1127000000.0,22504000000.0,19473000000.0,963000000.0,426000000.0,-232000000.0,-1469000000.0
AVGO,博通,US,USD,Q4,2016-10-31,2017-01-29,4136000000.0,2171000000.0,341000000.0,235000000.0,867000000.0,-632000000.0,-632000000.0,-0.15879396984924624,49966000000.0,7125000000.0,42841000000.0,3097000000.0,2181000000.0,2509000000.0,28090000000.0,3078000000.0,25012000000.0,1261000000.0,21876000000.0,18892000000.0,1352000000.0,26000000.0,-193000000.0,-242000000.0
AVGO,博通,US,USD,Q1,2017-01-31,2017-03-17,4139000000.0,2001000000.0,378000000.0,267000000.0,28000000.0,239000000.0,239000000.0,0.059899749373433585,49617000000.0,7350000000.0,42267000000.0,3536000000.0,1947000000.0,2646000000.0,27607000000.0,2122000000.0,25485000000.0,1047000000.0,22010000000.0,19033000000.0,1353000000.0,-319000000.0,-325000000.0,-595000000.0
AVGO,博通,US,USD,Q2,2017-04-30,2017-06-14,4190000000.0,1976000000.0,477000000.0,365000000.0,-75000000.0,440000000.0,440000000.0,0.10918114143920596,49849000000.0,8468000000.0,41381000000.0,4254000000.0,2073000000.0,2762000000.0,27506000000.0,2052000000.0,25454000000.0,925000000.0,22343000000.0,19425000000.0,1583000000.0,-493000000.0,-256000000.0,-372000000.0
AVGO,博通,US,USD,Q3,2017-07-31,2017-09-14,4463000000.0,2149000000.0,660000000.0,548000000.0,67000000.0,481000000.0,481000000.0,0.11818181818181818,49942000000.0,9943000000.0,39999000000.0,5249000000.0,2417000000.0,2909000000.0,27238000000.0,2218000000.0,25020000000.0,1158000000.0,22704000000.0,19802000000.0,1656000000.0,-258000000.0,-255000000.0,-403000000.0
AVGO,博通,US,USD,Q4,2017-10-31,2018-01-29,4844000000.0,2383000000.0,764000000.0,645000000.0,113000000.0,532000000.0,532000000.0,0.1303921568627451,54418000000.0,15823000000.0,38595000000.0,11204000000.0,2448000000.0,2599000000.0,31122000000.0,2529000000.0,28644000000.0,1105000000.0,23192000000.0,20285000000.0,1959000000.0,396000000.0,-233000000.0,3600000000.0
AVGO,博通,US,USD,Q1,2018-01-31,2018-03-17,5327000000.0,2628000000.0,978000000.0,795000000.0,-5435000000.0,6230000000.0,6230000000.0,1.5195121951219512,54544000000.0,11220000000.0,43324000000.0,7076000000.0,2459000000.0,2747000000.0,25463000000.0,1970000000.0,23493000000.0,816000000.0,29081000000.0,25901000000.0,1685000000.0,-4227000000.0,-220000000.0,-1586000000.0
AVGO,博通,US,USD,Q2,2018-05-06,2018-06-14,5014000000.0,2551000000.0,1247000000.0,1099000000.0,-2619000000.0,3718000000.0,3718000000.0,0.8831353919239905,54936000000.0,12474000000.0,42462000000.0,8187000000.0,2749000000.0,2720000000.0,22869000000.0,2124000000.0,20745000000.0,836000000.0,32067000000.0,32067000000.0,2313000000.0,-155000000.0,-189000000.0,-1047000000.0
AVGO,博通,US,USD,Q3,2018-08-05,2018-09-13,5063000000.0,2619000000.0,1378000000.0,1229000000.0,33000000.0,1196000000.0,1196000000.0,0.27813953488372095,50372000000.0,8695000000.0,41677000000.0,4136000000.0,3010000000.0,2695000000.0,22920000000.0,2187000000.0,20733000000.0,785000000.0,27452000000.0,27452000000.0,2247000000.0,-174000000.0,-120000000.0,-6124000000.0
AVGO,博通,US,USD,Q4,2018-11-04,2018-12-21,5444000000.0,2935000000.0,1570000000.0,1422000000.0,307000000.0,1115000000.0,1115000000.0,0.27063106796116504,50124000000.0,9107000000.0,41017000000.0,4292000000.0,3325000000.0,2635000000.0,23467000000.0,2338000000.0,21129000000.0,811000000.0,26657000000.0,26657000000.0,2635000000.0,-118000000.0,-106000000.0,-2361000000.0
AVGO,博通,US,USD,Q1,2019-02-03,2019-03-15,5789000000.0,3208000000.0,623000000.0,278000000.0,-193000000.0,471000000.0,471000000.0,0.11745635910224439,72110000000.0,10604000000.0,61506000000.0,5093000000.0,3677000000.0,2684000000.0,48886000000.0,8349000000.0,40537000000.0,738000000.0,23224000000.0,23224000000.0,2132000000.0,-15193000000.0,-99000000.0,13862000000.0
AVGO,博通,US,USD,Q2,2019-05-05,2019-06-14,5517000000.0,3089000000.0,1033000000.0,657000000.0,-34000000.0,691000000.0,691000000.0,0.17405541561712845,70916000000.0,10677000000.0,60239000000.0,5328000000.0,3484000000.0,2654000000.0,48744000000.0,8503000000.0,40241000000.0,759000000.0,22172000000.0,22172000000.0,2667000000.0,-106000000.0,-125000000.0,-2326000000.0
