country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,AVGO,2016-06-23,157.4,158.6,156.0,158.6,12.09,12.18,11.98,12.18,2443529.0,385222346.85,0.07679697351828499,3.96,628.056,3.96,628.056,0.006170527777777777
US,AVGO,2016-06-24,152.0,154.9,148.4,148.7,11.67,11.9,11.4,11.42,6417723.0,969076173.0,0.07679892400806994,3.96,588.852,3.96,588.852,0.016206371212121214
US,AVGO,2016-06-27,146.5,147.3,142.3,143.6,11.25,11.31,10.93,11.03,3798294.0,550467757.95,0.07681058495821727,3.96,568.656,3.96,568.656,0.009591651515151515
US,AVGO,2016-06-28,146.7,149.9,146.6,149.8,11.27,11.52,11.26,11.51,3723300.0,551979225.0,0.07683578104138851,3.96,593.208,3.96,593.208,0.009402272727272728
US,AVGO,2016-06-29,152.0,155.7,150.8,155.0,11.68,11.96,11.59,11.91,4786602.0,734145081.75,0.07683870967741936,3.96,613.8,3.96,613.8,0.012087378787878788
US,AVGO,2016-06-30,155.0,157.2,154.2,155.4,11.91,12.08,11.85,11.94,4262645.0,662628165.25,0.07683397683397683,3.96,615.384,3.96,615.384,0.01076425505050505
US,AVGO,2016-07-01,154.5,155.9,153.6,154.2,11.87,11.98,11.8,11.85,1977927.0,305688617.85,0.07684824902723736,3.96,610.632,3.96,610.632,0.004994765151515151
US,AVGO,2016-07-05,151.6,151.7,149.5,150.8,11.65,11.66,11.49,11.59,2632100.0,397183890.0,0.07685676392572943,3.96,597.168,3.96,597.168,0.006646717171717172
US,AVGO,2016-07-06,149.4,151.3,147.2,150.6,11.48,11.62,11.31,11.57,2060327.0,308276427.375,0.07682602921646747,3.96,596.376,3.96,596.376,0.005202845959595959
US,AVGO,2016-07-07,150.1,153.0,150.1,151.0,11.53,11.75,11.53,11.6,1924823.0,290744514.15,0.07682119205298013,3.96,597.96,3.96,597.96,0.0048606641414141415
US,AVGO,2016-07-08,152.7,155.3,151.9,155.1,11.74,11.94,11.67,11.92,2674100.0,411142875.0,0.07685364281108963,3.96,614.196,3.96,614.196,0.006752777777777778
US,AVGO,2016-07-11,157.1,158.5,156.3,157.4,12.07,12.17,12.01,12.09,2520100.0,396474732.5,0.07681067344345616,3.96,623.304,3.96,623.304,0.0063638888888888885
US,AVGO,2016-07-12,158.6,160.9,158.3,158.6,12.18,12.36,12.16,12.18,2032892.0,323433117.2,0.07679697351828499,3.96,628.056,3.96,628.056,0.0051335656565656565
US,AVGO,2016-07-13,158.9,160.4,157.3,157.4,12.21,12.32,12.08,12.09,1573437.0,249389764.5,0.07681067344345616,3.96,623.304,3.96,623.304,0.003973325757575758
US,AVGO,2016-07-14,159.6,161.1,158.9,160.8,12.26,12.37,12.2,12.35,2355047.0,377043024.7,0.07680348258706467,3.96,636.768,3.96,636.768,0.0059470883838383835
US,AVGO,2016-07-15,161.1,161.6,159.7,161.2,12.37,12.41,12.26,12.38,1925944.0,309884389.6,0.07679900744416875,3.96,638.352,3.96,638.352,0.004863494949494949
US,AVGO,2016-07-18,162.4,163.7,162.0,162.3,12.48,12.58,12.45,12.47,1462600.0,237818760.0,0.07683302526186075,3.96,642.708,3.96,642.708,0.0036934343434343432
US,AVGO,2016-07-19,161.5,162.0,159.8,160.5,12.41,12.45,12.28,12.33,1479711.0,238159485.45,0.07682242990654206,3.96,635.58,3.96,635.58,0.0037366439393939394
US,AVGO,2016-07-20,161.6,163.8,160.9,162.7,12.42,12.58,12.36,12.5,1806400.0,293088400.0,0.07682851874615858,3.96,644.292,3.96,644.292,0.0045616161616161615
US,AVGO,2016-07-21,163.0,163.5,159.8,160.4,12.52,12.56,12.27,12.32,1953000.0,315751275.0,0.07680798004987531,3.96,635.184,3.96,635.184,0.004931818181818182
US,AVGO,2016-07-22,159.6,160.3,156.7,159.7,12.26,12.32,12.04,12.27,1966400.0,312805080.0,0.07683155917345022,3.96,632.412,3.96,632.412,0.004965656565656566
US,AVGO,2016-07-25,159.6,160.7,159.3,159.8,12.26,12.35,12.24,12.28,962700.0,153887595.0,0.07684605757196494,3.96,632.808,3.96,632.808,0.002431060606060606
US,AVGO,2016-07-26,161.4,163.5,160.4,163.4,12.4,12.56,12.32,12.55,2863107.0,464324377.725,0.07680538555691555,3.96,647.064,3.96,647.064,0.007230068181818182
US,AVGO,2016-07-27,165.9,167.6,162.7,165.7,12.75,12.88,12.5,12.73,3049300.0,504582917.5,0.07682558841279422,3.96,656.172,3.96,656.172,0.007700252525252525
US,AVGO,2016-07-28,165.0,167.0,163.9,164.2,12.68,12.84,12.6,12.62,1951227.0,322001235.675,0.07685749086479902,3.96,650.232,3.96,650.232,0.004927340909090909
US,AVGO,2016-07-29,163.9,164.7,161.1,162.0,12.6,12.66,12.38,12.45,2603000.0,424093775.0,0.07685185185185185,3.96,641.52,3.96,641.52,0.006573232323232323
US,AVGO,2016-08-01,162.8,163.9,161.9,163.5,12.51,12.59,12.44,12.56,1787629.0,291428217.725,0.07681957186544343,3.98,650.73,3.98,650.73,0.0044915301507537685
US,AVGO,2016-08-02,163.1,164.0,162.3,162.9,12.54,12.6,12.47,12.52,2268947.0,370008532.025,0.07685696746470226,3.98,648.342,3.98,648.342,0.005700871859296483
US,AVGO,2016-08-03,161.9,164.2,161.3,164.1,12.44,12.62,12.39,12.61,1501908.0,244623265.5,0.07684338817794029,3.98,653.118,3.98,653.118,0.003773638190954774
US,AVGO,2016-08-04,164.3,167.0,164.2,167.0,12.62,12.83,12.61,12.83,1997836.0,330891587.5,0.07682634730538922,3.98,664.66,3.98,664.66,0.0050196884422110555
US,AVGO,2016-08-05,168.0,170.2,167.2,170.1,12.91,13.08,12.85,13.07,2559400.0,432218675.0,0.0768371546149324,3.98,676.998,3.98,676.998,0.006430653266331659
US,AVGO,2016-08-08,170.0,171.2,167.9,168.4,13.06,13.16,12.9,12.94,1908431.0,323240500.625,0.07684085510688836,3.98,670.232,3.98,670.232,0.004795052763819096
US,AVGO,2016-08-09,168.9,172.2,168.7,171.2,12.97,13.23,12.96,13.15,3274632.0,557506098.0,0.0768107476635514,3.98,681.376,3.98,681.376,0.008227718592964823
