country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,BE,Q2,2016-06-30,2016-08-14,-0.25719,-0.878486,-0.986524,0.157153,-0.049422,1.382507,1.179961,-3.752058,0.050097,-3.179816,-1.363687,1.382315,-1.307041,,
US,BE,Q3,2016-09-30,2016-11-14,-0.810517,-1.682499,-1.752134,0.219492,-0.079792,1.519219,1.191899,-3.278684,0.04554,-2.750807,-2.07952,1.18685,-2.052429,,
US,BE,Q4,2016-12-31,2017-03-31,-0.333798,-1.008074,-1.186671,0.160955,-0.064328,1.501706,1.204499,-3.013776,0.054209,-2.502098,-0.521633,0.439577,-0.482136,,
US,BE,Q1,2017-03-31,2017-05-15,-0.120476,-0.565273,-0.824577,0.241777,,,,-0.0,,-0.0,-0.887114,1.075842,-0.87415,,
US,BE,Q2,2017-06-30,2017-08-14,-0.090087,-0.481846,-0.731422,0.108006,-0.051539,1.50158,1.292648,-2.708913,0.070464,-2.095631,-0.178929,0.244632,-0.163615,0.651845,-0.2247
US,BE,Q3,2017-09-30,2017-11-14,-0.181944,-0.5028,-0.766075,0.111911,-0.057977,1.350155,1.340475,-2.587483,0.07568,-1.930273,0.154386,-0.201529,0.176121,0.806682,0.210075
US,BE,Q4,2017-12-31,2018-03-31,0.104405,-0.342667,-0.549781,0.031083,-0.055497,1.548123,2.610564,-1.462137,0.100944,-0.560085,-0.016852,0.030652,-0.010061,0.888325,0.125145
US,BE,Q1,2018-03-31,2018-05-15,0.26205,0.006034,-0.104605,0.008091,-0.014955,1.626563,2.672842,-1.446055,0.142965,-0.541018,-0.20363,1.946658,-0.202313,1.345818,0.702412
US,BE,Q2,2018-06-30,2018-09-07,0.182241,-0.141478,-0.270463,0.02051,-0.039453,1.572756,2.753977,-1.431682,0.145872,-0.51986,0.094161,-0.348148,0.102285,0.946015,0.28041
US,BE,Q3,2018-09-30,2018-11-13,0.114112,-0.334897,-0.413161,0.924731,-0.054374,2.569521,0.92643,-15.755516,0.131606,-17.006708,0.025958,-0.062828,0.054877,1.028369,-0.093943
