code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
BE,Bloom Energy Corp-A,US,USD,Q2,2016-06-30,2016-08-14,52537000.0,-13512000.0,-46153000.0,-68961000.0,-17132000.0,-51829000.0,-51829000.0,-5.1829,1048700000.0,366117000.0,682583000.0,125042000.0,26910000.0,457497000.0,1237425000.0,264821000.0,972604000.0,71818000.0,-188725000.0,-329799000.0,-71644000.0,-24862000.0,-2976000.0,72596000.0
BE,Bloom Energy Corp-A,US,USD,Q3,2016-09-30,2016-11-14,51899000.0,-42065000.0,-87320000.0,-107186000.0,-16252000.0,-90934000.0,-90934000.0,-9.071628092577813,1139640000.0,388209000.0,751431000.0,157323000.0,33262000.0,508602000.0,1358336000.0,255532000.0,1102804000.0,55631000.0,-218696000.0,-414293000.0,-107925000.0,-1406000.0,-1406000.0,136847000.0
BE,Bloom Energy Corp-A,US,USD,Q4,2016-12-31,2017-03-31,65270000.0,-21787000.0,-65797000.0,-89596000.0,-12142000.0,-77454000.0,-77454000.0,-7.659612341772152,1204047000.0,392085000.0,811962000.0,156577000.0,40007000.0,538445000.0,1450274000.0,261093000.0,1189181000.0,41505000.0,-246227000.0,-481215000.0,-34047000.0,-2578000.0,-2578000.0,39911000.0
BE,Bloom Energy Corp-A,US,USD,Q1,2017-03-31,2017-05-15,72197000.0,-8698000.0,-40811000.0,-65174000.0,-5642000.0,-59532000.0,-59532000.0,-1.016644158252894,0.0,156577000.0,-156577000.0,-156577000.0,0.0,0.0,0.0,0.0,0.0,0.0,-246227000.0,-246227000.0,-64047000.0,-936000.0,-936000.0,-3204000.0
BE,Bloom Energy Corp-A,US,USD,Q2,2017-06-30,2017-08-14,86783000.0,-7818000.0,-41816000.0,-67370000.0,-3895000.0,-63475000.0,-63475000.0,-1.091848365887874,1231598000.0,404784000.0,826814000.0,153256000.0,45461000.0,516628000.0,1592023000.0,269572000.0,1322451000.0,28174000.0,-360425000.0,-587698000.0,-15528000.0,-1329000.0,-1329000.0,80360000.0
BE,Bloom Energy Corp-A,US,USD,Q3,2017-09-30,2017-11-14,93765000.0,-17060000.0,-47145000.0,-76044000.0,-4213000.0,-71831000.0,-71831000.0,-1.2355818821597775,1238959000.0,425461000.0,813498000.0,123688000.0,42374000.0,507036000.0,1660794000.0,315120000.0,1345674000.0,39195000.0,-421835000.0,-641857000.0,14476000.0,-28863000.0,-2038000.0,-6908000.0
BE,Bloom Energy Corp-A,US,USD,Q4,2017-12-31,2018-03-31,123251000.0,12868000.0,-42234000.0,-72041000.0,-4280000.0,-67761000.0,-67761000.0,-1.165572857360035,1220987000.0,419981000.0,801006000.0,103828000.0,35526000.0,497789000.0,3187465000.0,271284000.0,2916181000.0,48582000.0,-1966478000.0,-2180004000.0,-2077000.0,-805000.0,-837000.0,-8442000.0
BE,Bloom Energy Corp-A,US,USD,Q1,2018-03-31,2018-05-15,169361000.0,44381000.0,1022000.0,-22015000.0,-4299000.0,-17716000.0,-17716000.0,-0.25407230973083894,1184634000.0,401330000.0,783304000.0,88227000.0,63823000.0,487169000.0,3166339000.0,246735000.0,2919604000.0,47755000.0,-1981705000.0,-2189640000.0,-34487000.0,6536000.0,-223000.0,-9069000.0
BE,Bloom Energy Corp-A,US,USD,Q2,2018-06-30,2018-09-07,168881000.0,30777000.0,-23893000.0,-50060000.0,-4384000.0,-45676000.0,-45676000.0,-0.6550579599946827,1157737000.0,390273000.0,767464000.0,91596000.0,42202000.0,477765000.0,3188381000.0,248146000.0,2940235000.0,53798000.0,-2030644000.0,-2227017000.0,15902000.0,3137000.0,-1372000.0,-12759000.0
BE,Bloom Energy Corp-A,US,USD,Q3,2018-09-30,2018-11-13,190190000.0,21703000.0,-63694000.0,-82513000.0,-3934000.0,-78579000.0,-78579000.0,-0.9662817722359538,1445145000.0,698532000.0,746613000.0,395516000.0,46981000.0,471074000.0,1338825000.0,271853000.0,1066972000.0,59818000.0,106320000.0,-84975000.0,4937000.0,5750000.0,-5500000.0,283667000.0
BE,Bloom Energy Corp-A,US,USD,Q4,2018-12-31,2019-03-21,213606000.0,61666000.0,-95647000.0,-103364000.0,12085000.0,-115449000.0,-115449000.0,-1.0550882090170786,1389668000.0,663934000.0,717087000.0,220728000.0,94378000.0,481414000.0,1298958000.0,279666000.0,1019292000.0,66889000.0,90710000.0,-91661000.0,-44769000.0,-110252000.0,-10820000.0,-8720000.0
BE,Bloom Energy Corp-A,US,USD,Q1,2019-03-31,2019-05-14,200707000.0,55270000.0,-85132000.0,-88065000.0,16855000.0,-104920000.0,-104920000.0,-0.9381091182203466,1318850000.0,639842000.0,679008000.0,320414000.0,89787000.0,475385000.0,1250823000.0,276194000.0,974629000.0,64425000.0,68027000.0,-105439000.0,-9845000.0,91706000.0,-12794000.0,7588000.0
BE,Bloom Energy Corp-A,US,USD,Q2,2019-06-30,2019-08-13,233782000.0,61806000.0,-62340000.0,-66973000.0,14938000.0,-81911000.0,-81911000.0,-0.720907922761437,1222579000.0,592284000.0,630295000.0,308009000.0,44113000.0,406610000.0,1233787000.0,339087000.0,894700000.0,61427000.0,-11208000.0,-115785000.0,113461000.0,-11795000.0,-11795000.0,-100534000.0
BE,Bloom Energy Corp-A,US,USD,Q3,2019-09-30,2019-11-13,233471000.0,51585000.0,-33713000.0,-39794000.0,11956000.0,-51750000.0,-51750000.0,-0.4448551534427921,1169927000.0,490359000.0,679568000.0,226499000.0,32656000.0,384377000.0,1181011000.0,293726000.0,887285000.0,81060000.0,-11084000.0,-106847000.0,37869000.0,-16579000.0,-16579000.0,-34481000.0
BE,Bloom Energy Corp-A,US,USD,Q4,2019-12-31,2020-03-31,117217000.0,-72875000.0,-47412000.0,-128001000.0,-62168000.0,-65833000.0,-65833000.0,-0.5549532993896887,1322591000.0,472707000.0,849884000.0,202823000.0,42936000.0,607059000.0,1490451000.0,573964000.0,916487000.0,55579000.0,-167860000.0,-259594000.0,24587000.0,-26101000.0,-26101000.0,21027000.0
BE,Bloom Energy Corp-A,US,USD,Q1,2020-03-31,2020-05-11,156699000.0,19182000.0,-59398000.0,-81518000.0,-5569000.0,-75949000.0,-75949000.0,-0.6136648271292713,1312608000.0,462895000.0,849713000.0,180307000.0,40861000.0,606850000.0,1571773000.0,285744000.0,1286029000.0,60401000.0,-259165000.0,-333099000.0,-27948000.0,-12360000.0,-12360000.0,16839000.0
BE,Bloom Energy Corp-A,US,USD,Q2,2020-06-30,2020-08-04,187856000.0,24519000.0,-32669000.0,-47837000.0,-5325000.0,-42512000.0,-42512000.0,-0.33758973381614893,1277543000.0,440792000.0,836751000.0,144072000.0,54868000.0,601566000.0,1528074000.0,303734000.0,1224340000.0,64896000.0,-250531000.0,-316951000.0,-12287000.0,-7200000.0,-7200000.0,-10303000.0
BE,Bloom Energy Corp-A,US,USD,Q3,2020-09-30,2020-11-06,200305000.0,52542000.0,2386000.0,-17869000.0,-5915000.0,-11954000.0,-11954000.0,-0.0860222791514349,1474359000.0,650053000.0,824306000.0,325241000.0,55822000.0,601929000.0,1431679000.0,389516000.0,1042163000.0,64282000.0,42680000.0,-22418000.0,-39754000.0,-13506000.0,-13506000.0,233501000.0
BE,Bloom Energy Corp-A,US,USD,Q4,2020-12-31,2021-02-26,249387000.0,65156000.0,-10360999.0,-31607000.0,-4469000.0,-27138000.0,-27138000.0,-0.16350655219159513,1454387000.0,618604000.0,835783000.0,246947000.0,104941000.0,636249000.0,1312991000.0,436377000.0,876614000.0,58334000.0,141396000.0,78824000.0,-18806000.0,-4847000.0,-4847000.0,-64109000.0
