country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,BE,2018-07-25,,,,,,25.0,25.0,0.0,0.0,0.0,,,,6.5,
US,BE,2018-07-26,-15.96,,,,,24.386154,24.704444,-0.318291,-0.063658,-0.509265,0.0,,,6.371429,
US,BE,2018-07-27,7.567825,,,,,24.111361,24.54856,-0.437199,-0.138366,-0.597665,2.974186,,,6.058469,
US,BE,2018-07-30,5.530973,,,,,24.071152,24.496815,-0.425663,-0.195826,-0.459675,5.357343,,,5.725722,
US,BE,2018-07-31,-3.354298,23.102,,,,23.914051,24.389643,-0.475592,-0.251779,-0.447626,5.268159,,,5.579599,4499999.8
US,BE,2018-08-01,1.952278,22.802,,,,23.850351,24.323744,-0.473392,-0.296102,-0.354582,6.213928,,,5.338199,1949249.6
US,BE,2018-08-02,4.255319,23.5,,,,23.950297,24.3368,-0.386503,-0.314182,-0.144642,8.402421,,,5.072613,1360229.0
US,BE,2018-08-03,9.387755,24.34,,,,24.388713,24.519259,-0.130546,-0.277455,0.293817,13.407376,,,4.895998,1276845.6
US,BE,2018-08-06,4.253731,25.158,,,,24.935065,24.772647,0.162418,-0.18948,0.703796,15.86137,,,4.766284,1334243.2
US,BE,2018-08-07,-1.753758,26.038,24.57,,,25.321978,24.97097,0.351008,-0.081382,0.864782,15.655994,,,4.541549,995168.0
US,BE,2018-08-08,2.550091,26.968,24.885,,,25.757058,25.206453,0.550605,0.045015,1.01118,17.303333,,,4.342153,1036130.2
US,BE,2018-08-09,-5.079929,27.412,25.456,,,25.905203,25.318568,0.586635,0.153339,0.866592,16.590464,,,4.142713,980025.6
US,BE,2018-08-10,3.480539,27.582,25.961,,,26.173633,25.491267,0.682367,0.259145,0.846444,18.929697,,,3.968234,885475.0
US,BE,2018-08-13,-10.45208,26.946,26.052,,,25.956151,25.437099,0.519053,0.311126,0.415853,17.30549,,,3.894789,723061.2
US,BE,2018-08-14,3.029079,26.558,26.298,,,25.887513,25.442499,0.445014,0.337904,0.21422,19.242051,,,3.695161,601604.0
US,BE,2018-08-15,-10.192082,25.51,26.239,,,25.429434,25.254906,0.174528,0.305229,-0.261402,17.695009,,,3.646935,533985.2
US,BE,2018-08-16,0.960279,24.792,26.102,,,25.075675,25.097506,-0.021831,0.239817,-0.523295,18.293615,,,3.459297,566846.4
US,BE,2018-08-17,-4.020752,23.702,25.642,,,24.633263,24.882876,-0.249612,0.141931,-0.783087,17.707325,,,3.315061,600971.6
US,BE,2018-08-20,0.990991,23.234,25.09,,,24.292761,24.70044,-0.407679,0.032009,-0.879376,18.373774,,,3.175414,696245.2
US,BE,2018-08-21,12.711864,23.186,24.872,24.721,,24.443106,24.74263,-0.299524,-0.034298,-0.530453,26.659945,28.923137,20.518863,3.190027,889570.6
US,BE,2018-08-22,6.846063,24.004,24.757,24.821,,24.836474,24.909843,-0.073369,-0.042112,-0.062513,31.223962,29.138541,20.503459,3.155025,901886.6
US,BE,2018-08-23,8.444444,25.234,25.013,25.2345,,25.520093,25.233558,0.286535,0.023617,0.525836,36.805557,29.596726,20.872274,3.108238,1051085.8
US,BE,2018-08-24,5.56694,26.976,25.339,25.65,,26.34931,25.654035,0.695275,0.157949,1.074651,40.521899,30.48659,20.81341,3.172649,1250213.6
US,BE,2018-08-27,-7.182142,28.23,25.732,25.892,,26.709416,25.878921,0.830494,0.292458,1.076073,37.304206,30.82745,20.95655,3.14246,1286701.8
US,BE,2018-08-28,2.99756,29.086,26.136,26.217,,27.146429,26.150853,0.995576,0.433082,1.124988,39.314547,31.216696,21.217304,3.067284,1167000.0
US,BE,2018-08-29,-1.353638,29.516,26.76,26.4995,,27.454671,26.373012,1.081658,0.562797,1.037723,38.69309,31.491676,21.507324,2.929621,1094278.0
US,BE,2018-08-30,-1.372213,29.41,27.322,26.712,,27.653952,26.549085,1.104867,0.671211,0.867312,38.045433,31.707452,21.716548,2.794648,937107.6
US,BE,2018-08-31,4.173913,29.218,28.097,26.8695,,28.00719,26.801005,1.206185,0.778206,0.855959,41.223903,32.060906,21.678094,2.745745,716510.2
US,BE,2018-09-04,-4.841402,29.18,28.705,26.8975,,28.083007,26.926856,1.156151,0.853795,0.604712,38.644028,32.11766,21.67734,2.686763,572864.0
US,BE,2018-09-05,-1.017544,28.912,28.999,26.9355,,28.102544,27.021904,1.08064,0.899164,0.362953,38.130066,32.182192,21.688808,2.657709,547666.6
US,BE,2018-09-06,1.736973,28.822,29.169,26.963,,28.194461,27.146208,1.048253,0.928982,0.238543,39.591996,32.240541,21.685459,2.527872,491871.2
US,BE,2018-09-07,6.550523,29.188,29.299,27.156,,28.561467,27.400563,1.160904,0.975366,0.371076,44.965171,32.661286,21.650714,2.564453,515648.4
US,BE,2018-09-10,-5.00327,29.008,29.113,27.226,,28.636626,27.522743,1.113883,1.003069,0.221626,41.713327,32.789921,21.662079,2.67342,620488.0
US,BE,2018-09-11,0.722892,29.16,29.17,27.451,,28.732529,27.651429,1.081101,1.018676,0.12485,42.329805,32.961528,21.940472,2.602462,562640.2
US,BE,2018-09-12,9.056733,29.9,29.406,27.771,,29.221371,27.966879,1.254493,1.065839,0.377307,49.577264,33.531152,22.010848,2.627286,554729.4
US,BE,2018-09-13,-0.720777,30.496,29.659,28.2095,,29.599622,28.241925,1.357697,1.124211,0.466973,49.001675,33.753904,22.665096,2.678194,692350.0
US,BE,2018-09-14,-6.628788,30.296,29.742,28.532,,29.596603,28.341041,1.255562,1.150481,0.210162,43.980912,33.58569,23.47831,2.685466,691321.2
US,BE,2018-09-17,-1.960784,30.286,29.647,28.872,,29.504818,28.389853,1.114965,1.143378,-0.056826,42.680208,33.007498,24.736502,2.611504,545570.6
US,BE,2018-09-18,3.172414,30.418,29.789,29.247,,29.568692,28.503197,1.065495,1.127801,-0.124613,45.436717,32.151108,26.342892,2.497825,532077.0
US,BE,2018-09-19,-2.239305,29.886,29.893,29.446,,29.519663,28.558516,0.961147,1.09447,-0.266647,43.785307,31.707003,27.184997,2.468695,523144.0
US,BE,2018-09-20,2.598291,29.552,30.024,29.5965,,29.595099,28.666033,0.929066,1.061389,-0.264647,46.175071,31.568446,27.624554,2.385217,382030.8
US,BE,2018-09-21,3.132289,29.826,30.061,29.68,,29.803545,28.835216,0.968329,1.042777,-0.148896,49.059546,31.731107,27.628893,2.436987,593984.8
US,BE,2018-09-24,4.200323,30.476,30.381,29.747,,30.179923,29.088163,1.09176,1.052574,0.078372,52.824824,32.028991,27.465009,2.412202,615800.4
US,BE,2018-09-25,5.674419,31.308,30.863,30.0165,,30.779935,29.457929,1.322006,1.10646,0.431092,57.578334,32.923129,27.109871,2.427759,663908.8
US,BE,2018-09-26,5.046948,32.618,31.252,30.329,,31.552253,29.927712,1.624541,1.210076,0.828929,61.504535,34.163595,26.494405,2.433633,689087.8
US,BE,2018-09-27,-6.145251,33.336,31.444,30.5515,,31.867291,30.199733,1.667558,1.301573,0.73197,54.550137,34.597235,26.505765,2.600517,818331.2
US,BE,2018-09-28,1.428571,33.962,31.894,30.818,,32.207707,30.48716,1.720547,1.385368,0.670359,55.726389,35.051777,26.584223,2.594051,564452.4
US,BE,2018-10-01,-5.311033,33.966,32.221,30.934,,32.217291,30.619222,1.598068,1.427908,0.340321,50.426698,35.193345,26.674655,2.585905,548262.4
US,BE,2018-10-02,-6.35265,33.194,32.251,31.02,,31.910015,30.58965,1.320365,1.406399,-0.172068,45.185304,35.146684,26.893316,2.596912,517087.4
US,BE,2018-10-03,0.099272,32.084,32.351,31.122,,31.654628,30.564491,1.090137,1.343147,-0.506019,45.274949,35.062465,27.181535,2.541418,505582.6
US,BE,2018-10-04,-6.31405,31.032,32.184,31.104,,31.144686,30.399714,0.744972,1.223512,-0.95708,40.710099,35.091563,27.116437,2.517745,442772.0
US,BE,2018-10-05,-3.422724,29.69,31.826,30.9435,,30.563965,30.175291,0.388674,1.056544,-1.33574,38.582536,35.248294,26.638706,2.570763,501440.6
US,BE,2018-10-08,-1.096091,28.65,31.308,30.8445,,30.026432,29.945269,0.081162,0.861468,-1.560611,37.922435,35.402546,26.286454,2.542137,573822.2
