country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,BE,2018-07-25,18.7,25.0,18.5,25.0,18.7,25.0,18.5,25.0,13709619.0,279950419.98,1.0,0.81321,20.33025,0.81321,20.33025,0.16858645368355038
US,BE,2018-07-26,24.745,24.85,20.3,21.01,24.75,24.85,20.3,21.01,3628873.0,80198093.3,1.0,0.81321,17.085542,0.81321,17.085542,0.044624057746461554
US,BE,2018-07-27,21.2,23.0,21.2,22.6,21.2,23.0,21.2,22.6,1321240.0,28948368.4,1.0,0.81321,18.378546,0.81321,18.378546,0.016247217815816332
US,BE,2018-07-30,22.75,24.0,22.65,23.85,22.75,24.0,22.65,23.85,1236590.0,29369012.5,1.0,0.81321,19.395059,0.81321,19.395059,0.015206281280358088
US,BE,2018-07-31,24.03,26.43,22.75,23.05,24.03,26.43,22.75,23.05,2603677.0,63191240.79,1.0,0.81321,18.744491,0.81321,18.744491,0.03201727721006874
US,BE,2018-08-01,23.67,24.8,22.6,23.5,23.67,24.8,22.6,23.5,955868.0,22558484.8,1.0,0.81321,19.110435,0.81321,19.110435,0.011754257817783845
US,BE,2018-08-02,23.5,25.12,23.5,24.5,23.5,25.12,23.5,24.5,683770.0,16854930.5,1.0,0.81321,19.923645,0.81321,19.923645,0.008408283223275661
US,BE,2018-08-03,24.63,27.1,24.5,26.8,24.63,27.1,24.5,26.8,904323.0,23584743.84,1.0,0.81321,21.794028,0.81321,21.794028,0.01112041170177445
US,BE,2018-08-06,27.07,29.875,26.9,27.94,27.07,29.88,26.9,27.94,1523578.0,43543859.24,1.0,0.81321,22.721087,0.81321,22.721087,0.01873535741075491
US,BE,2018-08-07,28.66,28.749,27.13,27.45,28.66,28.75,27.13,27.45,908301.0,25114522.65,1.0,0.81321,22.322615,0.81321,22.322615,0.01116932895562032
US,BE,2018-08-08,27.89,28.25,26.5,28.15,27.89,28.25,26.5,28.15,1160679.0,31941886.08,1.0,0.81321,22.891862,0.81321,22.891862,0.014272807761832738
US,BE,2018-08-09,28.0,28.03,26.6,26.72,28.0,28.03,26.6,26.72,403247.0,10927993.7,1.0,0.81321,21.728971,0.81321,21.728971,0.004958706853088378
US,BE,2018-08-10,26.84,28.0,26.3,27.65,26.84,28.0,26.3,27.65,431570.0,11751651.1,1.0,0.81321,22.485256,0.81321,22.485256,0.005306993273570173
US,BE,2018-08-13,27.65,27.65,24.71,24.76,27.65,27.65,24.71,24.76,711509.0,18485003.82,1.0,0.81321,20.13508,0.81321,20.13508,0.00874938822690326
US,BE,2018-08-14,25.1,25.8632,25.0,25.51,25.1,25.86,25.0,25.51,301015.0,7645781.0,1.0,0.81321,20.744987,0.81321,20.744987,0.0037015654013108543
US,BE,2018-08-15,25.8,25.8,22.78,22.91,25.8,25.8,22.78,22.91,822585.0,19363650.9,1.0,0.81321,18.630641,0.81321,18.630641,0.010115283875013835
US,BE,2018-08-16,23.5,23.92,22.9001,23.13,23.5,23.92,22.9,23.13,567553.0,13229660.43,1.0,0.81321,18.809547,0.81321,18.809547,0.006979168972344167
US,BE,2018-08-17,23.63,23.63,22.19,22.2,23.63,23.63,22.19,22.2,602196.0,13736090.76,1.0,0.81321,18.053262,0.81321,18.053262,0.00740517209576862
US,BE,2018-08-20,22.0,23.1059,21.75,22.42,22.0,23.11,21.75,22.42,1187877.0,26679717.42,1.0,0.81321,18.232168,0.81321,18.232168,0.014607260117312872
US,BE,2018-08-21,22.85,25.8,22.61,25.27,22.85,25.8,22.61,25.27,1267642.0,31082581.84,1.0,0.81321,20.549817,0.81321,20.549817,0.015588126068297242
US,BE,2018-08-22,25.02,27.5,24.8,27.0,25.02,27.5,24.8,27.0,884165.0,23315431.05,1.0,0.81321,21.95667,0.81321,21.95667,0.010872529850838038
US,BE,2018-08-23,27.21,29.5,27.1921,29.28,27.21,29.5,27.19,29.28,1313549.0,37278520.62,1.0,0.81321,23.810789,0.81321,23.810789,0.01615264199899165
US,BE,2018-08-24,29.25,33.25,29.2412,30.91,29.25,33.25,29.24,30.91,1597835.0,50283867.45,1.0,0.81321,25.136321,0.81321,25.136321,0.019648491779491153
US,BE,2018-08-27,29.0,30.44,28.1601,28.69,29.0,30.44,28.16,28.69,1370318.0,39944769.7,1.0,0.81321,23.330995,0.81321,23.330995,0.01685072736439542
US,BE,2018-08-28,28.62,30.59,28.5,29.55,28.62,30.59,28.5,29.55,669133.0,19833102.12,1.0,0.81321,24.030355,0.81321,24.030355,0.008228292814894062
US,BE,2018-08-29,29.69,29.75,28.61,29.15,29.69,29.75,28.61,29.15,520555.0,15273083.7,1.0,0.81321,23.705071,0.81321,23.705071,0.006401237072834815
US,BE,2018-08-30,28.87,29.02,28.11,28.75,28.87,29.02,28.11,28.75,527697.0,15002425.71,1.0,0.81321,23.379787,0.81321,23.379787,0.006489061865938687
US,BE,2018-08-31,28.4,30.18,28.07,29.95,28.4,30.18,28.07,29.95,494848.0,14761315.84,1.0,0.81321,24.355639,0.81321,24.355639,0.006085119464836881
US,BE,2018-09-04,30.0,30.05,28.1325,28.5,30.0,30.05,28.13,28.5,652087.0,18812709.95,1.0,0.81321,23.176485,0.81321,23.176485,0.008018679061988908
US,BE,2018-09-05,28.19,28.63,26.355,28.21,28.19,28.63,26.35,28.21,543146.0,15017986.9,1.0,0.81321,22.940654,0.81321,22.940654,0.006679037395014818
US,BE,2018-09-06,28.0,28.84,28.0,28.7,28.0,28.84,28.0,28.7,241578.0,6884973.0,1.0,0.81321,23.339127,0.81321,23.339127,0.0029706717821964806
US,BE,2018-09-07,28.64,31.13,28.085,30.58,28.64,31.13,28.09,30.58,646583.0,19591464.9,1.0,0.81321,24.867962,0.81321,24.867962,0.007950996667527454
US,BE,2018-09-10,31.33,31.4499,27.36,29.05,31.33,31.45,27.36,29.05,1019046.0,29644048.14,1.0,0.81321,23.62375,0.81321,23.62375,0.012531154314383739
US,BE,2018-09-11,29.0,29.54,27.86,29.26,29.0,29.54,27.86,29.26,362848.0,10420994.56,1.0,0.81321,23.794525,0.81321,23.794525,0.004461922504642097
US,BE,2018-09-12,29.41,32.0899,29.1401,31.91,29.41,32.09,29.14,31.91,503592.0,15485454.0,1.0,0.81321,25.949531,0.81321,25.949531,0.006192643966503117
US,BE,2018-09-13,31.91,33.89,30.55,31.68,31.91,33.89,30.55,31.68,929681.0,30093773.97,1.0,0.81321,25.762493,0.81321,25.762493,0.011432237675385202
US,BE,2018-09-14,31.22,31.3,28.9,29.58,31.22,31.3,28.9,29.58,641439.0,19044323.91,1.0,0.81321,24.054752,0.81321,24.054752,0.007887741173866529
US,BE,2018-09-17,29.45,30.371,28.72,29.0,29.45,30.37,28.72,29.0,290293.0,8531711.27,1.0,0.81321,23.58309,0.81321,23.58309,0.0035697175391350327
US,BE,2018-09-18,28.94,29.92,28.9,29.92,28.94,29.92,28.9,29.92,295380.0,8693033.4,1.0,0.81321,24.331243,0.81321,24.331243,0.003632272106835873
US,BE,2018-09-19,30.03,31.06,28.97,29.25,30.03,31.06,28.97,29.25,458927.0,13740274.38,1.0,0.81321,23.786393,0.81321,23.786393,0.005643400843570541
US,BE,2018-09-20,29.55,30.5487,29.3973,30.01,29.55,30.55,29.4,30.01,224115.0,6727932.3,1.0,0.81321,24.404432,0.81321,24.404432,0.0027559302025307116
US,BE,2018-09-21,30.05,33.05,29.939799999999998,30.95,30.05,33.05,29.94,30.95,1701209.0,53520035.14,1.0,0.81321,25.16885,0.81321,25.16885,0.020919676344363695
US,BE,2018-09-24,31.0,32.75,30.66,32.25,31.0,32.75,30.66,32.25,399371.0,12807827.97,1.0,0.81321,26.226022,0.81321,26.226022,0.004911043887802659
US,BE,2018-09-25,32.55,34.88,32.5102,34.08,32.55,34.88,32.51,34.08,535922.0,18205270.34,1.0,0.81321,27.714197,0.81321,27.714197,0.006590204252284158
US,BE,2018-09-26,34.6,36.59,34.25,35.8,34.6,36.59,34.25,35.8,584822.0,20983413.36,1.0,0.81321,29.112918,0.81321,29.112918,0.007191524944356317
US,BE,2018-09-27,36.0,38.0,33.23,33.6,36.0,38.0,33.23,33.6,870332.0,30757532.88,1.0,0.81321,27.323856,0.81321,27.323856,0.010702426187577625
US,BE,2018-09-28,33.72,35.52,33.01,34.08,33.72,35.52,33.01,34.08,431815.0,14664437.4,1.0,0.81321,27.714197,0.81321,27.714197,0.005310006025503867
US,BE,2018-10-01,34.18,34.4812,32.0,32.27,34.18,34.48,32.0,32.27,318421.0,10495156.16,1.0,1.09421183,35.310216,1.09421183,35.310216,0.0029100489619089563
US,BE,2018-10-02,32.3,32.91,30.17,30.22,32.3,32.91,30.17,30.22,380047.0,11876468.75,1.0,1.09421183,33.067082,1.09421183,33.067082,0.003473248868091656
US,BE,2018-10-03,30.38,30.92,29.1,30.25,30.38,30.92,29.1,30.25,527298.0,15771483.18,1.0,1.09421183,33.099908,1.09421183,33.099908,0.004818975499469786
US,BE,2018-10-04,30.24,30.45,28.24,28.34,30.24,30.45,28.24,28.34,556279.0,16082025.89,1.0,1.09421183,31.009963,1.09421183,31.009963,0.005083832807766298
US,BE,2018-10-05,28.34,29.369,26.11,27.37,28.34,29.37,26.11,27.37,725158.0,19862077.62,1.0,1.09421183,29.948578,1.09421183,29.948578,0.006627217693305326
US,BE,2018-10-08,27.37,27.37,25.2,27.07,27.37,27.37,25.2,27.07,680329.0,17872242.83,1.0,1.09421183,29.620314,1.09421183,29.620314,0.006217525540735562
US,BE,2018-10-09,26.87,27.6509,26.01,26.1,26.87,27.65,26.01,26.1,381573.0,10222340.67,1.0,1.09421183,28.558929,1.09421183,28.558929,0.0034871949794218543
US,BE,2018-10-10,25.94,28.5,25.25,27.54,25.94,28.5,25.25,27.54,819472.0,22068380.96,1.0,1.09421183,30.134594,1.09421183,30.134594,0.0074891531742989825
US,BE,2018-10-11,27.21,28.01,25.61,27.38,27.21,28.01,25.61,27.38,506200.0,13682586.0,1.0,1.09421183,29.95952,1.09421183,29.95952,0.004626160914381633
US,BE,2018-10-12,27.5,28.34,26.271,26.68,27.5,28.34,26.27,26.68,270741.0,7369570.02,1.0,1.09421183,29.193572,1.09421183,29.193572,0.0024743015253271385
US,BE,2018-10-15,26.31,26.8966,25.65,26.6,26.31,26.9,25.65,26.6,214568.0,5640992.72,1.0,1.09421183,29.106035,1.09421183,29.106035,0.0019609365766041845
US,BE,2018-10-16,26.48,27.8,26.48,27.18,26.48,27.8,26.48,27.18,318610.0,8669378.1,1.0,1.09421183,29.740678,1.09421183,29.740678,0.002911776232578293
US,BE,2018-10-17,27.18,27.67,27.03,27.32,27.18,27.67,27.03,27.32,230653.0,6303746.49,1.0,1.09421183,29.893867,1.09421183,29.893867,0.002107937363462795
US,BE,2018-10-18,27.0,27.37,25.37,25.57,27.0,27.37,25.37,25.57,262752.0,6807904.32,1.0,1.09421183,27.978996,1.09421183,27.978996,0.002401290068304233
US,BE,2018-10-19,25.36,26.08,25.21,25.51,25.36,26.08,25.21,25.51,294171.0,7486651.95,1.0,1.09421183,27.913344,1.09421183,27.913344,0.0026884282543353597
US,BE,2018-10-22,25.61,25.9999,24.0301,24.15,25.61,26.0,24.03,24.15,365649.0,9016904.34,1.0,1.09421183,26.425216,1.09421183,26.425216,0.0033416655712815674
