country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,BRK_B,2016-06-23,144.97,146.0,144.6,145.98,144.97,146.0,144.6,145.98,4493600.0,653953608.0,1.0,24.65615932,3599.306138,24.65615932,3599.306138,0.0018225060690433598
US,BRK_B,2016-06-24,140.74,142.0,139.47,139.71,140.74,142.0,139.47,139.71,12476300.0,1751547757.0,1.0,24.65616124,3444.712286,24.65616124,3444.712286,0.005060114540360623
US,BRK_B,2016-06-27,138.79,139.0,136.65,138.5,138.79,139.0,136.65,138.5,6328200.0,873608010.0,1.0,24.65616,3414.87816,24.65616,3414.87816,0.00256657971070921
US,BRK_B,2016-06-28,139.79,140.36,138.29,140.28,139.79,140.36,138.29,140.28,5312300.0,741809572.0,1.0,24.65615982,3458.7661,24.65615982,3458.7661,0.00215455287391952
US,BRK_B,2016-06-29,141.3,142.12,139.91,142.12,141.3,142.12,139.91,142.12,4257100.0,601868798.0,1.0,24.65615913,3504.133336,24.65615913,3504.133336,0.0017265868449154514
US,BRK_B,2016-06-30,142.21,144.82,142.1,144.79,142.21,144.82,142.1,144.79,5196400.0,747761960.0,1.0,24.65867881,3570.330105,24.65867881,3570.330105,0.0021073310699406445
US,BRK_B,2016-07-01,144.59,144.83,143.75,143.96,144.59,144.83,143.75,143.96,2874400.0,414430992.0,1.0,24.6586812,3549.863745,24.6586812,3549.863745,0.0011656746671431886
US,BRK_B,2016-07-05,143.19,143.56,141.76,142.23,143.19,143.56,141.76,142.23,3426300.0,488316276.0,1.0,24.65867931,3507.203958,24.65867931,3507.203958,0.0013894904738918884
US,BRK_B,2016-07-06,141.9,142.64,140.95,142.51,141.9,142.64,140.95,142.51,2804700.0,398351541.0,1.0,24.65867913,3514.108363,24.65867913,3514.108363,0.0011374088552001042
US,BRK_B,2016-07-07,142.38,143.04,141.19,141.91,142.38,143.04,141.19,141.91,2863600.0,406774380.0,1.0,24.6586807,3499.313377,24.6586807,3499.313377,0.0011612948944182565
US,BRK_B,2016-07-08,143.35,143.74,142.72,143.65,143.35,143.74,142.72,143.65,3718100.0,533063997.0,1.0,24.65867897,3542.219234,24.65867897,3542.219234,0.0015078261104430931
US,BRK_B,2016-07-11,143.75,144.23,143.43,143.93,143.75,144.23,143.43,143.93,3194200.0,459517612.0,1.0,24.6586788,3549.12364,24.6586788,3549.12364,0.001295365427283152
US,BRK_B,2016-07-12,144.53,145.03,143.98,144.67,144.53,145.03,143.98,144.67,3158100.0,456534936.0,1.0,24.65867966,3567.371186,24.65867966,3567.371186,0.0012807255066145744
US,BRK_B,2016-07-13,144.88,145.99,144.41,145.93,144.88,145.99,144.41,145.93,3274500.0,476243280.0,1.0,24.65867882,3598.441,24.65867882,3598.441,0.0013279300257336333
US,BRK_B,2016-07-14,146.25,146.66,145.46,145.73,146.25,146.66,145.46,145.73,3322200.0,484875090.0,1.0,24.65867932,3593.509338,24.65867932,3593.509338,0.0013472741004849566
US,BRK_B,2016-07-15,146.25,146.44,145.12,145.97,146.25,146.44,145.12,145.97,3860800.0,563059072.0,1.0,24.65868017,3599.427544,24.65868017,3599.427544,0.001565696125414323
US,BRK_B,2016-07-18,146.0,146.71,146.0,146.57,146.0,146.71,146.0,146.57,3128000.0,458033040.0,1.0,24.65868118,3614.2229,24.65868118,3614.2229,0.001268518773233111
US,BRK_B,2016-07-19,146.06,146.99,145.85,146.92,146.06,146.99,145.85,146.92,3543300.0,519412347.0,1.0,24.65867966,3622.853216,24.65867966,3622.853216,0.0014369382500830947
US,BRK_B,2016-07-20,146.81,146.94,145.7,146.17,146.81,146.94,145.7,146.17,2855300.0,417644731.0,1.0,24.65867966,3604.359206,24.65867966,3604.359206,0.001157928988643993
US,BRK_B,2016-07-21,146.01,146.22,144.19,144.35,146.01,146.22,144.19,144.35,3212200.0,465512024.0,1.0,24.65868102,3559.480606,24.65868102,3559.480606,0.0013026649711696543
US,BRK_B,2016-07-22,144.72,144.85,143.89,144.6,144.72,144.85,143.89,144.6,3142000.0,453861900.0,1.0,24.65868102,3565.645276,24.65868102,3565.645276,0.0012741962951917855
US,BRK_B,2016-07-25,144.87,145.0,143.6,144.14,144.87,145.0,143.6,144.14,2483900.0,358302575.0,1.0,24.65867983,3554.302111,24.65867983,3554.302111,0.0010073126449284045
US,BRK_B,2016-07-26,144.34,144.85,143.83,144.34,144.34,144.85,143.83,144.34,2466400.0,356000176.0,1.0,24.65867932,3559.233773,24.65867932,3559.233773,0.0010002157731130266
US,BRK_B,2016-07-27,144.27,144.75,143.7,144.19,144.27,144.75,143.7,144.19,2611700.0,376633257.0,1.0,24.65868034,3555.535119,24.65868034,3555.535119,0.0010591402151247482
US,BRK_B,2016-07-28,143.92,144.69,143.48,144.42,143.92,144.69,143.48,144.42,1944600.0,280411320.0,1.0,24.65867966,3561.206516,24.65867966,3561.206516,0.0007886067002826704
US,BRK_B,2016-07-29,144.09,144.6,143.78,144.27,144.09,144.6,143.78,144.27,2589300.0,373428846.0,1.0,24.65868068,3557.507862,24.65868068,3557.507862,0.0010500561784313597
US,BRK_B,2016-08-01,144.62,144.77,143.58,143.93,144.62,144.77,143.58,143.93,2051300.0,295571817.0,1.0,24.6586788,3549.12364,24.6586788,3549.12364,0.0008318774970214543
