country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,C,Q2,2016-06-30,2016-08-01,0.78324,0.279176,0.193439,0.017241,0.002198,0.394609,0.87188,6.838431,0.011364,7.843317,1.045336,5.403952,1.077995,,
US,C,Q3,2016-09-30,2016-10-31,0.767125,0.268463,0.183434,0.016582,0.002112,0.375013,0.872016,6.846279,0.011514,7.851094,0.347139,1.892448,0.381294,,
US,C,Q4,2016-12-31,2017-02-24,0.751737,0.251368,0.176105,0.015872,0.001994,0.371625,0.87381,6.955997,0.011322,7.960541,1.261669,7.164288,1.294396,,
US,C,Q1,2017-03-31,2017-05-01,0.762995,0.272707,0.186486,0.017928,0.002245,0.377199,0.874205,6.980529,0.01204,7.985004,-0.139157,-0.74621,-0.103319,,
US,C,Q2,2017-06-30,2017-08-01,0.743084,0.254585,0.173609,0.016833,0.002077,0.380422,0.87602,7.099222,0.011965,8.103952,-0.83222,-4.793647,-0.793615,0.079108,-0.031516
US,C,Q3,2017-09-30,2017-10-31,0.721467,0.263313,0.181288,0.018156,0.002188,0.374727,0.87898,7.294653,0.012068,8.298993,0.79621,4.391967,0.833713,0.089042,0.076302
US,C,Q4,2017-12-31,2018-02-23,0.697995,0.233996,-0.867009,-0.094117,-0.010254,0.372705,0.890542,8.173722,0.011827,9.178365,-0.242394,0.279574,-0.202974,0.07403,-6.287713
US,C,Q1,2018-03-31,2018-05-01,0.709096,0.253412,0.192244,0.022881,0.002404,0.371246,0.894456,8.514662,0.012503,9.519372,0.289447,1.505628,0.329769,0.095751,0.129584
US,C,Q2,2018-06-30,2018-07-31,0.684816,0.244108,0.184364,0.022439,0.002348,0.3666,0.89491,8.55281,0.012735,9.557178,0.055966,0.303563,0.085571,0.091961,0.159607
US,C,Q3,2018-09-30,2018-10-30,0.664095,0.246557,0.186695,0.023461,0.002401,0.361123,0.897223,8.767852,0.01286,9.772213,0.878418,4.705106,0.918488,0.085929,0.118316
US,C,Q4,2018-12-31,2019-02-22,0.635067,0.221295,0.179881,0.02198,0.002249,0.351801,0.897217,8.767246,0.012505,9.771598,0.287192,1.596569,0.332736,0.100317,1.228286
US,C,Q1,2019-03-31,2019-04-30,0.641409,0.232186,0.181902,0.024,0.002405,0.352226,0.899401,8.975185,0.013221,9.979073,-1.452748,-7.986412,-1.432742,0.077438,0.019481
US,C,Q2,2019-06-30,2019-08-01,0.62911,0.232466,0.180958,0.024316,0.002414,0.350904,0.900358,9.070354,0.013339,10.074159,-0.005279,-0.029173,0.101471,0.088938,0.06882
US,C,Q3,2019-09-30,2019-11-01,0.632085,0.230622,0.188151,0.025019,0.002438,0.357061,0.902189,9.256527,0.01296,10.260076,0.091835,0.488093,0.130553,0.054732,0.06296
US,C,Q4,2019-12-31,2020-02-21,0.649162,0.228757,0.199751,0.025766,0.002552,0.349338,0.9006,9.093323,0.012775,10.096966,0.903514,4.523197,0.94267,0.03958,0.154417
US,C,Q1,2020-03-31,2020-05-04,0.527997,0.117391,0.095174,0.013186,0.001142,0.385032,0.913062,10.53802,0.012004,11.541405,-0.95823,-10.068218,-0.940967,0.029081,-0.461571
US,C,Q2,2020-06-30,2020-08-04,0.498365,0.047711,0.045431,0.005511,0.000473,0.410927,0.913871,10.648115,0.010411,11.651663,0.272113,5.989583,0.309026,-0.123529,-0.779954
US,C,Q3,2020-09-30,2020-11-04,0.743632,0.196335,0.156214,0.016227,0.001408,0.417747,0.912912,10.521488,0.009013,11.525197,-0.151249,-0.968214,-0.102488,-0.228745,-0.359658
US,C,Q4,2020-12-31,2021-02-26,0.849819,0.261991,0.208576,0.019951,0.001761,0.395969,0.911419,10.328266,0.008441,11.332066,0.0856,0.410405,0.145673,-0.234655,-0.200844
US,C,Q1,2021-03-31,2021-05-05,1.003133,0.474938,0.36589,0.03921,0.003432,0.381106,0.912165,10.422135,0.009379,11.425709,1.068737,2.920927,1.106975,-0.185394,2.131703
US,C,Q2,2021-06-30,2021-08-04,0.954393,0.372352,0.313824,0.030634,0.00266,0.365046,0.912834,10.51132,0.008477,11.515035,0.018496,0.058938,0.06618,-0.151007,4.864583
US,C,Q3,2021-09-30,2021-11-08,0.909611,0.301916,0.239184,0.023119,0.001966,0.367244,0.91464,10.75428,0.008221,11.757939,1.834672,7.670543,1.888237,-0.0359,0.47616
US,C,Q4,2021-12-31,2022-02-25,0.967761,0.21547,0.173085,0.01571,0.001385,0.338813,0.911552,10.341735,0.008,11.345201,0.11259,0.650488,0.183941,-0.039052,-0.202563
US,C,Q1,2022-03-31,2022-05-09,0.859791,0.245295,0.200578,0.021779,0.001799,0.336004,0.917149,11.105979,0.008967,12.109236,-0.430734,-2.147469,-0.373486,-0.010965,-0.457819
US,C,Q2,2022-06-30,2022-08-03,0.789206,0.256972,0.195688,0.022848,0.00191,0.324594,0.916155,10.960425,0.009759,11.9635,1.010974,5.166263,1.064168,0.17746,-0.265784
US,C,Q3,2022-09-30,2022-11-04,0.655864,0.174089,0.137837,0.017521,0.001461,0.328178,0.916375,10.988855,0.0106,11.99166,-0.078764,-0.571429,-0.031141,0.299959,-0.250861
US,C,Q4,2022-12-31,2023-02-24,0.531588,0.10434,0.082559,0.012491,0.00104,0.342423,0.916481,11.008743,0.012595,12.011969,0.960577,11.635097,1.025132,0.66043,-0.208005
US,C,Q1,2023-03-31,2023-05-05,0.505788,0.16962,0.126358,0.022113,0.001876,0.325341,0.914864,10.783235,0.014847,11.786711,-0.836305,-6.618541,-0.791479,0.697969,0.06967
US,C,Q2,2023-06-30,2023-08-04,0.461571,0.105848,0.076335,0.013966,0.001203,0.313697,0.913593,10.608775,0.015756,11.612144,-1.415639,-18.545111,-1.376594,0.643441,-0.358918
US,C,Q3,2023-09-30,2023-11-03,0.439801,0.117503,0.087023,0.016926,0.001497,0.30197,0.911253,10.301915,0.017204,11.305218,0.387602,4.454033,0.42915,0.614422,0.019258
US,C,Q4,2023-12-31,2024-02-23,0.370021,-0.050803,-0.044426,-0.008951,-0.000762,0.303934,0.914484,10.735219,0.017163,11.739103,-0.112719,2.537249,-0.070081,0.359933,-1.731795
