code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
C,花旗集团,US,USD,Q2,2016-06-30,2016-08-01,20668000000.0,16188000000.0,5770000000.0,5770000000.0,1772000000.0,3998000000.0,3998000000.0,1.371150284656012,1818771000000.0,493031000000.0,1325740000000.0,150133000000.0,36851000000.0,0.0,1585750000000.0,1249418000000.0,336332000000.0,62054000000.0,233021000000.0,231888000000.0,21605000000.0,-20323000000.0,-675000000.0,-1068000000.0
C,花旗集团,US,USD,Q3,2016-09-30,2016-10-31,20934000000.0,16059000000.0,5620000000.0,5620000000.0,1780000000.0,3840000000.0,3840000000.0,1.3333796312371957,1818117000000.0,493694000000.0,1324423000000.0,155990000000.0,36112000000.0,0.0,1585427000000.0,1316473000000.0,268954000000.0,61921000000.0,232690000000.0,231575000000.0,7267000000.0,-14103000000.0,-715000000.0,8135000000.0
C,花旗集团,US,USD,Q4,2016-12-31,2017-02-24,20289000000.0,15252000000.0,5100000000.0,5100000000.0,1527000000.0,3573000000.0,3573000000.0,1.2698130641836662,1792077000000.0,482416000000.0,1309661000000.0,160494000000.0,28887000000.0,0.0,1565934000000.0,1298125000000.0,267809000000.0,57152000000.0,226143000000.0,225120000000.0,25598000000.0,-7972000000.0,-664000000.0,-17653000000.0
C,花旗集团,US,USD,Q1,2017-03-31,2017-05-01,21932000000.0,16734000000.0,5981000000.0,5981000000.0,1891000000.0,4090000000.0,4090000000.0,1.4790438650417677,1821635000000.0,500947000000.0,1320688000000.0,180045000000.0,36888000000.0,0.0,1592482000000.0,1328072000000.0,264410000000.0,59655000000.0,229153000000.0,228132000000.0,-3052000000.0,3125000000.0,-786000000.0,19138000000.0
C,花旗集团,US,USD,Q2,2017-06-30,2017-08-01,22303000000.0,16573000000.0,5678000000.0,5678000000.0,1806000000.0,3872000000.0,3872000000.0,1.4136030082873936,1864063000000.0,513468000000.0,1350595000000.0,186082000000.0,40487000000.0,0.0,1632956000000.0,1349734000000.0,283222000000.0,62947000000.0,231107000000.0,230019000000.0,-18561000000.0,-15083000000.0,-861000000.0,39798000000.0
C,花旗集团,US,USD,Q3,2017-09-30,2017-10-31,22798000000.0,16448000000.0,6003000000.0,6003000000.0,1870000000.0,4133000000.0,4133000000.0,1.5400953942465345,1889133000000.0,511687000000.0,1377446000000.0,186109000000.0,38076000000.0,0.0,1660511000000.0,1365494000000.0,295017000000.0,63205000000.0,228622000000.0,227634000000.0,18152000000.0,-31502000000.0,-855000000.0,13001000000.0
C,花旗集团,US,USD,Q4,2017-12-31,2018-02-23,21791000000.0,15210000000.0,5099000000.0,5099000000.0,23992000000.0,-18893000000.0,-18893000000.0,-7.250698474102729,1842465000000.0,502057000000.0,1340408000000.0,180516000000.0,38384000000.0,0.0,1640793000000.0,1347063000000.0,293730000000.0,61342000000.0,201672000000.0,200740000000.0,-5282000000.0,11442000000.0,-859000000.0,-5083000000.0
C,花旗集团,US,USD,Q1,2018-03-31,2018-05-01,24032000000.0,17041000000.0,6090000000.0,6090000000.0,1470000000.0,4620000000.0,4620000000.0,1.8035602748282324,1922104000000.0,528179000000.0,1393925000000.0,202704000000.0,46572000000.0,0.0,1719238000000.0,1422718000000.0,296520000000.0,69685000000.0,202866000000.0,201915000000.0,6956000000.0,-32124000000.0,-969000000.0,47363000000.0
C,花旗集团,US,USD,Q2,2018-06-30,2018-07-31,24354000000.0,16678000000.0,5945000000.0,5945000000.0,1455000000.0,4490000000.0,4490000000.0,1.7740724643407484,1912334000000.0,520648000000.0,1391686000000.0,200902000000.0,36977000000.0,0.0,1711366000000.0,1420208000000.0,291158000000.0,67672000000.0,200968000000.0,200094000000.0,1363000000.0,-4505000000.0,-721000000.0,1936000000.0
C,花旗集团,US,USD,Q3,2018-09-30,2018-10-30,24757000000.0,16441000000.0,6104000000.0,6104000000.0,1482000000.0,4622000000.0,4622000000.0,1.8638599887087668,1925165000000.0,518521000000.0,1406644000000.0,199286000000.0,40679000000.0,0.0,1727302000000.0,1435859000000.0,291443000000.0,73346000000.0,197863000000.0,197004000000.0,21747000000.0,-19934000000.0,-992000000.0,-3323000000.0
