country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,CAT,Q2,2016-06-30,2016-08-03,0.268323,0.084026,0.053181,0.036108,0.007024,1.236287,0.804559,4.135832,0.132082,5.140494,0.223748,4.207273,0.307387,,
US,CAT,Q3,2016-09-30,2016-11-02,0.271397,0.055568,0.030895,0.018089,0.003704,1.265283,0.794312,3.879003,0.119892,4.883477,0.127838,4.137809,0.192795,,
US,CAT,Q4,2016-12-31,2017-02-15,0.196783,-0.128264,-0.12231,-0.089138,-0.015675,1.223289,0.823129,4.680749,0.128159,5.686534,0.17182,-1.404782,0.247859,,
US,CAT,Q1,2017-03-31,2017-05-03,0.291387,0.041947,0.019548,0.01413,0.002476,1.28634,0.823853,4.701869,0.126655,5.707168,0.156995,8.03125,0.208817,,
US,CAT,Q2,2017-06-30,2017-08-02,0.295914,0.112964,0.070779,0.057249,0.010215,1.314862,0.820673,4.599258,0.144326,5.604254,0.21022,2.970075,0.264496,0.095629,0.458182
US,CAT,Q3,2017-09-30,2017-11-01,0.312976,0.143783,0.092789,0.067767,0.01348,1.435548,0.800191,4.022717,0.145277,5.027197,0.108736,1.17186,0.153684,0.245961,2.742049
US,CAT,Q4,2017-12-31,2018-02-15,0.298154,0.099256,-0.100729,-0.094838,-0.016878,1.34581,0.821133,4.613857,0.167563,5.618895,0.041951,-0.416474,0.096154,0.346981,-0.109308
US,CAT,Q1,2018-03-31,2018-05-02,0.320943,0.173808,0.129481,0.109496,0.021342,1.363295,0.80424,4.126134,0.164829,5.130475,0.072712,0.561562,0.131581,0.309204,7.671875
US,CAT,Q2,2018-06-30,2018-08-07,0.314539,0.1633,0.121833,0.114725,0.021611,1.365406,0.81083,4.304389,0.177384,5.308623,0.153308,1.258348,0.208336,0.236519,1.128429
US,CAT,Q3,2018-09-30,2018-10-31,0.318505,0.165581,0.127831,0.108959,0.022082,1.477125,0.796826,3.931798,0.172742,4.934322,0.103035,0.806022,0.14752,0.183738,0.630784
US,CAT,Q4,2018-12-31,2019-02-14,0.290476,0.102217,0.073072,0.074649,0.013349,1.368028,0.820658,4.589287,0.18268,5.592207,0.145238,1.987595,0.200112,0.112128,1.806774
US,CAT,Q1,2019-03-31,2019-05-06,0.317318,0.175776,0.139685,0.12185,0.023893,1.428582,0.803394,4.097169,0.171049,5.099825,0.083247,0.59596,0.123868,0.047204,0.12973
US,CAT,Q2,2019-06-30,2019-08-01,0.29788,0.158052,0.112251,0.109186,0.020458,1.434613,0.812116,4.334367,0.182252,5.33713,0.179324,1.597531,0.226303,0.030048,-0.050967
US,CAT,Q3,2019-09-30,2019-10-31,0.313529,0.16523,0.117103,0.09992,0.019156,1.439653,0.807765,4.213483,0.163579,5.216225,0.060276,0.514726,0.109735,-0.055662,-0.134916
US,CAT,Q4,2019-12-31,2020-02-19,0.292453,0.112371,0.083536,0.075267,0.013996,1.472259,0.813532,4.375103,0.16754,5.377913,0.18518,2.216758,0.247033,-0.083531,0.04771
US,CAT,Q1,2020-03-31,2020-05-06,0.300329,0.152891,0.10268,0.076918,0.014388,1.417484,0.812383,4.342819,0.14013,5.345777,0.106253,1.034799,0.157781,-0.210233,-0.419458
US,CAT,Q2,2020-06-30,2020-08-05,0.273582,0.081324,0.045814,0.033348,0.005982,1.500614,0.820064,4.571793,0.130567,5.574924,0.139142,3.037118,0.184155,-0.307303,-0.717284
US,CAT,Q3,2020-09-30,2020-11-04,0.285902,0.101103,0.067604,0.044685,0.008705,1.542718,0.804616,4.13051,0.128758,5.133521,0.175488,2.595808,0.225382,-0.225506,-0.552878
US,CAT,Q4,2020-12-31,2021-02-17,0.295772,0.095327,0.069426,0.050877,0.009959,1.534549,0.803662,4.105799,0.143443,5.108864,0.184424,2.65641,0.239964,-0.145237,-0.289617
US,CAT,Q1,2021-03-31,2021-05-05,0.315471,0.179944,0.128712,0.092319,0.018952,1.602115,0.794163,3.868461,0.147246,4.871116,0.162194,1.260131,0.204593,0.117724,0.401099
US,CAT,Q2,2021-06-30,2021-08-04,0.301963,0.154395,0.109628,0.083942,0.017296,1.561219,0.793383,3.850591,0.157766,4.853383,0.164326,1.498938,0.210567,0.289287,2.085153
US,CAT,Q3,2021-09-30,2021-11-03,0.295959,0.152376,0.115028,0.085569,0.017652,1.612758,0.793338,3.845725,0.153459,4.847525,0.140357,1.220196,0.187707,0.25463,1.134731
US,CAT,Q4,2021-12-31,2022-02-16,0.267575,0.193796,0.153645,0.12861,0.025606,1.455925,0.800515,4.020687,0.166657,5.022628,0.102334,0.666038,0.159226,0.228126,1.717949
US,CAT,Q1,2022-03-31,2022-05-04,0.288763,0.155125,0.113106,0.090067,0.018681,1.441487,0.792199,3.819455,0.165164,4.82133,0.023033,0.203643,0.073,0.143182,0.004575
US,CAT,Q2,2022-06-30,2022-08-03,0.29143,0.154699,0.117428,0.106378,0.020627,1.449505,0.805701,4.155147,0.175657,5.157182,0.156735,1.334728,0.198498,0.105361,0.184006
US,CAT,Q3,2022-09-30,2022-11-02,0.309524,0.177871,0.136121,0.130909,0.025226,1.409741,0.806914,4.187352,0.185324,5.18934,0.165466,1.215581,0.206616,0.209486,0.431276
US,CAT,Q4,2022-12-31,2023-02-15,0.288908,0.133518,0.087606,0.091625,0.017744,1.388633,0.806073,4.162329,0.202543,5.163715,0.16503,1.883769,0.207688,0.202855,-0.314151
US,CAT,Q1,2023-03-31,2023-05-03,0.349388,0.17419,0.122494,0.107058,0.023228,1.433955,0.782783,3.607857,0.189626,4.609014,0.099168,0.809573,0.146451,0.167268,0.264151
US,CAT,Q2,2023-06-30,2023-08-02,0.346922,0.218212,0.168726,0.160241,0.034205,1.330917,0.786297,3.68363,0.202723,4.684782,0.187608,1.11191,0.228433,0.215554,0.746563
