code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
CAT,卡特彼勒,US,USD,Q2,2016-06-30,2016-08-03,10342000000.0,2775000000.0,869000000.0,737000000.0,187000000.0,550000000.0,550000000.0,0.9416195856873822,78300000000.0,33606000000.0,44694000000.0,0.0,15527000000.0,15916000000.0,62997000000.0,27183000000.0,35814000000.0,5104000000.0,15303000000.0,15232000000.0,2314000000.0,-885000000.0,-865000000.0,-541000000.0
CAT,卡特彼勒,US,USD,Q3,2016-09-30,2016-11-02,9160000000.0,2486000000.0,509000000.0,379000000.0,96000000.0,283000000.0,283000000.0,0.48400889344963227,76402000000.0,31999000000.0,44403000000.0,0.0,14516000000.0,15680000000.0,60687000000.0,25290000000.0,35397000000.0,4713000000.0,15715000000.0,15645000000.0,1171000000.0,-161000000.0,-595000000.0,-1649000000.0
CAT,卡特彼勒,US,USD,Q4,2016-12-31,2017-02-15,9574000000.0,1884000000.0,-1228000000.0,-1347000000.0,-176000000.0,-1171000000.0,-1171000000.0,-1.999025001588892,74704000000.0,31967000000.0,42737000000.0,0.0,14503000000.0,15322000000.0,61491000000.0,26132000000.0,35359000000.0,4614000000.0,13213000000.0,13137000000.0,1645000000.0,-142000000.0,-728000000.0,-431000000.0
CAT,卡特彼勒,US,USD,Q1,2017-03-31,2017-05-03,9822000000.0,2862000000.0,412000000.0,284000000.0,92000000.0,192000000.0,192000000.0,0.32680851063829786,77549000000.0,35548000000.0,42001000000.0,0.0,15217000000.0,14727000000.0,63889000000.0,27635000000.0,36254000000.0,5302000000.0,13660000000.0,13588000000.0,1542000000.0,-93000000.0,-509000000.0,878000000.0
CAT,卡特彼勒,US,USD,Q2,2017-06-30,2017-08-02,11331000000.0,3353000000.0,1280000000.0,1164000000.0,362000000.0,802000000.0,802000000.0,1.3588614029142663,78510000000.0,36991000000.0,41519000000.0,0.0,15595000000.0,14420000000.0,64431000000.0,28133000000.0,36298000000.0,5778000000.0,14079000000.0,14009000000.0,2382000000.0,-66000000.0,-615000000.0,-1572000000.0
CAT,卡特彼勒,US,USD,Q3,2017-09-30,2017-11-01,11413000000.0,3572000000.0,1641000000.0,1531000000.0,472000000.0,1059000000.0,1059000000.0,1.7861359419800977,78560000000.0,37185000000.0,41375000000.0,0.0,15675000000.0,14187000000.0,62863000000.0,25903000000.0,36960000000.0,6113000000.0,15697000000.0,15627000000.0,1241000000.0,-274000000.0,-513000000.0,-1620000000.0
CAT,卡特彼勒,US,USD,Q4,2017-12-31,2018-02-15,12896000000.0,3845000000.0,1280000000.0,1119000000.0,2418000000.0,-1299000000.0,-1299000000.0,-2.1780684104627768,76962000000.0,36244000000.0,40718000000.0,0.0,16193000000.0,14155000000.0,63196000000.0,26931000000.0,36265000000.0,6487000000.0,13766000000.0,13697000000.0,541000000.0,-526000000.0,-699000000.0,-1343000000.0
CAT,卡特彼勒,US,USD,Q1,2018-03-31,2018-05-02,12859000000.0,4127000000.0,2235000000.0,2139000000.0,474000000.0,1665000000.0,1665000000.0,2.7842809364548495,78014000000.0,37357000000.0,40657000000.0,0.0,16666000000.0,13912000000.0,62742000000.0,27402000000.0,35340000000.0,6938000000.0,15272000000.0,15206000000.0,935000000.0,-800000000.0,-757000000.0,-538000000.0
CAT,卡特彼勒,US,USD,Q2,2018-06-30,2018-08-07,14011000000.0,4407000000.0,2288000000.0,2195000000.0,488000000.0,1707000000.0,1707000000.0,2.8631331767863135,78987000000.0,38641000000.0,40346000000.0,0.0,16897000000.0,13752000000.0,64045000000.0,28300000000.0,35745000000.0,6831000000.0,14942000000.0,14879000000.0,2148000000.0,-1268000000.0,-771000000.0,-35000000.0
CAT,卡特彼勒,US,USD,Q3,2018-09-30,2018-10-31,13510000000.0,4303000000.0,2237000000.0,2142000000.0,415000000.0,1727000000.0,1727000000.0,2.916737037662557,78209000000.0,38454000000.0,39755000000.0,8046000000.0,16798000000.0,13607000000.0,62319000000.0,26033000000.0,36286000000.0,6788000000.0,15890000000.0,15850000000.0,1392000000.0,-346000000.0,-601000000.0,-1645000000.0
