country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,CAT,2016-06-23,,,,,,62.33,62.33,0.0,0.0,0.0,,,,0.82,
US,CAT,2016-06-24,-6.626023,,,,,61.694615,62.024074,-0.329459,-0.065892,-0.527134,0.0,,,1.058571,
US,CAT,2016-06-27,-2.268041,,,,,60.953905,61.643032,-0.689126,-0.190539,-0.997175,0.0,,,1.125816,
US,CAT,2016-06-28,1.599859,,,,,60.467151,61.357622,-0.890471,-0.330525,-1.119892,1.750313,,,1.131829,
US,CAT,2016-06-29,2.353348,58.87,,,,60.264512,61.194094,-0.929582,-0.450337,-0.958491,4.442243,,,1.158127,6380227.0
US,CAT,2016-06-30,2.130178,58.486,,,,60.286895,61.136013,-0.849118,-0.530093,-0.638051,6.984983,,,1.182547,6599164.6
US,CAT,2016-07-01,0.844231,59.03,,,,60.384296,61.120012,-0.735717,-0.571218,-0.328998,8.051493,,,1.193079,5089280.0
US,CAT,2016-07-05,-2.70847,59.508,,,,60.212866,60.982974,-0.770109,-0.610996,-0.318226,7.742197,,,1.264288,4572213.4
US,CAT,2016-07-06,0.60739,59.876,,,,60.123194,60.882754,-0.75956,-0.640709,-0.237703,8.567478,,,1.253982,4371568.4
US,CAT,2016-07-07,0.301861,60.008,59.439,,,60.07501,60.803291,-0.72828,-0.658223,-0.140115,9.005774,,,1.24084,4184664.4
US,CAT,2016-07-08,3.093128,60.258,59.372,,,60.318855,60.866751,-0.547896,-0.636158,0.176524,13.590489,,,1.287923,4343862.0
US,CAT,2016-07-11,0.551411,60.474,59.752,,,60.577493,60.950695,-0.373203,-0.583567,0.420728,14.443672,,,1.265214,4320105.4
US,CAT,2016-07-12,2.564516,61.338,60.423,,,61.040955,61.146199,-0.105244,-0.487902,0.765316,18.496517,,,1.29627,4474003.4
US,CAT,2016-07-13,-0.141532,62.112,60.994,,,61.41927,61.320555,0.098715,-0.370579,0.938587,18.44326,,,1.275108,4758410.8
US,CAT,2016-07-14,0.472441,62.91,61.459,,,61.785536,61.504217,0.281319,-0.240199,1.043036,19.2776,,,1.259029,5230572.2
US,CAT,2016-07-15,0.799373,63.44,61.849,,,62.173915,61.712053,0.461862,-0.099787,1.123298,20.761663,,,1.211241,5060692.2
US,CAT,2016-07-18,-0.139947,63.884,62.179,,,62.488697,61.897827,0.59087,0.038345,1.105052,20.689376,,,1.185438,4985777.4
