country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,CAT,2016-06-23,77.66,78.25,77.22,78.22,61.88,62.35,61.53,62.33,3600824.0,280279138.1,0.7968550242904627,5.841,456.88302,5.841,456.88302,0.006164738914569423
US,CAT,2016-06-24,75.2,75.61,72.99,73.03,59.93,60.26,58.17,58.2,12179523.0,903811953.0225,0.7969327673558811,5.841,426.56823,5.841,426.56823,0.020851777092963535
US,CAT,2016-06-27,72.5,72.71,70.53,71.38,57.77,57.94,56.2,56.88,7361643.0,528418734.54,0.796861866068927,5.841,416.93058,5.841,416.93058,0.012603394966615306
US,CAT,2016-06-28,72.24,72.9,71.51,72.52,57.57,58.09,56.99,57.79,4743725.0,342935739.5625,0.7968836183121898,5.841,423.58932,5.841,423.58932,0.008121426125663413
US,CAT,2016-06-29,73.25,74.4,72.79,74.23,58.37,59.29,58.0,59.15,4015420.0,295805952.85,0.7968476357267951,5.841,433.57743,5.841,433.57743,0.006874542030474234
US,CAT,2016-06-30,74.17,75.85,73.97,75.81,59.1,60.44,58.94,60.41,4695512.0,351928624.4,0.7968605724838411,5.8469999999999995,443.26107,5.8469999999999995,443.26107,0.00803063451342569
US,CAT,2016-07-01,75.38,76.99,75.32,76.45,60.07,61.35,60.02,60.92,4630100.0,352049653.5,0.796860693263571,5.8469999999999995,447.00315,5.8469999999999995,447.00315,0.007918761758166581
US,CAT,2016-07-05,75.66,75.95,73.7,74.38,60.29,60.52,58.73,59.27,4776310.0,357853085.975,0.7968539930088735,5.8469999999999995,434.89986,5.8469999999999995,434.89986,0.008168821617923722
US,CAT,2016-07-06,74.59,74.87,73.46,74.83,59.44,59.66,58.54,59.63,3740500.0,278433468.75,0.7968729119337165,5.8469999999999995,437.53101,5.8469999999999995,437.53101,0.0063972977595348045
US,CAT,2016-07-07,75.07,75.73,74.38,75.05,59.83,60.35,59.28,59.81,3080900.0,231244651.75,0.7969353764157229,5.8469999999999995,438.81735,5.8469999999999995,438.81735,0.005269197879254318
US,CAT,2016-07-08,75.92,77.43,75.78,77.37,60.5,61.71,60.39,61.66,5491500.0,420786187.5,0.7969497221145145,5.8469999999999995,452.38239,5.8469999999999995,452.38239,0.00939199589533094
US,CAT,2016-07-11,78.0,78.54,77.32,77.8,62.16,62.59,61.62,62.0,4511317.0,351499264.055,0.7969151670951157,5.8469999999999995,454.8966,5.8469999999999995,454.8966,0.007715609714383445
US,CAT,2016-07-12,78.72,79.94,78.3,79.8,62.73,63.7,62.39,63.59,5545800.0,439171902.0,0.7968671679197996,5.8469999999999995,466.5906,5.8469999999999995,466.5906,0.009484864032837352
US,CAT,2016-07-13,79.98,80.33,79.07,79.69,63.73,64.01,63.01,63.5,5162537.0,411802670.1475,0.7968377462667838,5.8469999999999995,465.94743,5.8469999999999995,465.94743,0.00882937745852574
US,CAT,2016-07-14,80.5,81.0,79.97,80.06,64.15,64.55,63.73,63.8,5441707.0,437418012.9275,0.7969023232575567,5.8469999999999995,468.11082,5.8469999999999995,468.11082,0.009306835984265436
US,CAT,2016-07-15,80.49,80.8,80.16,80.7,64.14,64.39,63.88,64.31,4642100.0,373863128.75,0.7969021065675341,5.8469999999999995,471.8529,5.8469999999999995,471.8529,0.007939285103471866
US,CAT,2016-07-18,79.88,79.89,78.87,79.82,64.27,64.28,63.46,64.22,4136743.0,329346793.945,0.8045602605863192,5.8469999999999995,466.70754,5.8469999999999995,466.70754,0.007074983752351633
US,CAT,2016-07-19,79.34,79.77,79.15,79.74,63.83,64.17,63.68,64.15,3308400.0,263017800.0,0.8044895911713069,5.8469999999999995,466.23978,5.8469999999999995,466.23978,0.005658286300667009
US,CAT,2016-07-20,79.45,79.86,78.93,79.69,63.92,64.25,63.5,64.11,4185500.0,332674003.75,0.8044924080813151,5.8469999999999995,465.94743,5.8469999999999995,465.94743,0.007158371814605781
US,CAT,2016-07-21,80.45,81.38,79.74,80.01,64.72,65.47,64.15,64.37,6492232.0,521942991.64,0.8045244344456943,5.8469999999999995,467.81847,5.8469999999999995,467.81847,0.011103526594834958
US,CAT,2016-07-22,79.78,79.79,78.86,79.38,64.19,64.2,63.45,63.87,4133834.0,328443445.885,0.8046107331821618,5.8469999999999995,464.13486,5.8469999999999995,464.13486,0.007070008551393878
US,CAT,2016-07-25,79.15,79.19,78.34,78.69,63.68,63.71,63.03,63.31,5798100.0,457136699.25,0.8045494980302453,5.8469999999999995,460.10043,5.8469999999999995,460.10043,0.009916367367880964
US,CAT,2016-07-26,79.04,83.0,78.74,82.75,63.59,66.78,63.35,66.58,11007600.0,890322207.0,0.8045921450151057,5.8469999999999995,483.83925,5.8469999999999995,483.83925,0.018826064648537713
US,CAT,2016-07-27,82.72,84.29,82.72,84.1,66.55,67.81,66.55,67.66,8460932.0,706128232.39,0.8045184304399524,5.8469999999999995,491.7327,5.8469999999999995,491.7327,0.014470552420044467
US,CAT,2016-07-28,83.7,83.71,82.45,82.92,67.34,67.35,66.33,66.71,5065610.0,421433423.95,0.8045103714423539,5.8469999999999995,484.83324,5.8469999999999995,484.83324,0.00866360526765863
US,CAT,2016-07-29,82.8,83.14,82.13,82.76,66.61,66.89,66.07,66.58,4274241.0,353511787.5075,0.8044949250845819,5.8469999999999995,483.89772,5.8469999999999995,483.89772,0.007310143663417137
US,CAT,2016-08-01,82.76,82.88,81.53,81.95,66.58,66.68,65.59,65.93,3377149.0,277871819.72,0.8045149481391093,5.8469999999999995,479.16165,5.8469999999999995,479.16165,0.00577586625619976
US,CAT,2016-08-02,82.0,82.19,80.92,81.24,65.97,66.12,65.1,65.36,3909500.0,318966331.25,0.8045297882816347,5.8469999999999995,475.01028,5.8469999999999995,475.01028,0.006686334872584231
US,CAT,2016-08-03,81.15,82.3,80.93,82.03,65.29,66.22,65.11,66.0,3101710.0,253107290.275,0.804583688894307,5.8469999999999995,479.62941,5.8469999999999995,479.62941,0.005304788780571233
US,CAT,2016-08-04,81.82,82.54,81.4,81.77,65.83,66.41,65.49,65.79,2407526.0,197134247.695,0.8045738045738047,5.8469999999999995,478.10919,5.8469999999999995,478.10919,0.004117540619120917
US,CAT,2016-08-05,82.22,82.96,82.0,82.56,66.15,66.74,65.97,66.42,3286100.0,270889653.5,0.8045058139534884,5.8469999999999995,482.72832,5.8469999999999995,482.72832,0.005620147083974688
US,CAT,2016-08-08,83.0,83.79,82.8,83.44,66.78,67.41,66.62,67.13,3544827.0,295133433.9525,0.8045302013422818,5.8469999999999995,487.87368,5.8469999999999995,487.87368,0.006062642380708055
US,CAT,2016-08-09,83.52,83.75,82.7,82.83,67.2,67.38,66.54,66.64,2314900.0,192599680.0,0.8045394180852349,5.8469999999999995,484.30701,5.8469999999999995,484.30701,0.003959124337266974
US,CAT,2016-08-10,83.31,83.31,82.48,82.65,67.03,67.03,66.36,66.5,2290307.0,189952336.8125,0.8045977011494252,5.8469999999999995,483.25455,5.8469999999999995,483.25455,0.0039170634513425685
US,CAT,2016-08-11,83.0,83.65,82.99,83.24,66.78,67.3,66.77,66.97,2229300.0,185522346.0,0.8045410860163383,5.8469999999999995,486.70428,5.8469999999999995,486.70428,0.0038127244740892765
US,CAT,2016-08-12,83.26,83.78,82.58,83.0,66.99,67.41,66.44,66.78,4342839.0,361128777.045,0.8045783132530121,5.8469999999999995,485.301,5.8469999999999995,485.301,0.007427465366854798
US,CAT,2016-08-15,83.0,84.28,82.96,84.15,66.77,67.8,66.74,67.7,4056023.0,339073382.7425,0.8045157456922163,5.8469999999999995,492.02505,5.8469999999999995,492.02505,0.006936930049598084
US,CAT,2016-08-16,84.21,84.36,83.64,84.29,67.76,67.88,67.3,67.82,3161800.0,265986425.0,0.8046031557717402,5.8469999999999995,492.84363,5.8469999999999995,492.84363,0.005407559432187447
US,CAT,2016-08-17,84.41,84.73,83.84,84.41,67.91,68.17,67.45,67.91,2983400.0,251642331.5,0.8045255301504561,5.8469999999999995,493.54527,5.8469999999999995,493.54527,0.00510244569864888
US,CAT,2016-08-18,83.41,83.61,82.51,83.38,67.1,67.27,66.38,67.08,5003100.0,416395505.25,0.8045094746941713,5.8469999999999995,487.52286,5.8469999999999995,487.52286,0.00855669574140585
US,CAT,2016-08-19,83.06,84.38,82.76,83.84,66.82,67.88,66.58,67.45,3823918.0,319335392.18,0.8045085877862596,5.8469999999999995,490.21248,5.8469999999999995,490.21248,0.0065399657944244915
US,CAT,2016-08-22,83.62,83.78,83.0,83.59,67.27,67.4,66.78,67.25,2885000.0,240890287.5,0.8045220720181839,5.8469999999999995,488.75073,5.8469999999999995,488.75073,0.004934154267145545
US,CAT,2016-08-23,83.98,84.68,83.95,84.01,67.57,68.13,67.54,67.59,3178400.0,267478252.0,0.8045470777288418,5.8469999999999995,491.20647,5.8469999999999995,491.20647,0.005435950059859757
US,CAT,2016-08-24,83.41,84.1,82.97,83.15,67.11,67.66,66.76,66.9,2200600.0,183546544.5,0.8045700541190619,5.8469999999999995,486.17805,5.8469999999999995,486.17805,0.0037636394732341373
US,CAT,2016-08-25,83.07,83.17,82.59,82.84,66.84,66.92,66.45,66.65,3082906.0,255626858.255,0.8045630130371801,5.8469999999999995,484.36548,5.8469999999999995,484.36548,0.005272628698477852
US,CAT,2016-08-26,83.21,83.9,82.28,82.66,66.94,67.5,66.19,66.5,3596800.0,298579360.0,0.8045003629324946,5.8469999999999995,483.31302,5.8469999999999995,483.31302,0.0061515306995040195
US,CAT,2016-08-29,82.51,83.35,82.41,83.1,66.39,67.06,66.3,66.86,2253600.0,186693858.0,0.8045728038507822,5.8469999999999995,485.8857,5.8469999999999995,485.8857,0.003854284248332478
US,CAT,2016-08-30,82.86,83.15,82.31,82.48,66.67,66.9,66.22,66.36,3469384.0,286918056.8,0.8045586808923375,5.8469999999999995,482.26056,5.8469999999999995,482.26056,0.005933613819052505
US,CAT,2016-08-31,82.06,82.34,81.61,81.95,66.02,66.24,65.66,65.93,4041706.0,331379474.94,0.8045149481391093,5.8469999999999995,479.16165,5.8469999999999995,479.16165,0.006912443988370104
US,CAT,2016-09-01,81.59,82.0,80.57,81.45,65.64,65.97,64.82,65.53,4102200.0,333929335.5,0.8045426642111725,5.8469999999999995,476.23815,5.8469999999999995,476.23815,0.0070159055926115954
US,CAT,2016-09-02,82.19,82.37,81.47,81.69,66.12,66.27,65.54,65.72,2449400.0,200679342.0,0.8045048353531644,5.8469999999999995,477.64143,5.8469999999999995,477.64143,0.0041891568325637075
US,CAT,2016-09-06,82.01,82.23,81.48,82.08,65.98,66.16,65.56,66.04,3071022.0,251670252.9,0.80458089668616,5.8469999999999995,479.92176,5.8469999999999995,479.92176,0.005252303745510519
US,CAT,2016-09-07,82.5,83.73,82.41,83.72,66.38,67.37,66.31,67.36,3996700.0,332085803.0,0.8045867176301958,5.8469999999999995,489.51084,5.8469999999999995,489.51084,0.006835471181802634
US,CAT,2016-09-08,83.5,83.96,83.08,83.54,67.18,67.55,66.84,67.21,3400500.0,284009760.0,0.8045247785491979,5.8469999999999995,488.45838,5.8469999999999995,488.45838,0.005815802975885069
US,CAT,2016-09-09,82.89,83.0,80.76,80.79,66.69,66.78,64.98,65.0,5311600.0,434807576.0,0.8045550191855427,5.8469999999999995,472.37913,5.8469999999999995,472.37913,0.009084316743629212
US,CAT,2016-09-12,80.27,82.12,80.1,81.92,64.58,66.07,64.45,65.91,4110800.0,333396157.0,0.8045654296874999,5.8469999999999995,478.98624,5.8469999999999995,478.98624,0.007030613990080383
US,CAT,2016-09-13,81.1,81.26,79.93,80.23,65.25,65.38,64.31,64.55,4740645.0,382238206.35,0.8045618845818272,5.8469999999999995,469.10481,5.8469999999999995,469.10481,0.00810782452539764
US,CAT,2016-09-14,80.38,81.62,80.23,81.02,64.67,65.66,64.54,65.18,5324824.0,430312339.5,0.8044927178474452,5.8469999999999995,473.72394,5.8469999999999995,473.72394,0.009106933470155636
US,CAT,2016-09-15,80.83,82.35,80.74,82.03,65.03,66.26,64.96,66.0,3517811.0,286657623.8625,0.804583688894307,5.8469999999999995,479.62941,5.8469999999999995,479.62941,0.006016437489310758
US,CAT,2016-09-16,81.62,82.08,81.21,82.05,65.66,66.03,65.33,66.01,6715400.0,548916796.0,0.8045094454600854,5.8469999999999995,479.74635,5.8469999999999995,479.74635,0.01148520608859244
US,CAT,2016-09-19,82.18,82.35,81.35,81.88,66.12,66.26,65.45,65.88,4351240.0,356540605.6,0.8045920859794822,5.8469999999999995,478.75236,5.8469999999999995,478.75236,0.007441833418847272
US,CAT,2016-09-20,82.46,82.67,81.66,81.7,66.34,66.51,65.7,65.73,2775339.0,227917777.0275,0.8045287637698899,5.8469999999999995,477.6999,5.8469999999999995,477.6999,0.004746603386351975
US,CAT,2016-09-21,82.3,83.49,82.01,83.47,66.22,67.18,65.99,67.16,4264300.0,353158665.25,0.8046004552533844,5.8469999999999995,488.04909,5.8469999999999995,488.04909,0.007293141782110484
US,CAT,2016-09-22,83.97,84.45,83.31,83.5,67.56,67.94,67.03,67.18,3925245.0,328964970.3375,0.8045508982035929,5.8469999999999995,488.2245,5.8469999999999995,488.2245,0.00671326321190354
US,CAT,2016-09-23,83.51,83.58,82.39,82.44,67.19,67.25,66.29,66.33,3031533.0,251556608.34,0.8045851528384279,5.8469999999999995,482.02668,5.8469999999999995,482.02668,0.005184766546947152
US,CAT,2016-09-26,82.2,82.68,82.01,82.37,66.13,66.52,65.98,66.27,3340800.0,274997952.0,0.8045404880417627,5.8469999999999995,481.61739,5.8469999999999995,481.61739,0.005713699332991278
US,CAT,2016-09-27,82.19,82.88,81.67,82.88,66.12,66.68,65.71,66.68,4295600.0,353978918.0,0.8045366795366796,5.8469999999999995,484.59936,5.8469999999999995,484.59936,0.007346673507781769
US,CAT,2016-09-28,83.25,86.66,83.14,86.59,66.98,69.73,66.89,69.67,9497100.0,806398761.0,0.8045963737152096,5.8469999999999995,506.29173,5.8469999999999995,506.29173,0.01624268855823499
US,CAT,2016-09-29,86.28,88.85,86.28,87.47,69.41,71.48,69.41,70.37,10616400.0,925962408.0,0.8045044015090889,5.8469999999999995,511.43709,5.8469999999999995,511.43709,0.018157003591585428
US,CAT,2016-09-30,87.99,88.98,87.81,88.77,70.79,71.59,70.65,71.42,6379100.0,563832701.25,0.8045510870789682,5.8578557,520.00185,5.8578557,520.00185,0.010889820997126987
US,CAT,2016-10-03,88.23,89.19,88.17,88.28,70.99,71.76,70.94,71.03,4294645.0,379936506.5375,0.8045990031717263,5.8578557,517.131501,5.8578557,517.131501,0.0073314284611005354
US,CAT,2016-10-04,88.5,88.95,87.18,87.51,71.21,71.57,70.14,70.41,4743300.0,417576415.5,0.8045937607130613,5.8578557,512.620952,5.8578557,512.620952,0.008097331588417243
US,CAT,2016-10-05,88.12,89.87,88.04,89.42,70.89,72.3,70.83,71.94,5189500.0,461151943.75,0.8045180049205993,5.8578557,523.809457,5.8578557,523.809457,0.008859043762378784
