country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,CRM,Q2,2016-07-31,2016-08-31,0.741935,0.015983,0.112747,0.037443,0.015967,0.609736,0.573573,1.345069,0.141616,2.345069,0.123085,1.091699,0.170237,,
US,CRM,Q3,2016-10-31,2016-11-21,0.727001,0.001416,-0.017395,-0.005482,-0.002593,0.603263,0.526953,1.113957,0.14907,2.113957,0.071948,-4.136053,0.137527,,
US,CRM,Q4,2017-01-31,2017-03-06,0.727132,0.000372,-0.022424,-0.006859,-0.002925,0.821994,0.573491,1.344617,0.130452,2.344617,0.307825,-13.727566,0.370586,,
US,CRM,Q1,2017-04-30,2017-05-22,0.727339,0.001675,0.000419,0.000126,5.9e-05,0.708705,0.534878,1.149972,0.139961,2.149972,0.514992,1229.584,0.580582,,
US,CRM,Q2,2017-07-31,2017-08-25,0.738444,0.032792,0.017958,0.005432,0.002641,0.77215,0.513828,1.056885,0.147059,2.056885,0.129322,7.2015,0.179442,0.257766,-0.799671
US,CRM,Q3,2017-10-31,2017-11-22,0.733566,0.057839,0.039928,0.012104,0.006118,0.823975,0.49456,0.978473,0.153221,1.978473,0.04694,1.175626,0.088464,0.249474,3.867941
US,CRM,Q4,2018-01-31,2018-03-09,0.741217,0.038505,0.023695,0.006511,0.003073,0.952021,0.52802,1.118736,0.129685,2.118736,0.368754,15.562431,0.417074,0.242815,2.313278
US,CRM,Q1,2018-04-30,2018-05-31,0.744844,0.06354,0.114438,0.031103,0.014981,1.28575,0.518356,1.076221,0.130906,2.076221,0.487691,4.261628,0.528277,0.259016,343.0
US,CRM,Q2,2018-07-31,2018-08-31,0.741237,0.082292,0.091131,0.022102,0.011579,0.803164,0.476126,0.908856,0.127057,1.908856,0.139592,1.531773,0.191405,0.280846,5.5
US,CRM,Q3,2018-10-31,2018-11-28,0.737913,0.027123,0.030955,0.007146,0.003949,0.856395,0.447382,0.809569,0.127576,1.809569,0.042158,1.361905,0.082252,0.265747,-0.018692
US,CRM,Q4,2019-01-31,2019-03-08,0.737441,0.077713,0.100472,0.023198,0.011777,0.949178,0.492306,0.969689,0.11722,1.969689,0.369414,3.676796,0.415765,0.263766,4.358597
US,CRM,Q1,2019-04-30,2019-06-05,0.755419,0.056195,0.104897,0.023836,0.011824,0.956808,0.503951,1.015931,0.112716,2.015931,0.525823,5.012755,0.56837,0.24318,0.139535
US,CRM,Q2,2019-07-31,2019-08-23,0.758069,0.056042,0.022767,0.005301,0.00273,0.971359,0.485061,0.941978,0.1199,1.941978,0.109082,4.791209,0.153615,0.218226,-0.695652
US,CRM,Q3,2019-10-31,2019-12-04,0.748726,0.014403,-0.024152,-0.003275,-0.002183,1.052702,0.333647,0.500706,0.090365,1.500706,0.066031,-2.733945,0.1037,0.330483,-2.038095
US,CRM,Q4,2020-01-31,2020-03-05,0.748505,-0.007421,-0.051123,-0.007319,-0.004499,1.075312,0.385317,0.626856,0.087998,1.626856,0.336425,-6.580645,0.364461,0.346378,-1.685083
US,CRM,Q1,2020-04-30,2022-02-24,0.74224,-0.028777,0.020349,0.002864,0.001846,1.145605,0.355407,0.551367,0.090726,1.551367,0.382117,18.777778,0.44851,0.301846,-0.747449
US,CRM,Q2,2020-07-31,2020-08-28,0.745486,0.034556,0.50961,0.068288,0.045431,1.14526,0.334718,0.503122,0.089148,1.503122,0.083285,0.163429,0.105416,0.288717,27.846154
US,CRM,Q3,2020-10-31,2020-12-04,0.742757,0.041336,0.199483,0.026817,0.01828,1.221677,0.318351,0.467031,0.091636,1.467031,0.062558,0.313599,0.08544,0.200753,10.917431
US,CRM,Q4,2021-01-31,2022-02-24,0.745745,0.033179,0.0459,0.006435,0.004027,1.234713,0.374172,0.597884,0.087736,1.597884,0.373732,8.142322,0.399347,0.199134,2.076613
US,CRM,Q1,2021-04-30,2021-06-02,0.739225,0.059366,0.078652,0.011018,0.007228,1.334203,0.343962,0.524303,0.091901,1.524303,0.541338,6.882729,0.570015,0.225694,3.737374
US,CRM,Q2,2021-07-31,2021-08-27,0.745584,0.052366,0.084385,0.009636,0.006034,0.934629,0.373773,0.596866,0.071511,1.596866,0.060883,0.721495,0.094479,0.230829,-0.79619
US,CRM,Q3,2021-10-31,2021-12-02,0.731313,0.005537,0.068192,0.008203,0.005352,1.061324,0.347477,0.532513,0.078492,1.532513,0.058866,0.863248,0.083054,0.26647,-0.567068
US,CRM,Q4,2022-01-31,2022-03-11,0.725089,-0.024024,-0.003822,-0.000482,-0.000294,1.048742,0.389438,0.637835,0.076947,1.637835,0.270543,-70.785714,0.293339,0.259412,-1.104869
US,CRM,Q1,2022-04-30,2022-06-01,0.724059,0.002699,0.003778,0.000476,0.000301,1.02573,0.367074,0.579965,0.079669,1.579965,0.496019,131.285714,0.520173,0.242831,-0.940299
US,CRM,Q2,2022-07-31,2022-08-25,0.724482,0.025,0.008808,0.001131,0.000722,1.058068,0.361665,0.566575,0.081999,1.566575,0.043264,4.911765,0.06956,0.217666,-0.872897
US,CRM,Q3,2022-10-31,2022-11-30,0.733572,0.058696,0.026796,0.003538,0.002285,1.053876,0.354066,0.548146,0.085292,1.548146,0.039939,1.490476,0.065204,0.14192,-0.551282
US,CRM,Q4,2023-01-31,2023-03-08,0.749523,0.141341,-0.011689,-0.001679,-0.000991,1.019466,0.409615,0.693809,0.084816,1.693809,0.332538,-28.44898,0.35854,0.144417,-2.5
US,CRM,Q1,2023-04-30,2023-05-31,0.742331,0.136171,0.02413,0.003466,0.002127,1.016415,0.386237,0.629294,0.088165,1.629294,0.544562,22.567839,0.574027,0.112805,6.107143
US,CRM,Q2,2023-07-31,2023-08-30,0.754388,0.177264,0.147274,0.021814,0.013705,1.016006,0.371727,0.591664,0.093059,1.591664,0.093921,0.637727,0.114844,0.114378,17.632353
US,CRM,Q3,2023-10-31,2023-11-29,0.752867,0.17844,0.140367,0.021071,0.013447,1.041662,0.361803,0.566913,0.095801,1.566913,0.175688,1.251634,0.194725,0.112671,4.828571
US,CRM,Q4,2024-01-31,2024-03-06,0.768709,0.193281,0.155702,0.024243,0.014486,1.091735,0.402482,0.673591,0.093035,1.673591,0.366426,2.353389,0.382255,0.107705,15.755102
US,CRM,Q1,2024-04-30,2024-05-29,0.763276,0.188,0.167853,0.025686,0.015939,1.106052,0.379466,0.611514,0.094957,1.611514,0.684003,4.075016,0.70185,0.107433,6.703518
US,CRM,Q2,2024-07-31,2024-08-28,0.768472,0.201823,0.153244,0.024795,0.015502,1.040998,0.374778,0.599431,0.101161,1.599431,0.095657,0.624213,0.110349,0.083924,0.127861
US,CRM,Q3,2024-10-31,2024-12-03,0.777107,0.206374,0.16169,0.026091,0.016708,1.105806,0.359648,0.56164,0.103332,1.56164,0.209975,1.298625,0.231576,0.083028,0.247549
US,CRM,Q4,2025-01-31,2025-03-05,0.778145,0.211948,0.17092,0.027921,0.016594,1.062437,0.405672,0.682572,0.097087,1.682572,0.397278,2.324356,0.412689,0.07602,0.181189
US,CRM,Q1,2025-04-30,2025-05-28,0.769559,0.193916,0.156781,0.025401,0.015627,1.06902,0.384789,0.625457,0.099675,1.625457,0.658867,4.202466,0.677078,0.076207,0.005219
US,CRM,Q2,2025-07-31,2025-09-03,0.780969,0.235053,0.184349,0.030769,0.019339,1.124223,0.371465,0.591002,0.104906,1.591002,0.072294,0.392157,0.085483,0.097694,0.320504
US,CRM,Q3,2025-10-31,2025-12-03,0.780193,0.209962,0.203334,0.034755,0.021925,0.983793,0.369156,0.585179,0.107826,1.585179,0.225753,1.110259,0.239302,0.086298,0.366077
US,CRM,Q4,2026-01-31,2026-03-02,0.776091,0.234622,0.173467,0.032853,0.017301,0.760332,0.473381,0.898904,0.099737,1.898904,0.487814,2.812146,0.500402,0.120885,0.137588
US,CRM,Q1,2026-04-30,2026-05-27,0.769155,0.218001,0.189257,0.061545,0.019751,0.78587,0.679087,2.116109,0.104359,3.116109,0.601904,3.180351,0.614929,0.132669,0.367294
