country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,CRM,2016-06-20,,,,,,80.04,80.04,0.0,0.0,0.0,,,,1.14,
US,CRM,2016-06-21,0.512244,,,,,80.103077,80.07037,0.032707,0.006541,0.05233,,,,1.105,
US,CRM,2016-06-22,-1.243008,,,,,80.002604,80.024417,-0.021813,0.00087,-0.045368,84.202212,,,1.120357,
US,CRM,2016-06-23,2.064191,,,,,80.169895,80.103349,0.066546,0.014006,0.105081,87.648456,,,1.160332,
US,CRM,2016-06-24,-4.649155,79.67,,,,79.73145,79.897175,-0.165725,-0.021941,-0.287569,56.912826,,,1.356022,4089580.0
US,CRM,2016-06-27,-3.039317,78.656,,,,78.998919,79.532199,-0.53328,-0.124208,-0.818143,46.068287,,,1.466306,4604060.0
US,CRM,2016-06-28,1.934107,77.85,,,,78.602162,79.301666,-0.699504,-0.239268,-0.920472,52.129428,,,1.490142,4923440.0
US,CRM,2016-06-29,1.871238,77.53,,,,78.486445,79.194135,-0.70769,-0.332952,-0.749476,57.234023,,,1.53156,5177640.0
US,CRM,2016-06-30,0.526654,76.964,,,,78.451607,79.12494,-0.673333,-0.401028,-0.544609,58.597208,,,1.49002,5551080.0
US,CRM,2016-07-01,0.523895,77.234,78.452,,,78.485206,79.091241,-0.606034,-0.442029,-0.32801,59.97129,,,1.490733,4781400.0
US,CRM,2016-07-05,-1.449091,77.746,78.201,,,78.338251,78.975593,-0.637342,-0.481092,-0.3125,54.550218,,,1.494252,4409940.0
US,CRM,2016-07-06,-0.21927,77.934,77.892,,,78.187751,78.85592,-0.668168,-0.518507,-0.299322,53.769655,,,1.458234,4277960.0
US,CRM,2016-07-07,0.336091,77.888,77.709,,,78.100405,78.76437,-0.663965,-0.547599,-0.232733,54.834119,,,1.404074,3796420.0
US,CRM,2016-07-08,2.705488,78.18,77.572,,,78.349573,78.835157,-0.485584,-0.535196,0.099223,62.3705,,,1.468783,3579340.0
US,CRM,2016-07-11,0.953337,78.542,77.888,,,78.677331,78.956998,-0.279666,-0.48409,0.408847,64.668219,,,1.430299,3571600.0
US,CRM,2016-07-12,0.323062,79.184,78.465,,,78.994665,79.089072,-0.094407,-0.406153,0.623493,65.445569,,,1.414563,3438800.0
US,CRM,2016-07-13,-0.730741,79.742,78.838,,,79.172409,79.167659,0.00475,-0.323973,0.657445,62.10631,,,1.397809,3109480.0
