country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,CRM,2016-06-23,81.16,82.32,80.79,82.28,79.99,81.13,79.62,81.09,2777100.0,226722444.0,0.9855371900826446,6.81126,560.430473,6.81126,560.430473,0.004077219192924657
US,CRM,2016-06-24,79.41,80.51,78.33,78.46,78.26,79.34,77.19,77.32,6815700.0,539667126.0,0.9854703033392812,6.81126,534.41146,6.81126,534.41146,0.01000651861770069
US,CRM,2016-06-27,77.46,77.69,75.51,76.07,76.34,76.57,74.42,74.97,6020700.0,461667276.0,0.9855396345471277,6.81126,518.132548,6.81126,518.132548,0.008839333691563676
US,CRM,2016-06-28,77.55,77.91,76.6,77.55,76.42,76.77,75.48,76.42,4781100.0,370057140.0,0.9854287556415217,6.81126,528.213213,6.81126,528.213213,0.0070194061010738105
US,CRM,2016-06-29,78.25,79.65,77.9,79.0,77.11,78.49,76.77,77.85,5493600.0,432346320.0,0.9854430379746835,6.81126,538.08954,6.81126,538.08954,0.008065468063177738
US,CRM,2016-06-30,79.35,79.96,79.09,79.41,78.2,78.8,77.94,78.26,4644300.0,368989635.0,0.9855181967006675,6.81126,540.882157,6.81126,540.882157,0.006818562204349856
US,CRM,2016-07-01,79.59,80.85,79.33,79.83,78.43,79.68,78.18,78.67,2967300.0,237087270.0,0.9854691218840036,6.81126,543.742886,6.81126,543.742886,0.004356462680913663
US,CRM,2016-07-05,79.1,79.24,78.26,78.67,77.95,78.09,77.13,77.53,4163400.0,328159188.0,0.9855090885979407,6.81126,535.841824,6.81126,535.841824,0.006112525435822447
US,CRM,2016-07-06,78.48,78.73,77.73,78.5,77.34,77.59,76.6,77.36,4121200.0,322937232.0,0.9854777070063694,6.81126,534.68391,6.81126,534.68391,0.0060505692045230985
US,CRM,2016-07-07,78.5,79.1,78.39,78.76,77.36,77.96,77.26,77.62,3085900.0,242829471.0,0.9855256475368207,6.81126,536.454838,6.81126,536.454838,0.004530586117693349
US,CRM,2016-07-08,79.43,81.1,79.3,80.89,78.28,79.93,78.15,79.72,3558900.0,285352602.0,0.9855359129682284,6.81126,550.962821,6.81126,550.962821,0.005225024444816377
US,CRM,2016-07-11,81.06,81.83,81.05,81.66,79.89,80.65,79.88,80.48,2928600.0,238388040.0,0.985549840803331,6.81126,556.207492,6.81126,556.207492,0.004299644999603598
US,CRM,2016-07-12,81.95,82.45,81.22,81.93,80.76,81.25,80.04,80.74,3499400.0,286565866.0,0.9854754058342486,6.81126,558.046532,6.81126,558.046532,0.005137669094998576
US,CRM,2016-07-13,82.37,82.48,81.28,81.33,81.17,81.28,80.1,80.15,2474600.0,202595502.0,0.9854912086560925,6.81126,553.959776,6.81126,553.959776,0.0036331016581366738
US,CRM,2016-07-14,82.0,82.02,81.44,81.56,80.81,80.83,80.26,80.38,1791700.0,146471475.0,0.985532123589995,6.81126,555.526366,6.81126,555.526366,0.002630497147370677
US,CRM,2016-07-15,81.86,81.91,81.04,81.4,80.67,80.72,79.87,80.22,2253800.0,183797390.0,0.9855036855036854,6.81126,554.436564,6.81126,554.436564,0.0033089325616699407
US,CRM,2016-07-18,81.51,82.07,81.15,81.63,80.33,80.88,79.98,80.45,2177300.0,177645907.0,0.9855445301972315,6.81126,556.003154,6.81126,556.003154,0.0031966185404756244
US,CRM,2016-07-19,81.7,81.79,81.15,81.37,80.52,80.6,79.97,80.19,2164300.0,176390450.0,0.9854983409118839,6.81126,554.232226,6.81126,554.232226,0.0031775324976582894
US,CRM,2016-07-20,82.05,82.73,81.42,82.14,80.86,81.53,80.24,80.95,4267800.0,350343702.0,0.9855125395665937,6.81126,559.476896,6.81126,559.476896,0.006265801041217043
US,CRM,2016-07-21,82.45,83.09,81.43,81.7,81.25,81.88,80.24,80.51,3195800.0,262598886.0,0.9854345165238678,6.81126,556.479942,6.81126,556.479942,0.0046919365873568175
US,CRM,2016-07-22,81.99,82.67,81.23,82.55,80.8,81.47,80.05,81.35,2578700.0,211737057.0,0.9854633555420956,6.81126,562.269513,6.81126,562.269513,0.0037859368163893317
US,CRM,2016-07-25,82.58,82.68,81.92,82.19,81.38,81.48,80.73,81.0,2633100.0,216809454.0,0.9855213529626475,6.81126,559.817459,6.81126,559.817459,0.003865804564794179
US,CRM,2016-07-26,82.0,82.19,81.43,81.76,80.81,80.99,80.24,80.57,3010000.0,246368500.0,0.9854452054794519,6.81126,556.888618,6.81126,556.888618,0.00441915299078291
US,CRM,2016-07-27,81.92,82.12,81.05,81.5,80.73,80.93,79.88,80.32,3570100.0,291498665.0,0.985521472392638,6.81126,555.11769,6.81126,555.11769,0.005241467804782082
US,CRM,2016-07-28,81.92,82.72,81.7,82.33,80.74,81.52,80.52,81.14,2448200.0,201168594.0,0.9855459735211952,6.81126,560.771036,6.81126,560.771036,0.003594342309646086
US,CRM,2016-07-29,82.25,82.41,80.88,81.8,81.05,81.21,79.7,80.61,2996300.0,245217192.0,0.9854523227383863,6.81126,557.161068,6.81126,557.161068,0.004399039237967718
US,CRM,2016-08-01,81.78,81.8,80.55,81.02,80.59,80.61,79.38,79.84,4171900.0,339133751.0,0.9854356948901507,6.90468,559.417174,6.90468,559.417174,0.0060421337411726535
US,CRM,2016-08-02,80.81,80.85,79.6,80.5,79.64,79.67,78.44,79.33,4267700.0,343293788.0,0.9854658385093168,6.90468,555.82674,6.90468,555.82674,0.006180880214579097
US,CRM,2016-08-03,80.53,80.74,79.84,80.41,79.36,79.57,78.68,79.24,2657500.0,213609850.0,0.985449570948887,6.90468,555.205319,6.90468,555.205319,0.003848838758639068
US,CRM,2016-08-04,80.54,81.12,80.32,80.56,79.37,79.94,79.15,79.39,2467400.0,198971136.0,0.9854766633565044,6.90468,556.241021,6.90468,556.241021,0.003573518251388913
US,CRM,2016-08-05,80.87,81.33,80.66,81.33,79.7,80.15,79.49,80.15,3033500.0,245865175.0,0.9854912086560925,6.90468,561.557624,6.90468,561.557624,0.00439339694236373
US,CRM,2016-08-08,81.38,81.52,81.04,81.17,80.2,80.33,79.86,79.99,2682600.0,218041728.0,0.9854626093384254,6.90468,560.452876,6.90468,560.452876,0.003885190913988773
US,CRM,2016-08-09,81.11,81.63,81.0,81.18,79.93,80.44,79.82,80.0,2785300.0,226249919.0,0.9854644000985464,6.90468,560.521922,6.90468,560.521922,0.00403393060938378
US,CRM,2016-08-10,81.3,81.46,79.94,80.24,80.12,80.28,78.78,79.08,3376200.0,272594388.0,0.9855433698903291,6.90468,554.031523,6.90468,554.031523,0.004889726967795756
US,CRM,2016-08-11,80.42,81.64,80.2,81.48,79.26,80.46,79.04,80.3,3448600.0,279095198.0,0.9855179185076092,6.90468,562.593326,6.90468,562.593326,0.00499458338402359
US,CRM,2016-08-12,81.31,81.79,80.59,81.63,80.13,80.61,79.43,80.45,3275100.0,266363883.0,0.9855445301972315,6.90468,563.629028,6.90468,563.629028,0.004743304541267662
US,CRM,2016-08-15,79.35,79.75,78.21,78.92,78.19,78.59,77.07,77.77,10886100.0,860655066.0,0.9854282818043588,6.90468,544.917346,6.90468,544.917346,0.015766262882566606
US,CRM,2016-08-16,79.0,79.0,77.92,77.96,77.85,77.85,76.79,76.83,4797700.0,376475519.0,0.9855053873781427,6.90468,538.288853,6.90468,538.288853,0.0069484755267441795
US,CRM,2016-08-17,77.42,77.45,75.87,76.32,76.29,76.32,74.77,75.21,8141600.0,624949216.0,0.9854559748427673,6.90468,526.965178,6.90468,526.965178,0.01179142262928912
US,CRM,2016-08-18,76.37,77.16,76.17,76.91,75.26,76.04,75.06,75.79,6200200.0,475245330.0,0.9854375243791446,6.90468,531.038939,6.90468,531.038939,0.008979706517898006
US,CRM,2016-08-19,76.72,77.57,76.51,77.48,75.61,76.45,75.4,76.36,3289300.0,253506351.0,0.9855446566855962,6.90468,534.974606,6.90468,534.974606,0.004763870302461519
US,CRM,2016-08-22,77.48,77.65,76.96,77.25,76.36,76.52,75.84,76.13,4059000.0,313923060.0,0.9855016181229773,6.90468,533.38653,6.90468,533.38653,0.005878621456751073
US,CRM,2016-08-23,77.82,78.28,77.68,78.02,76.69,77.15,76.55,76.89,4328600.0,337414370.0,0.9855165342219944,6.90468,538.703134,6.90468,538.703134,0.00626908126082599
US,CRM,2016-08-24,78.0,78.69,77.58,77.82,76.87,77.55,76.45,76.69,3661700.0,285685834.0,0.985479311231046,6.90468,537.322198,6.90468,537.322198,0.005303214631235626
US,CRM,2016-08-25,78.14,80.24,78.11,80.16,77.01,79.08,76.98,79.0,7495900.0,593375444.0,0.9855289421157685,6.90468,553.479149,6.90468,553.479149,0.010856259812185359
US,CRM,2016-08-26,80.39,80.7,79.46,80.03,79.22,79.53,78.31,78.87,4271500.0,342318010.0,0.9855054354617019,6.90468,552.58154,6.90468,552.58154,0.006186383728138016
US,CRM,2016-08-29,80.21,80.24,79.72,79.92,79.05,79.08,78.56,78.76,4582800.0,366715656.0,0.9854854854854855,6.90468,551.822026,6.90468,551.822026,0.006637237352056866
US,CRM,2016-08-30,80.0,80.22,79.35,79.83,78.84,79.05,78.2,78.67,3352700.0,267713095.0,0.9854691218840036,6.90468,551.200604,6.90468,551.200604,0.004855692081312964
US,CRM,2016-08-31,80.01,80.1,78.94,79.42,78.85,78.94,77.8,78.27,10307100.0,820651302.0,0.9855200201460589,6.90468,548.369686,6.90468,548.369686,0.0149277012113523
US,CRM,2016-09-01,75.45,76.55,74.06,75.91,74.36,75.44,72.99,74.81,27418500.0,2069822565.0,0.9855091555789752,6.90468,524.134259,6.90468,524.134259,0.03971002276716662
US,CRM,2016-09-02,76.0,76.47,74.65,75.1,74.9,75.36,73.57,74.01,8153000.0,616040680.0,0.9854860186418111,6.90468,518.541468,6.90468,518.541468,0.011807933169965878
US,CRM,2016-09-06,74.93,75.62,74.55,75.42,73.85,74.53,73.47,74.33,5146000.0,386618980.0,0.9855476001060726,6.90468,520.750966,6.90468,520.750966,0.007452915993210402
US,CRM,2016-09-07,75.07,75.61,74.58,75.01,73.98,74.51,73.5,73.92,5566800.0,417899676.0,0.9854686041861085,6.90468,517.920047,6.90468,517.920047,0.00806235770520864
US,CRM,2016-09-08,75.0,75.02,74.37,74.88,73.91,73.93,73.29,73.79,5122200.0,383243004.0,0.9854433760683762,6.90468,517.022438,6.90468,517.022438,0.007418446618815065
US,CRM,2016-09-09,74.52,75.69,74.2,74.2,73.44,74.59,73.12,73.12,6915100.0,516212215.0,0.98544474393531,6.90468,512.327256,6.90468,512.327256,0.010015091213495773
US,CRM,2016-09-12,73.78,74.71,73.5,74.36,72.71,73.62,72.43,73.28,5197800.0,385105002.0,0.9854760623991393,6.90468,513.432005,6.90468,513.432005,0.0075279375727767255
US,CRM,2016-09-13,73.65,74.0,72.65,73.06,72.58,72.93,71.6,72.0,6780300.0,497267202.0,0.9854913769504516,6.90468,504.455921,6.90468,504.455921,0.009819861311458315
US,CRM,2016-09-14,73.06,74.51,73.0,73.82,72.0,73.43,71.94,72.75,5828700.0,428992320.0,0.9855052831211055,6.90468,509.703478,6.90468,509.703478,0.008441665652861537
