country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,CRWV,Q4,2023-12-31,2024-03-30,0.699578,-1.192272,-1.470504,0.285914,-0.034273,0.502766,1.11987,-9.342357,0.023307,-8.342357,0.376053,-0.255731,10.549195,,
US,CRWV,Q1,2024-03-31,2024-05-15,0.686142,-0.387913,-0.684997,,,,,,,,10.806629,-15.776167,20.038652,,
US,CRWV,Q2,2024-06-30,2024-08-14,0.724719,-0.546585,-0.817007,,,,,,,,-0.298009,0.364756,5.385668,,
US,CRWV,Q3,2024-09-30,2024-11-14,0.754883,-0.366087,-0.61617,1.045868,-0.025453,0.517321,1.024336,-42.090882,0.041308,-41.090882,1.098094,-1.782128,3.179049,,
US,CRWV,Q4,2024-12-31,2025-03-31,0.756288,0.160139,-0.068732,0.124208,-0.002881,0.38614,1.023193,-44.115777,0.041914,-43.115777,0.249832,-3.634898,4.929638,5.443529,0.698829
US,CRWV,Q1,2025-03-31,2025-05-14,0.732696,-0.004859,-0.320528,-0.102513,-0.014393,0.435105,0.859596,6.122312,0.044905,7.122312,0.062313,-0.194406,1.496006,4.202518,-1.434397
US,CRWV,Q2,2025-06-30,2025-08-12,0.742192,0.01998,-0.239538,-0.076033,-0.011071,0.522207,0.854398,5.868018,0.046217,6.868018,-0.207168,0.864865,1.815438,2.067468,0.10065
US,CRWV,Q3,2025-09-30,2025-11-13,0.729735,0.054043,-0.080696,-0.028397,-0.003346,0.487014,0.882165,7.486431,0.041466,8.486431,1.237755,-15.338473,2.988271,1.33701,0.693936
US,CRWV,Q4,2025-12-31,2026-03-02,0.676116,-0.050393,-0.287375,-0.13545,-0.009162,0.455474,0.932356,13.783208,0.031883,14.783208,0.991791,-3.451207,3.574646,1.103079,-7.793234
US,CRWV,Q1,2026-03-31,2026-05-07,0.655438,-0.069297,-0.356112,-0.155495,-0.013316,0.314794,0.914365,10.677453,0.037392,11.677453,1.435996,-4.032432,5.139076,1.116883,-1.351887
