code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
CRWV,CoreWeave Inc-A,US,USD,Q4,2023-12-31,2024-03-30,115997000.0,81149000.0,-138300000.0,-154390000.0,16184000.0,-170574000.0,-170574000.0,-0.4224983714242545,4976975000.0,501992000.0,4474983000.0,217147000.0,165379000.0,3945956000.0,5573566000.0,998461000.0,4575105000.0,455563000.0,-596591000.0,-596591000.0,43621000.0,-1254449000.0,-1180054000.0,1214518000.0
CRWV,CoreWeave Inc-A,US,USD,Q1,2024-03-31,2024-05-15,188684000.0,129464000.0,-73193000.0,-113849000.0,15399000.0,-129248000.0,-129248000.0,-0.32013712236238845,0.0,,,,,,0.0,,,,0.0,,2039038000.0,-1771243000.0,-1741935000.0,919495000.0
CRWV,CoreWeave Inc-A,US,USD,Q2,2024-06-30,2024-08-14,395371000.0,286533000.0,-216104000.0,-282870000.0,40151000.0,-323021000.0,-323021000.0,-0.8000975906986652,0.0,,,,,,0.0,,,,0.0,,-117824000.0,-2249932000.0,-2247161000.0,1940289000.0
CRWV,CoreWeave Inc-A,US,USD,Q3,2024-09-30,2024-11-14,583941000.0,440807000.0,-213773000.0,-318148000.0,41659000.0,-359807000.0,-359807000.0,-0.8261302817467333,14136373000.0,2052845000.0,12083528000.0,1355216000.0,498145000.0,10909475000.0,14480400000.0,3968224000.0,10512176000.0,1009375000.0,-344027000.0,-344027000.0,641222000.0,-1172654000.0,-1215155000.0,1213584000.0
CRWV,CoreWeave Inc-A,US,USD,Q4,2024-12-31,2025-03-31,747430000.0,565272000.0,119693000.0,-29334000.0,22038000.0,-51372000.0,-51372000.0,-0.12703044210411787,17832599000.0,1916249000.0,15916350000.0,1361083000.0,416526000.0,14504321000.0,18246197000.0,4962581000.0,13283616000.0,868259000.0,-413598000.0,-413598000.0,186732000.0,-3464229000.0,-3497827000.0,3391280000.0
CRWV,CoreWeave Inc-A,US,USD,Q1,2025-03-31,2025-05-14,981632000.0,719238000.0,-4770000.0,-268605000.0,46036000.0,-314641000.0,-314641000.0,-0.7780305484326433,21860383000.0,3102647000.0,18757736000.0,1276456000.0,1055208000.0,17274212000.0,18791101000.0,7130797000.0,11660304000.0,1242100000.0,3069282000.0,3069282000.0,61168000.0,-1433051000.0,-1407359000.0,1853866000.0
CRWV,CoreWeave Inc-A,US,USD,Q2,2025-06-30,2025-08-12,1212788000.0,900121000.0,24232000.0,-242734000.0,47775000.0,-290509000.0,-290509000.0,-0.5970291271314102,26241363000.0,3945983000.0,22295380000.0,1152883000.0,1933698000.0,20011711000.0,22420557000.0,7556355000.0,14864202000.0,1226579000.0,3820806000.0,3820806000.0,-251251000.0,-2442162000.0,-2452992000.0,2229180000.0
CRWV,CoreWeave Inc-A,US,USD,Q3,2025-09-30,2025-11-13,1364676000.0,995852000.0,73751000.0,-236804000.0,-126680000.0,-110124000.0,-110124000.0,-0.22118316241067232,32910498000.0,4731283000.0,28179215000.0,1894399000.0,1659229000.0,25336238000.0,29032484000.0,9714872000.0,19317612000.0,1156978000.0,3878014000.0,3878014000.0,1689134000.0,-2470086000.0,-2388888000.0,1696060000.0
CRWV,CoreWeave Inc-A,US,USD,Q4,2025-12-31,2026-03-02,1571904000.0,1062789000.0,-79213000.0,-466857000.0,-15131000.0,-451726000.0,-451726000.0,-1.0384505747126436,49302000000.0,7488000000.0,41814000000.0,3946000000.0,3169000000.0,38788000000.0,45967000000.0,16440000000.0,29527000000.0,1623000000.0,3335000000.0,3335000000.0,1559000000.0,-3926000000.0,-4060000000.0,3528894000.0
CRWV,CoreWeave Inc-A,US,USD,Q1,2026-03-31,2026-05-07,2078000000.0,1362000000.0,-144000000.0,-656000000.0,84000000.0,-740000000.0,-740000000.0,-1.4041745730550284,55573000000.0,5609000000.0,49964000000.0,3021000000.0,2120000000.0,46606000000.0,50814000000.0,17818000000.0,32996000000.0,3371000000.0,4759000000.0,4759000000.0,2984000000.0,-7708000000.0,-7695000000.0,3914000000.0
