country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,CRWV,2025-03-28,,,,,,40.0,40.0,0.0,0.0,0.0,,,,4.48,
US,CRWV,2025-03-31,-7.3,,,,,39.550769,39.783704,-0.232934,-0.046587,-0.372695,0.0,,,4.445714,
US,CRWV,2025-04-01,41.774542,,,,,41.553728,40.730837,0.822891,0.127309,1.391165,28.980355,,,5.284592,
US,CRWV,2025-04-02,16.720563,,,,,44.600847,42.258923,2.341924,0.570232,3.543384,39.665733,,,5.851407,
US,CRWV,2025-04-03,-12.32073,48.962,,,,46.016101,43.113818,2.902283,1.036642,3.731283,34.814137,,,6.369163,34880220.0
US,CRWV,2025-04-04,-11.115242,50.526,,,,46.293624,43.462424,2.8312,1.395554,2.871293,31.529069,,,6.649223,29555920.0
US,CRWV,2025-04-07,4.245086,53.08,,,,46.840759,43.935577,2.905181,1.697479,2.415404,33.812278,,,6.877136,28799900.0
US,CRWV,2025-04-08,-12.517553,51.288,,,,46.343719,43.911461,2.432258,1.844435,1.175647,30.450932,,,7.274483,23865780.0
US,CRWV,2025-04-09,11.832149,48.77,,,,46.716993,44.271352,2.445641,1.964676,0.961929,36.107327,,,7.523449,16778360.0
US,CRWV,2025-04-10,-13.471396,46.45,47.706,,,46.022071,44.117919,1.904152,1.952571,-0.096839,32.48467,,,7.48106,13235100.0
US,CRWV,2025-04-11,3.672986,45.636,48.081,,,45.672522,44.090666,1.581856,1.878428,-0.593145,34.162908,,,7.222412,11457080.0
US,CRWV,2025-04-14,-0.32,44.388,48.734,,,45.355211,44.055061,1.30015,1.762773,-0.925246,34.080506,,,7.024383,10139540.0
US,CRWV,2025-04-15,-6.489337,43.822,47.555,,,44.651332,43.812464,0.838868,1.577992,-1.478247,32.380278,,,6.861213,8776360.0
US,CRWV,2025-04-16,-0.122609,42.214,45.492,,,44.04805,43.584133,0.463917,1.355177,-1.782519,32.349571,,,6.555412,6771780.0
US,CRWV,2025-04-17,-4.026516,41.592,44.021,,,43.285273,43.251234,0.034039,1.090949,-2.113821,31.301056,,,6.321454,5859840.0
US,CRWV,2025-04-21,-9.38859,39.926,42.781,,,42.075231,42.671143,-0.595912,0.753577,-2.698977,29.033236,,,6.268493,6367180.0
US,CRWV,2025-04-22,8.723885,38.906,41.647,,,41.526734,42.36291,-0.836176,0.435626,-2.543605,33.407944,,,6.120029,7319640.0
US,CRWV,2025-04-23,8.075824,39.074,41.448,,,41.541083,42.30788,-0.766797,0.195142,-1.923877,37.578688,,,6.071456,7481680.0
US,CRWV,2025-04-24,0.360404,39.282,40.748,,,41.576301,42.268037,-0.691736,0.017766,-1.419004,37.781097,,,5.973494,7915660.0
US,CRWV,2025-04-25,-0.550634,39.772,40.682,44.194,,41.570716,42.214108,-0.643392,-0.114465,-1.057853,37.579876,56.642112,31.745888,5.793959,8699862.2
US,CRWV,2025-04-28,1.155513,41.092,40.509,44.295,,41.639837,42.19973,-0.559893,-0.203551,-0.712684,38.318211,56.637691,31.952309,5.633676,8115542.2
US,CRWV,2025-04-29,1.903855,41.954,40.43,44.582,,41.8214,42.245676,-0.424275,-0.247696,-0.353159,39.600527,56.499904,32.664096,5.619842,8296402.2
US,CRWV,2025-04-30,-3.549743,41.89,40.482,44.0185,,41.741185,42.175626,-0.434441,-0.285045,-0.298792,37.984734,55.427223,32.609777,5.455568,7986142.2
US,CRWV,2025-05-01,7.312349,42.4,40.841,43.1665,,42.137926,42.334468,-0.196543,-0.267344,0.141604,42.964173,51.359669,34.973331,5.569456,8711124.8
US,CRWV,2025-05-02,16.358303,44.406,42.089,43.055,,43.589014,43.018582,0.570432,-0.099789,1.340443,52.768715,50.709265,35.400735,5.707352,8797926.0
US,CRWV,2025-05-05,-1.085903,46.204,43.648,43.2145,,44.730704,43.610539,1.120166,0.144202,1.951927,52.024798,51.375467,35.053533,5.519684,9045466.2
US,CRWV,2025-05-06,6.449716,48.5,45.227,43.437,,46.202903,44.402351,1.800553,0.475472,2.650162,55.953525,52.502045,34.371955,5.537564,8875626.2
US,CRWV,2025-05-07,-1.289134,50.96,46.425,43.9365,,47.340918,45.083658,2.25726,0.83183,2.850861,54.922959,54.027504,33.845496,5.392738,8851426.2
US,CRWV,2025-05-08,2.61194,53.096,47.748,44.248,,48.519239,45.818202,2.701037,1.205671,2.990731,56.642937,55.259263,33.236737,5.216828,7503903.6
US,CRWV,2025-05-09,-6.6,53.056,48.731,44.7065,,48.957817,46.229446,2.728371,1.510211,2.43632,51.189031,56.09565,33.31735,5.318483,7253760.2
US,CRWV,2025-05-12,13.86023,54.552,50.378,45.4435,,50.424307,47.137635,3.286672,1.865503,2.842337,59.438625,58.302507,32.584493,5.51502,8091101.0
US,CRWV,2025-05-13,8.15524,56.344,52.422,46.426,,52.399029,48.331884,4.067144,2.305832,3.522626,63.847037,61.402849,31.449151,5.660376,8187402.4
