country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,CSCO,Q4,2016-07-31,2016-09-08,0.631033,0.282798,0.222583,0.044239,0.023123,3.16001,0.477321,0.913204,0.103886,1.913188,0.302105,1.35727,0.323152,,
US,CSCO,Q1,2016-10-29,2016-11-22,0.638277,0.2551,0.187986,0.036621,0.018387,3.58104,0.497866,0.99161,0.097809,1.99172,0.221017,1.175711,0.24328,,
US,CSCO,Q2,2017-01-28,2017-02-21,0.628325,0.275043,0.202763,0.036796,0.018598,3.672362,0.494503,0.978358,0.091724,1.978468,0.325734,1.606474,0.347409,,
US,CSCO,Q3,2017-04-29,2017-05-23,0.629648,0.285595,0.210637,0.038466,0.019968,3.519764,0.480889,0.926371,0.0948,1.926371,0.282496,1.341153,0.301759,,
US,CSCO,Q4,2017-07-31,2017-09-07,0.62194,0.280392,0.199786,0.036651,0.018672,3.034587,0.490541,0.962865,0.093462,1.962865,0.329762,1.650578,0.346905,-0.039959,-0.138287
US,CSCO,Q1,2017-10-28,2017-11-21,0.611981,0.250412,0.197264,0.036522,0.018342,2.871192,0.497786,0.991182,0.09298,1.991182,0.25379,1.28655,0.267633,-0.017487,0.031008
US,CSCO,Q2,2018-01-27,2018-02-20,0.630773,0.266762,-0.738454,-0.168866,-0.066748,2.433265,0.60473,1.529914,0.090389,2.529914,0.342391,-0.463659,0.360141,0.026511,-4.738501
US,CSCO,Q3,2018-04-28,2018-05-22,0.622563,0.280029,0.215919,0.057671,0.023604,2.344145,0.590722,1.443325,0.109317,2.443325,0.193854,0.897808,0.213191,0.043802,0.06998
US,CSCO,Q4,2018-07-31,2018-09-06,0.616786,0.297104,0.296092,0.088024,0.034959,2.287294,0.602846,1.517915,0.118069,2.517915,0.319215,1.078096,0.335877,0.058601,0.568894
US,CSCO,Q1,2018-10-27,2018-11-20,0.623164,0.267212,0.271496,0.080939,0.033662,2.1082,0.584099,1.40442,0.123989,2.40442,0.287867,1.060299,0.304085,0.077126,0.482456
US,CSCO,Q2,2019-01-26,2019-02-19,0.624538,0.286518,0.22674,0.069185,0.027542,1.801859,0.601911,1.512001,0.121469,2.512001,0.305078,1.3455,0.326049,0.047026,1.321486
US,CSCO,Q3,2019-04-27,2019-05-21,0.63073,0.295262,0.234913,0.082708,0.031289,1.694945,0.621697,1.643381,0.133194,2.643381,0.334079,1.422142,0.351675,0.039718,0.131178
US,CSCO,Q4,2019-07-31,2019-09-05,0.638517,0.291034,0.164284,0.065711,0.022558,1.505897,0.656714,1.91302,0.13731,2.91302,0.293566,1.786945,0.309056,0.045469,-0.419932
US,CSCO,Q1,2019-10-26,2019-11-19,0.64321,0.286344,0.222357,0.085001,0.031635,1.695979,0.627827,1.686924,0.142272,2.686924,0.272589,1.225906,0.28794,0.006655,-0.175542
US,CSCO,Q2,2020-01-25,2020-02-18,0.646731,0.307539,0.239733,0.080995,0.031827,1.813338,0.607049,1.544846,0.13276,2.544846,0.316535,1.320361,0.332278,-0.035433,0.019844
US,CSCO,Q3,2020-04-25,2020-05-18,0.648502,0.295585,0.231495,0.077686,0.030352,1.59259,0.609296,1.559482,0.131114,2.559482,0.353584,1.527397,0.367854,-0.075243,-0.088699
US,CSCO,Q4,2020-07-31,2020-09-03,0.63222,0.2818,0.216883,0.069515,0.02779,1.720145,0.600224,1.501398,0.128135,2.501398,0.312819,1.442337,0.329933,-0.094876,0.194923
US,CSCO,Q1,2020-10-24,2020-11-17,0.63551,0.266242,0.182245,0.056975,0.022883,1.592716,0.59836,1.489792,0.125564,2.489792,0.343365,1.884085,0.3577,-0.093472,-0.257006
US,CSCO,Q2,2021-01-23,2021-02-16,0.650836,0.289047,0.212793,0.065055,0.026621,1.610349,0.590789,1.443726,0.125103,2.443726,0.248662,1.168566,0.264298,-0.003748,-0.115705
US,CSCO,Q3,2021-05-01,2021-05-25,0.639303,0.289151,0.223619,0.07121,0.030491,1.527492,0.571813,1.335431,0.136353,2.335431,0.303054,1.355222,0.316488,0.06843,0.032084
