country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,CSCO,2016-06-20,29.04,29.22,28.78,28.8,21.49,21.62,21.3,21.31,22100840.0,640040326.4,0.7399305556,50.32,1449.216,50.32,1449.216,0.004392058823529412
US,CSCO,2016-06-21,28.97,29.0,28.73,28.77,21.44,21.46,21.26,21.29,19098634.0,551329816.995,0.7400069517,50.32,1447.7064,50.32,1447.7064,0.003795436009538951
US,CSCO,2016-06-22,28.87,29.08,28.68,28.72,21.36,21.52,21.22,21.25,18273300.0,526956288.75,0.739902507,50.32,1445.1904,50.32,1445.1904,0.003631418918918919
US,CSCO,2016-06-23,29.03,29.23,28.96,29.22,21.48,21.63,21.43,21.62,19415601.0,565188145.11,0.7399041752,50.32,1470.3504,50.32,1470.3504,0.0038584262718600955
US,CSCO,2016-06-24,28.16,28.57,27.7,27.75,20.83,21.14,20.49,20.53,44408900.0,1245447600.5,0.7398198198,50.32,1396.38,50.32,1396.38,0.008825298092209857
US,CSCO,2016-06-27,27.48,27.55,27.13,27.31,20.34,20.39,20.08,20.21,30293961.0,829069977.6675,0.74002197,50.32,1374.2392,50.32,1374.2392,0.006020262519872814
US,CSCO,2016-06-28,27.55,27.85,27.5,27.79,20.38,20.6,20.35,20.56,24646939.0,682042419.4775,0.7398344728,50.32,1398.3928,50.32,1398.3928,0.004898040341812401
US,CSCO,2016-06-29,28.13,28.33,27.9,28.26,20.81,20.96,20.64,20.91,25593000.0,720570915.0,0.7399150743,50.32,1422.0432,50.32,1422.0432,0.005086049284578696
US,CSCO,2016-06-30,28.38,28.69,28.07,28.69,21.0,21.23,20.77,21.23,25184400.0,716685063.0,0.7399790868,50.32,1443.6808,50.32,1443.6808,0.005004848966613673
US,CSCO,2016-07-01,28.78,28.93,28.59,28.8,21.3,21.41,21.15,21.31,20901306.0,601435080.15,0.7399305556,50.32,1449.216,50.32,1449.216,0.004153677662957074
US,CSCO,2016-07-05,28.23,28.62,28.22,28.33,21.08,21.37,21.07,21.15,22116900.0,627014115.0,0.7465584186,50.32,1425.5656,50.32,1425.5656,0.0043952503974562795
US,CSCO,2016-07-06,28.45,28.77,28.17,28.72,21.24,21.48,21.03,21.44,24844038.0,708738294.045,0.7465181058,50.32,1445.1904,50.32,1445.1904,0.00493720945945946
US,CSCO,2016-07-07,28.72,28.9,28.61,28.74,21.45,21.58,21.36,21.46,17395408.0,499987514.44,0.7466945024,50.32,1446.1968,50.32,1446.1968,0.0034569570747217805
US,CSCO,2016-07-08,28.91,29.28,28.88,29.26,21.58,21.85,21.56,21.84,24647400.0,716808010.5,0.7464114833,50.32,1472.3632,50.32,1472.3632,0.004898131955484897
US,CSCO,2016-07-11,29.34,29.7,29.26,29.43,21.9,22.17,21.84,21.97,22045219.0,648845908.2175,0.7465171594,50.32,1480.9176,50.32,1480.9176,0.004381005365659777
US,CSCO,2016-07-12,29.72,29.74,29.52,29.61,22.18,22.2,22.03,22.1,22157542.0,656915726.445,0.7463694698,50.32,1489.9752,50.32,1489.9752,0.004403327106518283
US,CSCO,2016-07-13,29.72,29.83,29.58,29.75,22.19,22.27,22.08,22.21,18038100.0,536092332.0,0.7465546218,50.32,1497.02,50.32,1497.02,0.0035846780604133544
US,CSCO,2016-07-14,29.84,29.99,29.64,29.76,22.28,22.39,22.13,22.22,19332200.0,576244551.5,0.7466397849,50.32,1497.5232,50.32,1497.5232,0.003841852146263911
US,CSCO,2016-07-15,29.93,29.95,29.66,29.82,22.34,22.36,22.14,22.26,17800449.0,531165398.16,0.7464788732,50.32,1500.5424,50.32,1500.5424,0.003537450119236884
