code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
DELL,戴尔科技,US,USD,Q2,2016-07-29,2016-09-06,13071000000.0,2327000000.0,71000000.0,-286000000.0,-859000000.0,573000000.0,573000000.0,0.7280813214739518,68916000000.0,24247000000.0,44669000000.0,7226000000.0,5257000000.0,1562000000.0,66546000000.0,25823000000.0,40723000000.0,14050000000.0,2370000000.0,2244000000.0,1878000000.0,-163000000.0,-143000000.0,-460000000.0
DELL,戴尔科技,US,USD,Q3,2016-10-28,2016-12-09,16247000000.0,3899000000.0,-1476000000.0,-2306000000.0,-242000000.0,-2064000000.0,-2064000000.0,-2.870653685674548,125632000000.0,36407000000.0,89225000000.0,8822000000.0,8830000000.0,5805000000.0,105626000000.0,41369000000.0,64257000000.0,14644000000.0,20006000000.0,14067000000.0,-246000000.0,-37838000000.0,-182000000.0,39659000000.0
DELL,戴尔科技,US,USD,Q4,2017-01-31,2017-03-31,20074000000.0,4531000000.0,-1759000000.0,-2410000000.0,-287000000.0,-2123000000.0,-2123000000.0,-2.7183098591549295,118206000000.0,30773000000.0,87433000000.0,9474000000.0,9420000000.0,5653000000.0,98966000000.0,38135000000.0,60831000000.0,14422000000.0,19240000000.0,13474000000.0,676000000.0,6803000000.0,-404000000.0,-6802000000.0
DELL,戴尔科技,US,USD,Q1,2017-05-05,2017-06-09,18000000000.0,4457000000.0,-1247000000.0,-1844000000.0,-673000000.0,-1171000000.0,-1171000000.0,-1.6299317266001796,116040000000.0,30384000000.0,85656000000.0,9554000000.0,8834000000.0,5438000000.0,98349000000.0,36636000000.0,61713000000.0,15064000000.0,17691000000.0,11833000000.0,240000000.0,51000000.0,-334000000.0,-187000000.0
DELL,戴尔科技,US,USD,Q2,2017-08-04,2017-09-08,19521000000.0,4968000000.0,-607000000.0,-1210000000.0,-478000000.0,-732000000.0,-732000000.0,-1.0188813184212908,117494000000.0,32205000000.0,85289000000.0,9213000000.0,9716000000.0,5400000000.0,100225000000.0,42126000000.0,58099000000.0,16916000000.0,17269000000.0,11280000000.0,1816000000.0,-1341000000.0,-500000000.0,-870000000.0
DELL,戴尔科技,US,USD,Q3,2017-11-03,2017-12-12,19556000000.0,5220000000.0,-391000000.0,-1092000000.0,-246000000.0,-846000000.0,-846000000.0,-1.177559556536082,118394000000.0,34525000000.0,83869000000.0,11706000000.0,9189000000.0,5378000000.0,102806000000.0,40742000000.0,62064000000.0,16711000000.0,15588000000.0,9881000000.0,1623000000.0,-700000000.0,-444000000.0,1602000000.0
DELL,戴尔科技,US,USD,Q4,2018-01-31,2018-03-29,21935000000.0,5780000000.0,-272000000.0,-876000000.0,-365000000.0,-511000000.0,-511000000.0,-0.666232073011734,124193000000.0,40328000000.0,83865000000.0,13942000000.0,11721000000.0,5390000000.0,106324000000.0,45839000000.0,60485000000.0,18334000000.0,17869000000.0,12103000000.0,3131000000.0,-891000000.0,-398000000.0,-132000000.0
DELL,戴尔科技,US,USD,Q1,2018-05-04,2018-06-12,21356000000.0,5878000000.0,-27000000.0,-623000000.0,13000000.0,-636000000.0,-636000000.0,-0.8292046936114733,123217000000.0,41231000000.0,81986000000.0,15324000000.0,10561000000.0,5303000000.0,105393000000.0,44114000000.0,61279000000.0,18534000000.0,17824000000.0,11329000000.0,1159000000.0,-149000000.0,-362000000.0,543000000.0
DELL,戴尔科技,US,USD,Q2,2018-08-03,2018-09-11,22942000000.0,6123000000.0,177000000.0,-468000000.0,31000000.0,-499000000.0,-499000000.0,-0.6514360313315927,123381000000.0,43125000000.0,80256000000.0,15312000000.0,11201000000.0,5240000000.0,106114000000.0,49178000000.0,56936000000.0,20853000000.0,17267000000.0,10619000000.0,2633000000.0,-13000000.0,-359000000.0,-2530000000.0
DELL,戴尔科技,US,USD,Q3,2018-11-02,2018-12-10,22482000000.0,5943000000.0,-352000000.0,-995000000.0,-119000000.0,-876000000.0,-876000000.0,-1.1436031331592689,121241000000.0,42959000000.0,78282000000.0,15152000000.0,11113000000.0,5228000000.0,104721000000.0,47583000000.0,57138000000.0,19748000000.0,16520000000.0,9687000000.0,833000000.0,-59000000.0,-386000000.0,-857000000.0
DELL,戴尔科技,US,USD,Q4,2019-01-31,2019-03-29,23841000000.0,7109000000.0,383000000.0,-275000000.0,24000000.0,-299000000.0,-299000000.0,-0.41585535465924894,111820000000.0,36138000000.0,75682000000.0,9676000000.0,12371000000.0,5259000000.0,111566000000.0,44972000000.0,66594000000.0,19213000000.0,254000000.0,-4569000000.0,2366000000.0,3610000000.0,-390000000.0,-11485000000.0
DELL,戴尔科技,US,USD,Q1,2019-05-03,2019-06-10,21908000000.0,6797000000.0,611000000.0,-143000000.0,-436000000.0,293000000.0,293000000.0,0.4086471408647141,109892000000.0,33655000000.0,76237000000.0,9040000000.0,10517000000.0,5505000000.0,109779000000.0,43479000000.0,66300000000.0,18097000000.0,113000000.0,-4690000000.0,682000000.0,-458000000.0,-716000000.0,-719000000.0
DELL,戴尔科技,US,USD,Q2,2019-08-02,2019-09-09,23370000000.0,7326000000.0,606000000.0,-111000000.0,-3527000000.0,3416000000.0,3416000000.0,4.751043115438108,115520000000.0,35316000000.0,80204000000.0,9193000000.0,11586000000.0,5568000000.0,111401000000.0,47020000000.0,64381000000.0,19411000000.0,4119000000.0,-1425000000.0,3280000000.0,-825000000.0,-551000000.0,-2203000000.0
DELL,戴尔科技,US,USD,Q3,2019-11-01,2019-12-09,22844000000.0,7126000000.0,852000000.0,159000000.0,-340000000.0,499000000.0,499000000.0,0.6882758620689655,116814000000.0,34772000000.0,82042000000.0,8555000000.0,11447000000.0,5787000000.0,112003000000.0,49055000000.0,62948000000.0,19443000000.0,4811000000.0,-870000000.0,1821000000.0,-2699000000.0,-609000000.0,322000000.0
DELL,戴尔科技,US,USD,Q4,2020-01-31,2020-03-27,24032000000.0,7684000000.0,721000000.0,91000000.0,-317000000.0,408000000.0,408000000.0,0.555858310626703,118861000000.0,36868000000.0,81993000000.0,9302000000.0,12484000000.0,7835000000.0,115077000000.0,52456000000.0,62621000000.0,20065000000.0,3784000000.0,-945000000.0,3508000000.0,-704000000.0,-700000000.0,-2004000000.0
DELL,戴尔科技,US,USD,Q1,2020-05-01,2020-06-08,21897000000.0,6853000000.0,808000000.0,136000000.0,-7000000.0,143000000.0,143000000.0,0.19324324324324324,120236000000.0,40931000000.0,79305000000.0,12229000000.0,10797000000.0,7845000000.0,116555000000.0,50011000000.0,66544000000.0,18432000000.0,3681000000.0,-1173000000.0,-796000000.0,-485000000.0,-559000000.0,4264000000.0
DELL,戴尔科技,US,USD,Q2,2020-07-31,2020-09-04,22733000000.0,7156000000.0,1156000000.0,500000000.0,-548000000.0,1048000000.0,1048000000.0,1.4143049932523617,121276000000.0,41090000000.0,80186000000.0,11221000000.0,11643000000.0,8167000000.0,116108000000.0,54288000000.0,61820000000.0,19500000000.0,5168000000.0,191000000.0,3332000000.0,-924000000.0,-545000000.0,-3437000000.0
DELL,戴尔科技,US,USD,Q3,2020-10-30,2020-12-07,23482000000.0,7261000000.0,1968000000.0,1402000000.0,570000000.0,832000000.0,832000000.0,1.1137884872824633,118948000000.0,38614000000.0,80334000000.0,11304000000.0,11377000000.0,8523000000.0,112482000000.0,50302000000.0,62180000000.0,19792000000.0,6466000000.0,1410000000.0,2994000000.0,1435000000.0,-480000000.0,-4310000000.0
DELL,戴尔科技,US,USD,Q4,2021-01-31,2021-03-26,26112000000.0,8147000000.0,2166000000.0,1632000000.0,405000000.0,1227000000.0,1227000000.0,1.636,123415000000.0,43567000000.0,79848000000.0,9508000000.0,10846000000.0,4833000000.0,115390000000.0,54132000000.0,61258000000.0,21572000000.0,8025000000.0,2951000000.0,5877000000.0,-486000000.0,-498000000.0,-2467000000.0
DELL,戴尔科技,US,USD,Q1,2021-04-30,2021-06-07,22590000000.0,5264000000.0,1138000000.0,699000000.0,-188000000.0,887000000.0,887000000.0,1.1717305151915456,121752000000.0,42339000000.0,79413000000.0,14244000000.0,10909000000.0,8645000000.0,112608000000.0,54856000000.0,57752000000.0,21545000000.0,9144000000.0,4045000000.0,2238000000.0,-519000000.0,-625000000.0,-1638000000.0
DELL,戴尔科技,US,USD,Q2,2021-07-30,2021-09-03,24191000000.0,5475000000.0,1141000000.0,725000000.0,-106000000.0,831000000.0,831000000.0,1.089121887287025,122678000000.0,43555000000.0,79123000000.0,11719000000.0,12914000000.0,8705000000.0,112735000000.0,55483000000.0,57252000000.0,23029000000.0,9943000000.0,4825000000.0,1725000000.0,-669000000.0,-632000000.0,-3673000000.0
DELL,戴尔科技,US,USD,Q3,2021-10-29,2021-12-03,26424000000.0,5534000000.0,5009000000.0,4547000000.0,704000000.0,3843000000.0,3843000000.0,5.016971279373368,135677000000.0,57179000000.0,78498000000.0,22406000000.0,14177000000.0,8878000000.0,121483000000.0,69702000000.0,51781000000.0,26772000000.0,14194000000.0,8954000000.0,3251000000.0,3241000000.0,-799000000.0,4283000000.0
DELL,戴尔科技,US,USD,Q4,2022-01-31,2022-03-24,22194000000.0,-1811000000.0,-795000000.0,-862000000.0,-864000000.0,2000000.0,2000000.0,0.002621231979030144,92735000000.0,45033000000.0,47702000000.0,9477000000.0,13043000000.0,5415000000.0,94315000000.0,56219000000.0,38096000000.0,27143000000.0,-1580000000.0,-1685000000.0,3093000000.0,-747000000.0,-740000000.0,-15581000000.0
DELL,戴尔科技,US,USD,Q1,2022-04-29,2022-06-06,26116000000.0,5784000000.0,1490000000.0,1213000000.0,141000000.0,1072000000.0,1072000000.0,1.4217506631299734,88406000000.0,41376000000.0,47030000000.0,6654000000.0,11968000000.0,6353000000.0,90761000000.0,53059000000.0,37702000000.0,25585000000.0,-2355000000.0,-2462000000.0,-269000000.0,-720000000.0,-690000000.0,-1706000000.0
DELL,戴尔科技,US,USD,Q2,2022-07-29,2022-09-01,26425000000.0,5439000000.0,965000000.0,635000000.0,124000000.0,511000000.0,511000000.0,0.6799996273974644,88775000000.0,42262000000.0,46513000000.0,5507000000.0,13626000000.0,6556000000.0,91530000000.0,54789000000.0,36741000000.0,25339000000.0,-2755000000.0,-2860000000.0,724000000.0,-778000000.0,-807000000.0,-1046000000.0
DELL,戴尔科技,US,USD,Q3,2022-10-28,2022-12-05,24721000000.0,5707000000.0,755000000.0,454000000.0,209000000.0,245000000.0,245000000.0,0.33653846153846156,85172000000.0,38787000000.0,46385000000.0,4909000000.0,11634000000.0,6574000000.0,88540000000.0,52007000000.0,36533000000.0,22507000000.0,-3368000000.0,-3469000000.0,396000000.0,-730000000.0,-747000000.0,-386000000.0
DELL,戴尔科技,US,USD,Q4,2023-01-31,2023-03-30,25039000000.0,5756000000.0,1310000000.0,923000000.0,309000000.0,614000000.0,614000000.0,0.8575418994413407,89611000000.0,42351000000.0,47260000000.0,8607000000.0,12860000000.0,6209000000.0,92636000000.0,51654000000.0,40982000000.0,18598000000.0,-3025000000.0,-3122000000.0,2714000000.0,-796000000.0,-759000000.0,1513000000.0
DELL,戴尔科技,US,USD,Q1,2023-05-05,2023-06-12,20922000000.0,5018000000.0,1110000000.0,705000000.0,122000000.0,583000000.0,583000000.0,0.8052486187845304,84094000000.0,37392000000.0,46702000000.0,7631000000.0,9783000000.0,6995000000.0,87018000000.0,46825000000.0,40193000000.0,17796000000.0,-2924000000.0,-3023000000.0,1777000000.0,-684000000.0,-701000000.0,-2002000000.0
DELL,戴尔科技,US,USD,Q2,2023-08-04,2023-09-12,22934000000.0,5387000000.0,1137000000.0,714000000.0,252000000.0,462000000.0,462000000.0,0.6363636363636364,85658000000.0,38999000000.0,46659000000.0,8364000000.0,10755000000.0,6968000000.0,88335000000.0,50942000000.0,37393000000.0,19969000000.0,-2677000000.0,-2772000000.0,3214000000.0,-605000000.0,-624000000.0,-1827000000.0
DELL,戴尔科技,US,USD,Q3,2023-11-03,2023-12-08,22251000000.0,5148000000.0,1552000000.0,1180000000.0,174000000.0,1006000000.0,1006000000.0,1.3933518005540166,83264000000.0,36987000000.0,46277000000.0,8298000000.0,10106000000.0,6933000000.0,85834000000.0,48877000000.0,36957000000.0,19478000000.0,-2570000000.0,-2664000000.0,2152000000.0,-825000000.0,-704000000.0,-1446000000.0
DELL,戴尔科技,US,USD,Q4,2024-01-31,2024-03-25,22318000000.0,5316000000.0,1661000000.0,1288000000.0,128000000.0,1160000000.0,1160000000.0,1.626848611919471,82126000000.0,35984000000.0,46142000000.0,7366000000.0,9343000000.0,6432000000.0,84258000000.0,48354000000.0,35904000000.0,19226000000.0,-2132000000.0,-2227000000.0,1533000000.0,-669000000.0,-727000000.0,-1819000000.0
DELL,戴尔科技,US,USD,Q1,2024-05-03,2024-06-11,22244000000.0,4851000000.0,951000000.0,592000000.0,-405000000.0,997000000.0,997000000.0,1.4081920903954803,80190000000.0,34627000000.0,45563000000.0,5830000000.0,8563000000.0,6237000000.0,82913000000.0,47734000000.0,35179000000.0,20586000000.0,-2723000000.0,-2822000000.0,1043000000.0,-456000000.0,-596000000.0,-2077000000.0
DELL,戴尔科技,US,USD,Q2,2024-08-02,2024-09-10,25026000000.0,5311000000.0,1376000000.0,989000000.0,143000000.0,846000000.0,846000000.0,1.194915254237288,82687000000.0,37543000000.0,45144000000.0,4550000000.0,11391000000.0,6300000000.0,85484000000.0,52033000000.0,33451000000.0,24095000000.0,-2797000000.0,-2894000000.0,1340000000.0,-557000000.0,-682000000.0,-2032000000.0
DELL,戴尔科技,US,USD,Q3,2024-11-01,2024-12-10,24366000000.0,5307000000.0,1720000000.0,1392000000.0,260000000.0,1132000000.0,1132000000.0,1.5988700564971752,81951000000.0,38035000000.0,43916000000.0,5225000000.0,11189000000.0,6327000000.0,84141000000.0,49500000000.0,34641000000.0,23400000000.0,-2190000000.0,-2285000000.0,1553000000.0,-524000000.0,-639000000.0,-315000000.0
DELL,戴尔科技,US,USD,Q4,2025-01-31,2025-03-25,23806000000.0,5485000000.0,2315000000.0,1972000000.0,439000000.0,1533000000.0,1533000000.0,2.2021734132870816,79746000000.0,36229000000.0,43517000000.0,3633000000.0,10298000000.0,6336000000.0,81133000000.0,46527000000.0,34606000000.0,20832000000.0,-1387000000.0,-1482000000.0,585000000.0,-678000000.0,-735000000.0,-1391000000.0
DELL,戴尔科技,US,USD,Q1,2025-05-02,2025-06-10,23378000000.0,4937000000.0,1444000000.0,1083000000.0,118000000.0,965000000.0,965000000.0,1.3945086705202312,86869000000.0,42925000000.0,43944000000.0,7700000000.0,9785000000.0,6383000000.0,89893000000.0,50422000000.0,39471000000.0,25349000000.0,-3024000000.0,-3024000000.0,2796000000.0,-88000000.0,-568000000.0,1237000000.0
DELL,戴尔科技,US,USD,Q2,2025-08-01,2025-09-08,29776000000.0,5447000000.0,1494000000.0,1440000000.0,276000000.0,1164000000.0,1164000000.0,1.6820809248554913,89176000000.0,45512000000.0,43664000000.0,8291000000.0,15023000000.0,6458000000.0,91942000000.0,54862000000.0,37080000000.0,27463000000.0,-2766000000.0,-2766000000.0,2543000000.0,-655000000.0,-675000000.0,-1465000000.0
DELL,戴尔科技,US,USD,Q3,2025-10-31,2025-12-09,27005000000.0,5714000000.0,2119000000.0,1941000000.0,393000000.0,1548000000.0,1548000000.0,2.3070044709388973,87479000000.0,43102000000.0,44377000000.0,9569000000.0,11721000000.0,6538000000.0,90099000000.0,50516000000.0,39583000000.0,23794000000.0,-2620000000.0,-2620000000.0,1172000000.0,-617000000.0,-669000000.0,857000000.0
DELL,戴尔科技,US,USD,Q4,2026-01-30,2026-03-16,33379000000.0,6730000000.0,3210000000.0,2799000000.0,540000000.0,2259000000.0,2259000000.0,3.465937014967315,101286000000.0,57602000000.0,43684000000.0,11528000000.0,17585000000.0,6676000000.0,103756000000.0,63269000000.0,40487000000.0,33630000000.0,-2470000000.0,-2470000000.0,4674000000.0,-695000000.0,-721000000.0,-2093000000.0
