country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,FLEX,Q1,2016-07-01,2016-07-27,0.069084,0.024047,0.017991,0.040302,0.008453,1.27057,0.786818,3.751583,0.469825,4.768046,0.044911,2.496307,0.071984,,
US,FLEX,Q2,2016-09-30,2016-10-28,0.052208,0.006553,-0.000417,-0.000979,-0.000198,1.234174,0.794307,3.925586,0.474565,4.942153,0.046537,-111.491228,0.070975,,
US,FLEX,Q3,2016-12-31,2017-01-27,0.068104,0.026669,0.021172,0.049798,0.010112,1.252388,0.793682,3.908447,0.477621,4.924448,0.076801,3.627401,0.094407,,
US,FLEX,Q4,2017-03-31,2017-05-16,0.065637,0.021595,0.014818,0.03285,0.006898,1.289509,0.787326,3.749277,0.465531,4.762037,0.023321,1.573785,0.042342,,
US,FLEX,Q1,2017-06-30,2017-08-01,0.067729,0.028691,0.020756,0.045812,0.009581,1.26635,0.784145,3.749614,0.461572,4.781784,0.023054,1.110705,0.043834,0.022369,0.179525
US,FLEX,Q2,2017-09-29,2017-10-30,0.062727,0.039227,0.032707,0.071402,0.015122,1.226489,0.788209,3.721644,0.462355,4.721644,0.022692,0.693802,0.044888,0.043587,82.772727
US,FLEX,Q3,2017-12-31,2018-01-26,0.066107,0.025551,0.017527,0.039709,0.00855,1.224787,0.784688,3.64443,0.487818,4.64443,0.022249,1.269409,0.04726,0.104097,-0.086013
US,FLEX,Q4,2018-03-31,2018-06-14,0.054485,0.008244,-0.003057,-0.006491,-0.001429,1.261741,0.779921,3.543821,0.467407,4.543821,0.050318,-16.462363,0.070455,0.093523,-1.225557
US,FLEX,Q1,2018-06-29,2018-08-02,0.059049,0.027372,0.018133,0.037318,0.008109,1.242459,0.782712,3.602194,0.447176,4.602194,-0.104987,-5.789701,-0.078069,0.065024,-0.069561
US,FLEX,Q2,2018-09-28,2018-11-02,0.060382,0.021603,0.013041,0.027412,0.0059,1.230378,0.784768,3.646154,0.452432,4.646154,-0.155463,-11.921367,-0.126777,0.062545,-0.576348
US,FLEX,Q3,2018-12-31,2019-02-05,0.051615,0.000999,-0.006525,-0.014673,-0.003232,1.264978,0.779727,3.53983,0.495369,4.53983,-0.089705,13.748566,-0.056666,0.025368,-1.381711
US,FLEX,Q4,2019-03-31,2019-05-20,0.062027,-0.004505,-0.010496,-0.02165,-0.004767,1.198212,0.779815,3.541633,0.454179,4.541633,-0.10478,9.982891,-0.083004,-0.043639,-2.284103
US,FLEX,Q1,2019-06-28,2019-07-26,0.057118,0.016926,0.007266,0.014948,0.00311,1.26205,0.791961,3.806791,0.42802,4.806791,-0.106359,-14.638661,-0.080109,-0.034852,-0.613289
US,FLEX,Q2,2019-09-27,2019-10-29,0.031045,-0.009527,-0.019218,-0.041697,-0.008195,1.255954,0.803458,4.087973,0.42643,5.087973,-0.162801,8.471231,-0.144752,-0.086243,-2.346608
US,FLEX,Q3,2019-12-31,2020-01-31,0.066553,0.030336,0.01718,0.038285,0.007853,1.239673,0.79489,3.875438,0.457079,4.875438,-0.007894,-0.459459,0.008203,-0.066711,3.457438
US,FLEX,Q4,2020-03-31,2020-05-28,0.066666,0.013974,0.008799,0.017047,0.003525,1.260019,0.793207,3.835747,0.40062,4.835747,0.030267,3.439773,0.045948,-0.105467,1.749922
US,FLEX,Q1,2020-06-26,2020-08-04,0.058995,0.019018,0.010091,0.017689,0.003679,1.407215,0.792005,3.807812,0.364606,4.807812,-0.122065,-12.096154,-0.100718,-0.165633,0.158852
US,FLEX,Q2,2020-09-25,2020-10-30,0.065998,0.02924,0.018881,0.036276,0.007533,1.464161,0.792347,3.81573,0.398973,4.81573,0.044175,2.339735,0.056663,-0.016919,1.965812
US,FLEX,Q3,2020-12-31,2021-01-29,0.07128,0.035714,0.030952,0.06152,0.013275,1.477723,0.78421,3.634132,0.4289,4.634132,0.051786,1.673077,0.063095,0.040087,0.873874
US,FLEX,Q4,2021-03-31,2021-05-19,0.081392,0.054261,0.038302,0.069849,0.015155,1.450472,0.783026,3.608847,0.395681,4.608847,0.025694,0.670833,0.040057,0.142495,3.973166
US,FLEX,Q1,2021-07-02,2021-07-30,0.074267,0.040208,0.032482,0.058723,0.012722,1.441263,0.78335,3.615735,0.391675,4.615735,0.052665,1.621359,0.071271,0.230739,2.961538
US,FLEX,Q2,2021-10-01,2021-10-29,0.074651,0.038048,0.053941,0.095618,0.020107,1.402279,0.789719,3.755549,0.372748,4.755549,0.028897,0.535714,0.043667,0.040769,1.973451
US,FLEX,Q3,2021-12-31,2022-02-04,0.07418,0.037921,0.034295,0.062107,0.01249,1.370359,0.7989,3.97264,0.364182,4.97264,0.022662,0.660793,0.041245,-0.01503,0.091346
US,FLEX,Q4,2022-03-31,2022-05-20,0.073566,0.033134,0.024376,0.040446,0.008642,1.33853,0.782303,3.661419,0.354515,4.68031,0.052547,2.155689,0.068603,0.093361,-0.304167
US,FLEX,Q1,2022-07-01,2022-07-29,0.072819,0.03743,0.025725,0.046199,0.009425,1.306903,0.791812,3.881447,0.366361,4.90198,0.005172,0.201058,0.019736,0.158467,-0.082524
US,FLEX,Q2,2022-09-30,2022-10-28,0.076101,0.04172,0.029874,0.055502,0.01125,1.286843,0.79295,3.912201,0.37657,4.933732,0.013263,0.443966,0.0376,0.246749,-0.309524
US,FLEX,Q3,2022-12-31,2023-01-27,0.075168,0.041774,0.029654,0.051054,0.011009,1.355759,0.779724,3.615982,0.371243,4.637514,0.046287,1.56087,0.066787,0.171778,0.013216
US,FLEX,Q4,2023-03-31,2023-05-19,0.074361,0.037716,0.018992,0.026537,0.006633,1.475384,0.733452,2.934218,0.349278,4.000561,0.060185,3.169014,0.084258,0.091374,-0.149701
US,FLEX,Q1,2023-06-30,2023-07-28,0.069066,0.031921,0.026988,0.034406,0.008884,1.460801,0.723634,2.802442,0.329194,3.872734,0.000871,0.032258,0.025102,-0.06193,-0.015873
US,FLEX,Q2,2023-09-29,2023-10-27,0.074859,0.040675,0.032886,0.038605,0.010874,1.530081,0.696871,2.474094,0.330647,3.550288,0.051493,1.565789,0.073417,-0.107262,-0.017241
US,FLEX,Q3,2023-12-31,2024-02-02,0.067435,0.031459,0.030681,0.033026,0.009673,1.58502,0.683541,2.33378,0.31528,3.41425,0.04423,1.441624,0.064476,-0.172125,-0.143478
US,FLEX,Q4,2024-03-31,2024-05-17,-0.006437,-0.036182,0.08768,0.074178,0.021636,1.52149,0.708331,2.428545,0.246755,3.428545,0.150721,1.718987,0.168701,-0.397486,1.78169
US,FLEX,Q1,2024-06-28,2024-07-26,0.074596,0.039278,0.022015,0.027822,0.007837,1.399041,0.718329,2.55024,0.355979,3.55024,0.053849,2.446043,0.071429,-0.083865,-0.252688
US,FLEX,Q2,2024-09-27,2024-10-31,0.081131,0.048434,0.032697,0.042774,0.011514,1.434666,0.730819,2.714971,0.352147,3.714971,0.048739,1.490654,0.064477,-0.055964,-0.061404
US,FLEX,Q3,2024-12-31,2025-01-31,0.090604,0.052624,0.040116,0.052684,0.014394,1.41153,0.726795,2.660256,0.3588,3.660256,0.062996,1.570342,0.080079,0.021025,0.335025
US,FLEX,Q4,2025-03-31,2025-05-21,0.087996,0.051735,0.034698,0.044382,0.012078,1.303655,0.727871,2.67473,0.348077,3.67473,0.067677,1.95045,0.085183,0.4202,-0.437975
US,FLEX,Q1,2025-06-27,2025-07-25,0.086996,0.045171,0.029202,0.037728,0.010036,1.357424,0.734006,2.759481,0.343665,3.759481,0.060684,2.078125,0.080913,0.041337,0.381295
US,FLEX,Q2,2025-09-26,2025-10-31,0.090241,0.046149,0.029248,0.039523,0.010181,1.334297,0.742403,2.882026,0.348102,3.882026,0.066578,2.276382,0.088624,0.039572,-0.070093
US,FLEX,Q3,2025-12-31,2026-02-06,0.097053,0.053556,0.033862,0.046671,0.011479,1.395726,0.754035,3.065612,0.339001,4.065612,0.059507,1.757322,0.080476,0.076571,-0.091255
US,FLEX,Q4,2026-03-31,2026-05-20,0.097633,0.056841,0.033436,0.0486,0.011333,1.359188,0.766818,3.288491,0.338939,4.288491,0.055236,1.652,0.082252,0.168646,0.126126
