country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,FLEX,2016-06-20,,,,,,12.98,12.98,0.0,0.0,0.0,,,,0.2,
US,FLEX,2016-06-21,0.077042,,,,,12.981538,12.980741,0.000798,0.00016,0.001276,,,,0.2,
US,FLEX,2016-06-22,0.692841,,,,,12.996686,12.988093,0.008593,0.001846,0.013494,,,,0.199286,
US,FLEX,2016-06-23,0.840979,,,,,13.026427,13.003049,0.023378,0.006153,0.03445,,,,0.195765,
US,FLEX,2016-06-24,-6.368461,12.918,,,,12.922361,12.954675,-0.032314,-0.001541,-0.061547,25.784349,,,0.241782,3538180.0
US,FLEX,2016-06-27,-5.34413,12.66,,,,12.732767,12.860996,-0.128228,-0.026878,-0.2027,15.838261,,,0.275226,4962880.0
US,FLEX,2016-06-28,1.368691,12.432,,,,12.596957,12.786107,-0.18915,-0.059333,-0.259635,23.538427,,,0.276996,7155160.0
US,FLEX,2016-06-29,0.253165,12.192,,,,12.486656,12.718988,-0.232332,-0.093933,-0.276799,24.925389,,,0.271496,7772880.0
US,FLEX,2016-06-30,-0.673401,11.914,,,,12.381016,12.650915,-0.269898,-0.129126,-0.281545,23.691254,,,0.270675,8742140.0
US,FLEX,2016-07-01,-0.169492,11.8,12.359,,,12.288552,12.586403,-0.29785,-0.162871,-0.269959,23.379593,,,0.264912,8626700.0
US,FLEX,2016-07-05,-1.018676,11.794,12.227,,,12.191852,12.51778,-0.325928,-0.195482,-0.260892,21.547968,,,0.260276,7421660.0
US,FLEX,2016-07-06,0.77187,11.774,12.103,,,12.123875,12.460908,-0.337033,-0.223792,-0.226481,26.216747,,,0.263828,5753420.0
US,FLEX,2016-07-07,0.425532,11.758,11.975,,,12.074048,12.411951,-0.337904,-0.246615,-0.182578,28.753482,,,0.261411,5292420.0
US,FLEX,2016-07-08,6.186441,11.904,11.909,,,12.144194,12.420696,-0.276501,-0.252592,-0.047819,53.753249,,,0.300596,7017920.0
US,FLEX,2016-07-11,1.436552,12.09,11.945,,,12.231241,12.442126,-0.210884,-0.24425,0.066732,57.695077,,,0.296268,7137900.0
US,FLEX,2016-07-12,0.550747,12.314,12.054,,,12.315666,12.467153,-0.151488,-0.225698,0.14842,59.153169,,,0.28582,7160460.0
US,FLEX,2016-07-13,-0.547731,12.506,12.14,,,12.376333,12.485142,-0.10881,-0.20232,0.187021,57.03613,,,0.281833,6868260.0
US,FLEX,2016-07-14,1.966955,12.738,12.248,,,12.466128,12.520317,-0.054189,-0.172694,0.23701,62.234557,,,0.286702,7106460.0
US,FLEX,2016-07-15,-0.540123,12.81,12.357,,,12.531339,12.547701,-0.016362,-0.141428,0.250131,60.043872,,,0.278366,4281420.0
US,FLEX,2016-07-18,-0.155159,12.842,12.466,12.4125,,12.58344,12.571575,0.011866,-0.110769,0.245269,59.40051,13.512498,11.312502,0.269912,4019300.0
US,FLEX,2016-07-19,0.3885,12.87,12.592,12.4095,,12.635219,12.597384,0.037835,-0.081048,0.237766,60.538873,13.503602,11.315398,0.269918,4721620.0
US,FLEX,2016-07-20,2.55418,12.978,12.742,12.4225,,12.729801,12.645726,0.084075,-0.048024,0.264196,67.0963,13.549565,11.295435,0.284209,5621760.0
US,FLEX,2016-07-21,-0.830189,13.014,12.876,12.4255,,12.792908,12.682339,0.110569,-0.016305,0.253749,63.319164,13.559845,11.291155,0.283194,5856080.0
US,FLEX,2016-07-22,-1.065449,13.036,12.923,12.416,,12.824768,12.705869,0.118899,0.010736,0.216327,58.783514,13.527529,11.304471,0.335823,7208980.0
US,FLEX,2016-07-25,-0.307692,13.054,12.948,12.4465,,12.845573,12.724694,0.12088,0.032765,0.17623,57.515837,13.582322,11.310678,0.331122,7643040.0
US,FLEX,2016-07-26,-0.617284,13.046,12.958,12.506,,12.85087,12.736198,0.114672,0.049146,0.131052,54.962916,13.601014,11.410986,0.326042,7341340.0
US,FLEX,2016-07-27,-0.854037,12.95,12.964,12.552,,12.838428,12.738702,0.099726,0.059262,0.080929,51.573214,13.609575,11.494425,0.327039,6721560.0
US,FLEX,2016-07-28,-1.018011,12.85,12.932,12.59,,12.807901,12.731391,0.07651,0.062712,0.027597,47.819733,13.601889,11.578111,0.321536,6105640.0
US,FLEX,2016-07-29,0.237342,12.784,12.91,12.6335,,12.786685,12.726843,0.059842,0.062138,-0.004591,48.746763,13.578387,11.688613,0.316426,4976300.0
US,FLEX,2016-08-01,-1.262826,12.694,12.874,12.67,,12.744118,12.710781,0.033338,0.056378,-0.04608,44.233201,13.533041,11.806959,0.311681,4654300.0
US,FLEX,2016-08-02,-1.278977,12.588,12.817,12.7045,,12.683485,12.684056,-0.000571,0.044988,-0.091119,40.22244,13.450515,11.958485,0.311561,4091120.0
US,FLEX,2016-08-03,1.45749,12.54,12.745,12.7435,,12.659872,12.672645,-0.012773,0.033436,-0.092417,46.139255,13.355326,12.131674,0.305736,3700240.0
US,FLEX,2016-08-04,-0.638468,12.502,12.676,12.776,,12.627584,12.656152,-0.028569,0.021035,-0.099207,44.052265,13.233489,12.318511,0.294612,3291760.0
