country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,FLEX,2016-06-20,12.87,13.06,12.86,12.98,12.87,13.06,12.86,12.98,2741100.0,35552067.0,1.0,5.51029,71.523564,5.51029,71.523564,0.0049745113233604765
US,FLEX,2016-06-21,13.1,13.1,12.9,12.99,13.1,13.1,12.9,12.99,2786400.0,36223200.0,1.0,5.51029,71.578667,5.51029,71.578667,0.0050567211526072135
US,FLEX,2016-06-22,13.0,13.17,12.98,13.08,13.0,13.17,12.98,13.08,3697900.0,48368532.0,1.0,5.51029,72.074593,5.51029,72.074593,0.006710899063388678
US,FLEX,2016-06-23,13.15,13.23,13.12,13.19,13.15,13.23,13.12,13.19,3677000.0,48462860.0,1.0,5.51029,72.680725,5.51029,72.680725,0.006672970025171089
US,FLEX,2016-06-24,12.75,12.86,12.35,12.35,12.75,12.86,12.35,12.35,4788500.0,59952020.0,1.0,5.51029,68.052081,5.51029,68.052081,0.008690105239470156
US,FLEX,2016-06-27,12.18,12.21,11.64,11.69,12.18,12.21,11.64,11.69,9864600.0,116895510.0,1.0,5.51029,64.41529,5.51029,64.41529,0.01790214308139862
US,FLEX,2016-06-28,11.94,11.99,11.71,11.85,11.94,11.99,11.71,11.85,13747800.0,162911430.0,1.0,5.51029,65.296937,5.51029,65.296937,0.024949322086496355
US,FLEX,2016-06-29,11.85,11.97,11.77,11.88,11.85,11.97,11.77,11.88,6786500.0,80555755.0,1.0,5.51029,65.462245,5.51029,65.462245,0.012316048701610986
US,FLEX,2016-06-30,11.87,11.9,11.64,11.8,11.87,11.9,11.64,11.8,8523300.0,100404474.0,1.0,5.51029,65.021422,5.51029,65.021422,0.01546796992535783
US,FLEX,2016-07-01,11.76,11.89,11.7,11.78,11.76,11.89,11.7,11.78,4211300.0,49651227.0,1.0,5.44055,64.089679,5.44055,64.089679,0.007740577698945879
US,FLEX,2016-07-05,11.7,11.77,11.58,11.66,11.7,11.77,11.58,11.66,3839400.0,44805798.0,1.0,5.44055,63.436813,5.44055,63.436813,0.00705700710406117
US,FLEX,2016-07-06,11.58,11.82,11.51,11.75,11.58,11.82,11.51,11.75,5406600.0,63203154.0,1.0,5.44055,63.926462,5.44055,63.926462,0.009937598220768121
US,FLEX,2016-07-07,11.81,11.98,11.76,11.8,11.81,11.98,11.76,11.8,4481500.0,53105775.0,1.0,5.44055,64.19849,5.44055,64.19849,0.008237218663554237
US,FLEX,2016-07-08,11.95,12.61,11.87,12.53,11.95,12.61,11.87,12.53,17150800.0,211640872.0,1.0,5.44055,68.170091,5.44055,68.170091,0.03152401871134352
US,FLEX,2016-07-11,12.6,12.72,12.48,12.71,12.6,12.72,12.48,12.71,4811200.0,60813568.0,1.0,5.44055,69.14939,5.44055,69.14939,0.0088432235711463
US,FLEX,2016-07-12,12.8,12.85,12.7,12.78,12.8,12.85,12.7,12.78,3952200.0,50509116.0,1.0,5.44055,69.530229,5.44055,69.530229,0.007264339083364733
US,FLEX,2016-07-13,12.84,12.86,12.63,12.71,12.84,12.86,12.63,12.71,3945600.0,50227488.0,1.0,5.44055,69.14939,5.44055,69.14939,0.00725220795691612
US,FLEX,2016-07-14,12.87,13.06,12.73,12.96,12.87,13.06,12.73,12.96,5672500.0,73288700.0,1.0,5.44055,70.509528,5.44055,70.509528,0.010426335572690262
US,FLEX,2016-07-15,12.9,12.97,12.8,12.89,12.9,12.97,12.8,12.89,3025600.0,38999984.0,1.0,5.44055,70.128689,5.44055,70.128689,0.005561202451957982
US,FLEX,2016-07-18,12.92,13.0,12.84,12.87,12.92,13.0,12.84,12.87,3500600.0,45157740.0,1.0,5.44055,70.019879,5.44055,70.019879,0.006434275946365716
US,FLEX,2016-07-19,12.81,13.05,12.78,12.92,12.81,13.05,12.78,12.92,7463800.0,96432296.0,1.0,5.44055,70.291906,5.44055,70.291906,0.013718833573811472
US,FLEX,2016-07-20,12.96,13.37,12.9,13.25,12.96,13.37,12.9,13.25,8446300.0,111237771.0,1.0,5.44055,72.087288,5.44055,72.087288,0.015524717170139049
