country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,GEV,Q1,2023-03-31,2023-05-15,0.134711,-0.057754,-0.046174,,,,,,,,-0.101143,2.190476,-0.082967,,
US,GEV,Q2,2023-06-30,2023-08-14,0.141256,-0.000739,-0.018473,,,,,,,,-0.035468,1.92,-0.015887,,
US,GEV,Q3,2023-09-30,2023-11-14,0.127363,0.000606,-0.020601,,,,,,,,0.028236,-1.370588,0.05017,,
US,GEV,Q4,2023-12-31,2024-03-08,0.167845,0.041513,0.009457,0.01281,0.00206,0.935918,0.818304,5.089132,0.217797,6.219121,0.192235,20.326316,0.22011,,
US,GEV,Q1,2024-03-31,2024-04-30,0.158286,-0.011296,-0.017909,-0.014486,-0.002716,0.9525,0.791527,4.22242,0.151634,5.334522,-0.061165,3.415385,-0.031272,0.064057,0.587302
US,GEV,Q2,2024-06-30,2024-07-24,0.20746,0.064237,0.157728,0.142715,0.026929,1.01445,0.790872,4.191353,0.170732,5.299658,0.119332,0.756569,0.138469,0.010345,9.626667
US,GEV,Q3,2024-09-30,2024-10-23,0.124425,-0.04039,-0.010771,-0.010101,-0.001888,1.025518,0.793169,4.244003,0.17527,5.350694,0.126108,-11.708333,0.143947,0.080102,0.435294
US,GEV,Q4,2024-12-31,2025-02-06,0.20108,0.056071,0.045842,0.050702,0.009401,1.077892,0.794251,4.283679,0.205069,5.393358,0.087232,1.902893,0.120383,0.05107,4.094737
US,GEV,Q1,2025-03-31,2025-04-23,0.18928,0.041413,0.031588,0.029511,0.004926,1.018606,0.812409,4.86662,0.155957,5.990357,0.144385,4.570866,0.167516,0.107728,2.953846
US,GEV,Q2,2025-06-30,2025-07-23,0.202612,0.070794,0.056415,0.057902,0.009684,1.02808,0.812597,4.858736,0.171653,5.979272,0.040281,0.714008,0.059269,0.110556,-0.602782
US,GEV,Q3,2025-09-30,2025-10-22,0.19039,0.074832,0.045341,0.052279,0.008309,1.028521,0.821152,5.166435,0.18326,6.291696,0.098305,2.168142,0.123082,0.118479,5.708333
US,GEV,Q4,2025-12-31,2026-01-29,0.211847,0.100858,0.334429,0.327787,0.058144,0.981548,0.804891,4.537574,0.173861,5.637502,0.22636,0.676856,0.287605,0.037697,6.570248
US,GEV,Q1,2026-03-31,2026-04-22,0.190813,0.019167,0.508084,0.340827,0.062755,0.85807,0.800759,4.349016,0.123512,5.431116,0.55552,1.093361,0.59803,0.161423,17.681102
