code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
GEV,GE Vernova Inc,US,USD,Q1,2023-03-31,2023-05-15,6822000000.0,919000000.0,-394000000.0,-415000000.0,-100000000.0,-315000000.0,-315000000.0,-1.1496350364963503,0.0,,,,,,0.0,,,,0.0,,-690000000.0,-41000000.0,-124000000.0,704000000.0
GEV,GE Vernova Inc,US,USD,Q2,2023-06-30,2023-08-14,8120000000.0,1147000000.0,-6000000.0,-27000000.0,123000000.0,-150000000.0,-150000000.0,-0.5513011928364246,0.0,,,,,,0.0,,,,0.0,,-288000000.0,-400000000.0,-159000000.0,238000000.0
GEV,GE Vernova Inc,US,USD,Q3,2023-09-30,2023-11-14,8252000000.0,1051000000.0,5000000.0,-16000000.0,154000000.0,-170000000.0,-170000000.0,-0.6248080185479479,0.0,,,,,,0.0,,,,0.0,,233000000.0,-36000000.0,-181000000.0,-286000000.0
GEV,GE Vernova Inc,US,USD,Q4,2023-12-31,2024-03-08,10045000000.0,1686000000.0,417000000.0,409000000.0,314000000.0,95000000.0,95000000.0,0.3491574221297356,46121000000.0,27428000000.0,18693000000.0,1551000000.0,13776000000.0,5228000000.0,37741000000.0,29306000000.0,8435000000.0,4701000000.0,8380000000.0,7416000000.0,1931000000.0,-257000000.0,-280000000.0,-1064000000.0
GEV,GE Vernova Inc,US,USD,Q1,2024-03-31,2024-04-30,7259000000.0,1149000000.0,-82000000.0,-96000000.0,34000000.0,-130000000.0,-130000000.0,-0.47779436712490136,47872000000.0,28114000000.0,19758000000.0,3255000000.0,13653000000.0,5224000000.0,37892000000.0,29516000000.0,8376000000.0,4330000000.0,9981000000.0,8974000000.0,-444000000.0,-285000000.0,-217000000.0,1934000000.0
GEV,GE Vernova Inc,US,USD,Q2,2024-06-30,2024-07-24,8204000000.0,1702000000.0,527000000.0,1602000000.0,308000000.0,1294000000.0,1294000000.0,4.7226277372262775,48052000000.0,29485000000.0,18567000000.0,5779000000.0,13198000000.0,5168000000.0,38003000000.0,29065000000.0,8938000000.0,4700000000.0,10049000000.0,9067000000.0,979000000.0,537000000.0,-157000000.0,970000000.0
GEV,GE Vernova Inc,US,USD,Q3,2024-09-30,2024-10-23,8913000000.0,1109000000.0,-360000000.0,-122000000.0,-26000000.0,-96000000.0,-96000000.0,-0.3490909090909091,50853000000.0,32030000000.0,18823000000.0,7395000000.0,14056000000.0,5148000000.0,40335000000.0,31233000000.0,9102000000.0,5397000000.0,10518000000.0,9504000000.0,1124000000.0,-114000000.0,-159000000.0,585000000.0
GEV,GE Vernova Inc,US,USD,Q4,2024-12-31,2025-02-06,10558000000.0,2123000000.0,592000000.0,1113000000.0,629000000.0,484000000.0,484000000.0,1.76,51485000000.0,34153000000.0,17331000000.0,8205000000.0,14467000000.0,5150000000.0,40892000000.0,31685000000.0,9207000000.0,4942000000.0,10593000000.0,9546000000.0,921000000.0,-175000000.0,-350000000.0,163000000.0
GEV,GE Vernova Inc,US,USD,Q1,2025-03-31,2025-04-23,8041000000.0,1522000000.0,333000000.0,333000000.0,79000000.0,254000000.0,254000000.0,0.9236363636363636,51559000000.0,33285000000.0,18274000000.0,8107000000.0,13978000000.0,5225000000.0,41887000000.0,32677000000.0,9210000000.0,5205000000.0,9672000000.0,8607000000.0,1161000000.0,-93000000.0,-186000000.0,-1257000000.0
GEV,GE Vernova Inc,US,USD,Q2,2025-06-30,2025-07-23,9111000000.0,1846000000.0,645000000.0,645000000.0,131000000.0,514000000.0,514000000.0,1.8897058823529411,53078000000.0,34709000000.0,18366000000.0,7892000000.0,4909000000.0,5418000000.0,43131000000.0,33761000000.0,9370000000.0,5751000000.0,9947000000.0,8877000000.0,367000000.0,-121000000.0,-173000000.0,-604000000.0
GEV,GE Vernova Inc,US,USD,Q3,2025-09-30,2025-10-22,9969000000.0,1898000000.0,746000000.0,746000000.0,294000000.0,452000000.0,452000000.0,1.661764705882353,54398000000.0,36278000000.0,18120000000.0,7945000000.0,5218000000.0,5554000000.0,44669000000.0,35272000000.0,9397000000.0,5887000000.0,9729000000.0,8646000000.0,980000000.0,-167000000.0,-247000000.0,-774000000.0
GEV,GE Vernova Inc,US,USD,Q4,2025-12-31,2026-01-29,10956000000.0,2321000000.0,1105000000.0,1105000000.0,-2559000000.0,3664000000.0,3664000000.0,13.470588235294118,63016000000.0,40216000000.0,22800000000.0,8848000000.0,9803000000.0,6006000000.0,50721000000.0,40972000000.0,9749000000.0,0.0,12296000000.0,11178000000.0,2480000000.0,-374000000.0,-671000000.0,-1178000000.0
GEV,GE Vernova Inc,US,USD,Q1,2026-03-31,2026-04-22,9339000000.0,1782000000.0,179000000.0,5103000000.0,358000000.0,4745000000.0,4745000000.0,17.639405204460967,75612000000.0,41268000000.0,21537000000.0,10172000000.0,16516000000.0,7139000000.0,60547000000.0,48094000000.0,12453000000.0,6333000000.0,15065000000.0,13922000000.0,5188000000.0,-4291000000.0,-397000000.0,442000000.0
