country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,GEV,2024-03-27,,,,,,130.76,130.76,0.0,0.0,0.0,,,,19.93,
US,GEV,2024-03-28,4.190884,,,,,131.603077,131.165926,0.437151,0.08743,0.699442,,,,19.073571,
US,GEV,2024-04-01,3.853494,,,,,133.124142,131.930672,1.19347,0.308638,1.769663,,,,18.250459,
US,GEV,2024-04-02,-1.420595,,,,,134.101966,132.489882,1.612085,0.569327,2.085515,97.247949,,,17.931141,
US,GEV,2024-04-03,-1.899914,136.96,,,,134.521664,132.811372,1.710292,0.79752,1.825543,93.590949,,,17.233916,7068406.8
US,GEV,2024-04-04,-8.214573,135.926,,,,133.147562,132.276455,0.871106,0.812238,0.117737,79.871373,,,17.005779,8917873.6
US,GEV,2024-04-05,-2.659447,133.128,,,,131.471014,131.533755,-0.062741,0.637242,-1.399966,76.292443,,,16.444652,11681013.6
US,GEV,2024-04-08,5.91411,130.726,,,,131.164704,131.381625,-0.216921,0.466409,-1.366661,78.534654,,,15.927891,13914121.4
US,GEV,2024-04-09,1.699104,129.166,,,,131.24398,131.403727,-0.159747,0.341178,-1.001849,79.179923,,,15.170899,12093601.2
US,GEV,2024-04-10,4.693196,129.372,133.166,,,132.261829,131.881969,0.37986,0.348914,0.061891,80.915466,,,14.869406,11995583.0
US,GEV,2024-04-11,-1.305672,131.466,133.696,,,132.846163,132.191453,0.65471,0.410074,0.489273,78.85368,,,14.014449,10219422.8
US,GEV,2024-04-12,-1.881523,133.716,133.422,,,132.946754,132.288382,0.658371,0.459733,0.397276,75.891855,,,13.336988,7761512.0
US,GEV,2024-04-15,-1.677903,134.072,132.399,,,132.687253,132.212206,0.475047,0.462796,0.024502,73.297559,,,12.773632,6067484.2
US,GEV,2024-04-16,-1.272284,133.654,131.41,,,132.210753,132.017969,0.192784,0.408794,-0.432019,71.339579,,,12.202658,5412965.6
US,GEV,2024-04-17,3.595956,132.932,131.152,,,132.524483,132.183304,0.341179,0.395271,-0.108184,73.469294,,,11.908183,4968523.8
US,GEV,2024-04-18,1.832402,133.062,132.264,,,133.168409,132.518615,0.649794,0.446175,0.407237,74.54465,,,11.318312,4907595.2
