country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,GEV,2024-03-27,115.0,135.0,115.0,131.25,114.57,134.5,114.57,130.76,4960410.0,615400865.625,0.9962666666666666,2.72083576,357.109693,2.72083576,357.109693,0.01823119966638486
US,GEV,2024-03-28,137.93,137.93,129.96,136.75,137.42,137.42,129.48,136.24,2239100.0,303717121.75,0.9962705667276052,2.72083576,372.07429,2.72083576,372.07429,0.00822945667253359
US,GEV,2024-04-01,141.01,144.33,137.07,142.02,140.48,143.79,136.56,141.49,1029500.0,145270171.25,0.9962681312491198,2.74,389.1348,2.74,389.1348,0.0037572992700729926
US,GEV,2024-04-02,142.85,152.48,138.64,140.0,142.32,151.91,138.13,139.48,18246124.0,2618181948.07,0.9962857142857142,2.74,383.6,2.74,383.6,0.06659169343065693
US,GEV,2024-04-03,142.3,144.0,135.8,137.34,141.77,143.47,135.3,136.83,8866900.0,1240124634.0,0.9962865880297074,2.74,376.3116,2.74,376.3116,0.03236094890510949
US,GEV,2024-04-04,136.0,139.35,125.26,126.06,135.49,138.83,124.79,125.59,14207744.0,1870698133.12,0.9962716166904648,2.74,345.4044,2.74,345.4044,0.051853080291970804
US,GEV,2024-04-05,125.5,128.18,119.0,122.7,125.04,127.71,118.56,122.25,16054800.0,1988306706.0,0.9963325183374083,2.74,336.198,2.74,336.198,0.0585941605839416
US,GEV,2024-04-08,126.13,131.95,125.86,129.96,125.66,131.46,125.4,129.48,12195039.0,1566757635.525,0.9963065558633424,2.74,356.0904,2.74,356.0904,0.044507441605839415
US,GEV,2024-04-09,130.87,133.6,128.25,132.17,130.38,133.1,127.77,131.68,9143523.0,1199835946.8675,0.9962926534009232,2.74,362.1458,2.74,362.1458,0.03337052189781022
US,GEV,2024-04-10,129.5,139.93,128.94,138.37,129.02,139.41,128.46,137.86,8376809.0,1124042115.665,0.9963142299631423,2.74,379.1338,2.74,379.1338,0.030572295620437957
US,GEV,2024-04-11,139.2,139.32,136.41,136.57,138.68,138.8,135.9,136.06,5326943.0,734452266.125,0.9962656513143444,2.74,374.2018,2.74,374.2018,0.019441397810218978
US,GEV,2024-04-12,135.0,138.11,133.56,134.0,134.5,137.59,133.06,133.5,3765246.0,508938888.705,0.996268656716418,2.74,367.16,2.74,367.16,0.013741773722627738
US,GEV,2024-04-15,134.6,135.32,129.85,131.75,134.1,134.82,129.37,131.26,3724900.0,494964712.0,0.996280834914611,2.74,360.995,2.74,360.995,0.013594525547445255
US,GEV,2024-04-16,132.5,133.05,128.25,130.07,132.01,132.56,127.78,129.59,5870930.0,768901024.775,0.9963096794033982,2.74,356.3918,2.74,356.3918,0.021426751824817517
US,GEV,2024-04-17,132.04,138.18,131.25,134.75,131.55,137.67,130.76,134.25,6154600.0,825054903.0,0.9962894248608535,2.74,369.215,2.74,369.215,0.02246204379562044
US,GEV,2024-04-18,138.15,138.41,135.43,137.22,137.64,137.9,134.93,136.71,5022300.0,689574345.75,0.9962833406209008,2.74,375.9828,2.74,375.9828,0.01832956204379562
US,GEV,2024-04-19,137.25,140.59,134.91,135.1,136.74,140.07,134.41,134.6,4518800.0,618906145.0,0.996299037749815,2.74,370.174,2.74,370.174,0.016491970802919708
US,GEV,2024-04-22,135.52,137.14,132.11,136.69,135.01,136.63,131.62,136.18,2435104.0,329627852.96,0.9962689296949302,2.74,374.5306,2.74,374.5306,0.008887240875912408
US,GEV,2024-04-23,138.46,148.35,137.87,147.83,137.94,147.8,137.36,147.28,4682814.0,670239460.785,0.996279510248258,2.74,405.0542,2.74,405.0542,0.01709056204379562
US,GEV,2024-04-24,147.0,149.9,144.35,146.18,146.46,149.35,143.82,145.64,4684613.0,687970553.6475,0.9963059242030372,2.74,400.5332,2.74,400.5332,0.017097127737226277
US,GEV,2024-04-25,143.0,152.14,138.67,148.31,142.47,151.58,138.16,147.76,6069300.0,883265229.0,0.996291551480008,2.74,406.3694,2.74,406.3694,0.022150729927007298
