country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,GLW,Q2,2016-06-30,2016-07-27,0.402966,0.738559,0.935169,0.11255,0.071999,4.390114,0.358236,0.559998,0.076991,1.563211,0.222881,0.238333,0.334322,,
US,GLW,Q3,2016-09-30,2016-10-27,0.415237,0.118867,0.113283,0.016026,0.009858,3.696164,0.382589,0.621974,0.087021,1.625698,0.260072,2.295775,0.372557,,
US,GLW,Q4,2016-12-31,2017-02-06,0.399838,0.985864,0.634895,0.087856,0.056346,3.288986,0.356249,0.555469,0.088749,1.559213,0.567447,0.893766,0.686187,,
US,GLW,Q1,2017-03-31,2017-04-25,0.400421,0.024,0.036211,0.004697,0.003038,3.600991,0.35068,0.542167,0.083907,1.546045,0.080421,2.22093,0.233684,,
US,GLW,Q2,2017-06-30,2017-07-26,0.395274,0.252303,0.175811,0.024373,0.015774,3.002493,0.350341,0.541306,0.089723,1.545081,0.112135,0.637813,0.271125,0.058051,-0.801087
US,GLW,Q3,2017-09-30,2017-10-26,0.402762,0.197929,0.149597,0.022521,0.013882,2.692985,0.381256,0.618525,0.092796,1.622336,0.247411,1.653846,0.433832,0.039888,0.373239
US,GLW,Q4,2017-12-31,2018-02-15,0.392112,0.230944,-0.535457,-0.089799,-0.051385,2.750701,0.426653,0.745612,0.095964,1.747583,0.336746,-0.628895,0.547971,0.065024,-1.898219
US,GLW,Q1,2018-03-31,2018-04-26,0.382,-0.1652,-0.2356,-0.040866,-0.02195,2.558598,0.460088,0.856588,0.093165,1.861791,0.128,-0.543294,0.39,0.052632,-7.848837
US,GLW,Q2,2018-06-30,2018-07-27,0.390244,0.330178,0.268657,0.053182,0.028233,2.229711,0.466297,0.87836,0.105088,1.883692,0.260284,0.968835,0.450309,0.10012,0.681093
US,GLW,Q3,2018-09-30,2018-10-24,0.409574,0.266955,0.207779,0.044996,0.023681,2.131105,0.47037,0.893737,0.113974,1.900072,0.313497,1.5088,0.484707,0.153817,0.602564
US,GLW,Q4,2018-12-31,2019-02-12,0.396046,0.130807,0.096211,0.021172,0.010616,2.124434,0.495146,0.987456,0.110344,1.994272,0.30939,3.215753,0.511367,0.150929,1.206799
US,GLW,Q1,2019-03-31,2019-05-03,0.390825,0.222973,0.177454,0.036672,0.018264,2.075515,0.498335,1.000588,0.102924,2.007864,-0.010313,-0.058116,0.176031,0.1248,1.847199
US,GLW,Q2,2019-06-30,2019-07-31,0.362245,0.091837,0.031293,0.006853,0.003336,1.847482,0.509665,1.046853,0.106618,2.054004,0.052041,1.663043,0.245918,0.070258,-0.875339
US,GLW,Q3,2019-09-30,2019-10-30,0.346626,0.157805,0.11486,0.025855,0.012331,1.71,0.519412,1.089075,0.107358,2.096747,0.302999,2.637982,0.479209,-0.024601,-0.4608
US,GLW,Q4,2019-12-31,2020-02-14,0.303159,0.027334,0.01136,0.002479,0.001107,2.119568,0.550246,1.231967,0.097481,2.23894,0.361377,31.8125,0.494853,-0.071829,-0.890411
US,GLW,Q1,2020-03-31,2020-05-05,0.23463,-0.018402,-0.040151,-0.00787,-0.003446,2.176747,0.558958,1.276603,0.085825,2.283899,0.103722,-2.583333,0.33166,-0.149716,-1.192385
US,GLW,Q2,2020-06-30,2020-07-30,0.295197,0.007029,-0.027724,-0.005893,-0.002578,2.266887,0.559537,1.279193,0.092972,2.286165,0.21476,-7.746479,0.327216,-0.128912,-1.771739
US,GLW,Q3,2020-09-30,2020-10-29,0.333555,0.173276,0.142286,0.033728,0.014108,2.093531,0.575214,1.375197,0.099151,2.390758,0.202599,1.423888,0.253582,0.022836,0.267062
US,GLW,Q4,2020-12-31,2021-02-12,0.36209,0.120896,0.075224,0.019009,0.008188,2.124768,0.563022,1.307008,0.108855,2.321415,0.231045,3.071429,0.347761,0.189208,6.875
US,GLW,Q1,2021-03-31,2021-04-30,0.351368,0.274164,0.182067,0.044805,0.019872,2.306576,0.550211,1.240557,0.109146,2.254694,0.219757,1.207012,0.307599,0.375993,7.239583
US,GLW,Q2,2021-06-30,2021-07-27,0.375607,0.171094,0.128249,0.037542,0.015064,1.653979,0.592632,1.476923,0.11746,2.49214,0.220223,1.717149,0.312768,0.367044,7.323944
US,GLW,Q3,2021-09-30,2021-10-29,0.365422,0.156293,0.102628,0.030548,0.012489,1.770579,0.584091,1.428654,0.121693,2.445945,0.24758,2.412399,0.358506,0.204598,-0.131148
US,GLW,Q4,2021-12-31,2022-02-14,0.345756,0.176551,0.132481,0.039488,0.01615,1.593633,0.583969,1.427795,0.121908,2.444985,0.278292,2.100616,0.447769,0.097313,0.93254
US,GLW,Q1,2022-03-31,2022-04-29,0.348641,0.232065,0.15788,0.046874,0.019202,1.55325,0.582609,1.422186,0.121625,2.441065,0.145109,0.919105,0.249185,0.118541,-0.03005
US,GLW,Q2,2022-06-30,2022-07-29,0.344675,0.227386,0.15574,0.04798,0.018945,1.425497,0.59681,1.511505,0.121643,2.53264,0.209682,1.346359,0.307331,0.032562,0.253898
US,GLW,Q3,2022-09-30,2022-10-27,0.304472,0.09547,0.059633,0.018433,0.007239,1.510354,0.598121,1.52313,0.121385,2.546526,0.202408,3.394231,0.335722,-0.035131,-0.439353
US,GLW,Q4,2022-12-31,2023-02-13,0.268644,0.023488,-0.01057,-0.002998,-0.00122,1.440193,0.583884,1.434377,0.115462,2.456612,0.181151,-17.138889,0.299472,-0.073449,-1.073922
US,GLW,Q1,2023-03-31,2023-04-28,0.315607,0.095658,0.055381,0.014759,0.006106,1.440813,0.576469,1.393291,0.110263,2.416939,-0.015419,-0.278409,0.104783,-0.136413,-0.697074
US,GLW,Q2,2023-06-30,2023-07-27,0.312365,0.151095,0.086648,0.024623,0.00981,1.653367,0.591203,1.483964,0.113213,2.510077,0.190873,2.202847,0.310515,-0.102905,-0.500888
US,GLW,Q3,2023-09-30,2023-10-30,0.31642,0.094233,0.051686,0.014348,0.0058,1.703151,0.584695,1.446544,0.112207,2.474016,0.227545,4.402439,0.335014,-0.09031,-0.211538
US,GLW,Q4,2023-12-31,2024-02-12,0.304275,0.017368,-0.01336,-0.003463,-0.001404,1.669831,0.583579,1.439875,0.105053,2.467319,0.238143,-17.825,0.331329,-0.120963,-0.111111
