country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,GLW,2016-06-23,,,,,,16.09,16.09,0.0,0.0,0.0,,,,0.24,
US,GLW,2016-06-24,-5.282784,,,,,15.959231,16.027037,-0.067806,-0.013561,-0.10849,0.0,,,0.283571,
US,GLW,2016-06-27,-3.149606,,,,,15.774734,15.933182,-0.158449,-0.042539,-0.23182,0.0,,,0.307602,
US,GLW,2016-06-28,1.626016,,,,,15.655544,15.864058,-0.208514,-0.075734,-0.26556,2.192496,,,0.308488,
US,GLW,2016-06-29,2.266667,15.286,,,,15.606999,15.825239,-0.21824,-0.104235,-0.22801,5.358227,,,0.313596,9121392.6
US,GLW,2016-06-30,3.324641,15.238,,,,15.644384,15.827073,-0.182689,-0.119926,-0.125527,10.06071,,,0.33191,9814992.4
US,GLW,2016-07-01,-0.883281,15.332,,,,15.654478,15.818401,-0.163922,-0.128725,-0.070395,9.915069,,,0.326774,8116449.8
US,GLW,2016-07-05,-1.782304,15.466,,,,15.619943,15.78963,-0.169687,-0.136918,-0.065539,9.61527,,,0.329861,7055553.6
US,GLW,2016-07-06,0.907323,15.58,,,,15.61226,15.773361,-0.161102,-0.141754,-0.038695,11.063276,,,0.3263,6376036.0
US,GLW,2016-07-07,1.541426,15.674,15.48,,,15.642681,15.776075,-0.133394,-0.140082,0.013376,13.618128,,,0.340136,5984717.8
US,GLW,2016-07-08,2.403542,15.742,15.49,,,15.726884,15.806737,-0.079852,-0.128036,0.096368,17.651757,,,0.343697,5202957.8
US,GLW,2016-07-11,0.370599,15.85,15.591,,,15.807363,15.839571,-0.032207,-0.108871,0.153326,18.300459,,,0.332719,5020984.8
US,GLW,2016-07-12,2.215385,16.086,15.776,,,15.930846,15.89664,0.034206,-0.080255,0.228923,22.257629,,,0.337525,5727119.2
US,GLW,2016-07-13,-0.421433,16.28,15.93,,,16.024562,15.944296,0.080266,-0.048151,0.256834,22.034147,,,0.324844,5837621.2
US,GLW,2016-07-14,0.241838,16.434,16.054,,,16.110014,15.991385,0.118629,-0.014795,0.266848,22.51293,,,0.311641,5274139.6
US,GLW,2016-07-15,-0.301568,16.502,16.122,,,16.174627,16.031283,0.143345,0.016833,0.253023,22.32835,,,0.299381,5089632.2
US,GLW,2016-07-18,0.120992,16.562,16.206,,,16.232377,16.069706,0.162671,0.046001,0.233341,22.601706,,,0.28514,5059110.8
US,GLW,2016-07-19,-0.302115,16.54,16.313,,,16.27355,16.10158,0.17197,0.071194,0.201551,22.389559,,,0.274773,4346274.2
US,GLW,2016-07-20,1.393939,16.578,16.429,,,16.343773,16.148129,0.195643,0.096084,0.199118,25.837978,,,0.277289,4473765.8
US,GLW,2016-07-21,-0.537956,16.59,16.512,15.996,,16.389346,16.184564,0.204782,0.117824,0.173916,25.363079,17.186435,14.805565,0.274625,4355927.4
US,GLW,2016-07-22,0.721154,16.636,16.569,16.0295,,16.44637,16.227189,0.219181,0.138095,0.162171,27.282219,17.265469,14.793531,0.272152,3981354.8
US,GLW,2016-07-25,0.0,16.678,16.62,16.1055,,16.494621,16.266657,0.227964,0.156069,0.14379,27.282219,17.324753,14.886247,0.262713,4011353.0
US,GLW,2016-07-26,0.298329,16.74,16.64,16.208,,16.543141,16.306904,0.236236,0.172102,0.128268,28.174679,17.29508,15.12092,0.255376,4915832.0
US,GLW,2016-07-27,-1.011303,16.722,16.65,16.29,,16.558042,16.331578,0.226464,0.182975,0.086979,26.963021,17.238852,15.341148,0.289992,7517776.0
US,GLW,2016-07-28,3.725962,16.846,16.718,16.386,,16.666036,16.40035,0.265686,0.199517,0.132337,37.516882,17.319347,15.452653,0.336421,11218731.2
US,GLW,2016-07-29,-0.347625,16.934,16.785,16.4535,,16.748184,16.459583,0.288601,0.217334,0.142534,36.960276,17.416813,15.490187,0.328105,16140671.2
US,GLW,2016-08-01,0.348837,17.034,16.856,16.531,,16.826925,16.518873,0.308051,0.235477,0.145148,37.951647,17.491977,15.570023,0.318955,17778572.4
US,GLW,2016-08-02,-0.811124,17.096,16.918,16.6155,,16.872013,16.563401,0.308612,0.250104,0.117016,36.508925,17.465123,15.765877,0.311887,17871830.0
US,GLW,2016-08-03,0.408879,17.206,16.964,16.6965,,16.920934,16.609816,0.311118,0.262307,0.097623,37.782485,17.433393,15.959607,0.305323,19150650.8
US,GLW,2016-08-04,0.814427,17.22,17.033,16.7725,,16.983868,16.663163,0.320705,0.273987,0.093436,40.35919,17.438079,16.106921,0.302086,16216185.8
US,GLW,2016-08-05,1.154068,17.286,17.11,16.8395,,17.067888,16.727373,0.340515,0.287292,0.106445,43.931565,17.526478,16.152522,0.299794,12832525.8
US,GLW,2016-08-08,0.684541,17.364,17.199,16.9095,,17.157444,16.795716,0.361728,0.302179,0.119097,46.020748,17.626591,16.192409,0.295523,14634280.8
US,GLW,2016-08-09,0.509915,17.488,17.292,16.966,,17.247068,16.865663,0.381405,0.318024,0.126761,47.597826,17.754325,16.177675,0.285843,14048085.8
US,GLW,2016-08-10,-0.394589,17.584,17.395,17.0225,,17.312134,16.925243,0.386891,0.331798,0.110186,46.460844,17.84196,16.20304,0.27614,10329174.6
US,GLW,2016-08-11,0.396152,17.666,17.443,17.0805,,17.37796,16.985596,0.392364,0.343911,0.096906,47.803584,17.930123,16.230877,0.265701,10089814.6
US,GLW,2016-08-12,-0.225479,17.7,17.493,17.139,,17.427504,17.038515,0.38899,0.352927,0.072126,47.077016,17.990068,16.287932,0.256008,9211968.0
US,GLW,2016-08-15,0.903955,17.742,17.553,17.2045,,17.494042,17.099365,0.394677,0.361277,0.0668,50.329103,18.065743,16.343257,0.252722,6412072.4
US,GLW,2016-08-16,-1.455767,17.714,17.601,17.2595,,17.510343,17.136449,0.373894,0.3638,0.020188,45.442388,18.072924,16.446076,0.256813,7096727.4
US,GLW,2016-08-17,-0.625,17.678,17.631,17.2975,,17.507214,17.162638,0.344575,0.359955,-0.03076,43.517244,18.078803,16.516197,0.257755,7976764.2
US,GLW,2016-08-18,0.343053,17.64,17.653,17.343,,17.513796,17.191332,0.322464,0.352457,-0.059985,44.888713,18.069942,16.616058,0.250773,8650924.2
US,GLW,2016-08-19,0.45584,17.626,17.663,17.3865,,17.531674,17.223826,0.307848,0.343535,-0.071375,46.745449,18.071607,16.701393,0.246432,9649196.8
US,GLW,2016-08-22,-0.170164,17.574,17.658,17.4285,,17.542185,17.25169,0.290495,0.332927,-0.084864,46.117975,18.055342,16.801658,0.240972,9816380.4
US,GLW,2016-08-23,0.397727,17.588,17.651,17.4715,,17.561849,17.282676,0.279173,0.322176,-0.086007,47.876119,18.037796,16.905204,0.23876,9919070.0
US,GLW,2016-08-24,-0.73571,17.598,17.638,17.5165,,17.558488,17.301737,0.25675,0.309091,-0.104681,44.943171,17.93513,17.09787,0.239563,9416611.2
US,GLW,2016-08-25,0.114025,17.6,17.62,17.5315,,17.55872,17.320868,0.237852,0.294843,-0.113982,45.496371,17.933459,17.129541,0.23888,8972198.8
US,GLW,2016-08-26,-0.056948,17.584,17.605,17.549,,17.557379,17.337841,0.219538,0.279782,-0.120488,45.251544,17.92107,17.17693,0.239674,8590236.8
US,GLW,2016-08-29,0.683761,17.598,17.586,17.5695,,17.574705,17.362445,0.21226,0.266278,-0.108036,48.811317,17.920184,17.218816,0.24184,8573056.6
US,GLW,2016-08-30,0.339559,17.61,17.599,17.6,,17.598597,17.389671,0.208925,0.254807,-0.091764,50.542863,17.889828,17.310172,0.232423,8082187.0
US,GLW,2016-08-31,-0.338409,17.636,17.617,17.624,,17.609582,17.410436,0.199145,0.243675,-0.089059,48.766363,17.845486,17.402514,0.22725,8136462.4
US,GLW,2016-09-01,0.056593,17.66,17.63,17.6415,,17.620415,17.430404,0.190011,0.232942,-0.085862,49.087554,17.818053,17.464947,0.222446,7784057.2
US,GLW,2016-09-02,0.282805,17.696,17.64,17.6515,,17.637275,17.452596,0.184678,0.223289,-0.077223,50.750077,17.824274,17.478726,0.219415,6922493.2
US,GLW,2016-09-06,0.507614,17.726,17.662,17.66,,17.665386,17.479811,0.185575,0.215746,-0.060344,53.681989,17.847723,17.472277,0.212314,6618032.2
US,GLW,2016-09-07,-0.280584,17.734,17.672,17.6615,,17.681481,17.501307,0.180174,0.208632,-0.056916,51.835754,17.852212,17.470788,0.209291,7248552.2
US,GLW,2016-09-08,-0.281373,17.744,17.69,17.664,,17.687407,17.517506,0.1699,0.200886,-0.061971,49.984449,17.856395,17.471605,0.204342,8517069.2
US,GLW,2016-09-09,-1.636569,17.694,17.677,17.6485,,17.647806,17.511024,0.136781,0.188065,-0.102567,40.867676,17.862628,17.434372,0.214746,10133196.0
US,GLW,2016-09-12,0.401606,17.648,17.672,17.6385,,17.625066,17.510208,0.114858,0.173423,-0.11713,43.544367,17.860606,17.416394,0.222978,11592221.6
US,GLW,2016-09-13,-0.571429,17.564,17.645,17.6155,,17.590441,17.502044,0.088396,0.156418,-0.136043,40.70936,17.83636,17.39464,0.222051,12206878.6
US,GLW,2016-09-14,0.114943,17.494,17.614,17.6065,,17.564219,17.495967,0.068252,0.138785,-0.141065,41.529287,17.843251,17.369749,0.221191,11525678.6
US,GLW,2016-09-15,0.97589,17.468,17.606,17.6115,,17.568185,17.502932,0.065253,0.124078,-0.117651,48.099297,17.842348,17.380652,0.228963,10097219.0
US,GLW,2016-09-16,0.113701,17.504,17.599,17.6145,16.9845,17.574618,17.510863,0.063755,0.112014,-0.096517,48.827793,17.843627,17.385373,0.224037,9908597.0
US,GLW,2016-09-19,0.340716,17.538,17.593,17.6165,17.010833,17.589292,17.522651,0.066641,0.102939,-0.072596,51.047693,17.846828,17.386172,0.228748,8655777.4
US,GLW,2016-09-20,0.0,17.592,17.578,17.62,17.051333,17.601709,17.533566,0.068143,0.09598,-0.055674,51.047693,17.851344,17.388656,0.225981,8181439.6
US,GLW,2016-09-21,1.188455,17.684,17.589,17.6305,17.103333,17.644523,17.559228,0.085295,0.093843,-0.017096,58.377102,17.887597,17.373403,0.228411,9124464.4
US,GLW,2016-09-22,0.615213,17.764,17.616,17.653,17.153167,17.697673,17.591137,0.106537,0.096382,0.02031,61.618799,17.950126,17.355874,0.226381,9387284.0
US,GLW,2016-09-23,0.166759,17.846,17.675,17.676,17.197833,17.747262,17.622904,0.124358,0.101977,0.044761,62.47712,18.00973,17.34227,0.228068,8799196.8
US,GLW,2016-09-26,-0.610433,17.894,17.716,17.694,17.232167,17.772299,17.644171,0.128128,0.107207,0.041841,57.407711,18.037302,17.350698,0.224635,9213415.6
US,GLW,2016-09-27,1.451703,17.994,17.793,17.719,17.273167,17.833483,17.683121,0.150362,0.115838,0.069048,64.698782,18.119694,17.318306,0.230732,9717849.6
US,GLW,2016-09-28,1.265823,18.098,17.891,17.7525,17.322667,17.92064,17.736223,0.184417,0.129554,0.109726,69.648493,18.251294,17.253706,0.231394,9775832.0
US,GLW,2016-09-29,-0.48913,18.162,17.963,17.7845,17.368333,17.980541,17.778725,0.201816,0.144006,0.11562,65.762789,18.33722,17.23178,0.23058,9629699.2
US,GLW,2016-09-30,0.54615,18.24,18.043,17.821,17.411667,18.046612,17.825486,0.221126,0.15943,0.123391,67.905348,18.434381,17.207619,0.236253,9572299.2
US,GLW,2016-10-03,0.054318,18.342,18.118,17.8555,17.448833,18.104056,17.869524,0.234532,0.174451,0.120163,68.120198,18.520014,17.190986,0.227235,9663094.4
US,GLW,2016-10-04,-1.031488,18.354,18.174,17.876,17.481833,18.123432,17.896226,0.227206,0.185002,0.084409,59.913556,18.559883,17.192117,0.234576,9515039.4
US,GLW,2016-10-05,1.645639,18.38,18.239,17.914,17.513833,18.185981,17.943172,0.242809,0.196563,0.092491,66.729177,18.652387,17.175613,0.244249,8789612.2
US,GLW,2016-10-06,0.323799,18.436,18.299,17.9575,17.548,18.248138,17.991086,0.257052,0.208661,0.096783,67.904525,18.745862,17.169138,0.241088,9211752.0
US,GLW,2016-10-07,-0.376547,18.458,18.349,18.012,17.580333,18.289963,18.030264,0.259698,0.218868,0.08166,65.018684,18.797662,17.226338,0.239582,8951972.0
US,GLW,2016-10-10,0.107991,18.482,18.412,18.064,17.613833,18.32843,18.068023,0.260407,0.227176,0.066462,65.470211,18.844882,17.283118,0.232469,8566598.0
US,GLW,2016-10-11,-0.701187,18.518,18.436,18.1145,17.644833,18.340979,18.093354,0.247625,0.231266,0.032718,60.044926,18.846169,17.382831,0.229435,7865074.2
