code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
GOOG,谷歌-C,US,USD,Q2,2016-06-30,2016-08-04,21500000000.0,13370000000.0,6151000000.0,6119000000.0,1242000000.0,4877000000.0,4877000000.0,0.35550014220880405,154292000000.0,94238000000.0,60054000000.0,13627000000.0,11686000000.0,31413000000.0,26413000000.0,17341000000.0,9072000000.0,1716000000.0,127879000000.0,127879000000.0,9120000000.0,-7173000000.0,-2123000000.0,-3440000000.0
GOOG,谷歌-C,US,USD,Q3,2016-09-30,2016-11-02,22451000000.0,13752000000.0,6074000000.0,6045000000.0,984000000.0,5061000000.0,5061000000.0,0.3680001472058759,159948000000.0,98546000000.0,61402000000.0,9406000000.0,11979000000.0,32753000000.0,25845000000.0,14323000000.0,11522000000.0,2175000000.0,134103000000.0,134103000000.0,9845000000.0,-13045000000.0,-2554000000.0,-1089000000.0
GOOG,谷歌-C,US,USD,Q4,2016-12-31,2017-02-02,26064000000.0,15403000000.0,6890000000.0,6857000000.0,1524000000.0,5333000000.0,5333000000.0,0.3865001546067656,167497000000.0,105408000000.0,62089000000.0,12918000000.0,14137000000.0,34234000000.0,28461000000.0,16756000000.0,11705000000.0,2041000000.0,139036000000.0,139036000000.0,9413000000.0,-4702000000.0,-3078000000.0,-892000000.0
GOOG,谷歌-C,US,USD,Q1,2017-03-31,2017-05-02,24750000000.0,14955000000.0,6844000000.0,6819000000.0,1393000000.0,5426000000.0,5426000000.0,0.39250015699933943,172756000000.0,108794000000.0,63962000000.0,18132000000.0,12913000000.0,35936000000.0,27807000000.0,15256000000.0,12551000000.0,2306000000.0,144949000000.0,144949000000.0,9548000000.0,-2851000000.0,-2508000000.0,-1674000000.0
GOOG,谷歌-C,US,USD,Q2,2017-06-30,2017-07-24,26010000000.0,15637000000.0,4398000000.0,4377000000.0,853000000.0,3524000000.0,3524000000.0,0.2545001018000768,178621000000.0,112386000000.0,66235000000.0,15711000000.0,14003000000.0,37676000000.0,30335000000.0,18685000000.0,11650000000.0,2488000000.0,148286000000.0,148286000000.0,7403000000.0,-7172000000.0,-2831000000.0,-2740000000.0
GOOG,谷歌-C,US,USD,Q3,2017-09-30,2017-10-26,27772000000.0,16624000000.0,8006000000.0,7979000000.0,1247000000.0,6732000000.0,6732000000.0,0.48550019421024637,189536000000.0,119345000000.0,70191000000.0,10581000000.0,15295000000.0,40120000000.0,32436000000.0,20693000000.0,11743000000.0,2674000000.0,157100000000.0,157100000000.0,9872000000.0,-14404000000.0,-3538000000.0,-706000000.0
GOOG,谷歌-C,US,USD,Q4,2017-12-31,2018-02-05,32323000000.0,18056000000.0,8054000000.0,8018000000.0,11038000000.0,-3020000000.0,-3020000000.0,-0.21750008700381585,197295000000.0,124308000000.0,72987000000.0,10715000000.0,18336000000.0,42383000000.0,44793000000.0,24183000000.0,20610000000.0,3137000000.0,152502000000.0,152502000000.0,10268000000.0,-6974000000.0,-4307000000.0,-3178000000.0
GOOG,谷歌-C,US,USD,Q1,2018-03-31,2018-04-23,31146000000.0,17679000000.0,10573000000.0,10543000000.0,1142000000.0,9401000000.0,9401000000.0,0.6765002706185661,206935000000.0,123761000000.0,83174000000.0,12658000000.0,16777000000.0,48845000000.0,46110000000.0,25394000000.0,20716000000.0,3526000000.0,160825000000.0,160825000000.0,11642000000.0,-7846000000.0,-7299000000.0,-2018000000.0
GOOG,谷歌-C,US,USD,Q2,2018-06-30,2018-07-23,32657000000.0,18774000000.0,4242000000.0,4215000000.0,1020000000.0,3195000000.0,3195000000.0,0.23000009200507593,211610000000.0,124157000000.0,87453000000.0,14148000000.0,17043000000.0,51672000000.0,49610000000.0,29903000000.0,19707000000.0,3369000000.0,162000000000.0,162000000000.0,10132000000.0,-3374000000.0,-5477000000.0,-4937000000.0
GOOG,谷歌-C,US,USD,Q3,2018-09-30,2018-10-25,33740000000.0,19459000000.0,10111000000.0,10083000000.0,891000000.0,9192000000.0,9192000000.0,0.6605002642237103,221538000000.0,129702000000.0,91836000000.0,13443000000.0,17897000000.0,55300000000.0,51698000000.0,31301000000.0,20397000000.0,3789000000.0,169840000000.0,169840000000.0,13210000000.0,-10408000000.0,-5282000000.0,-3478000000.0
