country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,GOOGL,2016-06-20,,,,,,35.02,35.02,0.0,0.0,0.0,,,,0.52,
US,GOOGL,2016-06-21,0.371216,,,,,35.04,35.02963,0.01037,0.002074,0.016593,,,,0.521429,
US,GOOGL,2016-06-22,0.227596,,,,,35.069231,35.044472,0.024759,0.006611,0.036296,,,,0.514184,
US,GOOGL,2016-06-23,0.624468,,,,,35.127811,35.074511,0.0533,0.015949,0.074702,,,,0.528885,
US,GOOGL,2016-06-24,-4.146685,34.966,,,,34.951224,34.993436,-0.042212,0.004317,-0.093057,54.069091,,,0.596822,2429674.2
US,GOOGL,2016-06-27,-0.588582,34.718,,,,34.771036,34.903552,-0.132516,-0.02305,-0.218932,50.659787,,,0.599192,2557026.39
US,GOOGL,2016-06-28,1.480166,34.544,,,,34.695492,34.857363,-0.161871,-0.050814,-0.222114,57.82031,,,0.597821,2636302.79
US,GOOGL,2016-06-29,0.583431,34.394,,,,34.662339,34.82941,-0.167071,-0.074065,-0.186011,60.302051,,,0.585119,2776966.39
US,GOOGL,2016-06-30,1.218097,34.284,,,,34.698903,34.834639,-0.135736,-0.0864,-0.098674,64.964039,,,0.574754,2774463.39
US,GOOGL,2016-07-01,0.916905,34.532,34.749,,,34.779071,34.863184,-0.084113,-0.085942,0.003659,68.043324,,,0.565128,2129943.39
US,GOOGL,2016-07-05,-0.738217,34.768,34.743,,,34.806907,34.870356,-0.063449,-0.081444,0.035989,63.184257,,,0.563333,1830451.8
US,GOOGL,2016-07-06,0.572082,34.944,34.744,,,34.861229,34.891811,-0.030582,-0.071271,0.081378,65.240535,,,0.573095,1737017.0
US,GOOGL,2016-07-07,-0.255973,35.062,34.728,,,34.893347,34.90501,-0.011663,-0.05935,0.095374,63.521186,,,0.566446,1517513.4
US,GOOGL,2016-07-08,1.511263,35.202,34.743,,,35.002063,34.956491,0.045572,-0.038365,0.167875,68.744962,,,0.564557,1394475.4
US,GOOGL,2016-07-11,1.320225,35.372,34.952,,,35.166361,35.038973,0.127388,-0.005215,0.265205,72.505092,,,0.564231,1372858.0
US,GOOGL,2016-07-12,0.720821,35.646,35.207,,,35.345382,35.134605,0.210778,0.037984,0.345588,74.343889,,,0.553215,1354188.4
US,GOOGL,2016-07-13,-0.412882,35.85,35.397,,,35.473785,35.212041,0.261744,0.082736,0.358016,71.378042,,,0.537271,1269528.6
US,GOOGL,2016-07-14,0.856827,36.134,35.598,,,35.630126,35.306705,0.323421,0.130873,0.385096,73.712114,,,0.522466,1271868.6
US,GOOGL,2016-07-15,-0.027405,36.31,35.756,,,35.760876,35.393616,0.36726,0.17815,0.37822,73.503882,,,0.508004,1295824.0
US,GOOGL,2016-07-18,2.412281,36.568,35.97,35.3595,,36.006895,35.539274,0.467621,0.236044,0.463153,79.09935,37.134205,33.584795,0.541718,1394581.4
US,GOOGL,2016-07-19,0.026767,36.776,36.211,35.477,,36.216603,35.674883,0.54172,0.29718,0.489081,79.153226,37.446702,33.507298,0.532309,1433205.4
US,GOOGL,2016-07-20,0.45491,37.048,36.449,35.5965,,36.420203,35.81304,0.607163,0.359176,0.495973,80.092693,37.753445,33.439555,0.519287,1453863.4
US,GOOGL,2016-07-21,-0.319659,37.234,36.684,35.706,,36.574018,35.932074,0.641944,0.41573,0.452428,77.439776,37.995676,33.416324,0.505767,1430403.4
US,GOOGL,2016-07-22,0.614645,37.468,36.889,35.816,,36.739554,36.059328,0.680226,0.468629,0.423193,78.883499,38.252583,33.379417,0.493926,1316188.2
US,GOOGL,2016-07-25,-0.212483,37.51,37.039,35.9955,,36.867315,36.171229,0.696085,0.51412,0.36393,77.036844,38.393245,33.597755,0.47936,1143870.2
US,GOOGL,2016-07-26,0.0,37.55,37.163,36.185,,36.97542,36.274842,0.700578,0.551412,0.298332,77.036844,38.447667,33.922333,0.467977,1077430.2
US,GOOGL,2016-07-27,0.585574,37.6,37.324,36.3605,,37.10074,36.387076,0.713664,0.583862,0.259604,78.632213,38.548161,34.172839,0.46455,1174126.8
US,GOOGL,2016-07-28,0.502779,37.712,37.473,36.5355,,37.236011,36.50507,0.73094,0.613278,0.235325,79.929128,38.652257,34.418743,0.467082,1718151.0
US,GOOGL,2016-07-29,3.343865,38.032,37.75,36.753,,37.545855,36.708398,0.837457,0.658114,0.358686,86.031871,39.039955,34.466045,0.568719,2527051.6
US,GOOGL,2016-08-01,1.22293,38.464,37.987,36.9785,,37.881878,36.932221,0.949657,0.716422,0.466469,87.570187,39.4943,34.4627,0.607382,2918329.6
US,GOOGL,2016-08-02,-0.10068,38.888,38.219,37.215,,38.16005,37.136501,1.023549,0.777848,0.491404,86.713158,39.815212,34.614788,0.591855,3079689.6
US,GOOGL,2016-08-03,-0.151172,39.256,38.428,37.4385,,38.386196,37.321204,1.064992,0.835277,0.459431,85.36361,40.062072,34.814928,0.575294,3050174.6
US,GOOGL,2016-08-04,-0.227101,39.568,38.64,37.662,,38.563705,37.48556,1.078145,0.88385,0.388589,83.270132,40.200626,35.123374,0.556344,2530736.6
US,GOOGL,2016-08-05,1.213961,39.722,38.877,37.883,,38.78775,37.673296,1.114454,0.929971,0.368966,85.335704,40.434651,35.331349,0.551606,1874091.2
US,GOOGL,2016-08-08,-0.224888,39.762,39.113,38.076,,38.963481,37.840459,1.123022,0.968581,0.308881,83.259978,40.633846,35.518154,0.533634,1512473.0
US,GOOGL,2016-08-09,0.275482,39.832,39.36,38.2615,,39.129099,38.003388,1.125711,1.000007,0.251408,83.779308,40.824056,35.698944,0.529088,1434733.0
US,GOOGL,2016-08-10,0.124875,39.924,39.59,38.457,,39.27693,38.157952,1.118978,1.023801,0.190354,84.021954,40.950184,35.963816,0.507011,1326230.8
US,GOOGL,2016-08-11,-0.024944,40.032,39.8,38.6365,,39.400479,38.300326,1.100153,1.039072,0.122163,83.752109,41.053128,36.219872,0.498653,1367484.6
US,GOOGL,2016-08-12,-0.149701,40.032,39.877,38.8135,,39.49579,38.427709,1.068081,1.044874,0.046415,82.049429,41.086712,36.540288,0.479463,1185484.6
US,GOOGL,2016-08-15,-0.124938,40.04,39.901,38.944,,39.568746,38.541953,1.026793,1.041257,-0.02893,80.579272,41.167586,36.720414,0.471644,1127177.6
US,GOOGL,2016-08-16,-0.575432,39.98,39.906,39.0625,,39.595092,38.630697,0.964395,1.025885,-0.122979,74.009943,41.188387,36.936613,0.469384,1017217.6
US,GOOGL,2016-08-17,0.503271,39.95,39.937,39.1825,,39.648155,38.727683,0.920472,1.004802,-0.16866,75.85343,41.220194,37.144806,0.468714,1046734.8
US,GOOGL,2016-08-18,-0.300451,39.898,39.965,39.3025,,39.674593,38.808595,0.865998,0.977041,-0.222087,72.52927,41.187863,37.417137,0.458091,963306.8
US,GOOGL,2016-08-19,-0.401808,39.826,39.929,39.403,,39.672348,38.871662,0.800686,0.94177,-0.282169,68.235483,41.133203,37.672797,0.446799,1008006.8
US,GOOGL,2016-08-22,-0.327786,39.738,39.889,39.501,,39.650448,38.920428,0.73002,0.89942,-0.3388,64.874921,41.013097,37.988903,0.433456,992665.0
US,GOOGL,2016-08-23,-0.050594,39.692,39.836,39.598,,39.628841,38.9641,0.664741,0.852484,-0.375487,64.349847,40.823995,38.372005,0.420352,964587.6
US,GOOGL,2016-08-24,-0.379651,39.576,39.763,39.6765,,39.587481,38.993426,0.594055,0.800799,-0.413487,60.401311,40.590814,38.762186,0.41747,1008255.0
US,GOOGL,2016-08-25,-0.279472,39.462,39.68,39.74,,39.53556,39.012431,0.523129,0.745265,-0.444271,57.609606,40.269717,39.210283,0.414794,1075763.0
US,GOOGL,2016-08-26,0.229299,39.398,39.612,39.7445,,39.505474,39.036696,0.468779,0.689967,-0.442378,59.268388,40.258795,39.230205,0.42088,1101383.0
US,GOOGL,2016-08-29,0.330452,39.386,39.562,39.7315,,39.500017,39.068792,0.431224,0.638219,-0.413989,61.605484,40.259563,39.203437,0.420103,1085450.0
US,GOOGL,2016-08-30,-0.481378,39.34,39.516,39.711,,39.466168,39.084437,0.381731,0.586921,-0.410381,56.50268,40.274557,39.147443,0.42081,1135430.0
US,GOOGL,2016-08-31,-0.280041,39.302,39.439,39.688,,39.420604,39.090775,0.329828,0.535503,-0.411348,53.727993,40.298495,39.077505,0.407895,1092826.6
US,GOOGL,2016-09-01,0.204238,39.302,39.382,39.6735,,39.394357,39.10257,0.291787,0.48676,-0.389945,55.441772,40.310564,39.036436,0.401616,1112986.6
US,GOOGL,2016-09-02,0.687898,39.338,39.368,39.6485,,39.413687,39.13349,0.280196,0.445447,-0.330501,60.728344,40.268218,39.028782,0.39293,1133186.6
US,GOOGL,2016-09-06,1.3917,39.458,39.422,39.6555,,39.514658,39.202861,0.311796,0.418717,-0.213841,68.838781,40.290747,39.020253,0.419149,1376354.0
US,GOOGL,2016-09-07,0.0,39.616,39.478,39.657,,39.600095,39.267094,0.333001,0.401574,-0.137145,68.838781,40.296002,39.017998,0.413495,1372016.2
