country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,GOOGL,2016-06-20,710.4,715.8,705.4,706.2,35.23,35.5,34.98,35.02,2282725.0,1619479251.25,0.0495893515,6.85935028,4844.073168,6.85935028,4844.073168,0.0033279026537772903
US,GOOGL,2016-06-21,710.0,715.4,704.6,708.8,35.21,35.48,34.94,35.15,1515918.0,1075847004.6,0.0495908578,6.85935028,4861.907478,6.85935028,4861.907478,0.0022100023152630136
US,GOOGL,2016-06-22,714.0,714.2,705.8,710.4,35.41,35.42,35.0,35.23,1452900.0,1033157190.0,0.0495917793,6.85935028,4872.882439,6.85935028,4872.882439,0.002118130640209848
US,GOOGL,2016-06-23,710.6,714.8,700.2,714.8,35.24,35.45,34.73,35.45,2125028.0,1508982382.8,0.0495942921,6.85935028,4903.06358,6.85935028,4903.06358,0.0030980018708127556
US,GOOGL,2016-06-24,690.2,705.0,685.0,685.2,34.23,34.96,33.97,33.98,4771800.0,3298983930.0,0.0495913602,6.85935028,4700.026812,6.85935028,4700.026812,0.006956635548870089
US,GOOGL,2016-06-27,682.4,683.4,672.6,681.2,33.84,33.89,33.35,33.78,2919485.95,1984958497.405,0.0495889607,6.85935028,4672.589411,6.85935028,4672.589411,0.004256213534556512
US,GOOGL,2016-06-28,691.4,692.8,684.8,691.2,34.29,34.36,33.96,34.28,1912300.0,1319582615.0,0.0495949074,6.85935028,4741.182914,6.85935028,4741.182914,0.002787873372753316
US,GOOGL,2016-06-29,694.2,699.6,692.6,695.2,34.43,34.7,34.35,34.48,2156218.0,1499433997.2,0.0495972382,6.85935028,4768.620315,6.85935028,4768.620315,0.0031434726497157396
US,GOOGL,2016-06-30,697.6,703.8,695.0,703.6,34.6,34.91,34.47,34.9,2112513.0,1478759100.0,0.0496020466,6.87635594,4838.204043,6.87635594,4838.204043,0.003072140270853984
US,GOOGL,2016-07-01,705.2,712.6,703.8,710.2,34.97,35.34,34.9,35.22,1549200.0,1096756140.0,0.0495916643,6.87635594,4883.587992,6.87635594,4883.587992,0.002252937476648424
US,GOOGL,2016-07-05,705.0,708.2,699.2,704.8,34.97,35.13,34.68,34.96,1422028.0,1001534320.4,0.0496027242,6.87635594,4846.45567,6.87635594,4846.45567,0.0020679964975751385
US,GOOGL,2016-07-06,699.8,713.0,699.0,709.0,34.7,35.36,34.66,35.16,1445126.0,1019102855.2,0.0495909732,6.87635594,4875.336365,6.87635594,4875.336365,0.0021015869635160277
US,GOOGL,2016-07-07,710.2,710.2,700.6,707.2,35.22,35.22,34.74,35.07,1058700.0,748553835.0,0.0495899321,6.87635594,4862.958924,6.87635594,4862.958924,0.0015396236164005204
US,GOOGL,2016-07-08,710.6,718.0,708.2,717.8,35.24,35.61,35.12,35.6,1497323.0,1068564558.95,0.0495959877,6.87635594,4935.848297,6.87635594,4935.848297,0.002177494901463754
US,GOOGL,2016-07-11,719.4,729.0,718.8,727.2,35.68,36.16,35.65,36.07,1441113.0,1042789366.8,0.0496012101,6.87635594,5000.486043,6.87635594,5000.486043,0.0020957510236155694
US,GOOGL,2016-07-12,732.0,735.6,727.6,732.6,36.3,36.48,36.08,36.33,1328680.0,972527326.0,0.0495904996,6.87635594,5037.618365,6.87635594,5037.618365,0.0019322443625569505
US,GOOGL,2016-07-13,735.6,735.6,729.0,729.4,36.49,36.49,36.16,36.18,1021827.0,748386094.8,0.0496024129,6.87635594,5015.614026,6.87635594,5015.614026,0.0014860007377686735
US,GOOGL,2016-07-14,734.0,736.2,730.6,735.8,36.4,36.51,36.23,36.49,1070400.0,785834160.0,0.0495922805,6.87635594,5059.622704,6.87635594,5059.622704,0.0015566384424247823
