country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,GS,Q2,2016-06-30,2016-08-03,0.817058,0.253708,0.18768,0.02106,0.002032,0.617385,0.903535,9.366449,0.010825,10.366449,0.98939,5.271679,1.058302,,
US,GS,Q3,2016-09-30,2016-11-02,0.821482,0.288444,0.2106,0.024039,0.00238,0.607763,0.90101,9.10202,0.011299,10.10202,-0.392236,-1.862464,-0.309665,,
US,GS,Q4,2016-12-31,2017-02-24,0.796452,0.331156,0.228797,0.02701,0.002729,0.711555,0.898981,8.899129,0.011926,9.899129,0.37015,1.61781,0.449405,,
US,GS,Q1,2017-03-31,2017-05-03,0.782566,0.247562,0.219871,0.025944,0.002522,0.709966,0.902785,9.286469,0.011471,10.286469,-0.328003,-1.491796,-0.246295,,
US,GS,Q2,2017-06-30,2017-08-03,0.764318,0.243144,0.17744,0.021125,0.00202,0.703613,0.904387,9.458817,0.011383,10.458817,-1.016474,-5.728564,-0.950286,0.062938,0.00494
US,GS,Q3,2017-09-30,2017-11-02,0.756428,0.270373,0.193332,0.02466,0.002288,0.678413,0.907226,9.77889,0.011834,10.77889,0.248387,1.284774,0.310984,0.10701,0.016237
US,GS,Q4,2017-12-31,2018-02-23,0.733921,0.291393,-0.180761,-0.023443,-0.002103,0.69305,0.910291,10.147161,0.011634,11.147161,-0.620945,3.435166,-0.529533,0.039774,-1.821474
US,GS,Q1,2018-03-31,2018-05-03,0.749403,0.255302,0.21147,0.033884,0.002909,0.727146,0.914149,10.648081,0.013756,11.648081,-0.071983,-0.340395,0.044728,0.305772,0.255876
US,GS,Q2,2018-06-30,2018-08-02,0.69367,0.2417,0.189243,0.029619,0.002648,0.719986,0.910595,10.185002,0.013993,11.185002,0.634351,3.352047,0.79578,0.313499,0.400874
US,GS,Q3,2018-09-30,2018-11-02,0.6638,0.236315,0.193781,0.029091,0.002637,0.723075,0.909358,10.032364,0.013608,11.032364,-0.407985,-2.105388,-0.239386,0.183338,0.18609
US,GS,Q4,2018-12-31,2019-02-25,0.655854,0.208164,0.195096,0.028142,0.002724,1.082274,0.903214,9.332051,0.013961,10.332051,1.391421,7.131994,1.547851,0.21967,2.31639
US,GS,Q1,2019-03-31,2019-05-03,0.650918,0.206204,0.170711,0.024935,0.002433,0.63265,0.902444,9.250562,0.01425,10.250562,-3.413165,-19.993781,-3.251782,-0.015382,-0.205155
US,GS,Q2,2019-06-30,2019-08-14,0.653498,0.220989,0.171095,0.026636,0.002562,0.656738,0.903808,9.395887,0.014975,10.395887,0.667067,3.898802,0.811237,0.043972,-0.05614
