code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
GS,高盛,US,USD,Q2,2016-06-30,2016-08-03,9708000000.0,7932000000.0,2463000000.0,2463000000.0,641000000.0,1822000000.0,1822000000.0,4.218569113220653,896843000000.0,298284000000.0,598559000000.0,103293000000.0,51710000000.0,10751000000.0,810329000000.0,483141000000.0,327188000000.0,217936000000.0,86514000000.0,86514000000.0,9605000000.0,15955000000.0,-669000000.0,-1436000000.0
GS,高盛,US,USD,Q3,2016-09-30,2016-11-02,9943000000.0,8168000000.0,2868000000.0,2868000000.0,774000000.0,2094000000.0,2094000000.0,4.957386422317548,879987000000.0,282845000000.0,597142000000.0,99535000000.0,53855000000.0,11347000000.0,792877000000.0,465387000000.0,327490000000.0,204487000000.0,87110000000.0,87110000000.0,-3900000000.0,-1513000000.0,-821000000.0,1577000000.0
GS,高盛,US,USD,Q4,2016-12-31,2017-02-24,10258000000.0,8170000000.0,3397000000.0,3397000000.0,1050000000.0,2347000000.0,2347000000.0,5.652697495183045,860165000000.0,313776000000.0,546389000000.0,121711000000.0,47780000000.0,12070000000.0,773272000000.0,440972000000.0,332300000000.0,188455000000.0,86893000000.0,86893000000.0,3797000000.0,-2032000000.0,-813000000.0,2077000000.0
GS,高盛,US,USD,Q1,2017-03-31,2017-05-03,10256000000.0,8026000000.0,2539000000.0,2539000000.0,284000000.0,2255000000.0,2255000000.0,5.466666732929294,894069000000.0,329707000000.0,564362000000.0,123035000000.0,54460000000.0,13372000000.0,807152000000.0,464398000000.0,342754000000.0,196258000000.0,86917000000.0,86917000000.0,-3364000000.0,-1573000000.0,-838000000.0,6261000000.0
GS,高盛,US,USD,Q2,2017-06-30,2017-08-03,10319000000.0,7887000000.0,2509000000.0,2509000000.0,678000000.0,1831000000.0,1831000000.0,4.508741689239104,906518000000.0,328225000000.0,578293000000.0,110888000000.0,59343000000.0,13978000000.0,819843000000.0,466485000000.0,353358000000.0,199562000000.0,86675000000.0,86675000000.0,-10489000000.0,-5369000000.0,-683000000.0,3711000000.0
GS,高盛,US,USD,Q3,2017-09-30,2017-11-02,11007000000.0,8326000000.0,2976000000.0,2976000000.0,848000000.0,2128000000.0,2128000000.0,5.344048270658446,930132000000.0,327915000000.0,602217000000.0,116610000000.0,59695000000.0,14805000000.0,843840000000.0,483356000000.0,360484000000.0,202986000000.0,86292000000.0,86292000000.0,2734000000.0,-11144000000.0,-689000000.0,14132000000.0
GS,高盛,US,USD,Q4,2017-12-31,2018-02-23,10666000000.0,7828000000.0,3108000000.0,3108000000.0,5036000000.0,-1928000000.0,-1928000000.0,-4.946126269329156,916776000000.0,324875000000.0,591901000000.0,110051000000.0,84788000000.0,15094000000.0,834533000000.0,468761000000.0,365772000000.0,178169000000.0,82243000000.0,82243000000.0,-6623000000.0,-11030000000.0,-975000000.0,11094000000.0
GS,高盛,US,USD,Q1,2018-03-31,2018-05-03,13392000000.0,10036000000.0,3419000000.0,3419000000.0,587000000.0,2832000000.0,2832000000.0,7.278334693172292,973535000000.0,367566000000.0,605969000000.0,120503000000.0,70273000000.0,15777000000.0,889956000000.0,505491000000.0,384465000000.0,190991000000.0,83579000000.0,83579000000.0,-964000000.0,-9213000000.0,-1563000000.0,20629000000.0
GS,高盛,US,USD,Q2,2018-06-30,2018-08-02,13554000000.0,9402000000.0,3276000000.0,3276000000.0,711000000.0,2565000000.0,2565000000.0,6.614234141309954,968610000000.0,362530000000.0,606080000000.0,131417000000.0,59778000000.0,17108000000.0,882011000000.0,503524000000.0,378487000000.0,192617000000.0,86599000000.0,86599000000.0,8598000000.0,-3590000000.0,-2188000000.0,5906000000.0
GS,高盛,US,USD,Q3,2018-09-30,2018-11-02,13025000000.0,8646000000.0,3078000000.0,3078000000.0,554000000.0,2524000000.0,2524000000.0,6.549040026456046,957190000000.0,352857000000.0,604333000000.0,118871000000.0,54985000000.0,18302000000.0,870428000000.0,487995000000.0,382433000000.0,189968000000.0,86762000000.0,86762000000.0,-5314000000.0,-4032000000.0,-2196000000.0,-3200000000.0
GS,高盛,US,USD,Q4,2018-12-31,2019-02-25,13009000000.0,8532000000.0,2708000000.0,2708000000.0,170000000.0,2538000000.0,2538000000.0,6.687747035573122,931796000000.0,584205000000.0,347591000000.0,130547000000.0,72455000000.0,18317000000.0,841611000000.0,539794000000.0,301817000000.0,180235000000.0,90185000000.0,90185000000.0,18101000000.0,-5842000000.0,-2035000000.0,-583000000.0
GS,高盛,US,USD,Q1,2019-03-31,2019-05-03,13186000000.0,8583000000.0,2719000000.0,2719000000.0,468000000.0,2251000000.0,2251000000.0,5.926803643252277,925349000000.0,299854000000.0,625495000000.0,87884000000.0,73438000000.0,21663000000.0,835076000000.0,473965000000.0,361111000000.0,180997000000.0,90273000000.0,90273000000.0,-45006000000.0,-1501000000.0,-2128000000.0,3844000000.0
GS,高盛,US,USD,Q2,2019-06-30,2019-08-14,14150000000.0,9247000000.0,3127000000.0,3127000000.0,706000000.0,2421000000.0,2421000000.0,6.464619492656876,944903000000.0,319138000000.0,625765000000.0,91092000000.0,83915000000.0,22657000000.0,854011000000.0,485944000000.0,368067000000.0,185279000000.0,90892000000.0,90892000000.0,9439000000.0,-1000000.0,-2040000000.0,-6230000000.0
GS,高盛,US,USD,Q3,2019-09-30,2019-10-31,12774000000.0,8032000000.0,2416000000.0,2416000000.0,539000000.0,1877000000.0,1877000000.0,5.072973027815925,1007320000000.0,321886000000.0,685434000000.0,94094000000.0,83092000000.0,23590000000.0,915308000000.0,544123000000.0,371185000000.0,188161000000.0,92012000000.0,92012000000.0,8084000000.0,-17894000000.0,-2229000000.0,12812000000.0
GS,高盛,US,USD,Q4,2019-12-31,2020-02-20,13792000000.0,9599000000.0,2321000000.0,2321000000.0,404000000.0,1917000000.0,1917000000.0,5.289735099337748,992968000000.0,609752000000.0,383216000000.0,133546000000.0,74605000000.0,24246000000.0,902703000000.0,610872000000.0,291831000000.0,174817000000.0,90265000000.0,90265000000.0,51351000000.0,-4840000000.0,-2046000000.0,-7059000000.0
GS,高盛,US,USD,Q1,2020-03-31,2020-04-30,12179000000.0,7805000000.0,1348000000.0,1348000000.0,135000000.0,1213000000.0,1213000000.0,3.388268156424581,1089756000000.0,665654000000.0,424102000000.0,105489000000.0,120927000000.0,25904000000.0,997377000000.0,672958000000.0,324419000000.0,213178000000.0,92379000000.0,92379000000.0,-53031000000.0,-32336000000.0,-2843000000.0,57310000000.0
GS,高盛,US,USD,Q2,2020-06-30,2020-08-06,15385000000.0,11705000000.0,1291000000.0,1291000000.0,918000000.0,373000000.0,373000000.0,1.0486365032177285,1141523000000.0,711195000000.0,430328000000.0,132599000000.0,106489000000.0,26045000000.0,1051494000000.0,732734000000.0,318760000000.0,199211000000.0,90029000000.0,90029000000.0,-11647000000.0,3907000000.0,-1065000000.0,34850000000.0
GS,高盛,US,USD,Q3,2020-09-30,2020-10-30,12629000000.0,10503000000.0,4299000000.0,4299000000.0,932000000.0,3367000000.0,3367000000.0,9.46052261871312,1132059000000.0,716765000000.0,415294000000.0,153201000000.0,111181000000.0,25783000000.0,1039409000000.0,723901000000.0,315508000000.0,187357000000.0,92650000000.0,92650000000.0,34936000000.0,2996000000.0,-998000000.0,-17330000000.0
GS,高盛,US,USD,Q4,2020-12-31,2021-02-19,13304000000.0,11448000000.0,5541000000.0,5541000000.0,1035000000.0,4506000000.0,4506000000.0,12.657303513003411,1163028000000.0,716864000000.0,446164000000.0,155842000000.0,121331000000.0,25427000000.0,1067096000000.0,745858000000.0,321238000000.0,190658000000.0,95932000000.0,95932000000.0,16014000000.0,-8923000000.0,-1403000000.0,-4450000000.0
GS,高盛,US,USD,Q1,2021-03-31,2021-05-03,19276000000.0,17774000000.0,8337000000.0,8337000000.0,1501000000.0,6836000000.0,6836000000.0,19.16993852125562,1301548000000.0,815348000000.0,486200000000.0,191155000000.0,164658000000.0,24757000000.0,1203884000000.0,873319000000.0,330565000000.0,224268000000.0,97664000000.0,97664000000.0,-5183000000.0,-2487000000.0,-1312000000.0,42983000000.0
GS,高盛,US,USD,Q2,2021-06-30,2021-08-03,16698000000.0,15480000000.0,6840000000.0,6840000000.0,1354000000.0,5486000000.0,5486000000.0,15.638540657223952,1387922000000.0,876583000000.0,511339000000.0,240289000000.0,162094000000.0,23140000000.0,1286032000000.0,931691000000.0,354341000000.0,238697000000.0,101890000000.0,101890000000.0,20467000000.0,-9221000000.0,-1353000000.0,37888000000.0
