country,code,time,pct_chg,ma5,ma10,ma20,ma60,ema12,ema26,macd,macd_signal,macd_hist,rsi14,boll_upper,boll_lower,atr14,vol_ma5
US,GS,2016-06-20,,,,,,121.21,121.21,0.0,0.0,0.0,,,,2.4,
US,GS,2016-06-21,0.412507,,,,,121.286923,121.247037,0.039886,0.007977,0.063818,,,,2.328571,
US,GS,2016-06-22,-0.147893,,,,,121.32432,121.267997,0.056322,0.017646,0.077352,97.305389,,,2.286531,
US,GS,2016-06-23,3.052744,,,,,121.926732,121.56222,0.364512,0.087019,0.554986,98.313878,,,2.396064,
US,GS,2016-06-24,-7.074417,121.214,,,,121.073389,121.178352,-0.104963,0.048623,-0.307172,50.095179,,,2.912774,4126810.4
US,GS,2016-06-27,-1.658361,119.862,,,,120.054406,120.679955,-0.625549,-0.086212,-1.078676,44.926159,,,2.919004,4938456.4
US,GS,2016-06-28,2.079511,118.886,,,,119.558343,120.394773,-0.83643,-0.236255,-1.20035,51.563436,,,2.892647,5461805.0
US,GS,2016-06-29,2.174099,118.454,,,,119.529367,120.318864,-0.789497,-0.346904,-0.885186,57.456239,,,2.870315,5725106.4
US,GS,2016-06-30,2.119461,117.786,,,,119.89408,120.435985,-0.541905,-0.385904,-0.312003,62.367401,,,2.871007,6042731.2
US,GS,2016-07-01,-0.229696,118.834,120.024,,,120.159606,120.52369,-0.364084,-0.38154,0.034912,61.520966,,,2.820221,4773646.2
US,GS,2016-07-05,-2.557145,119.646,119.754,,,119.905821,120.374528,-0.468707,-0.398973,-0.139468,52.928587,,,2.906633,4082813.4
US,GS,2016-07-06,0.776306,120.166,119.526,,,119.832617,120.304563,-0.471945,-0.413568,-0.116755,54.933768,,,2.894017,3662867.4
US,GS,2016-07-07,0.979653,120.412,119.433,,,119.950676,120.326447,-0.375771,-0.406008,0.060475,57.41807,,,2.847301,3417704.8
US,GS,2016-07-08,2.296849,120.706,119.246,,,120.476726,120.551895,-0.075169,-0.339841,0.529342,62.665453,,,2.873208,3168261.0
US,GS,2016-07-11,1.207749,121.354,120.094,,,121.151076,120.871014,0.280062,-0.21586,0.991844,65.153014,,,2.820836,3157314.8
US,GS,2016-07-12,3.10748,123.4,121.523,,,122.318603,121.453902,0.864701,0.000252,1.728897,70.639097,,,2.915777,3392596.6
US,GS,2016-07-13,0.636943,125.426,122.796,,,123.432664,122.054354,1.37831,0.275864,2.204893,71.654748,,,2.831792,3659522.6
US,GS,2016-07-14,2.925286,127.976,124.194,,,124.958408,122.891068,2.06734,0.634159,2.866361,75.818364,,,2.94095,4161407.4
US,GS,2016-07-15,-0.554931,129.824,125.265,,,126.135576,123.610989,2.524587,1.012244,3.024685,73.546768,,,2.873739,4120806.8
US,GS,2016-07-18,1.048186,131.652,126.503,123.2635,,127.345487,124.380546,2.964942,1.402784,3.124316,75.058409,134.404976,112.122024,2.812044,4459293.4
US,GS,2016-07-19,-1.179104,132.388,127.894,123.824,,128.126182,124.976061,3.150121,1.752251,2.795739,70.151227,135.605374,112.042626,2.807612,4515351.6
US,GS,2016-07-20,0.226552,133.02,129.223,124.3745,,128.832923,125.549686,3.283237,2.058448,2.449577,70.544995,136.724502,112.024498,2.822068,4369630.4
US,GS,2016-07-21,-1.062387,132.612,130.294,124.8635,,129.214012,125.976376,3.237636,2.294286,1.8867,66.12938,137.495525,112.231475,2.745492,3951523.0
US,GS,2016-07-22,0.220851,132.41,131.117,125.1815,,129.581087,126.392941,3.188146,2.473058,1.430177,66.592541,138.15113,112.21187,2.6001,3698182.6
US,GS,2016-07-25,0.06079,131.946,131.799,125.9465,,129.903997,126.784575,3.119422,2.602331,1.034182,66.727707,138.549008,113.343992,2.515093,3142502.2
US,GS,2016-07-26,0.410085,131.906,132.147,126.835,,130.260305,127.187199,3.073106,2.696486,0.75324,67.678328,138.544096,115.125904,2.457586,2492591.4
US,GS,2016-07-27,-0.105884,131.778,132.399,127.5975,,130.540258,127.549628,2.990629,2.755315,0.47063,67.142726,138.563781,116.631219,2.385616,2246538.8
US,GS,2016-07-28,-0.287704,131.856,132.234,128.214,,130.71868,127.857063,2.861616,2.776575,0.170083,65.624628,138.633538,117.794462,2.341643,2056586.2
US,GS,2016-07-29,-1.070615,131.594,132.002,128.6335,,130.652729,128.037281,2.615448,2.74435,-0.257803,60.186836,138.671004,118.595996,2.284383,2171886.2
US,GS,2016-08-01,-0.39911,131.212,131.579,129.041,,130.516925,128.16563,2.351294,2.665738,-0.628889,58.269211,138.554556,119.527444,2.238355,2243926.2
US,GS,2016-08-02,-1.340834,130.374,131.14,129.517,,130.134321,128.155584,1.978737,2.528338,-1.099202,52.268126,137.740472,121.293528,2.259902,2450457.0
US,GS,2016-08-03,1.460595,129.938,130.858,130.0405,,130.098271,128.2848,1.813472,2.385365,-1.143786,57.351703,136.838227,123.242773,2.267766,2443884.8
US,GS,2016-08-04,-0.184758,129.53,130.693,130.4935,,130.030845,128.386666,1.644179,2.237128,-1.185898,56.519718,135.746367,125.240633,2.19364,2435540.0
US,GS,2016-08-05,2.560543,130.068,130.831,130.974,,130.484561,128.726913,1.757648,2.141232,-0.767168,64.246504,135.187879,126.760121,2.276237,2493120.0
