country,code,time,raw_open,raw_high,raw_low,raw_close,adj_open,adj_high,adj_low,adj_close,volume,amount,adj_factor,float_shares,float_market_cap,total_shares,total_market_cap,turnover_rate
US,GS,2016-06-23,150.56,152.8,150.14,152.66,123.52,125.35,123.17,125.24,2940500.0,445603370.0,0.8203851696580636,4.319,659.33854,4.319,659.33854,0.006808288955776801
US,GS,2016-06-24,143.03,146.42,140.92,141.86,117.34,120.12,115.61,116.38,9442225.0,1350781102.9375,0.8203862963485125,4.319,612.69334,4.319,612.69334,0.021862062977541098
US,GS,2016-06-27,140.07,141.23,138.2,139.51,114.91,115.86,113.38,114.45,7397164.0,1033772161.91,0.8203712995484196,4.319,602.54369,4.319,602.54369,0.01712702940495485
US,GS,2016-06-28,142.21,142.62,139.82,142.41,116.67,117.0,114.71,116.83,5041530.0,714712500.45,0.820377782459097,4.319,615.06879,4.319,615.06879,0.011672910395924982
US,GS,2016-06-29,143.6,145.55,142.93,145.5,117.81,119.41,117.26,119.37,3804113.0,549294896.635,0.8204123711340207,4.319,628.4145,4.319,628.4145,0.008807855985181755
US,GS,2016-06-30,146.67,148.88,145.37,148.58,120.33,122.15,119.27,121.9,4528624.0,667405962.0,0.8204334365325077,4.22399995,627.601913,4.22399995,627.601913,0.010721174369332084
US,GS,2016-07-01,148.49,150.7,148.07,148.25,121.82,123.63,121.47,121.62,3096800.0,461043842.0,0.8203709949409781,4.22399995,626.207993,4.22399995,626.207993,0.0073314394807225325
US,GS,2016-07-05,146.72,146.94,143.33,144.45,120.37,120.55,117.59,118.51,3943000.0,573154480.0,0.820422291450329,4.22399995,610.156793,4.22399995,610.156793,0.009334753898375403
US,GS,2016-07-06,142.94,145.94,142.62,145.58,117.26,119.73,117.0,119.43,2941800.0,424413486.0,0.8203736777029812,4.22399995,614.929913,4.22399995,614.929913,0.006964488718803135
US,GS,2016-07-07,146.0,148.09,145.36,147.0,119.78,121.49,119.25,120.6,2578300.0,378011008.75,0.8204081632653061,4.22399995,620.927993,4.22399995,620.927993,0.006103929996495385
