country,code,report_type,report_date,filing_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_assets,debt_to_equity,asset_turnover,equity_multiplier,ocf_to_revenue,ocf_to_net_income,fcf_margin,revenue_yoy,net_income_yoy
US,HOOD,Q1,2019-03-31,2019-05-15,0.455321,-0.214527,-0.215453,,,,,,,,,,,,
US,HOOD,Q2,2019-06-30,2019-08-14,0.465162,-0.158116,-0.158953,,,,,,,,,,,,
US,HOOD,Q3,2019-09-30,2019-11-14,0.35817,-0.493043,-0.495947,,,,,,,,,,,,
US,HOOD,Q4,2019-12-31,2020-03-30,0.229834,-0.628282,-0.61861,-0.054751,-0.011318,,0.793286,3.8376,0.018296,4.8376,,,,,
US,HOOD,Q1,2020-03-31,2020-05-15,0.656111,-0.407675,-0.411619,,,,,,,,16.814543,-40.849777,16.880698,1.271351,-3.339367
US,HOOD,Q2,2020-06-30,2020-08-14,0.773741,0.237602,0.235796,,,,,,,,-0.333859,-1.415879,-0.301821,2.404492,6.050342
US,HOOD,Q3,2020-09-30,2020-11-14,0.763956,0.20299,-0.039554,,,,,,,,-1.979798,50.052997,-1.953723,2.478704,0.722558
US,HOOD,Q4,2020-12-31,2021-03-31,0.78372,0.204798,0.041028,,,,,,,,1.091843,26.612373,1.120312,3.400222,1.291833
US,HOOD,Q1,2021-03-31,2021-05-15,0.814176,0.111111,-2.768199,0.972942,-0.095667,1.607837,1.098327,-11.170102,0.034559,-10.170102,-3.605739,1.302558,-3.583973,3.092513,-26.522761
US,HOOD,Q2,2021-06-30,2021-08-18,0.785841,0.113274,-0.888496,0.252927,-0.027752,1.462458,1.109725,-10.113719,0.031235,-9.113719,4.037729,-4.544456,4.066933,1.313573,-9.717699
US,HOOD,Q3,2021-09-30,2021-10-29,0.619178,-3.679452,-3.608219,-0.178345,-0.068177,1.597646,0.617723,1.615905,0.018895,2.615905,-2.762362,0.765575,-2.677803,0.354209,-122.534378
US,HOOD,Q4,2021-12-31,2022-02-24,0.632754,-1.332968,-1.166947,-0.058037,-0.021411,1.561756,0.631089,1.710681,0.018348,2.710681,-0.759918,0.651201,-0.691194,0.142252,-33.489024
US,HOOD,Q1,2022-03-31,2022-05-06,0.511706,-1.267559,-1.311037,-0.054971,-0.020772,1.584924,0.622139,1.646473,0.015844,2.646473,1.461538,-1.114796,1.531773,-0.427203,0.72872
US,HOOD,Q2,2022-06-30,2022-08-03,0.553459,-0.918239,-0.927673,-0.042041,-0.012017,1.381976,0.714152,2.498361,0.012954,3.498361,-3.971698,4.281356,-3.933962,-0.437168,0.412351
US,HOOD,Q3,2022-09-30,2022-11-02,0.620499,-0.351801,-0.484765,-0.025165,-0.007114,1.379005,0.717329,2.537676,0.014674,3.537676,-0.573407,1.182857,-0.534626,-0.010959,0.867122
US,HOOD,Q4,2022-12-31,2023-02-27,0.592105,-0.473684,-0.436842,-0.023864,-0.007113,1.410017,0.701933,2.354945,0.016283,3.354945,0.476316,-1.090361,0.502632,0.04766,0.607813
US,HOOD,Q1,2023-03-31,2023-05-10,0.741497,-1.136054,-1.15873,-0.072523,-0.018391,1.318718,0.74641,2.943372,0.015872,3.943372,1.877551,-1.620352,1.888889,0.474916,-0.303571
US,HOOD,Q2,2023-06-30,2023-08-03,0.748971,0.041152,0.05144,0.003479,0.000872,1.31607,0.749232,2.987756,0.016957,3.987756,0.761317,14.8,0.769547,0.528302,1.084746
