code,name,country,currency,report_type,report_date,filing_date,revenue,gross_profit,operating_profit,income_before_tax,income_tax_expense,net_income,net_income_parent,basic_eps,assets_total,assets_current,assets_non_current,cash_and_cash_equivalents,accounts_receivable,property_plant_equipment_net,liabilities_total,liabilities_current,liabilities_non_current,accounts_payable,equity_total,equity_parent,operating_cash_flow,investing_cash_flow,capital_expenditure,financing_cash_flow
HOOD,Robinhood Markets Inc-A,US,USD,Q1,2019-03-31,2019-05-15,56156000.0,25569000.0,-12047000.0,-12154000.0,-55000.0,-12099000.0,-12099000.0,-0.014231123418691531,0.0,,,,,,0.0,,,,0.0,,,,,
HOOD,Robinhood Markets Inc-A,US,USD,Q2,2019-06-30,2019-08-14,71732000.0,33367000.0,-11342000.0,-11457000.0,-55000.0,-11402000.0,-11402000.0,-0.013411295910399275,0.0,,,,,,0.0,,,,0.0,,,,,
HOOD,Robinhood Markets Inc-A,US,USD,Q3,2019-09-30,2019-11-14,77480000.0,27751000.0,-38201000.0,-38481000.0,-55000.0,-38426000.0,-38426000.0,-0.04519754925916528,0.0,,,,,,0.0,,,,0.0,,,,,
HOOD,Robinhood Markets Inc-A,US,USD,Q4,2019-12-31,2020-03-30,72165000.0,16586000.0,-45340000.0,-45495000.0,-853000.0,-44642000.0,-44642000.0,-0.052508952116474696,3944400000.0,0.0,0.0,644050000.0,0.0,56501000.0,3129037000.0,0.0,0.0,0.0,815363000.0,815363000.0,,,,
HOOD,Robinhood Markets Inc-A,US,USD,Q1,2020-03-31,2020-05-15,127550000.0,83687000.0,-51999000.0,-52588000.0,-86000.0,-52502000.0,-52502000.0,-0.0617540657680918,0.0,,,,,,0.0,,,,0.0,,2144695000.0,-8438000.0,-8438000.0,190056000.0
HOOD,Robinhood Markets Inc-A,US,USD,Q2,2020-06-30,2020-08-14,244211000.0,188956000.0,58025000.0,58118000.0,534000.0,57584000.0,57584000.0,0.06773163161764882,0.0,,,,,,0.0,,,,0.0,,-81532000.0,-7824000.0,-7824000.0,382825000.0
HOOD,Robinhood Markets Inc-A,US,USD,Q3,2020-09-30,2020-11-14,269530000.0,205909000.0,54712000.0,-10994000.0,-333000.0,-10661000.0,-10661000.0,-0.012539714585227738,0.0,,,,,,0.0,,,,0.0,,-533615000.0,-7028000.0,-7028000.0,698056000.0
HOOD,Robinhood Markets Inc-A,US,USD,Q4,2020-12-31,2021-03-31,317542000.0,248864000.0,65032000.0,19294000.0,6266000.0,13028000.0,13028000.0,0.015323834688710907,0.0,,,,,,0.0,,,,0.0,,346706000.0,-9040000.0,-9040000.0,4946000.0
HOOD,Robinhood Markets Inc-A,US,USD,Q1,2021-03-31,2021-05-15,522000000.0,425000000.0,58000000.0,-1433000000.0,12000000.0,-1445000000.0,-1445000000.0,-1.6996423952400415,15104493000.0,14967248000.0,137245000.0,4794546000.0,5542535000.0,54223000.0,16589679000.0,9308936000.0,7280743000.0,231222000.0,-1485186000.0,-1485186000.0,-1882196000.0,-11362000.0,-11362000.0,3557772000.0
HOOD,Robinhood Markets Inc-A,US,USD,Q2,2021-06-30,2021-08-18,565000000.0,444000000.0,64000000.0,-464000000.0,38000000.0,-502000000.0,-502000000.0,-0.5904640016681667,18088582000.0,17900887000.0,187695000.0,5077752000.0,5633435000.0,71078000.0,20073346000.0,12240276000.0,7833070000.0,292851000.0,-1984764000.0,-1984764000.0,2281317000.0,-16500000.0,-16500000.0,1000000.0
HOOD,Robinhood Markets Inc-A,US,USD,Q3,2021-09-30,2021-10-29,365000000.0,226000000.0,-1343000000.0,-1367000000.0,-50000000.0,-1317000000.0,-1317000000.0,-1.5396574334926267,19317368000.0,18849696000.0,467672000.0,6166705000.0,6224459000.0,114666000.0,11932786000.0,11798418000.0,134368000.0,237147000.0,7384582000.0,7384582000.0,-1008262000.0,-151613000.0,-30864000.0,1650848000.0
HOOD,Robinhood Markets Inc-A,US,USD,Q4,2021-12-31,2022-02-24,362713000.0,229508000.0,-483485000.0,-420309000.0,2958000.0,-423267000.0,-423267000.0,-0.48994191499320083,19769000000.0,19283000000.0,486000000.0,6253000000.0,6727000000.0,146000000.0,12476000000.0,12347000000.0,129000000.0,252000000.0,7293000000.0,7293000000.0,-275632000.0,-58405000.0,-24927000.0,-6092000.0
